taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,7493729,URMA_WRITE,7,0ns,0,
1,0,1,10885532,URMA_WRITE,7,0ns,1,
2,0,14,6801065,URMA_WRITE,7,0ns,2,
3,0,2,8765300,URMA_WRITE,7,0ns,3,
4,0,13,9394589,URMA_WRITE,7,0ns,4,
5,0,3,8007689,URMA_WRITE,7,0ns,5,
6,0,12,8147092,URMA_WRITE,7,0ns,6,
7,0,4,6765911,URMA_WRITE,7,0ns,7,
8,0,11,8075323,URMA_WRITE,7,0ns,8,
9,0,5,10495753,URMA_WRITE,7,0ns,9,
10,0,10,9572724,URMA_WRITE,7,0ns,10,
11,0,6,11840344,URMA_WRITE,7,0ns,11,
12,0,9,9701936,URMA_WRITE,7,0ns,12,
13,0,7,7859028,URMA_WRITE,7,0ns,13,
14,0,8,10411713,URMA_WRITE,7,0ns,14,
15,1,0,9832901,URMA_WRITE,7,0ns,15,
16,1,2,8544943,URMA_WRITE,7,0ns,16,
17,1,15,8760637,URMA_WRITE,7,0ns,17,
18,1,3,9355263,URMA_WRITE,7,0ns,18,
19,1,14,7780245,URMA_WRITE,7,0ns,19,
20,1,4,9570419,URMA_WRITE,7,0ns,20,
21,1,13,8522595,URMA_WRITE,7,0ns,21,
22,1,5,7559749,URMA_WRITE,7,0ns,22,
23,1,12,8008921,URMA_WRITE,7,0ns,23,
24,1,6,13229561,URMA_WRITE,7,0ns,24,
25,1,11,7901017,URMA_WRITE,7,0ns,25,
26,1,7,9001204,URMA_WRITE,7,0ns,26,
27,1,10,8237429,URMA_WRITE,7,0ns,27,
28,1,8,9353145,URMA_WRITE,7,0ns,28,
29,1,9,8559699,URMA_WRITE,7,0ns,29,
30,2,1,9239561,URMA_WRITE,7,0ns,30,
31,2,3,7380380,URMA_WRITE,7,0ns,31,
32,2,0,9634729,URMA_WRITE,7,0ns,32,
33,2,4,6903528,URMA_WRITE,7,0ns,33,
34,2,15,10058216,URMA_WRITE,7,0ns,34,
35,2,5,8760857,URMA_WRITE,7,0ns,35,
36,2,14,10195445,URMA_WRITE,7,0ns,36,
37,2,6,10052952,URMA_WRITE,7,0ns,37,
38,2,13,9651470,URMA_WRITE,7,0ns,38,
39,2,7,8045477,URMA_WRITE,7,0ns,39,
40,2,12,7287175,URMA_WRITE,7,0ns,40,
41,2,8,12081174,URMA_WRITE,7,0ns,41,
42,2,11,10151492,URMA_WRITE,7,0ns,42,
43,2,9,7491418,URMA_WRITE,7,0ns,43,
44,2,10,7283854,URMA_WRITE,7,0ns,44,
45,3,2,7848056,URMA_WRITE,7,0ns,45,
46,3,4,10024700,URMA_WRITE,7,0ns,46,
47,3,1,7605560,URMA_WRITE,7,0ns,47,
48,3,5,12745401,URMA_WRITE,7,0ns,48,
49,3,0,9964350,URMA_WRITE,7,0ns,49,
50,3,6,8785723,URMA_WRITE,7,0ns,50,
51,3,15,8797507,URMA_WRITE,7,0ns,51,
52,3,7,7631538,URMA_WRITE,7,0ns,52,
53,3,14,9097466,URMA_WRITE,7,0ns,53,
54,3,8,7670393,URMA_WRITE,7,0ns,54,
55,3,13,9828668,URMA_WRITE,7,0ns,55,
56,3,9,9269217,URMA_WRITE,7,0ns,56,
57,3,12,10304254,URMA_WRITE,7,0ns,57,
58,3,10,7283086,URMA_WRITE,7,0ns,58,
59,3,11,7361809,URMA_WRITE,7,0ns,59,
60,4,3,7167227,URMA_WRITE,7,0ns,60,
61,4,5,8361194,URMA_WRITE,7,0ns,61,
62,4,2,12171708,URMA_WRITE,7,0ns,62,
63,4,6,8922902,URMA_WRITE,7,0ns,63,
64,4,1,9314193,URMA_WRITE,7,0ns,64,
65,4,7,7543274,URMA_WRITE,7,0ns,65,
66,4,0,10956128,URMA_WRITE,7,0ns,66,
67,4,8,8086541,URMA_WRITE,7,0ns,67,
68,4,15,11124106,URMA_WRITE,7,0ns,68,
69,4,9,6955262,URMA_WRITE,7,0ns,69,
70,4,14,7299548,URMA_WRITE,7,0ns,70,
71,4,10,8702789,URMA_WRITE,7,0ns,71,
72,4,13,8322918,URMA_WRITE,7,0ns,72,
73,4,11,9572598,URMA_WRITE,7,0ns,73,
74,4,12,9717340,URMA_WRITE,7,0ns,74,
75,5,4,13120250,URMA_WRITE,7,0ns,75,
76,5,6,7497286,URMA_WRITE,7,0ns,76,
77,5,3,8781757,URMA_WRITE,7,0ns,77,
78,5,7,8457326,URMA_WRITE,7,0ns,78,
79,5,2,8668663,URMA_WRITE,7,0ns,79,
80,5,8,9071541,URMA_WRITE,7,0ns,80,
81,5,1,8153743,URMA_WRITE,7,0ns,81,
82,5,9,8262116,URMA_WRITE,7,0ns,82,
83,5,0,8359925,URMA_WRITE,7,0ns,83,
84,5,10,12258542,URMA_WRITE,7,0ns,84,
85,5,15,8506497,URMA_WRITE,7,0ns,85,
86,5,11,9624322,URMA_WRITE,7,0ns,86,
87,5,14,7666024,URMA_WRITE,7,0ns,87,
88,5,12,7672472,URMA_WRITE,7,0ns,88,
89,5,13,8117264,URMA_WRITE,7,0ns,89,
90,6,5,8123536,URMA_WRITE,7,0ns,90,
91,6,7,9256621,URMA_WRITE,7,0ns,91,
92,6,4,8596982,URMA_WRITE,7,0ns,92,
93,6,8,8631381,URMA_WRITE,7,0ns,93,
94,6,3,9714083,URMA_WRITE,7,0ns,94,
95,6,9,13519039,URMA_WRITE,7,0ns,95,
96,6,2,8073591,URMA_WRITE,7,0ns,96,
97,6,10,9802472,URMA_WRITE,7,0ns,97,
98,6,1,7764395,URMA_WRITE,7,0ns,98,
99,6,11,8404226,URMA_WRITE,7,0ns,99,
100,6,0,8433044,URMA_WRITE,7,0ns,100,
101,6,12,9018307,URMA_WRITE,7,0ns,101,
102,6,15,8735133,URMA_WRITE,7,0ns,102,
103,6,13,7725165,URMA_WRITE,7,0ns,103,
104,6,14,8419753,URMA_WRITE,7,0ns,104,
105,7,6,6974214,URMA_WRITE,7,0ns,105,
106,7,8,7413476,URMA_WRITE,7,0ns,106,
107,7,5,9317960,URMA_WRITE,7,0ns,107,
108,7,9,8837465,URMA_WRITE,7,0ns,108,
109,7,4,7596618,URMA_WRITE,7,0ns,109,
110,7,10,12204874,URMA_WRITE,7,0ns,110,
111,7,3,8027964,URMA_WRITE,7,0ns,111,
112,7,11,10770633,URMA_WRITE,7,0ns,112,
113,7,2,8229480,URMA_WRITE,7,0ns,113,
114,7,12,12120893,URMA_WRITE,7,0ns,114,
115,7,1,8585471,URMA_WRITE,7,0ns,115,
116,7,13,9121561,URMA_WRITE,7,0ns,116,
117,7,0,7331506,URMA_WRITE,7,0ns,117,
118,7,14,9183126,URMA_WRITE,7,0ns,118,
119,7,15,8502487,URMA_WRITE,7,0ns,119,
120,8,7,12764568,URMA_WRITE,7,0ns,120,
121,8,9,8185137,URMA_WRITE,7,0ns,121,
122,8,6,7696615,URMA_WRITE,7,0ns,122,
123,8,10,8334694,URMA_WRITE,7,0ns,123,
124,8,5,9758668,URMA_WRITE,7,0ns,124,
125,8,11,7294039,URMA_WRITE,7,0ns,125,
126,8,4,9019181,URMA_WRITE,7,0ns,126,
127,8,12,8659901,URMA_WRITE,7,0ns,127,
128,8,3,8083835,URMA_WRITE,7,0ns,128,
129,8,13,9264554,URMA_WRITE,7,0ns,129,
130,8,2,8384923,URMA_WRITE,7,0ns,130,
131,8,14,9371959,URMA_WRITE,7,0ns,131,
132,8,1,10440495,URMA_WRITE,7,0ns,132,
133,8,15,7617931,URMA_WRITE,7,0ns,133,
134,8,0,9341228,URMA_WRITE,7,0ns,134,
135,9,8,8350973,URMA_WRITE,7,0ns,135,
136,9,10,10739705,URMA_WRITE,7,0ns,136,
137,9,7,8711618,URMA_WRITE,7,0ns,137,
138,9,11,10347082,URMA_WRITE,7,0ns,138,
139,9,6,8679600,URMA_WRITE,7,0ns,139,
140,9,12,7246729,URMA_WRITE,7,0ns,140,
141,9,5,8312268,URMA_WRITE,7,0ns,141,
142,9,13,12675587,URMA_WRITE,7,0ns,142,
143,9,4,9017653,URMA_WRITE,7,0ns,143,
144,9,14,8207166,URMA_WRITE,7,0ns,144,
145,9,3,9508777,URMA_WRITE,7,0ns,145,
146,9,15,7243193,URMA_WRITE,7,0ns,146,
147,9,2,8331873,URMA_WRITE,7,0ns,147,
148,9,0,8748880,URMA_WRITE,7,0ns,148,
149,9,1,8096624,URMA_WRITE,7,0ns,149,
150,10,9,9029394,URMA_WRITE,7,0ns,150,
151,10,11,9209421,URMA_WRITE,7,0ns,151,
152,10,8,8654360,URMA_WRITE,7,0ns,152,
153,10,12,8991173,URMA_WRITE,7,0ns,153,
154,10,7,7902267,URMA_WRITE,7,0ns,154,
155,10,13,8243003,URMA_WRITE,7,0ns,155,
156,10,6,13638826,URMA_WRITE,7,0ns,156,
157,10,14,7793615,URMA_WRITE,7,0ns,157,
158,10,5,8384076,URMA_WRITE,7,0ns,158,
159,10,15,8325017,URMA_WRITE,7,0ns,159,
160,10,4,7928644,URMA_WRITE,7,0ns,160,
161,10,0,8143105,URMA_WRITE,7,0ns,161,
162,10,3,11013007,URMA_WRITE,7,0ns,162,
163,10,1,8343571,URMA_WRITE,7,0ns,163,
164,10,2,8618249,URMA_WRITE,7,0ns,164,
165,11,10,10135209,URMA_WRITE,7,0ns,165,
166,11,12,9820273,URMA_WRITE,7,0ns,166,
167,11,9,13191065,URMA_WRITE,7,0ns,167,
168,11,13,7942177,URMA_WRITE,7,0ns,168,
169,11,8,8376787,URMA_WRITE,7,0ns,169,
170,11,14,7956399,URMA_WRITE,7,0ns,170,
171,11,7,8078879,URMA_WRITE,7,0ns,171,
172,11,15,7939081,URMA_WRITE,7,0ns,172,
173,11,6,7673984,URMA_WRITE,7,0ns,173,
174,11,0,9110813,URMA_WRITE,7,0ns,174,
175,11,5,7618325,URMA_WRITE,7,0ns,175,
176,11,1,7537751,URMA_WRITE,7,0ns,176,
177,11,4,9193610,URMA_WRITE,7,0ns,177,
178,11,2,11910880,URMA_WRITE,7,0ns,178,
179,11,3,7732495,URMA_WRITE,7,0ns,179,
180,12,11,8808517,URMA_WRITE,7,0ns,180,
181,12,13,7152107,URMA_WRITE,7,0ns,181,
182,12,10,6851278,URMA_WRITE,7,0ns,182,
183,12,14,11989736,URMA_WRITE,7,0ns,183,
184,12,9,7020389,URMA_WRITE,7,0ns,184,
185,12,15,7795975,URMA_WRITE,7,0ns,185,
186,12,8,7844710,URMA_WRITE,7,0ns,186,
187,12,0,8545163,URMA_WRITE,7,0ns,187,
188,12,7,6939671,URMA_WRITE,7,0ns,188,
189,12,1,10772624,URMA_WRITE,7,0ns,189,
190,12,6,11348658,URMA_WRITE,7,0ns,190,
191,12,2,8728451,URMA_WRITE,7,0ns,191,
192,12,5,11369181,URMA_WRITE,7,0ns,192,
193,12,3,10208125,URMA_WRITE,7,0ns,193,
194,12,4,8843143,URMA_WRITE,7,0ns,194,
195,13,12,8107353,URMA_WRITE,7,0ns,195,
196,13,14,13006314,URMA_WRITE,7,0ns,196,
197,13,11,7967909,URMA_WRITE,7,0ns,197,
198,13,15,7432179,URMA_WRITE,7,0ns,198,
199,13,10,8112416,URMA_WRITE,7,0ns,199,
200,13,0,8643905,URMA_WRITE,7,0ns,200,
201,13,9,8468592,URMA_WRITE,7,0ns,201,
202,13,1,8266923,URMA_WRITE,7,0ns,202,
203,13,8,11159362,URMA_WRITE,7,0ns,203,
204,13,2,7680281,URMA_WRITE,7,0ns,204,
205,13,7,8615181,URMA_WRITE,7,0ns,205,
206,13,3,11787097,URMA_WRITE,7,0ns,206,
207,13,6,8054471,URMA_WRITE,7,0ns,207,
208,13,4,9028813,URMA_WRITE,7,0ns,208,
209,13,5,7886932,URMA_WRITE,7,0ns,209,
210,14,13,7517415,URMA_WRITE,7,0ns,210,
211,14,15,11166340,URMA_WRITE,7,0ns,211,
212,14,12,10898448,URMA_WRITE,7,0ns,212,
213,14,0,6930041,URMA_WRITE,7,0ns,213,
214,14,11,8816244,URMA_WRITE,7,0ns,214,
215,14,1,7783648,URMA_WRITE,7,0ns,215,
216,14,10,7348860,URMA_WRITE,7,0ns,216,
217,14,2,8026456,URMA_WRITE,7,0ns,217,
218,14,9,9025917,URMA_WRITE,7,0ns,218,
219,14,3,9448534,URMA_WRITE,7,0ns,219,
220,14,8,9647642,URMA_WRITE,7,0ns,220,
221,14,4,10143183,URMA_WRITE,7,0ns,221,
222,14,7,7822282,URMA_WRITE,7,0ns,222,
223,14,5,7515145,URMA_WRITE,7,0ns,223,
224,14,6,12127573,URMA_WRITE,7,0ns,224,
225,15,14,9065798,URMA_WRITE,7,0ns,225,
226,15,0,10275783,URMA_WRITE,7,0ns,226,
227,15,13,7281164,URMA_WRITE,7,0ns,227,
228,15,1,7858408,URMA_WRITE,7,0ns,228,
229,15,12,10425595,URMA_WRITE,7,0ns,229,
230,15,2,10545290,URMA_WRITE,7,0ns,230,
231,15,11,11314575,URMA_WRITE,7,0ns,231,
232,15,3,8770811,URMA_WRITE,7,0ns,232,
233,15,10,10954861,URMA_WRITE,7,0ns,233,
234,15,4,10793462,URMA_WRITE,7,0ns,234,
235,15,9,6750317,URMA_WRITE,7,0ns,235,
236,15,5,6465472,URMA_WRITE,7,0ns,236,
237,15,8,7838362,URMA_WRITE,7,0ns,237,
238,15,6,8308470,URMA_WRITE,7,0ns,238,
239,15,7,7569360,URMA_WRITE,7,0ns,239,
