taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,11337211,URMA_WRITE,7,0ns,0,
1,1,2,8437055,URMA_WRITE,7,0ns,1,
2,2,3,7005791,URMA_WRITE,7,0ns,2,
3,3,0,10224039,URMA_WRITE,7,0ns,3,
4,4,5,8219693,URMA_WRITE,7,0ns,4,
5,5,6,7112920,URMA_WRITE,7,0ns,5,
6,6,7,9341610,URMA_WRITE,7,0ns,6,
7,7,4,7269599,URMA_WRITE,7,0ns,7,
8,8,9,7989917,URMA_WRITE,7,0ns,8,
9,9,10,11194331,URMA_WRITE,7,0ns,9,
10,10,11,9282234,URMA_WRITE,7,0ns,10,
11,11,8,8224434,URMA_WRITE,7,0ns,11,
12,12,13,6726983,URMA_WRITE,7,0ns,12,
13,13,14,14069927,URMA_WRITE,7,0ns,13,
14,14,15,11699033,URMA_WRITE,7,0ns,14,
15,15,12,10751393,URMA_WRITE,7,0ns,15,
16,0,2,8722748,URMA_WRITE,7,0ns,16,
17,1,3,9464359,URMA_WRITE,7,0ns,17,
18,2,0,9798877,URMA_WRITE,7,0ns,18,
19,3,1,7262643,URMA_WRITE,7,0ns,19,
20,4,6,8916885,URMA_WRITE,7,0ns,20,
21,5,7,8327350,URMA_WRITE,7,0ns,21,
22,6,4,8500407,URMA_WRITE,7,0ns,22,
23,7,5,9407533,URMA_WRITE,7,0ns,23,
24,8,10,8177754,URMA_WRITE,7,0ns,24,
25,9,11,10702093,URMA_WRITE,7,0ns,25,
26,10,8,8572663,URMA_WRITE,7,0ns,26,
27,11,9,14323107,URMA_WRITE,7,0ns,27,
28,12,14,12709873,URMA_WRITE,7,0ns,28,
29,13,15,7034964,URMA_WRITE,7,0ns,29,
30,14,12,11366816,URMA_WRITE,7,0ns,30,
31,15,13,6913711,URMA_WRITE,7,0ns,31,
32,0,3,7788535,URMA_WRITE,7,0ns,32,
33,1,0,10069896,URMA_WRITE,7,0ns,33,
34,2,1,9309273,URMA_WRITE,7,0ns,34,
35,3,2,7567089,URMA_WRITE,7,0ns,35,
36,4,7,7204492,URMA_WRITE,7,0ns,36,
37,5,4,14225840,URMA_WRITE,7,0ns,37,
38,6,5,7896645,URMA_WRITE,7,0ns,38,
39,7,6,6496563,URMA_WRITE,7,0ns,39,
40,8,11,6870738,URMA_WRITE,7,0ns,40,
41,9,8,8199535,URMA_WRITE,7,0ns,41,
42,10,9,9052093,URMA_WRITE,7,0ns,42,
43,11,10,10451983,URMA_WRITE,7,0ns,43,
44,12,15,7523281,URMA_WRITE,7,0ns,44,
45,13,12,7887082,URMA_WRITE,7,0ns,45,
46,14,13,7173947,URMA_WRITE,7,0ns,46,
47,15,14,9091803,URMA_WRITE,7,0ns,47,
48,0,12,7960434,URMA_WRITE,7,0ns,48,
49,1,13,8408723,URMA_WRITE,7,0ns,49,
50,2,14,10493592,URMA_WRITE,7,0ns,50,
51,3,15,8759099,URMA_WRITE,7,0ns,51,
52,4,8,7878794,URMA_WRITE,7,0ns,52,
53,5,9,8080413,URMA_WRITE,7,0ns,53,
54,6,10,10037705,URMA_WRITE,7,0ns,54,
55,7,11,11211775,URMA_WRITE,7,0ns,55,
56,8,4,9037439,URMA_WRITE,7,0ns,56,
57,9,5,8151010,URMA_WRITE,7,0ns,57,
58,10,6,14944632,URMA_WRITE,7,0ns,58,
59,11,7,7847047,URMA_WRITE,7,0ns,59,
60,12,0,8449831,URMA_WRITE,7,0ns,60,
61,13,1,8088472,URMA_WRITE,7,0ns,61,
62,14,2,7805216,URMA_WRITE,7,0ns,62,
63,15,3,8731779,URMA_WRITE,7,0ns,63,
64,0,8,10752943,URMA_WRITE,7,0ns,64,
65,1,9,8455762,URMA_WRITE,7,0ns,65,
66,2,10,6886198,URMA_WRITE,7,0ns,66,
67,3,11,6956620,URMA_WRITE,7,0ns,67,
68,4,12,9902941,URMA_WRITE,7,0ns,68,
69,5,13,7897178,URMA_WRITE,7,0ns,69,
70,6,14,8274396,URMA_WRITE,7,0ns,70,
71,7,15,8394703,URMA_WRITE,7,0ns,71,
72,8,0,9441916,URMA_WRITE,7,0ns,72,
73,9,1,7880653,URMA_WRITE,7,0ns,73,
74,10,2,8526500,URMA_WRITE,7,0ns,74,
75,11,3,7408252,URMA_WRITE,7,0ns,75,
76,12,4,8818355,URMA_WRITE,7,0ns,76,
77,13,5,7608895,URMA_WRITE,7,0ns,77,
78,14,6,12891072,URMA_WRITE,7,0ns,78,
79,15,7,7265445,URMA_WRITE,7,0ns,79,
80,0,4,6257296,URMA_WRITE,7,0ns,80,
81,1,5,7188050,URMA_WRITE,7,0ns,81,
82,2,6,10317046,URMA_WRITE,7,0ns,82,
83,3,7,7295256,URMA_WRITE,7,0ns,83,
84,4,0,11440524,URMA_WRITE,7,0ns,84,
85,5,1,7943323,URMA_WRITE,7,0ns,85,
86,6,2,7832953,URMA_WRITE,7,0ns,86,
87,7,3,7805338,URMA_WRITE,7,0ns,87,
88,8,12,8586199,URMA_WRITE,7,0ns,88,
89,9,13,13621382,URMA_WRITE,7,0ns,89,
90,10,14,7472316,URMA_WRITE,7,0ns,90,
91,11,15,7669954,URMA_WRITE,7,0ns,91,
92,12,8,7583554,URMA_WRITE,7,0ns,92,
93,13,9,8342992,URMA_WRITE,7,0ns,93,
94,14,10,6964919,URMA_WRITE,7,0ns,94,
95,15,11,11836367,URMA_WRITE,7,0ns,95,
96,0,13,9498725,URMA_WRITE,7,0ns,96,
97,1,14,7467589,URMA_WRITE,7,0ns,97,
98,2,15,10323568,URMA_WRITE,7,0ns,98,
99,3,12,10650778,URMA_WRITE,7,0ns,99,
100,4,9,6474651,URMA_WRITE,7,0ns,100,
101,5,10,13135799,URMA_WRITE,7,0ns,101,
102,6,11,8254595,URMA_WRITE,7,0ns,102,
103,7,8,7042133,URMA_WRITE,7,0ns,103,
104,8,7,13741476,URMA_WRITE,7,0ns,104,
105,9,4,9035364,URMA_WRITE,7,0ns,105,
106,10,5,8227141,URMA_WRITE,7,0ns,106,
107,11,6,7334131,URMA_WRITE,7,0ns,107,
108,12,3,10506482,URMA_WRITE,7,0ns,108,
109,13,0,8564249,URMA_WRITE,7,0ns,109,
110,14,1,7504105,URMA_WRITE,7,0ns,110,
111,15,2,10897477,URMA_WRITE,7,0ns,111,
112,0,9,9877716,URMA_WRITE,7,0ns,112,48
113,1,10,8047196,URMA_WRITE,7,0ns,113,49
114,2,11,10439135,URMA_WRITE,7,0ns,114,50
115,3,8,7344038,URMA_WRITE,7,0ns,115,51
116,4,15,11649019,URMA_WRITE,7,0ns,116,52
117,5,12,7334527,URMA_WRITE,7,0ns,117,53
118,6,13,7388625,URMA_WRITE,7,0ns,118,54
119,7,14,9240067,URMA_WRITE,7,0ns,119,55
120,8,3,7862686,URMA_WRITE,7,0ns,120,56
121,9,0,8698398,URMA_WRITE,7,0ns,121,57
122,10,1,8175361,URMA_WRITE,7,0ns,122,58
123,11,2,12701383,URMA_WRITE,7,0ns,123,59
124,12,5,11942407,URMA_WRITE,7,0ns,124,60
125,13,6,7820341,URMA_WRITE,7,0ns,125,61
126,14,7,7552017,URMA_WRITE,7,0ns,126,62
