taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2097152,URMA_WRITE,1,0ns,0,,0.0,522.08296,0.0,0.0,32.1352
1,0,15,2097152,URMA_WRITE,2,0ns,1,,0.0,522.06404,0.0,0.0,32.1363
2,0,15,2097152,URMA_WRITE,3,0ns,2,,0.0,521.9557,0.0,0.0,32.143
3,0,15,2097152,URMA_WRITE,4,0ns,3,,0.0,521.87254,0.0,0.0,32.1481
4,0,1,8388608,URMA_WRITE,1,0ns,4,,0.0,173.897,0.0,0.0,385.9116
5,0,14,2097152,URMA_WRITE,1,0ns,5,,0.0,522.08138,0.0,0.0,32.1353
6,0,14,2097152,URMA_WRITE,2,0ns,6,,0.0,522.04588,0.0,0.0,32.1374
7,0,14,2097152,URMA_WRITE,3,0ns,7,,0.0,521.96134,0.0,0.0,32.1426
8,0,14,2097152,URMA_WRITE,4,0ns,8,,0.0,521.86938,0.0,0.0,32.1483
9,0,2,8388608,URMA_WRITE,1,0ns,9,,0.0,173.897,0.0,0.0,385.9116
10,0,13,2097152,URMA_WRITE,1,0ns,10,,0.0,522.2409,0.0,0.0,32.1254
11,0,13,2097152,URMA_WRITE,2,0ns,11,,0.0,522.45066,0.0,0.0,32.1125
12,0,13,2097152,URMA_WRITE,3,0ns,12,,0.0,521.95254,0.0,0.0,32.1432
13,0,13,2097152,URMA_WRITE,4,0ns,13,,0.0,521.8397,0.0,0.0,32.1501
14,0,3,8388608,URMA_WRITE,1,0ns,14,,0.0,173.897,0.0,0.0,385.9116
15,0,12,2097152,URMA_WRITE,1,0ns,15,,0.0,522.41692,0.0,0.0,32.1146
16,0,12,2097152,URMA_WRITE,2,0ns,16,,0.0,522.63306,0.0,0.0,32.1013
17,0,12,2097152,URMA_WRITE,3,0ns,17,,0.0,522.84784,0.0,0.0,32.0881
18,0,12,2097152,URMA_WRITE,4,0ns,18,,0.0,522.38186,0.0,0.0,32.1168
19,0,4,2097152,URMA_WRITE,1,0ns,19,,0.0,523.53234,0.0,0.0,32.0462
20,0,4,2097152,URMA_WRITE,2,0ns,20,,0.0,519.72572,0.0,0.0,32.2809
21,0,4,2097152,URMA_WRITE,3,0ns,21,,0.0,519.9672,0.0,0.0,32.2659
22,0,4,2097152,URMA_WRITE,4,0ns,22,,0.0,519.46408,0.0,0.0,32.2972
23,0,11,2097152,URMA_WRITE,1,0ns,23,,0.0,523.6251,0.0,0.0,32.0405
24,0,11,2097152,URMA_WRITE,2,0ns,24,,0.0,522.0443,0.0,0.0,32.1375
25,0,11,2097152,URMA_WRITE,3,0ns,25,,0.0,521.94148,0.0,0.0,32.1439
26,0,11,2097152,URMA_WRITE,4,0ns,26,,0.0,522.77764,0.0,0.0,32.0925
27,0,5,2097152,URMA_WRITE,1,0ns,27,,0.0,522.02758,0.0,0.0,32.1386
28,0,5,2097152,URMA_WRITE,2,0ns,28,,0.0,519.7273,0.0,0.0,32.2808
29,0,5,2097152,URMA_WRITE,3,0ns,29,,0.0,519.96878,0.0,0.0,32.2658
30,0,5,2097152,URMA_WRITE,4,0ns,30,,0.0,520.16596,0.0,0.0,32.2536
31,0,10,2097152,URMA_WRITE,1,0ns,31,,0.0,522.05702,0.0,0.0,32.1368
