taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8388608,URMA_WRITE,7,0ns,0,,0.0,523.39556,0.0,0.0,128.2183
1,0,1,8388608,URMA_WRITE,7,0ns,1,,0.0,173.897,0.0,0.0,385.9116
2,0,14,8388608,URMA_WRITE,7,0ns,2,,0.0,523.16806,0.0,0.0,128.274
3,0,2,8388608,URMA_WRITE,7,0ns,3,,0.0,173.897,0.0,0.0,385.9116
4,0,13,8388608,URMA_WRITE,7,0ns,4,,0.0,523.816,0.0,0.0,128.1153
5,0,3,8388608,URMA_WRITE,7,0ns,5,,0.0,173.897,0.0,0.0,385.9116
6,0,12,8388608,URMA_WRITE,7,0ns,6,,0.0,523.0294,0.0,0.0,128.308
7,0,4,8388608,URMA_WRITE,7,0ns,7,,0.0,521.03484,0.0,0.0,128.7992
8,0,11,8388608,URMA_WRITE,7,0ns,8,,0.0,524.07536,0.0,0.0,128.0519
9,0,5,8388608,URMA_WRITE,7,0ns,9,,0.0,520.77944,0.0,0.0,128.8624
10,0,10,8388608,URMA_WRITE,7,0ns,10,,0.0,522.0156,0.0,0.0,128.5572
11,0,6,8388608,URMA_WRITE,7,0ns,11,,0.0,522.8099,0.0,0.0,128.3619
12,0,9,8388608,URMA_WRITE,7,0ns,12,,0.0,522.0605,0.0,0.0,128.5461
13,0,7,8388608,URMA_WRITE,7,0ns,13,,0.0,521.90572,0.0,0.0,128.5843
14,0,8,8388608,URMA_WRITE,7,0ns,14,,0.0,522.97686,0.0,0.0,128.3209
15,1,0,8388608,URMA_WRITE,7,0ns,15,,0.0,173.897,0.0,0.0,385.9116
16,1,2,8388608,URMA_WRITE,7,0ns,16,,0.0,173.897,0.0,0.0,385.9116
17,1,15,8388608,URMA_WRITE,7,0ns,17,,0.0,523.49438,0.0,0.0,128.194
18,1,3,8388608,URMA_WRITE,7,0ns,18,,0.0,173.897,0.0,0.0,385.9116
19,1,14,8388608,URMA_WRITE,7,0ns,19,,0.0,527.15794,0.0,0.0,127.3031
20,1,4,8388608,URMA_WRITE,7,0ns,20,,0.0,523.04898,0.0,0.0,128.3032
21,1,13,8388608,URMA_WRITE,7,0ns,21,,0.0,523.99426,0.0,0.0,128.0718
22,1,5,8388608,URMA_WRITE,7,0ns,22,,0.0,523.01224,0.0,0.0,128.3122
23,1,12,8388608,URMA_WRITE,7,0ns,23,,0.0,527.13844,0.0,0.0,127.3079
24,1,6,8388608,URMA_WRITE,7,0ns,24,,0.0,522.76644,0.0,0.0,128.3726
25,1,11,8388608,URMA_WRITE,7,0ns,25,,0.0,523.81286,0.0,0.0,128.1161
26,1,7,8388608,URMA_WRITE,7,0ns,26,,0.0,522.403,0.0,0.0,128.4619
27,1,10,8388608,URMA_WRITE,7,0ns,27,,0.0,526.8212,0.0,0.0,127.3845
28,1,8,8388608,URMA_WRITE,7,0ns,28,,0.0,521.95058,0.0,0.0,128.5732
29,1,9,8388608,URMA_WRITE,7,0ns,29,,0.0,525.55798,0.0,0.0,127.6907
30,2,1,8388608,URMA_WRITE,7,0ns,30,,0.0,173.897,0.0,0.0,385.9116
