taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,3145728,URMA_WRITE,1,0ns,0,
1,0,15,3145728,URMA_WRITE,2,0ns,1,
2,0,15,3145728,URMA_WRITE,3,0ns,2,
3,0,15,3145728,URMA_WRITE,4,0ns,3,
4,0,1,4753545,URMA_WRITE,1,0ns,4,
5,0,14,3005917,URMA_WRITE,1,0ns,5,
6,0,14,3005917,URMA_WRITE,2,0ns,6,
7,0,14,3005917,URMA_WRITE,3,0ns,7,
8,0,14,3005920,URMA_WRITE,4,0ns,8,
9,0,2,5312785,URMA_WRITE,1,0ns,9,
10,0,13,2866107,URMA_WRITE,1,0ns,10,
11,0,13,2866107,URMA_WRITE,2,0ns,11,
12,0,13,2866107,URMA_WRITE,3,0ns,12,
13,0,13,2866110,URMA_WRITE,4,0ns,13,
14,0,3,5872026,URMA_WRITE,1,0ns,14,
15,0,12,2726297,URMA_WRITE,1,0ns,15,
16,0,12,2726297,URMA_WRITE,2,0ns,16,
17,0,12,2726297,URMA_WRITE,3,0ns,17,
18,0,12,2726299,URMA_WRITE,4,0ns,18,
19,0,4,1607816,URMA_WRITE,1,0ns,19,
20,0,4,1607816,URMA_WRITE,2,0ns,20,
21,0,4,1607816,URMA_WRITE,3,0ns,21,
22,0,4,1607818,URMA_WRITE,4,0ns,22,
23,0,11,2586487,URMA_WRITE,1,0ns,23,
24,0,11,2586487,URMA_WRITE,2,0ns,24,
25,0,11,2586487,URMA_WRITE,3,0ns,25,
26,0,11,2586489,URMA_WRITE,4,0ns,26,
27,0,5,1747626,URMA_WRITE,1,0ns,27,
28,0,5,1747626,URMA_WRITE,2,0ns,28,
29,0,5,1747626,URMA_WRITE,3,0ns,29,
30,0,5,1747629,URMA_WRITE,4,0ns,30,
31,0,10,2446677,URMA_WRITE,1,0ns,31,
32,0,10,2446677,URMA_WRITE,2,0ns,32,
33,0,10,2446677,URMA_WRITE,3,0ns,33,
34,0,10,2446678,URMA_WRITE,4,0ns,34,
35,0,6,1887436,URMA_WRITE,1,0ns,35,
36,0,6,1887436,URMA_WRITE,2,0ns,36,
37,0,6,1887436,URMA_WRITE,3,0ns,37,
38,0,6,1887439,URMA_WRITE,4,0ns,38,
39,0,9,2306867,URMA_WRITE,1,0ns,39,
40,0,9,2306867,URMA_WRITE,2,0ns,40,
41,0,9,2306867,URMA_WRITE,3,0ns,41,
42,0,9,2306868,URMA_WRITE,4,0ns,42,
43,0,7,2027247,URMA_WRITE,1,0ns,43,
44,0,7,2027247,URMA_WRITE,2,0ns,44,
45,0,7,2027247,URMA_WRITE,3,0ns,45,
46,0,7,2027247,URMA_WRITE,4,0ns,46,
47,0,8,2167057,URMA_WRITE,1,0ns,47,
48,0,8,2167057,URMA_WRITE,2,0ns,48,
49,0,8,2167057,URMA_WRITE,3,0ns,49,
50,0,8,2167057,URMA_WRITE,4,0ns,50,
51,1,0,12582912,URMA_WRITE,1,0ns,51,
52,1,2,4753545,URMA_WRITE,1,0ns,52,
53,1,15,3005917,URMA_WRITE,1,0ns,53,
54,1,15,3005917,URMA_WRITE,2,0ns,54,
55,1,15,3005917,URMA_WRITE,3,0ns,55,
56,1,15,3005920,URMA_WRITE,4,0ns,56,
57,1,3,5312785,URMA_WRITE,1,0ns,57,
58,1,14,2866107,URMA_WRITE,1,0ns,58,
59,1,14,2866107,URMA_WRITE,2,0ns,59,
60,1,14,2866107,URMA_WRITE,3,0ns,60,
61,1,14,2866110,URMA_WRITE,4,0ns,61,
62,1,4,1468006,URMA_WRITE,1,0ns,62,
