taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,8388608,URMA_WRITE,7,0ns,0,,0.0,694.95398,0.0,0.0,96.5659
1,0,1,8388608,URMA_WRITE,7,0ns,1,,0.0,173.897,0.0,0.0,385.9116
2,0,14,8388608,URMA_WRITE,7,0ns,2,,0.0,344.91412,0.0,0.0,194.5669
3,0,2,8388608,URMA_WRITE,7,0ns,3,,0.0,173.897,0.0,0.0,385.9116
4,0,13,8388608,URMA_WRITE,7,0ns,4,,0.0,765.94142,0.0,0.0,87.6162
5,0,3,8388608,URMA_WRITE,7,0ns,5,,0.0,173.897,0.0,0.0,385.9116
6,0,12,8388608,URMA_WRITE,7,0ns,6,,0.0,694.86644,0.0,0.0,96.5781
7,0,4,8388608,URMA_WRITE,7,0ns,7,,0.0,345.43024,0.0,0.0,194.2762
8,0,11,8388608,URMA_WRITE,7,0ns,8,,0.0,687.09406,0.0,0.0,97.6706
9,0,5,8388608,URMA_WRITE,7,0ns,9,,0.0,689.83986,0.0,0.0,97.2818
10,0,10,8388608,URMA_WRITE,7,0ns,10,,0.0,694.6194,0.0,0.0,96.6124
11,0,6,8388608,URMA_WRITE,7,0ns,11,,0.0,861.25412,0.0,0.0,77.9199
12,0,9,8388608,URMA_WRITE,7,0ns,12,,0.0,687.09124,0.0,0.0,97.671
13,0,7,8388608,URMA_WRITE,7,0ns,13,,0.0,686.97918,0.0,0.0,97.6869
14,0,8,8388608,URMA_WRITE,7,0ns,14,,0.0,694.86362,0.0,0.0,96.5785
15,1,0,8388608,URMA_WRITE,7,0ns,15,,0.0,173.897,0.0,0.0,385.9116
16,1,2,8388608,URMA_WRITE,7,0ns,16,,0.0,173.897,0.0,0.0,385.9116
17,1,15,8388608,URMA_WRITE,7,0ns,17,,0.0,1092.36668,0.0,0.0,61.4344
18,1,3,8388608,URMA_WRITE,7,0ns,18,,0.0,173.897,0.0,0.0,385.9116
19,1,14,8388608,URMA_WRITE,7,0ns,19,,0.0,1120.31262,0.0,0.0,59.9019
20,1,4,8388608,URMA_WRITE,7,0ns,20,,0.0,627.86378,0.0,0.0,106.8844
21,1,13,8388608,URMA_WRITE,7,0ns,21,,0.0,627.69524,0.0,0.0,106.9131
22,1,5,8388608,URMA_WRITE,7,0ns,22,,0.0,879.94398,0.0,0.0,76.2649
23,1,12,8388608,URMA_WRITE,7,0ns,23,,0.0,458.21364,0.0,0.0,146.4576
24,1,6,8388608,URMA_WRITE,7,0ns,24,,0.0,861.19456,0.0,0.0,77.9253
25,1,11,8388608,URMA_WRITE,7,0ns,25,,0.0,701.78918,0.0,0.0,95.6254
26,1,7,8388608,URMA_WRITE,7,0ns,26,,0.0,701.70756,0.0,0.0,95.6365
27,1,10,8388608,URMA_WRITE,7,0ns,27,,0.0,627.86536,0.0,0.0,106.8842
28,1,8,8388608,URMA_WRITE,7,0ns,28,,0.0,701.62374,0.0,0.0,95.6479
29,1,9,8388608,URMA_WRITE,7,0ns,29,,0.0,701.82596,0.0,0.0,95.6204
30,2,1,8388608,URMA_WRITE,7,0ns,30,,0.0,173.897,0.0,0.0,385.9116
31,2,3,8388608,URMA_WRITE,7,0ns,31,,0.0,173.897,0.0,0.0,385.9116
32,2,0,8388608,URMA_WRITE,7,0ns,32,,0.0,173.897,0.0,0.0,385.9116
33,2,4,8388608,URMA_WRITE,7,0ns,33,,0.0,437.75414,0.0,0.0,153.3026
34,2,15,8388608,URMA_WRITE,7,0ns,34,,0.0,1049.66258,0.0,0.0,63.9337
35,2,5,8388608,URMA_WRITE,7,0ns,35,,0.0,347.1145,0.0,0.0,193.3335
36,2,14,8388608,URMA_WRITE,7,0ns,36,,0.0,781.40296,0.0,0.0,85.8825
37,2,6,8388608,URMA_WRITE,7,0ns,37,,0.0,1108.3137,0.0,0.0,60.5504
38,2,13,8388608,URMA_WRITE,7,0ns,38,,0.0,437.92268,0.0,0.0,153.2436
39,2,7,8388608,URMA_WRITE,7,0ns,39,,0.0,721.25026,0.0,0.0,93.0452
40,2,12,8388608,URMA_WRITE,7,0ns,40,,0.0,781.08758,0.0,0.0,85.9172
41,2,8,8388608,URMA_WRITE,7,0ns,41,,0.0,786.90778,0.0,0.0,85.2817
42,2,11,8388608,URMA_WRITE,7,0ns,42,,0.0,781.0041,0.0,0.0,85.9264
43,2,9,8388608,URMA_WRITE,7,0ns,43,,0.0,824.84026,0.0,0.0,81.3598
