taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,10737418,URMA_WRITE,7,0ns,0,,0.0,583.93154,0.0,0.0,147.1052
1,0,1,7158279,URMA_WRITE,7,0ns,1,,0.0,153.44044,0.0,0.0,373.2147
2,0,14,10481765,URMA_WRITE,7,0ns,2,,0.0,581.00744,0.0,0.0,144.3254
3,0,2,7413932,URMA_WRITE,7,0ns,3,,0.0,158.87336,0.0,0.0,373.3254
4,0,13,10226113,URMA_WRITE,7,0ns,4,,0.0,579.1649,0.0,0.0,141.2532
5,0,3,7669584,URMA_WRITE,7,0ns,5,,0.0,164.30584,0.0,0.0,373.4296
6,0,12,9970460,URMA_WRITE,7,0ns,6,,0.0,581.3343,0.0,0.0,137.2079
7,0,4,7925237,URMA_WRITE,7,0ns,7,,0.0,566.81908,0.0,0.0,111.8556
8,0,11,9714807,URMA_WRITE,7,0ns,8,,0.0,580.17552,0.0,0.0,133.9568
9,0,5,8180890,URMA_WRITE,7,0ns,9,,0.0,538.75862,0.0,0.0,121.4776
10,0,10,9459154,URMA_WRITE,7,0ns,10,,0.0,581.15412,0.0,0.0,130.212
11,0,6,8436543,URMA_WRITE,7,0ns,11,,0.0,543.16682,0.0,0.0,124.2571
12,0,9,9203501,URMA_WRITE,7,0ns,12,,0.0,580.34448,0.0,0.0,126.8695
13,0,7,8692196,URMA_WRITE,7,0ns,13,,0.0,578.48658,0.0,0.0,120.206
14,0,8,8947849,URMA_WRITE,7,0ns,14,,0.0,579.7052,0.0,0.0,123.4814
15,1,0,10737418,URMA_WRITE,7,0ns,15,,0.0,221.41534,0.0,0.0,387.9557
16,1,2,7158279,URMA_WRITE,7,0ns,16,,0.0,153.44044,0.0,0.0,373.2147
17,1,15,10481765,URMA_WRITE,7,0ns,17,,0.0,583.80922,0.0,0.0,143.6327
18,1,3,7413932,URMA_WRITE,7,0ns,18,,0.0,158.87336,0.0,0.0,373.3254
19,1,14,10226113,URMA_WRITE,7,0ns,19,,0.0,567.01612,0.0,0.0,144.2797
20,1,4,7669584,URMA_WRITE,7,0ns,20,,0.0,577.76282,0.0,0.0,106.197
21,1,13,9970460,URMA_WRITE,7,0ns,21,,0.0,566.6838,0.0,0.0,140.7552
22,1,5,7925237,URMA_WRITE,7,0ns,22,,0.0,554.8066,0.0,0.0,114.2775
23,1,12,9714807,URMA_WRITE,7,0ns,23,,0.0,581.32948,0.0,0.0,133.6909
24,1,6,8180890,URMA_WRITE,7,0ns,24,,0.0,529.61122,0.0,0.0,123.5758
25,1,11,9459154,URMA_WRITE,7,0ns,25,,0.0,581.57408,0.0,0.0,130.118
26,1,7,8436543,URMA_WRITE,7,0ns,26,,0.0,529.60872,0.0,0.0,127.4381
27,1,10,9203501,URMA_WRITE,7,0ns,27,,0.0,566.60024,0.0,0.0,129.947
28,1,8,8692196,URMA_WRITE,7,0ns,28,,0.0,577.91264,0.0,0.0,120.3254
29,1,9,8947849,URMA_WRITE,7,0ns,29,,0.0,563.75914,0.0,0.0,126.9741
30,2,1,10737418,URMA_WRITE,7,0ns,30,,0.0,221.41534,0.0,0.0,387.9557
31,2,3,7158279,URMA_WRITE,7,0ns,31,,0.0,153.44044,0.0,0.0,373.2147
32,2,0,10481765,URMA_WRITE,7,0ns,32,,0.0,216.28584,0.0,0.0,387.7005
33,2,4,7413932,URMA_WRITE,7,0ns,33,,0.0,514.32876,0.0,0.0,115.3182
34,2,15,10226113,URMA_WRITE,7,0ns,34,,0.0,580.82648,0.0,0.0,140.8491
35,2,5,7669584,URMA_WRITE,7,0ns,35,,0.0,563.38034,0.0,0.0,108.9081
36,2,14,9970460,URMA_WRITE,7,0ns,36,,0.0,556.15594,0.0,0.0,143.4196
37,2,6,7925237,URMA_WRITE,7,0ns,37,,0.0,551.92762,0.0,0.0,114.8736
38,2,13,9714807,URMA_WRITE,7,0ns,38,,0.0,565.5509,0.0,0.0,137.4208
39,2,7,8180890,URMA_WRITE,7,0ns,39,,0.0,548.7746,0.0,0.0,119.2605
40,2,12,9459154,URMA_WRITE,7,0ns,40,,0.0,581.0709,0.0,0.0,130.2306
41,2,8,8436543,URMA_WRITE,7,0ns,41,,0.0,577.91422,0.0,0.0,116.7861
42,2,11,9203501,URMA_WRITE,7,0ns,42,,0.0,581.21208,0.0,0.0,126.6801
43,2,9,8692196,URMA_WRITE,7,0ns,43,,0.0,563.43566,0.0,0.0,123.4171
44,2,10,8947849,URMA_WRITE,7,0ns,44,,0.0,557.3347,0.0,0.0,128.4377
45,3,2,10737418,URMA_WRITE,7,0ns,45,,0.0,221.41534,0.0,0.0,387.9557
46,3,4,7158279,URMA_WRITE,7,0ns,46,,0.0,578.7656,0.0,0.0,98.9455
