taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,10737418,URMA_WRITE,7,0ns,0,
1,0,1,7158279,URMA_WRITE,7,0ns,1,
2,0,14,10481765,URMA_WRITE,7,0ns,2,
3,0,2,7413932,URMA_WRITE,7,0ns,3,
4,0,13,10226113,URMA_WRITE,7,0ns,4,
5,0,3,7669584,URMA_WRITE,7,0ns,5,
6,0,12,9970460,URMA_WRITE,7,0ns,6,
7,0,4,7925237,URMA_WRITE,7,0ns,7,
8,0,11,9714807,URMA_WRITE,7,0ns,8,
9,0,5,8180890,URMA_WRITE,7,0ns,9,
10,0,10,9459154,URMA_WRITE,7,0ns,10,
11,0,6,8436543,URMA_WRITE,7,0ns,11,
12,0,9,9203501,URMA_WRITE,7,0ns,12,
13,0,7,8692196,URMA_WRITE,7,0ns,13,
14,0,8,8947849,URMA_WRITE,7,0ns,14,
15,1,0,10737418,URMA_WRITE,7,0ns,15,
16,1,2,7158279,URMA_WRITE,7,0ns,16,
17,1,15,10481765,URMA_WRITE,7,0ns,17,
18,1,3,7413932,URMA_WRITE,7,0ns,18,
19,1,14,10226113,URMA_WRITE,7,0ns,19,
20,1,4,7669584,URMA_WRITE,7,0ns,20,
21,1,13,9970460,URMA_WRITE,7,0ns,21,
22,1,5,7925237,URMA_WRITE,7,0ns,22,
23,1,12,9714807,URMA_WRITE,7,0ns,23,
24,1,6,8180890,URMA_WRITE,7,0ns,24,
25,1,11,9459154,URMA_WRITE,7,0ns,25,
26,1,7,8436543,URMA_WRITE,7,0ns,26,
27,1,10,9203501,URMA_WRITE,7,0ns,27,
28,1,8,8692196,URMA_WRITE,7,0ns,28,
29,1,9,8947849,URMA_WRITE,7,0ns,29,
30,2,1,10737418,URMA_WRITE,7,0ns,30,
31,2,3,7158279,URMA_WRITE,7,0ns,31,
32,2,0,10481765,URMA_WRITE,7,0ns,32,
33,2,4,7413932,URMA_WRITE,7,0ns,33,
34,2,15,10226113,URMA_WRITE,7,0ns,34,
35,2,5,7669584,URMA_WRITE,7,0ns,35,
36,2,14,9970460,URMA_WRITE,7,0ns,36,
37,2,6,7925237,URMA_WRITE,7,0ns,37,
38,2,13,9714807,URMA_WRITE,7,0ns,38,
39,2,7,8180890,URMA_WRITE,7,0ns,39,
40,2,12,9459154,URMA_WRITE,7,0ns,40,
41,2,8,8436543,URMA_WRITE,7,0ns,41,
42,2,11,9203501,URMA_WRITE,7,0ns,42,
43,2,9,8692196,URMA_WRITE,7,0ns,43,
44,2,10,8947849,URMA_WRITE,7,0ns,44,
45,3,2,10737418,URMA_WRITE,7,0ns,45,
46,3,4,7158279,URMA_WRITE,7,0ns,46,
47,3,1,10481765,URMA_WRITE,7,0ns,47,
48,3,5,7413932,URMA_WRITE,7,0ns,48,
49,3,0,10226113,URMA_WRITE,7,0ns,49,
50,3,6,7669584,URMA_WRITE,7,0ns,50,
51,3,15,9970460,URMA_WRITE,7,0ns,51,
52,3,7,7925237,URMA_WRITE,7,0ns,52,
53,3,14,9714807,URMA_WRITE,7,0ns,53,
54,3,8,8180890,URMA_WRITE,7,0ns,54,
55,3,13,9459154,URMA_WRITE,7,0ns,55,
56,3,9,8436543,URMA_WRITE,7,0ns,56,
57,3,12,9203501,URMA_WRITE,7,0ns,57,
58,3,10,8692196,URMA_WRITE,7,0ns,58,
59,3,11,8947849,URMA_WRITE,7,0ns,59,
60,4,3,10737418,URMA_WRITE,7,0ns,60,
61,4,5,7158279,URMA_WRITE,7,0ns,61,
62,4,2,10481765,URMA_WRITE,7,0ns,62,
63,4,6,7413932,URMA_WRITE,7,0ns,63,
64,4,1,10226113,URMA_WRITE,7,0ns,64,
65,4,7,7669584,URMA_WRITE,7,0ns,65,
66,4,0,9970460,URMA_WRITE,7,0ns,66,
67,4,8,7925237,URMA_WRITE,7,0ns,67,
68,4,15,9714807,URMA_WRITE,7,0ns,68,
69,4,9,8180890,URMA_WRITE,7,0ns,69,
70,4,14,9459154,URMA_WRITE,7,0ns,70,
71,4,10,8436543,URMA_WRITE,7,0ns,71,
72,4,13,9203501,URMA_WRITE,7,0ns,72,
73,4,11,8692196,URMA_WRITE,7,0ns,73,
74,4,12,8947849,URMA_WRITE,7,0ns,74,
75,5,4,10737418,URMA_WRITE,7,0ns,75,
76,5,6,7158279,URMA_WRITE,7,0ns,76,
77,5,3,10481765,URMA_WRITE,7,0ns,77,
78,5,7,7413932,URMA_WRITE,7,0ns,78,
79,5,2,10226113,URMA_WRITE,7,0ns,79,
80,5,8,7669584,URMA_WRITE,7,0ns,80,
81,5,1,9970460,URMA_WRITE,7,0ns,81,
82,5,9,7925237,URMA_WRITE,7,0ns,82,
83,5,0,9714807,URMA_WRITE,7,0ns,83,
84,5,10,8180890,URMA_WRITE,7,0ns,84,
85,5,15,9459154,URMA_WRITE,7,0ns,85,
86,5,11,8436543,URMA_WRITE,7,0ns,86,
87,5,14,9203501,URMA_WRITE,7,0ns,87,
88,5,12,8692196,URMA_WRITE,7,0ns,88,
89,5,13,8947849,URMA_WRITE,7,0ns,89,
90,6,5,10737418,URMA_WRITE,7,0ns,90,
91,6,7,7158279,URMA_WRITE,7,0ns,91,
92,6,4,10481765,URMA_WRITE,7,0ns,92,
93,6,8,7413932,URMA_WRITE,7,0ns,93,
94,6,3,10226113,URMA_WRITE,7,0ns,94,
95,6,9,7669584,URMA_WRITE,7,0ns,95,
96,6,2,9970460,URMA_WRITE,7,0ns,96,
97,6,10,7925237,URMA_WRITE,7,0ns,97,
98,6,1,9714807,URMA_WRITE,7,0ns,98,
99,6,11,8180890,URMA_WRITE,7,0ns,99,
100,6,0,9459154,URMA_WRITE,7,0ns,100,
101,6,12,8436543,URMA_WRITE,7,0ns,101,
102,6,15,9203501,URMA_WRITE,7,0ns,102,
103,6,13,8692196,URMA_WRITE,7,0ns,103,
104,6,14,8947849,URMA_WRITE,7,0ns,104,
105,7,6,10737418,URMA_WRITE,7,0ns,105,
106,7,8,7158279,URMA_WRITE,7,0ns,106,
107,7,5,10481765,URMA_WRITE,7,0ns,107,
108,7,9,7413932,URMA_WRITE,7,0ns,108,
109,7,4,10226113,URMA_WRITE,7,0ns,109,
110,7,10,7669584,URMA_WRITE,7,0ns,110,
111,7,3,9970460,URMA_WRITE,7,0ns,111,
112,7,11,7925237,URMA_WRITE,7,0ns,112,
113,7,2,9714807,URMA_WRITE,7,0ns,113,
114,7,12,8180890,URMA_WRITE,7,0ns,114,
115,7,1,9459154,URMA_WRITE,7,0ns,115,
116,7,13,8436543,URMA_WRITE,7,0ns,116,
117,7,0,9203501,URMA_WRITE,7,0ns,117,
118,7,14,8692196,URMA_WRITE,7,0ns,118,
119,7,15,8947849,URMA_WRITE,7,0ns,119,
