taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,4473924,URMA_WRITE,7,0ns,0,,0.0,91.2747,0.0,0.0,392.1283
1,0,4,6391320,URMA_WRITE,7,0ns,1,,0.0,132.57884,0.0,0.0,385.6615
2,0,5,7030452,URMA_WRITE,7,0ns,2,,0.0,146.21504,0.0,0.0,384.6637
3,0,6,7669584,URMA_WRITE,7,0ns,3,,0.0,159.54844,0.0,0.0,384.5645
4,0,7,8308716,URMA_WRITE,7,0ns,4,,0.0,172.71146,0.0,0.0,384.86
5,4,5,4473924,URMA_WRITE,7,0ns,5,,0.0,91.2747,0.0,0.0,392.1283
6,4,8,6391320,URMA_WRITE,7,0ns,6,,0.0,132.57884,0.0,0.0,385.6615
7,4,9,7030452,URMA_WRITE,7,0ns,7,,0.0,146.21504,0.0,0.0,384.6637
8,4,10,7669584,URMA_WRITE,7,0ns,8,,0.0,159.54844,0.0,0.0,384.5645
9,4,11,8308716,URMA_WRITE,7,0ns,9,,0.0,172.71146,0.0,0.0,384.86
10,8,9,4473924,URMA_WRITE,7,0ns,10,,0.0,91.2747,0.0,0.0,392.1283
11,8,12,6391320,URMA_WRITE,7,0ns,11,,0.0,132.57884,0.0,0.0,385.6615
12,8,13,7030452,URMA_WRITE,7,0ns,12,,0.0,146.21504,0.0,0.0,384.6637
13,8,14,7669584,URMA_WRITE,7,0ns,13,,0.0,159.54844,0.0,0.0,384.5645
14,8,15,8308716,URMA_WRITE,7,0ns,14,,0.0,172.71146,0.0,0.0,384.86
15,12,13,4473924,URMA_WRITE,7,0ns,15,,0.0,91.2747,0.0,0.0,392.1283
16,12,0,6391320,URMA_WRITE,7,0ns,16,,0.0,132.57884,0.0,0.0,385.6615
17,12,1,7030452,URMA_WRITE,7,0ns,17,,0.0,146.21504,0.0,0.0,384.6637
18,12,2,7669584,URMA_WRITE,7,0ns,18,,0.0,159.54844,0.0,0.0,384.5645
19,12,3,8308716,URMA_WRITE,7,0ns,19,,0.0,172.71146,0.0,0.0,384.86
20,1,2,4473924,URMA_WRITE,7,0ns,20,,0.0,91.2747,0.0,0.0,392.1283
21,1,7,7669584,URMA_WRITE,7,0ns,21,,0.0,159.54844,0.0,0.0,384.5645
22,1,4,5752188,URMA_WRITE,7,0ns,22,,0.0,119.72152,0.0,0.0,384.3712
23,1,5,6391320,URMA_WRITE,7,0ns,23,,0.0,132.57884,0.0,0.0,385.6615
24,1,6,7030452,URMA_WRITE,7,0ns,24,,0.0,146.21504,0.0,0.0,384.6637
25,5,6,4473924,URMA_WRITE,7,0ns,25,,0.0,91.2747,0.0,0.0,392.1283
26,5,11,7669584,URMA_WRITE,7,0ns,26,,0.0,159.54844,0.0,0.0,384.5645
27,5,8,5752188,URMA_WRITE,7,0ns,27,,0.0,119.72152,0.0,0.0,384.3712
28,5,9,6391320,URMA_WRITE,7,0ns,28,,0.0,132.57884,0.0,0.0,385.6615
29,5,10,7030452,URMA_WRITE,7,0ns,29,,0.0,146.21504,0.0,0.0,384.6637
30,9,10,4473924,URMA_WRITE,7,0ns,30,,0.0,91.2747,0.0,0.0,392.1283
31,9,15,7669584,URMA_WRITE,7,0ns,31,,0.0,159.54844,0.0,0.0,384.5645
32,9,12,5752188,URMA_WRITE,7,0ns,32,,0.0,119.72152,0.0,0.0,384.3712
33,9,13,6391320,URMA_WRITE,7,0ns,33,,0.0,132.57884,0.0,0.0,385.6615
34,9,14,7030452,URMA_WRITE,7,0ns,34,,0.0,146.21504,0.0,0.0,384.6637
35,13,14,4473924,URMA_WRITE,7,0ns,35,,0.0,91.2747,0.0,0.0,392.1283
36,13,3,7669584,URMA_WRITE,7,0ns,36,,0.0,159.54844,0.0,0.0,384.5645
37,13,0,5752188,URMA_WRITE,7,0ns,37,,0.0,119.72152,0.0,0.0,384.3712
38,13,1,6391320,URMA_WRITE,7,0ns,38,,0.0,132.57884,0.0,0.0,385.6615
39,13,2,7030452,URMA_WRITE,7,0ns,39,,0.0,146.21504,0.0,0.0,384.6637
40,2,3,4473924,URMA_WRITE,7,0ns,40,,0.0,91.2747,0.0,0.0,392.1283
41,2,6,6391320,URMA_WRITE,7,0ns,41,,0.0,132.57884,0.0,0.0,385.6615
42,2,7,7030452,URMA_WRITE,7,0ns,42,,0.0,146.21504,0.0,0.0,384.6637
43,2,4,5113056,URMA_WRITE,7,0ns,43,,0.0,106.47742,0.0,0.0,384.1608
44,2,5,5752188,URMA_WRITE,7,0ns,44,,0.0,119.72152,0.0,0.0,384.3712
45,6,7,4473924,URMA_WRITE,7,0ns,45,,0.0,91.2747,0.0,0.0,392.1283
46,6,10,6391320,URMA_WRITE,7,0ns,46,,0.0,132.57884,0.0,0.0,385.6615
47,6,11,7030452,URMA_WRITE,7,0ns,47,,0.0,146.21504,0.0,0.0,384.6637
48,6,8,5113056,URMA_WRITE,7,0ns,48,,0.0,106.47742,0.0,0.0,384.1608
49,6,9,5752188,URMA_WRITE,7,0ns,49,,0.0,119.72152,0.0,0.0,384.3712
50,10,11,4473924,URMA_WRITE,7,0ns,50,,0.0,91.2747,0.0,0.0,392.1283
51,10,14,6391320,URMA_WRITE,7,0ns,51,,0.0,132.57884,0.0,0.0,385.6615
52,10,15,7030452,URMA_WRITE,7,0ns,52,,0.0,146.21504,0.0,0.0,384.6637
53,10,12,5113056,URMA_WRITE,7,0ns,53,,0.0,106.47742,0.0,0.0,384.1608
54,10,13,5752188,URMA_WRITE,7,0ns,54,,0.0,119.72152,0.0,0.0,384.3712
55,14,15,4473924,URMA_WRITE,7,0ns,55,,0.0,91.2747,0.0,0.0,392.1283
56,14,2,6391320,URMA_WRITE,7,0ns,56,,0.0,132.57884,0.0,0.0,385.6615
57,14,3,7030452,URMA_WRITE,7,0ns,57,,0.0,146.21504,0.0,0.0,384.6637
