taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1,URMA_WRITE,7,0ns,0,,0.0,4.01434,0.0,0.0,0.002
1,1,2,1,URMA_WRITE,7,0ns,1,,0.0,4.01434,0.0,0.0,0.002
2,2,3,1,URMA_WRITE,7,0ns,2,,0.0,4.01434,0.0,0.0,0.002
3,3,0,15339169,URMA_WRITE,7,0ns,3,,0.0,313.76912,0.0,0.0,391.0944
4,4,5,1,URMA_WRITE,7,0ns,4,,0.0,4.01434,0.0,0.0,0.002
5,5,6,1,URMA_WRITE,7,0ns,5,,0.0,4.01434,0.0,0.0,0.002
6,6,7,1,URMA_WRITE,7,0ns,6,,0.0,4.01434,0.0,0.0,0.002
7,7,4,15339169,URMA_WRITE,7,0ns,7,,0.0,313.76912,0.0,0.0,391.0944
8,8,9,1,URMA_WRITE,7,0ns,8,,0.0,4.01434,0.0,0.0,0.002
9,9,10,1,URMA_WRITE,7,0ns,9,,0.0,4.01434,0.0,0.0,0.002
10,10,11,1,URMA_WRITE,7,0ns,10,,0.0,4.01434,0.0,0.0,0.002
11,11,8,15339169,URMA_WRITE,7,0ns,11,,0.0,313.76912,0.0,0.0,391.0944
12,12,13,1,URMA_WRITE,7,0ns,12,,0.0,4.01434,0.0,0.0,0.002
13,13,14,1,URMA_WRITE,7,0ns,13,,0.0,4.01434,0.0,0.0,0.002
14,14,15,1,URMA_WRITE,7,0ns,14,,0.0,4.01434,0.0,0.0,0.002
15,15,12,15339169,URMA_WRITE,7,0ns,15,,0.0,313.76912,0.0,0.0,391.0944
16,0,2,1278264,URMA_WRITE,7,0ns,16,,0.0,31.17444,0.0,0.0,328.0287
17,1,3,1278264,URMA_WRITE,7,0ns,17,,0.0,31.17444,0.0,0.0,328.0287
18,2,0,16617433,URMA_WRITE,7,0ns,18,,0.0,339.42264,0.0,0.0,391.6635
19,3,1,16617433,URMA_WRITE,7,0ns,19,,0.0,339.42264,0.0,0.0,391.6635
20,4,6,1278264,URMA_WRITE,7,0ns,20,,0.0,31.17444,0.0,0.0,328.0287
21,5,7,1278264,URMA_WRITE,7,0ns,21,,0.0,31.17444,0.0,0.0,328.0287
22,6,4,16617433,URMA_WRITE,7,0ns,22,,0.0,339.42264,0.0,0.0,391.6635
23,7,5,16617433,URMA_WRITE,7,0ns,23,,0.0,339.42264,0.0,0.0,391.6635
24,8,10,1278264,URMA_WRITE,7,0ns,24,,0.0,31.17444,0.0,0.0,328.0287
25,9,11,1278264,URMA_WRITE,7,0ns,25,,0.0,31.17444,0.0,0.0,328.0287
26,10,8,16617433,URMA_WRITE,7,0ns,26,,0.0,339.42264,0.0,0.0,391.6635
27,11,9,16617433,URMA_WRITE,7,0ns,27,,0.0,339.42264,0.0,0.0,391.6635
28,12,14,1278264,URMA_WRITE,7,0ns,28,,0.0,31.17444,0.0,0.0,328.0287
29,13,15,1278264,URMA_WRITE,7,0ns,29,,0.0,31.17444,0.0,0.0,328.0287
30,14,12,16617433,URMA_WRITE,7,0ns,30,,0.0,339.42264,0.0,0.0,391.6635
31,15,13,16617433,URMA_WRITE,7,0ns,31,,0.0,339.42264,0.0,0.0,391.6635
32,0,3,2556528,URMA_WRITE,7,0ns,32,,0.0,58.33612,0.0,0.0,350.5928
33,1,0,17895696,URMA_WRITE,7,0ns,33,,0.0,365.07804,0.0,0.0,392.1506
34,2,1,17895696,URMA_WRITE,7,0ns,34,,0.0,365.07804,0.0,0.0,392.1506
35,3,2,17895696,URMA_WRITE,7,0ns,35,,0.0,365.07804,0.0,0.0,392.1506
36,4,7,2556528,URMA_WRITE,7,0ns,36,,0.0,58.33612,0.0,0.0,350.5928
37,5,4,17895696,URMA_WRITE,7,0ns,37,,0.0,365.07804,0.0,0.0,392.1506
38,6,5,17895696,URMA_WRITE,7,0ns,38,,0.0,365.07804,0.0,0.0,392.1506
39,7,6,17895696,URMA_WRITE,7,0ns,39,,0.0,365.07804,0.0,0.0,392.1506
40,8,11,2556528,URMA_WRITE,7,0ns,40,,0.0,58.33612,0.0,0.0,350.5928
41,9,8,17895696,URMA_WRITE,7,0ns,41,,0.0,365.07804,0.0,0.0,392.1506
42,10,9,17895696,URMA_WRITE,7,0ns,42,,0.0,365.07804,0.0,0.0,392.1506
43,11,10,17895696,URMA_WRITE,7,0ns,43,,0.0,365.07804,0.0,0.0,392.1506
44,12,15,2556528,URMA_WRITE,7,0ns,44,,0.0,58.33612,0.0,0.0,350.5928
45,13,12,17895696,URMA_WRITE,7,0ns,45,,0.0,365.07804,0.0,0.0,392.1506
46,14,13,17895696,URMA_WRITE,7,0ns,46,,0.0,365.07804,0.0,0.0,392.1506
47,15,14,17895696,URMA_WRITE,7,0ns,47,,0.0,365.07804,0.0,0.0,392.1506
48,0,12,14060905,URMA_WRITE,7,0ns,48,,0.0,401.64946,0.0,0.0,280.0632
49,1,13,14060905,URMA_WRITE,7,0ns,49,,0.0,401.64946,0.0,0.0,280.0632
50,2,14,14060905,URMA_WRITE,7,0ns,50,,0.0,401.64946,0.0,0.0,280.0632
51,3,15,14060905,URMA_WRITE,7,0ns,51,,0.0,401.76946,0.0,0.0,279.9796
52,4,8,3834792,URMA_WRITE,7,0ns,52,,0.0,84.24698,0.0,0.0,364.1476
53,5,9,3834792,URMA_WRITE,7,0ns,53,,0.0,84.24698,0.0,0.0,364.1476
54,6,10,3834792,URMA_WRITE,7,0ns,54,,0.0,84.24698,0.0,0.0,364.1476
55,7,11,3834792,URMA_WRITE,7,0ns,55,,0.0,84.24698,0.0,0.0,364.1476
56,8,4,14060905,URMA_WRITE,7,0ns,56,,0.0,394.09078,0.0,0.0,285.4348
57,9,5,14060905,URMA_WRITE,7,0ns,57,,0.0,401.65024,0.0,0.0,280.0627
58,10,6,14060905,URMA_WRITE,7,0ns,58,,0.0,401.65024,0.0,0.0,280.0627
59,11,7,14060905,URMA_WRITE,7,0ns,59,,0.0,401.65024,0.0,0.0,280.0627
60,12,0,3834792,URMA_WRITE,7,0ns,60,,0.0,84.24658,0.0,0.0,364.1493
61,13,1,3834792,URMA_WRITE,7,0ns,61,,0.0,84.24658,0.0,0.0,364.1493
62,14,2,3834792,URMA_WRITE,7,0ns,62,,0.0,84.24658,0.0,0.0,364.1493
63,15,3,3834792,URMA_WRITE,7,0ns,63,,0.0,84.24658,0.0,0.0,364.1493
64,0,8,8947849,URMA_WRITE,7,0ns,64,,0.0,185.58184,0.0,0.0,385.7209
65,1,9,8947849,URMA_WRITE,7,0ns,65,,0.0,185.58184,0.0,0.0,385.7209
66,2,10,8947849,URMA_WRITE,7,0ns,66,,0.0,185.58184,0.0,0.0,385.7209
67,3,11,8947849,URMA_WRITE,7,0ns,67,,0.0,185.58184,0.0,0.0,385.7209
68,4,12,8947849,URMA_WRITE,7,0ns,68,,0.0,185.58184,0.0,0.0,385.7209
69,5,13,8947849,URMA_WRITE,7,0ns,69,,0.0,185.58184,0.0,0.0,385.7209
70,6,14,8947849,URMA_WRITE,7,0ns,70,,0.0,185.58184,0.0,0.0,385.7209
71,7,15,8947849,URMA_WRITE,7,0ns,71,,0.0,185.58184,0.0,0.0,385.7209
72,8,0,8947849,URMA_WRITE,7,0ns,72,,0.0,185.58064,0.0,0.0,385.7234
73,9,1,8947849,URMA_WRITE,7,0ns,73,,0.0,185.58064,0.0,0.0,385.7234
74,10,2,8947849,URMA_WRITE,7,0ns,74,,0.0,185.58064,0.0,0.0,385.7234
75,11,3,8947849,URMA_WRITE,7,0ns,75,,0.0,185.58064,0.0,0.0,385.7234
76,12,4,8947849,URMA_WRITE,7,0ns,76,,0.0,185.58064,0.0,0.0,385.7234
77,13,5,8947849,URMA_WRITE,7,0ns,77,,0.0,185.58064,0.0,0.0,385.7234
78,14,6,8947849,URMA_WRITE,7,0ns,78,,0.0,185.58064,0.0,0.0,385.7234
79,15,7,8947849,URMA_WRITE,7,0ns,79,,0.0,185.58064,0.0,0.0,385.7234
80,0,4,3834792,URMA_WRITE,7,0ns,80,,0.0,84.24698,0.0,0.0,364.1476
81,1,5,3834792,URMA_WRITE,7,0ns,81,,0.0,84.24698,0.0,0.0,364.1476
82,2,6,3834792,URMA_WRITE,7,0ns,82,,0.0,84.24698,0.0,0.0,364.1476
83,3,7,3834792,URMA_WRITE,7,0ns,83,,0.0,84.24698,0.0,0.0,364.1476
84,4,0,14060905,URMA_WRITE,7,0ns,84,,0.0,291.86712,0.0,0.0,385.4057
85,5,1,14060905,URMA_WRITE,7,0ns,85,,0.0,291.86712,0.0,0.0,385.4057
86,6,2,14060905,URMA_WRITE,7,0ns,86,,0.0,291.86712,0.0,0.0,385.4057
87,7,3,14060905,URMA_WRITE,7,0ns,87,,0.0,291.86712,0.0,0.0,385.4057
88,8,12,3834792,URMA_WRITE,7,0ns,88,,0.0,84.24698,0.0,0.0,364.1476
89,9,13,3834792,URMA_WRITE,7,0ns,89,,0.0,84.24698,0.0,0.0,364.1476
90,10,14,3834792,URMA_WRITE,7,0ns,90,,0.0,84.24698,0.0,0.0,364.1476
91,11,15,3834792,URMA_WRITE,7,0ns,91,,0.0,84.24698,0.0,0.0,364.1476
92,12,8,14060905,URMA_WRITE,7,0ns,92,,0.0,291.86712,0.0,0.0,385.4057
93,13,9,14060905,URMA_WRITE,7,0ns,93,,0.0,291.86712,0.0,0.0,385.4057
94,14,10,14060905,URMA_WRITE,7,0ns,94,,0.0,291.86712,0.0,0.0,385.4057
95,15,11,14060905,URMA_WRITE,7,0ns,95,,0.0,291.86712,0.0,0.0,385.4057
96,0,13,15339169,URMA_WRITE,7,0ns,96,,0.0,500.77478,0.0,0.0,245.047
97,1,14,15339169,URMA_WRITE,7,0ns,97,,0.0,390.21314,0.0,0.0,314.4778
98,2,15,15339169,URMA_WRITE,7,0ns,98,,0.0,390.2466,0.0,0.0,314.4508
99,3,12,10226113,URMA_WRITE,7,0ns,99,,0.0,338.47376,0.0,0.0,241.6994
100,4,9,5113056,URMA_WRITE,7,0ns,100,,0.0,210.89278,0.0,0.0,193.9585
101,5,10,5113056,URMA_WRITE,7,0ns,101,,0.0,210.89278,0.0,0.0,193.9585
102,6,11,5113056,URMA_WRITE,7,0ns,102,,0.0,111.40906,0.0,0.0,367.1555
103,7,8,1,URMA_WRITE,7,0ns,103,,0.0,4.09982,0.0,0.0,0.002
104,8,7,17895696,URMA_WRITE,7,0ns,104,,0.0,548.5906,0.0,0.0,260.9698
105,9,4,12782641,URMA_WRITE,7,0ns,105,,0.0,394.85974,0.0,0.0,258.9809
106,10,5,12782641,URMA_WRITE,7,0ns,106,,0.0,394.1756,0.0,0.0,259.4304
107,11,6,12782641,URMA_WRITE,7,0ns,107,,0.0,264.36082,0.0,0.0,386.8241
108,12,3,7669584,URMA_WRITE,7,0ns,108,,0.0,263.87824,0.0,0.0,232.5189
109,13,0,2556528,URMA_WRITE,7,0ns,109,,0.0,160.41484,0.0,0.0,127.4958
110,14,1,2556528,URMA_WRITE,7,0ns,110,,0.0,58.4224,0.0,0.0,350.075
111,15,2,2556528,URMA_WRITE,7,0ns,111,,0.0,58.4224,0.0,0.0,350.075
112,0,9,10226113,URMA_WRITE,7,0ns,112,48.0,401.64946,848.61278,0.0,0.0,183.0327
113,1,10,10226113,URMA_WRITE,7,0ns,113,49.0,401.64946,802.23334,0.0,0.0,204.2242
114,2,11,10226113,URMA_WRITE,7,0ns,114,50.0,401.64946,764.34052,0.0,0.0,225.5609
115,3,8,5113056,URMA_WRITE,7,0ns,115,51.0,401.76946,589.43464,0.0,0.0,217.965
116,4,15,12782641,URMA_WRITE,7,0ns,116,52.0,84.24698,552.44772,0.0,0.0,218.413
117,5,12,7669584,URMA_WRITE,7,0ns,117,53.0,84.24698,471.2034,0.0,0.0,158.5622
118,6,13,7669584,URMA_WRITE,7,0ns,118,54.0,84.24698,471.2034,0.0,0.0,158.5622
119,7,14,7669584,URMA_WRITE,7,0ns,119,55.0,84.24698,471.2034,0.0,0.0,158.5622
120,8,3,12782641,URMA_WRITE,7,0ns,120,56.0,394.09078,852.55264,0.0,0.0,223.0526
121,9,0,7669584,URMA_WRITE,7,0ns,121,57.0,401.65024,800.71508,0.0,0.0,153.7511
122,10,1,7669584,URMA_WRITE,7,0ns,122,58.0,401.65024,802.48328,0.0,0.0,153.0729
123,11,2,7669584,URMA_WRITE,7,0ns,123,59.0,401.65024,689.76554,0.0,0.0,212.9587
124,12,5,10226113,URMA_WRITE,7,0ns,124,60.0,84.24658,500.65502,0.0,0.0,196.4631
