taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,6934583,URMA_WRITE,7,0ns,0,
1,1,2,6934583,URMA_WRITE,7,0ns,1,
2,2,3,6934583,URMA_WRITE,7,0ns,2,
3,3,0,9618937,URMA_WRITE,7,0ns,3,
4,4,5,6934583,URMA_WRITE,7,0ns,4,
5,5,6,6934583,URMA_WRITE,7,0ns,5,
6,6,7,6934583,URMA_WRITE,7,0ns,6,
7,7,4,9618937,URMA_WRITE,7,0ns,7,
8,8,9,6934583,URMA_WRITE,7,0ns,8,
9,9,10,6934583,URMA_WRITE,7,0ns,9,
10,10,11,6934583,URMA_WRITE,7,0ns,10,
11,11,8,9618937,URMA_WRITE,7,0ns,11,
12,12,13,6934583,URMA_WRITE,7,0ns,12,
13,13,14,6934583,URMA_WRITE,7,0ns,13,
14,14,15,6934583,URMA_WRITE,7,0ns,14,
15,15,12,9618937,URMA_WRITE,7,0ns,15,
16,0,2,7158279,URMA_WRITE,7,0ns,16,
17,1,3,7158279,URMA_WRITE,7,0ns,17,
18,2,0,9842633,URMA_WRITE,7,0ns,18,
19,3,1,9842633,URMA_WRITE,7,0ns,19,
20,4,6,7158279,URMA_WRITE,7,0ns,20,
21,5,7,7158279,URMA_WRITE,7,0ns,21,
22,6,4,9842633,URMA_WRITE,7,0ns,22,
23,7,5,9842633,URMA_WRITE,7,0ns,23,
24,8,10,7158279,URMA_WRITE,7,0ns,24,
25,9,11,7158279,URMA_WRITE,7,0ns,25,
26,10,8,9842633,URMA_WRITE,7,0ns,26,
27,11,9,9842633,URMA_WRITE,7,0ns,27,
28,12,14,7158279,URMA_WRITE,7,0ns,28,
29,13,15,7158279,URMA_WRITE,7,0ns,29,
30,14,12,9842633,URMA_WRITE,7,0ns,30,
31,15,13,9842633,URMA_WRITE,7,0ns,31,
32,0,3,7381975,URMA_WRITE,7,0ns,32,
33,1,0,10066330,URMA_WRITE,7,0ns,33,
34,2,1,10066330,URMA_WRITE,7,0ns,34,
35,3,2,10066330,URMA_WRITE,7,0ns,35,
36,4,7,7381975,URMA_WRITE,7,0ns,36,
37,5,4,10066330,URMA_WRITE,7,0ns,37,
38,6,5,10066330,URMA_WRITE,7,0ns,38,
39,7,6,10066330,URMA_WRITE,7,0ns,39,
40,8,11,7381975,URMA_WRITE,7,0ns,40,
41,9,8,10066330,URMA_WRITE,7,0ns,41,
42,10,9,10066330,URMA_WRITE,7,0ns,42,
43,11,10,10066330,URMA_WRITE,7,0ns,43,
44,12,15,7381975,URMA_WRITE,7,0ns,44,
45,13,12,10066330,URMA_WRITE,7,0ns,45,
46,14,13,10066330,URMA_WRITE,7,0ns,46,
47,15,14,10066330,URMA_WRITE,7,0ns,47,
48,0,12,9395241,URMA_WRITE,7,0ns,48,
49,1,13,9395241,URMA_WRITE,7,0ns,48,
50,2,14,9395241,URMA_WRITE,7,0ns,48,
51,3,15,9395241,URMA_WRITE,7,0ns,48,
52,4,8,7605671,URMA_WRITE,7,0ns,48,
53,5,9,7605671,URMA_WRITE,7,0ns,48,
54,6,10,7605671,URMA_WRITE,7,0ns,48,
55,7,11,7605671,URMA_WRITE,7,0ns,48,
56,8,4,9395241,URMA_WRITE,7,0ns,48,
57,9,5,9395241,URMA_WRITE,7,0ns,48,
58,10,6,9395241,URMA_WRITE,7,0ns,48,
59,11,7,9395241,URMA_WRITE,7,0ns,48,
60,12,0,7605671,URMA_WRITE,7,0ns,48,
61,13,1,7605671,URMA_WRITE,7,0ns,48,
62,14,2,7605671,URMA_WRITE,7,0ns,48,
63,15,3,7605671,URMA_WRITE,7,0ns,48,
64,0,9,8724152,URMA_WRITE,7,0ns,49,
65,1,8,8276760,URMA_WRITE,7,0ns,49,
66,2,11,8724152,URMA_WRITE,7,0ns,49,
67,3,10,8276760,URMA_WRITE,7,0ns,49,
68,4,13,8724152,URMA_WRITE,7,0ns,49,
69,5,12,8276760,URMA_WRITE,7,0ns,49,
70,6,15,8724152,URMA_WRITE,7,0ns,49,
71,7,14,8276760,URMA_WRITE,7,0ns,49,
72,8,1,8724152,URMA_WRITE,7,0ns,49,
73,9,0,8276760,URMA_WRITE,7,0ns,49,
74,10,3,8724152,URMA_WRITE,7,0ns,49,
75,11,2,8276760,URMA_WRITE,7,0ns,49,
76,12,5,8724152,URMA_WRITE,7,0ns,49,
77,13,4,8276760,URMA_WRITE,7,0ns,49,
78,14,7,8724152,URMA_WRITE,7,0ns,49,
79,15,6,8276760,URMA_WRITE,7,0ns,49,
80,0,6,8053064,URMA_WRITE,7,0ns,50,
81,1,7,8053064,URMA_WRITE,7,0ns,50,
82,2,4,7158279,URMA_WRITE,7,0ns,50,
83,3,5,7158279,URMA_WRITE,7,0ns,50,
84,4,2,9842633,URMA_WRITE,7,0ns,50,
85,5,3,9842633,URMA_WRITE,7,0ns,50,
86,6,0,8947849,URMA_WRITE,7,0ns,50,
87,7,1,8947849,URMA_WRITE,7,0ns,50,
88,8,14,8053064,URMA_WRITE,7,0ns,50,
89,9,15,8053064,URMA_WRITE,7,0ns,50,
90,10,12,7158279,URMA_WRITE,7,0ns,50,
91,11,13,7158279,URMA_WRITE,7,0ns,50,
92,12,10,9842633,URMA_WRITE,7,0ns,50,
93,13,11,9842633,URMA_WRITE,7,0ns,50,
94,14,8,8947849,URMA_WRITE,7,0ns,50,
95,15,9,8947849,URMA_WRITE,7,0ns,50,
96,0,15,10066330,URMA_WRITE,7,0ns,51,
97,1,14,9618937,URMA_WRITE,7,0ns,51,
98,2,13,9171545,URMA_WRITE,7,0ns,51,
99,3,12,8724152,URMA_WRITE,7,0ns,51,
100,4,11,8276760,URMA_WRITE,7,0ns,51,
101,5,10,7829367,URMA_WRITE,7,0ns,51,
102,6,9,7381975,URMA_WRITE,7,0ns,51,
103,7,8,6934583,URMA_WRITE,7,0ns,51,
104,8,7,10066330,URMA_WRITE,7,0ns,51,
105,9,6,9618937,URMA_WRITE,7,0ns,51,
106,10,5,9171545,URMA_WRITE,7,0ns,51,
