taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,2097152,URMA_WRITE,1,0ns,0,,0.0,473.82426,0.0,0.0,35.4081
1,0,15,2097152,URMA_WRITE,2,0ns,1,,0.0,473.82426,0.0,0.0,35.4081
2,0,15,2097152,URMA_WRITE,3,0ns,2,,0.0,473.82426,0.0,0.0,35.4081
3,0,15,2097152,URMA_WRITE,4,0ns,3,,0.0,473.82426,0.0,0.0,35.4081
4,0,1,8388608,URMA_WRITE,1,0ns,4,,0.0,173.897,0.0,0.0,385.9116
5,0,14,2097152,URMA_WRITE,1,0ns,5,,0.0,473.74078,0.0,0.0,35.4143
6,0,14,2097152,URMA_WRITE,2,0ns,6,,0.0,473.74078,0.0,0.0,35.4143
7,0,14,2097152,URMA_WRITE,3,0ns,7,,0.0,473.74078,0.0,0.0,35.4143
8,0,14,2097152,URMA_WRITE,4,0ns,8,,0.0,473.74078,0.0,0.0,35.4143
9,0,2,8388608,URMA_WRITE,1,0ns,9,,0.0,173.897,0.0,0.0,385.9116
10,0,13,2097152,URMA_WRITE,1,0ns,10,,0.0,473.6573,0.0,0.0,35.4206
11,0,13,2097152,URMA_WRITE,2,0ns,11,,0.0,473.6573,0.0,0.0,35.4206
12,0,13,2097152,URMA_WRITE,3,0ns,12,,0.0,473.6573,0.0,0.0,35.4206
13,0,13,2097152,URMA_WRITE,4,0ns,13,,0.0,473.6573,0.0,0.0,35.4206
14,0,3,8388608,URMA_WRITE,1,0ns,14,,0.0,173.897,0.0,0.0,385.9116
15,0,12,2097152,URMA_WRITE,1,0ns,15,,0.0,473.57382,0.0,0.0,35.4268
16,0,12,2097152,URMA_WRITE,2,0ns,16,,0.0,473.57382,0.0,0.0,35.4268
17,0,12,2097152,URMA_WRITE,3,0ns,17,,0.0,473.57382,0.0,0.0,35.4268
18,0,12,2097152,URMA_WRITE,4,0ns,18,,0.0,473.57382,0.0,0.0,35.4268
19,0,4,2097152,URMA_WRITE,1,0ns,19,,0.0,514.15952,0.0,0.0,32.6304
20,0,4,2097152,URMA_WRITE,2,0ns,20,,0.0,514.15952,0.0,0.0,32.6304
21,0,4,2097152,URMA_WRITE,3,0ns,21,,0.0,514.15952,0.0,0.0,32.6304
22,0,4,2097152,URMA_WRITE,4,0ns,22,,0.0,514.15952,0.0,0.0,32.6304
23,0,11,2097152,URMA_WRITE,1,0ns,23,,0.0,473.49034,0.0,0.0,35.4331
24,0,11,2097152,URMA_WRITE,2,0ns,24,,0.0,473.49034,0.0,0.0,35.4331
25,0,11,2097152,URMA_WRITE,3,0ns,25,,0.0,473.49034,0.0,0.0,35.4331
26,0,11,2097152,URMA_WRITE,4,0ns,26,,0.0,473.49034,0.0,0.0,35.4331
27,0,5,2097152,URMA_WRITE,1,0ns,27,,0.0,472.98946,0.0,0.0,35.4706
