taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,4753545,URMA_WRITE,7,0ns,0,
1,1,2,4753545,URMA_WRITE,7,0ns,1,
2,2,3,4753545,URMA_WRITE,7,0ns,2,
3,3,0,11464431,URMA_WRITE,7,0ns,3,
4,4,5,4753545,URMA_WRITE,7,0ns,4,
5,5,6,4753545,URMA_WRITE,7,0ns,5,
6,6,7,4753545,URMA_WRITE,7,0ns,6,
7,7,4,11464431,URMA_WRITE,7,0ns,7,
8,8,9,4753545,URMA_WRITE,7,0ns,8,
9,9,10,4753545,URMA_WRITE,7,0ns,9,
10,10,11,4753545,URMA_WRITE,7,0ns,10,
11,11,8,11464431,URMA_WRITE,7,0ns,11,
12,12,13,4753545,URMA_WRITE,7,0ns,12,
13,13,14,4753545,URMA_WRITE,7,0ns,13,
14,14,15,4753545,URMA_WRITE,7,0ns,14,
15,15,12,11464431,URMA_WRITE,7,0ns,15,
16,0,2,5312785,URMA_WRITE,7,0ns,16,
17,1,3,5312785,URMA_WRITE,7,0ns,17,
18,2,0,12023671,URMA_WRITE,7,0ns,18,
19,3,1,12023671,URMA_WRITE,7,0ns,19,
20,4,6,5312785,URMA_WRITE,7,0ns,20,
21,5,7,5312785,URMA_WRITE,7,0ns,21,
22,6,4,12023671,URMA_WRITE,7,0ns,22,
23,7,5,12023671,URMA_WRITE,7,0ns,23,
24,8,10,5312785,URMA_WRITE,7,0ns,24,
25,9,11,5312785,URMA_WRITE,7,0ns,25,
26,10,8,12023671,URMA_WRITE,7,0ns,26,
27,11,9,12023671,URMA_WRITE,7,0ns,27,
28,12,14,5312785,URMA_WRITE,7,0ns,28,
29,13,15,5312785,URMA_WRITE,7,0ns,29,
30,14,12,12023671,URMA_WRITE,7,0ns,30,
31,15,13,12023671,URMA_WRITE,7,0ns,31,
32,0,3,5872026,URMA_WRITE,7,0ns,32,
33,1,0,12582912,URMA_WRITE,7,0ns,33,
34,2,1,12582912,URMA_WRITE,7,0ns,34,
35,3,2,12582912,URMA_WRITE,7,0ns,35,
36,4,7,5872026,URMA_WRITE,7,0ns,36,
37,5,4,12582912,URMA_WRITE,7,0ns,37,
38,6,5,12582912,URMA_WRITE,7,0ns,38,
39,7,6,12582912,URMA_WRITE,7,0ns,39,
40,8,11,5872026,URMA_WRITE,7,0ns,40,
41,9,8,12582912,URMA_WRITE,7,0ns,41,
42,10,9,12582912,URMA_WRITE,7,0ns,42,
43,11,10,12582912,URMA_WRITE,7,0ns,43,
44,12,15,5872026,URMA_WRITE,7,0ns,44,
45,13,12,12582912,URMA_WRITE,7,0ns,45,
46,14,13,12582912,URMA_WRITE,7,0ns,46,
47,15,14,12582912,URMA_WRITE,7,0ns,47,
48,0,12,10905190,URMA_WRITE,7,0ns,48,
49,1,13,10905190,URMA_WRITE,7,0ns,48,
50,2,14,10905190,URMA_WRITE,7,0ns,48,
51,3,15,10905190,URMA_WRITE,7,0ns,48,
52,4,8,6431266,URMA_WRITE,7,0ns,48,
53,5,9,6431266,URMA_WRITE,7,0ns,48,
54,6,10,6431266,URMA_WRITE,7,0ns,48,
55,7,11,6431266,URMA_WRITE,7,0ns,48,
56,8,4,10905190,URMA_WRITE,7,0ns,48,
57,9,5,10905190,URMA_WRITE,7,0ns,48,
58,10,6,10905190,URMA_WRITE,7,0ns,48,
59,11,7,10905190,URMA_WRITE,7,0ns,48,
60,12,0,6431266,URMA_WRITE,7,0ns,48,
61,13,1,6431266,URMA_WRITE,7,0ns,48,
62,14,2,6431266,URMA_WRITE,7,0ns,48,
63,15,3,6431266,URMA_WRITE,7,0ns,48,
64,0,9,9227469,URMA_WRITE,7,0ns,48,
65,1,8,8108988,URMA_WRITE,7,0ns,48,
66,2,11,9227469,URMA_WRITE,7,0ns,48,
67,3,10,8108988,URMA_WRITE,7,0ns,48,
68,4,13,9227469,URMA_WRITE,7,0ns,48,
69,5,12,8108988,URMA_WRITE,7,0ns,48,
70,6,15,9227469,URMA_WRITE,7,0ns,48,
71,7,14,8108988,URMA_WRITE,7,0ns,48,
72,8,1,9227469,URMA_WRITE,7,0ns,48,
73,9,0,8108988,URMA_WRITE,7,0ns,48,
74,10,3,9227469,URMA_WRITE,7,0ns,48,
75,11,2,8108988,URMA_WRITE,7,0ns,48,
76,12,5,9227469,URMA_WRITE,7,0ns,48,
77,13,4,8108988,URMA_WRITE,7,0ns,48,
78,14,7,9227469,URMA_WRITE,7,0ns,48,
79,15,6,8108988,URMA_WRITE,7,0ns,48,
80,0,6,7549747,URMA_WRITE,7,0ns,48,
81,1,7,7549747,URMA_WRITE,7,0ns,48,
82,2,4,5312785,URMA_WRITE,7,0ns,48,
83,3,5,5312785,URMA_WRITE,7,0ns,48,
84,4,2,12023671,URMA_WRITE,7,0ns,48,
85,5,3,12023671,URMA_WRITE,7,0ns,48,
86,6,0,9786709,URMA_WRITE,7,0ns,48,
87,7,1,9786709,URMA_WRITE,7,0ns,48,
88,8,14,7549747,URMA_WRITE,7,0ns,48,
89,9,15,7549747,URMA_WRITE,7,0ns,48,
90,10,12,5312785,URMA_WRITE,7,0ns,48,
91,11,13,5312785,URMA_WRITE,7,0ns,48,
92,12,10,12023671,URMA_WRITE,7,0ns,48,
93,13,11,12023671,URMA_WRITE,7,0ns,48,
94,14,8,9786709,URMA_WRITE,7,0ns,48,
95,15,9,9786709,URMA_WRITE,7,0ns,48,
96,0,15,12582912,URMA_WRITE,7,0ns,48,
97,1,14,11464431,URMA_WRITE,7,0ns,48,
98,2,13,10345950,URMA_WRITE,7,0ns,48,
99,3,12,9227469,URMA_WRITE,7,0ns,48,
100,4,11,8108988,URMA_WRITE,7,0ns,48,
101,5,10,6990507,URMA_WRITE,7,0ns,48,
102,6,9,5872026,URMA_WRITE,7,0ns,48,
103,7,8,4753545,URMA_WRITE,7,0ns,48,
104,8,7,12582912,URMA_WRITE,7,0ns,48,
105,9,6,11464431,URMA_WRITE,7,0ns,48,
106,10,5,10345950,URMA_WRITE,7,0ns,48,
107,11,4,9227469,URMA_WRITE,7,0ns,48,
108,12,3,8108988,URMA_WRITE,7,0ns,48,
109,13,2,6990507,URMA_WRITE,7,0ns,48,
110,14,1,5872026,URMA_WRITE,7,0ns,48,
111,15,0,4753545,URMA_WRITE,7,0ns,48,
112,0,4,6431266,URMA_WRITE,7,0ns,49,48
113,1,5,6431266,URMA_WRITE,7,0ns,49,48
114,2,6,6431266,URMA_WRITE,7,0ns,49,48
115,3,7,6431266,URMA_WRITE,7,0ns,49,48
116,4,0,10905190,URMA_WRITE,7,0ns,49,48
117,5,1,10905190,URMA_WRITE,7,0ns,49,48
118,6,2,10905190,URMA_WRITE,7,0ns,49,48
119,7,3,10905190,URMA_WRITE,7,0ns,49,48
120,8,12,6431266,URMA_WRITE,7,0ns,49,48
121,9,13,6431266,URMA_WRITE,7,0ns,49,48
122,10,14,6431266,URMA_WRITE,7,0ns,49,48
123,11,15,6431266,URMA_WRITE,7,0ns,49,48
124,12,8,10905190,URMA_WRITE,7,0ns,49,48
125,13,9,10905190,URMA_WRITE,7,0ns,49,48
126,14,10,10905190,URMA_WRITE,7,0ns,49,48
127,15,11,10905190,URMA_WRITE,7,0ns,49,48
128,0,13,11464431,URMA_WRITE,7,0ns,49,48
129,1,12,10345950,URMA_WRITE,7,0ns,49,48
130,2,15,11464431,URMA_WRITE,7,0ns,49,48
131,3,14,10345950,URMA_WRITE,7,0ns,49,48
132,4,9,6990507,URMA_WRITE,7,0ns,49,48
133,5,8,5872026,URMA_WRITE,7,0ns,49,48
134,6,11,6990507,URMA_WRITE,7,0ns,49,48
135,7,10,5872026,URMA_WRITE,7,0ns,49,48
136,8,5,11464431,URMA_WRITE,7,0ns,49,48
137,9,4,10345950,URMA_WRITE,7,0ns,49,48
138,10,7,11464431,URMA_WRITE,7,0ns,49,48
139,11,6,10345950,URMA_WRITE,7,0ns,49,48
140,12,1,6990507,URMA_WRITE,7,0ns,49,48
141,13,0,5872026,URMA_WRITE,7,0ns,49,48
142,14,3,6990507,URMA_WRITE,7,0ns,49,48
143,15,2,5872026,URMA_WRITE,7,0ns,49,48
144,0,10,9786709,URMA_WRITE,7,0ns,49,48
145,1,11,9786709,URMA_WRITE,7,0ns,49,48
146,2,8,7549747,URMA_WRITE,7,0ns,49,48
147,3,9,7549747,URMA_WRITE,7,0ns,49,48
148,4,14,9786709,URMA_WRITE,7,0ns,49,48
149,5,15,9786709,URMA_WRITE,7,0ns,49,48
150,6,12,7549747,URMA_WRITE,7,0ns,49,48
151,7,13,7549747,URMA_WRITE,7,0ns,49,48
152,8,2,9786709,URMA_WRITE,7,0ns,49,48
153,9,3,9786709,URMA_WRITE,7,0ns,49,48
154,10,0,7549747,URMA_WRITE,7,0ns,49,48
155,11,1,7549747,URMA_WRITE,7,0ns,49,48
156,12,6,9786709,URMA_WRITE,7,0ns,49,48
157,13,7,9786709,URMA_WRITE,7,0ns,49,48
158,14,4,7549747,URMA_WRITE,7,0ns,49,48
159,15,5,7549747,URMA_WRITE,7,0ns,49,48
160,0,7,8108988,URMA_WRITE,7,0ns,49,48
161,1,6,6990507,URMA_WRITE,7,0ns,49,48
162,2,5,5872026,URMA_WRITE,7,0ns,49,48
163,3,4,4753545,URMA_WRITE,7,0ns,49,48
164,4,3,12582912,URMA_WRITE,7,0ns,49,48
165,5,2,11464431,URMA_WRITE,7,0ns,49,48
166,6,1,10345950,URMA_WRITE,7,0ns,49,48
167,7,0,9227469,URMA_WRITE,7,0ns,49,48
168,8,15,8108988,URMA_WRITE,7,0ns,49,48
169,9,14,6990507,URMA_WRITE,7,0ns,49,48
170,10,13,5872026,URMA_WRITE,7,0ns,49,48
