scenario,max_over_avg,algorithm,case,tasks,total_bytes,pair_avg_bytes,pair_min_bytes,pair_max_bytes,pair_cv,src_cv,dst_cv,cross_fraction,makespan_us,global_GBps,rank0_makespan_us,rank0_GBps
max1p0x,1.0,baseline,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p0x_baseline_128mb,240,2147483648,8947848.533333333,8947848,8947849,5.575503985246929e-08,0.0,0.0,0.8000000007450581,561.10918,3827.2117522653966,560.3394,239.5293423949842
max1p0x,1.0,matrix,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p0x_matrix_128mb,240,2147483648,8947848.533333333,8947848,8947849,5.575503985246929e-08,0.0,0.0,0.8000000007450581,556.73886,3857.2548142229552,556.73886,241.0784258889347
max1p0x,1.0,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p0x_closv3_128mb,240,2147483648,8947848.533333333,8947848,8947849,5.575503985246929e-08,0.0,0.0,0.8000000007450581,556.75474,3857.144795929353,556.75474,241.07154974558458
max1p2x,1.2,baseline,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p2x_baseline_128mb,240,2147483648,8947848.533333333,7158279,10737418,0.12344267606086952,0.0,0.0,0.8000000007450581,584.33424,3675.0946649985804,583.93154,229.8518213282331
max1p2x,1.2,matrix,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p2x_matrix_128mb,240,2147483648,8947848.533333333,7158279,10737418,0.12344267606086952,0.0,0.0,0.8000000007450581,642.94146,3340.0920326401097,603.7108,222.32123062897006
max1p2x,1.2,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p2x_closv3_128mb,240,2147483648,8947848.533333333,7158279,10737418,0.12344267606086952,0.0,0.0,0.8000000007450581,674.31948,3184.667967771004,674.31948,199.04174798568775
max1p5x,1.5,baseline,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p5x_baseline_128mb,240,2147483648,8947848.533333333,4473924,13421773,0.30860672981507326,0.0,0.0,0.8000000007450581,617.53346,3477.5178789502356,616.55898,217.68838400504683
max1p5x,1.5,matrix,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p5x_matrix_128mb,240,2147483648,8947848.533333333,4473924,13421773,0.30860672981507326,0.0,0.0,0.8000000007450581,787.37494,2727.3964904191644,672.95466,199.44542474822896
max1p5x,1.5,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max1p5x_closv3_128mb,240,2147483648,8947848.533333333,4473924,13421773,0.30860672981507326,0.0,0.0,0.8000000007450581,878.56336,2444.312778989554,878.56336,152.76954868684712
max2p0x,2.0,baseline,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max2p0x_baseline_128mb,240,2147483648,8947848.533333333,1,17895696,0.6172133872022247,0.0,0.0,0.8000000007450581,675.82526,3177.5723328246127,674.44672,199.0041970995129
max2p0x,2.0,matrix,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max2p0x_matrix_128mb,240,2147483648,8947848.533333333,1,17895696,0.6172133872022247,0.0,0.0,0.8000000007450581,1017.84486,2109.833956424361,792.48306,169.3635293604888
max2p0x,2.0,closv3,experiments/ubx16/alltoallv/gradient/cases/generated_topology_ubx16_a2av_gradient_max2p0x_closv3_128mb,240,2147483648,8947848.533333333,1,17895696,0.6172133872022247,0.0,0.0,0.8000000007450581,1168.9718,1837.0705332669274,1003.33274,133.77190103454615
