taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,33554432,URMA_WRITE,7,0ns,0,,0.0,2091.22764,0.0,0.0,128.3626
1,0,1,33554432,URMA_WRITE,7,0ns,1,,0.0,695.59396,0.0,0.0,385.9083
2,0,14,33554432,URMA_WRITE,7,0ns,2,,0.0,2091.2317,0.0,0.0,128.3624
3,0,2,33554432,URMA_WRITE,7,0ns,3,,0.0,695.59396,0.0,0.0,385.9083
4,0,13,33554432,URMA_WRITE,7,0ns,4,,0.0,2091.61774,0.0,0.0,128.3387
5,0,3,33554432,URMA_WRITE,7,0ns,5,,0.0,695.59396,0.0,0.0,385.9083
6,0,12,33554432,URMA_WRITE,7,0ns,6,,0.0,2092.04358,0.0,0.0,128.3126
7,0,4,33554432,URMA_WRITE,7,0ns,7,,0.0,2085.48924,0.0,0.0,128.7158
8,0,11,33554432,URMA_WRITE,7,0ns,8,,0.0,2091.21196,0.0,0.0,128.3636
9,0,5,33554432,URMA_WRITE,7,0ns,9,,0.0,2080.13234,0.0,0.0,129.0473
10,0,10,33554432,URMA_WRITE,7,0ns,10,,0.0,2091.22448,0.0,0.0,128.3628
11,0,6,33554432,URMA_WRITE,7,0ns,11,,0.0,2085.77498,0.0,0.0,128.6982
12,0,9,33554432,URMA_WRITE,7,0ns,12,,0.0,2091.20914,0.0,0.0,128.3638
13,0,7,33554432,URMA_WRITE,7,0ns,13,,0.0,2091.2741,0.0,0.0,128.3598
14,0,8,33554432,URMA_WRITE,7,0ns,14,,0.0,2091.20756,0.0,0.0,128.3639
15,1,0,33554432,URMA_WRITE,7,0ns,15,,0.0,695.59396,0.0,0.0,385.9083
16,1,2,33554432,URMA_WRITE,7,0ns,16,,0.0,695.59396,0.0,0.0,385.9083
17,1,15,33554432,URMA_WRITE,7,0ns,17,,0.0,2089.76936,0.0,0.0,128.4522
18,1,3,33554432,URMA_WRITE,7,0ns,18,,0.0,695.59396,0.0,0.0,385.9083
19,1,14,33554432,URMA_WRITE,7,0ns,19,,0.0,2089.75842,0.0,0.0,128.4529
20,1,4,33554432,URMA_WRITE,7,0ns,20,,0.0,2087.80692,0.0,0.0,128.5729
21,1,13,33554432,URMA_WRITE,7,0ns,21,,0.0,2093.50256,0.0,0.0,128.2231
22,1,5,33554432,URMA_WRITE,7,0ns,22,,0.0,2084.45382,0.0,0.0,128.7798
23,1,12,33554432,URMA_WRITE,7,0ns,23,,0.0,2091.86174,0.0,0.0,128.3237
24,1,6,33554432,URMA_WRITE,7,0ns,24,,0.0,2089.74376,0.0,0.0,128.4538
25,1,11,33554432,URMA_WRITE,7,0ns,25,,0.0,2092.6344,0.0,0.0,128.2763
26,1,7,33554432,URMA_WRITE,7,0ns,26,,0.0,2088.74726,0.0,0.0,128.515
27,1,10,33554432,URMA_WRITE,7,0ns,27,,0.0,2090.14136,0.0,0.0,128.4293
28,1,8,33554432,URMA_WRITE,7,0ns,28,,0.0,2088.05344,0.0,0.0,128.5578
29,1,9,33554432,URMA_WRITE,7,0ns,29,,0.0,2089.79328,0.0,0.0,128.4507
30,2,1,33554432,URMA_WRITE,7,0ns,30,,0.0,695.59396,0.0,0.0,385.9083
31,2,3,33554432,URMA_WRITE,7,0ns,31,,0.0,695.59396,0.0,0.0,385.9083
32,2,0,33554432,URMA_WRITE,7,0ns,32,,0.0,695.59396,0.0,0.0,385.9083
33,2,4,33554432,URMA_WRITE,7,0ns,33,,0.0,2090.08546,0.0,0.0,128.4328
34,2,15,33554432,URMA_WRITE,7,0ns,34,,0.0,2091.7038,0.0,0.0,128.3334
35,2,5,33554432,URMA_WRITE,7,0ns,35,,0.0,2086.78248,0.0,0.0,128.6361
36,2,14,33554432,URMA_WRITE,7,0ns,36,,0.0,2090.63982,0.0,0.0,128.3987
37,2,6,33554432,URMA_WRITE,7,0ns,37,,0.0,2089.99108,0.0,0.0,128.4386
38,2,13,33554432,URMA_WRITE,7,0ns,38,,0.0,2090.63508,0.0,0.0,128.399
39,2,7,33554432,URMA_WRITE,7,0ns,39,,0.0,2089.624,0.0,0.0,128.4611
40,2,12,33554432,URMA_WRITE,7,0ns,40,,0.0,2091.4086,0.0,0.0,128.3515
41,2,8,33554432,URMA_WRITE,7,0ns,41,,0.0,2088.22862,0.0,0.0,128.547
42,2,11,33554432,URMA_WRITE,7,0ns,42,,0.0,2090.74912,0.0,0.0,128.392
43,2,9,33554432,URMA_WRITE,7,0ns,43,,0.0,2089.93456,0.0,0.0,128.442
44,2,10,33554432,URMA_WRITE,7,0ns,44,,0.0,2089.8886,0.0,0.0,128.4449
45,3,2,33554432,URMA_WRITE,7,0ns,45,,0.0,695.59396,0.0,0.0,385.9083
46,3,4,33554432,URMA_WRITE,7,0ns,46,,0.0,2093.61694,0.0,0.0,128.2161
47,3,1,33554432,URMA_WRITE,7,0ns,47,,0.0,695.59396,0.0,0.0,385.9083
48,3,5,33554432,URMA_WRITE,7,0ns,48,,0.0,2093.60656,0.0,0.0,128.2168
49,3,0,33554432,URMA_WRITE,7,0ns,49,,0.0,695.59396,0.0,0.0,385.9083
50,3,6,33554432,URMA_WRITE,7,0ns,50,,0.0,2093.68644,0.0,0.0,128.2119
51,3,15,33554432,URMA_WRITE,7,0ns,51,,0.0,2093.665,0.0,0.0,128.2132
52,3,7,33554432,URMA_WRITE,7,0ns,52,,0.0,2093.643,0.0,0.0,128.2145
53,3,14,33554432,URMA_WRITE,7,0ns,53,,0.0,2093.65902,0.0,0.0,128.2136
54,3,8,33554432,URMA_WRITE,7,0ns,54,,0.0,2091.98784,0.0,0.0,128.316
55,3,13,33554432,URMA_WRITE,7,0ns,55,,0.0,2093.32334,0.0,0.0,128.2341
56,3,9,33554432,URMA_WRITE,7,0ns,56,,0.0,2093.02028,0.0,0.0,128.2527
