taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,27738330,URMA_WRITE,7,0ns,0,,0.0,580.03804,0.0,0.0,382.5726
1,1,2,27738330,URMA_WRITE,7,0ns,1,,0.0,580.03804,0.0,0.0,382.5726
2,2,3,27738330,URMA_WRITE,7,0ns,2,,0.0,580.03804,0.0,0.0,382.5726
3,3,0,38475749,URMA_WRITE,7,0ns,3,,0.0,794.66522,0.0,0.0,387.3405
4,4,5,27738330,URMA_WRITE,7,0ns,4,,0.0,580.03804,0.0,0.0,382.5726
5,5,6,27738330,URMA_WRITE,7,0ns,5,,0.0,580.03804,0.0,0.0,382.5726
6,6,7,27738330,URMA_WRITE,7,0ns,6,,0.0,580.03804,0.0,0.0,382.5726
7,7,4,38475749,URMA_WRITE,7,0ns,7,,0.0,794.66522,0.0,0.0,387.3405
8,8,9,27738330,URMA_WRITE,7,0ns,8,,0.0,580.03804,0.0,0.0,382.5726
9,9,10,27738330,URMA_WRITE,7,0ns,9,,0.0,580.03804,0.0,0.0,382.5726
10,10,11,27738330,URMA_WRITE,7,0ns,10,,0.0,580.03804,0.0,0.0,382.5726
11,11,8,38475749,URMA_WRITE,7,0ns,11,,0.0,794.66522,0.0,0.0,387.3405
12,12,13,27738330,URMA_WRITE,7,0ns,12,,0.0,580.03804,0.0,0.0,382.5726
13,13,14,27738330,URMA_WRITE,7,0ns,13,,0.0,580.03804,0.0,0.0,382.5726
14,14,15,27738330,URMA_WRITE,7,0ns,14,,0.0,580.03804,0.0,0.0,382.5726
15,15,12,38475749,URMA_WRITE,7,0ns,15,,0.0,794.66522,0.0,0.0,387.3405
16,0,2,28633115,URMA_WRITE,7,0ns,16,,0.0,597.71206,0.0,0.0,383.2362
17,1,3,28633115,URMA_WRITE,7,0ns,17,,0.0,597.71206,0.0,0.0,383.2362
18,2,0,39370534,URMA_WRITE,7,0ns,18,,0.0,812.62272,0.0,0.0,387.5898
19,3,1,39370534,URMA_WRITE,7,0ns,19,,0.0,812.62272,0.0,0.0,387.5898
20,4,6,28633115,URMA_WRITE,7,0ns,20,,0.0,597.71206,0.0,0.0,383.2362
21,5,7,28633115,URMA_WRITE,7,0ns,21,,0.0,597.71206,0.0,0.0,383.2362
22,6,4,39370534,URMA_WRITE,7,0ns,22,,0.0,812.62272,0.0,0.0,387.5898
23,7,5,39370534,URMA_WRITE,7,0ns,23,,0.0,812.62272,0.0,0.0,387.5898
24,8,10,28633115,URMA_WRITE,7,0ns,24,,0.0,597.71206,0.0,0.0,383.2362
25,9,11,28633115,URMA_WRITE,7,0ns,25,,0.0,597.71206,0.0,0.0,383.2362
26,10,8,39370534,URMA_WRITE,7,0ns,26,,0.0,812.62272,0.0,0.0,387.5898
27,11,9,39370534,URMA_WRITE,7,0ns,27,,0.0,812.62272,0.0,0.0,387.5898
28,12,14,28633115,URMA_WRITE,7,0ns,28,,0.0,597.71206,0.0,0.0,383.2362
29,13,15,28633115,URMA_WRITE,7,0ns,29,,0.0,597.71206,0.0,0.0,383.2362
30,14,12,39370534,URMA_WRITE,7,0ns,30,,0.0,812.62272,0.0,0.0,387.5898
31,15,13,39370534,URMA_WRITE,7,0ns,31,,0.0,812.62272,0.0,0.0,387.5898
32,0,3,29527900,URMA_WRITE,7,0ns,32,,0.0,616.72458,0.0,0.0,383.0287
33,1,0,40265318,URMA_WRITE,7,0ns,33,,0.0,830.58334,0.0,0.0,387.8269
34,2,1,40265318,URMA_WRITE,7,0ns,34,,0.0,830.58334,0.0,0.0,387.8269
35,3,2,40265318,URMA_WRITE,7,0ns,35,,0.0,830.58334,0.0,0.0,387.8269
36,4,7,29527900,URMA_WRITE,7,0ns,36,,0.0,616.72458,0.0,0.0,383.0287
37,5,4,40265318,URMA_WRITE,7,0ns,37,,0.0,830.58334,0.0,0.0,387.8269
38,6,5,40265318,URMA_WRITE,7,0ns,38,,0.0,830.58334,0.0,0.0,387.8269
39,7,6,40265318,URMA_WRITE,7,0ns,39,,0.0,830.58334,0.0,0.0,387.8269
40,8,11,29527900,URMA_WRITE,7,0ns,40,,0.0,616.72458,0.0,0.0,383.0287
41,9,8,40265318,URMA_WRITE,7,0ns,41,,0.0,830.58334,0.0,0.0,387.8269
42,10,9,40265318,URMA_WRITE,7,0ns,42,,0.0,830.58334,0.0,0.0,387.8269
43,11,10,40265318,URMA_WRITE,7,0ns,43,,0.0,830.58334,0.0,0.0,387.8269
44,12,15,29527900,URMA_WRITE,7,0ns,44,,0.0,616.72458,0.0,0.0,383.0287
45,13,12,40265318,URMA_WRITE,7,0ns,45,,0.0,830.58334,0.0,0.0,387.8269
46,14,13,40265318,URMA_WRITE,7,0ns,46,,0.0,830.58334,0.0,0.0,387.8269
47,15,14,40265318,URMA_WRITE,7,0ns,47,,0.0,830.58334,0.0,0.0,387.8269
48,0,12,37580964,URMA_WRITE,7,0ns,48,,0.0,857.41096,0.0,0.0,350.646
49,1,13,37580964,URMA_WRITE,7,0ns,49,,0.0,857.41096,0.0,0.0,350.646
50,2,14,37580964,URMA_WRITE,7,0ns,50,,0.0,857.41096,0.0,0.0,350.646
51,3,15,37580964,URMA_WRITE,7,0ns,51,,0.0,857.41096,0.0,0.0,350.646
52,4,8,30422685,URMA_WRITE,7,0ns,52,,0.0,635.84342,0.0,0.0,382.7695
53,5,9,30422685,URMA_WRITE,7,0ns,53,,0.0,635.84342,0.0,0.0,382.7695
54,6,10,30422685,URMA_WRITE,7,0ns,54,,0.0,635.84342,0.0,0.0,382.7695
55,7,11,30422685,URMA_WRITE,7,0ns,55,,0.0,635.84342,0.0,0.0,382.7695
56,8,4,37580964,URMA_WRITE,7,0ns,56,,0.0,857.49424,0.0,0.0,350.6119
57,9,5,37580964,URMA_WRITE,7,0ns,57,,0.0,857.49424,0.0,0.0,350.6119
58,10,6,37580964,URMA_WRITE,7,0ns,58,,0.0,857.49424,0.0,0.0,350.6119
59,11,7,37580964,URMA_WRITE,7,0ns,59,,0.0,857.49424,0.0,0.0,350.6119
60,12,0,30422685,URMA_WRITE,7,0ns,60,,0.0,635.84302,0.0,0.0,382.7698
61,13,1,30422685,URMA_WRITE,7,0ns,61,,0.0,635.84302,0.0,0.0,382.7698
62,14,2,30422685,URMA_WRITE,7,0ns,62,,0.0,635.84302,0.0,0.0,382.7698
63,15,3,30422685,URMA_WRITE,7,0ns,63,,0.0,635.84302,0.0,0.0,382.7698
64,0,8,34001824,URMA_WRITE,7,0ns,64,,0.0,704.97758,0.0,0.0,385.8486
65,1,9,34001824,URMA_WRITE,7,0ns,65,,0.0,704.97758,0.0,0.0,385.8486
66,2,10,34001824,URMA_WRITE,7,0ns,66,,0.0,704.97758,0.0,0.0,385.8486
67,3,11,34001824,URMA_WRITE,7,0ns,67,,0.0,704.97758,0.0,0.0,385.8486
68,4,12,34001824,URMA_WRITE,7,0ns,68,,0.0,704.97758,0.0,0.0,385.8486
69,5,13,34001824,URMA_WRITE,7,0ns,69,,0.0,704.97758,0.0,0.0,385.8486
70,6,14,34001824,URMA_WRITE,7,0ns,70,,0.0,704.97758,0.0,0.0,385.8486
71,7,15,34001824,URMA_WRITE,7,0ns,71,,0.0,704.97758,0.0,0.0,385.8486
72,8,0,34001824,URMA_WRITE,7,0ns,72,,0.0,704.97842,0.0,0.0,385.8481
73,9,1,34001824,URMA_WRITE,7,0ns,73,,0.0,704.97842,0.0,0.0,385.8481
74,10,2,34001824,URMA_WRITE,7,0ns,74,,0.0,704.97842,0.0,0.0,385.8481
75,11,3,34001824,URMA_WRITE,7,0ns,75,,0.0,704.97842,0.0,0.0,385.8481
76,12,4,34001824,URMA_WRITE,7,0ns,76,,0.0,704.97842,0.0,0.0,385.8481
77,13,5,34001824,URMA_WRITE,7,0ns,77,,0.0,704.97842,0.0,0.0,385.8481
78,14,6,34001824,URMA_WRITE,7,0ns,78,,0.0,704.97842,0.0,0.0,385.8481
79,15,7,34001824,URMA_WRITE,7,0ns,79,,0.0,704.97842,0.0,0.0,385.8481
80,0,4,30422685,URMA_WRITE,7,0ns,80,,0.0,635.84342,0.0,0.0,382.7695
81,1,5,30422685,URMA_WRITE,7,0ns,81,,0.0,635.84342,0.0,0.0,382.7695
82,2,6,30422685,URMA_WRITE,7,0ns,82,,0.0,635.84342,0.0,0.0,382.7695
83,3,7,30422685,URMA_WRITE,7,0ns,83,,0.0,635.84342,0.0,0.0,382.7695
84,4,0,37580964,URMA_WRITE,7,0ns,84,,0.0,779.52266,0.0,0.0,385.6818
85,5,1,37580964,URMA_WRITE,7,0ns,85,,0.0,779.52266,0.0,0.0,385.6818
86,6,2,37580964,URMA_WRITE,7,0ns,86,,0.0,779.52266,0.0,0.0,385.6818
87,7,3,37580964,URMA_WRITE,7,0ns,87,,0.0,779.52266,0.0,0.0,385.6818
88,8,12,30422685,URMA_WRITE,7,0ns,88,,0.0,635.84342,0.0,0.0,382.7695
89,9,13,30422685,URMA_WRITE,7,0ns,89,,0.0,635.84342,0.0,0.0,382.7695
90,10,14,30422685,URMA_WRITE,7,0ns,90,,0.0,635.84342,0.0,0.0,382.7695
91,11,15,30422685,URMA_WRITE,7,0ns,91,,0.0,635.84342,0.0,0.0,382.7695
92,12,8,37580964,URMA_WRITE,7,0ns,92,,0.0,779.52266,0.0,0.0,385.6818
93,13,9,37580964,URMA_WRITE,7,0ns,93,,0.0,779.52266,0.0,0.0,385.6818
94,14,10,37580964,URMA_WRITE,7,0ns,94,,0.0,779.52266,0.0,0.0,385.6818
95,15,11,37580964,URMA_WRITE,7,0ns,95,,0.0,779.52266,0.0,0.0,385.6818
