taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,27738330,URMA_WRITE,7,0ns,0,,0.0,565.86382,0.0,0.0,392.1556
1,0,4,30422685,URMA_WRITE,7,0ns,1,,0.0,630.76068,0.0,0.0,385.8539
2,0,5,31317470,URMA_WRITE,7,0ns,2,,0.0,649.65956,0.0,0.0,385.6478
3,0,6,32212255,URMA_WRITE,7,0ns,3,,0.0,668.25798,0.0,0.0,385.6266
4,0,7,33107040,URMA_WRITE,7,0ns,4,,0.0,686.853,0.0,0.0,385.6084
5,4,5,27738330,URMA_WRITE,7,0ns,5,,0.0,565.86382,0.0,0.0,392.1556
6,4,8,30422685,URMA_WRITE,7,0ns,6,,0.0,630.76068,0.0,0.0,385.8539
7,4,9,31317470,URMA_WRITE,7,0ns,7,,0.0,649.65956,0.0,0.0,385.6478
8,4,10,32212255,URMA_WRITE,7,0ns,8,,0.0,668.25798,0.0,0.0,385.6266
9,4,11,33107040,URMA_WRITE,7,0ns,9,,0.0,686.853,0.0,0.0,385.6084
10,8,9,27738330,URMA_WRITE,7,0ns,10,,0.0,565.86382,0.0,0.0,392.1556
11,8,12,30422685,URMA_WRITE,7,0ns,11,,0.0,630.76068,0.0,0.0,385.8539
12,8,13,31317470,URMA_WRITE,7,0ns,12,,0.0,649.65956,0.0,0.0,385.6478
13,8,14,32212255,URMA_WRITE,7,0ns,13,,0.0,668.25798,0.0,0.0,385.6266
14,8,15,33107040,URMA_WRITE,7,0ns,14,,0.0,686.853,0.0,0.0,385.6084
15,12,13,27738330,URMA_WRITE,7,0ns,15,,0.0,565.86382,0.0,0.0,392.1556
16,12,0,30422685,URMA_WRITE,7,0ns,16,,0.0,630.76068,0.0,0.0,385.8539
17,12,1,31317470,URMA_WRITE,7,0ns,17,,0.0,649.65956,0.0,0.0,385.6478
18,12,2,32212255,URMA_WRITE,7,0ns,18,,0.0,668.25798,0.0,0.0,385.6266
19,12,3,33107040,URMA_WRITE,7,0ns,19,,0.0,686.853,0.0,0.0,385.6084
20,1,2,27738330,URMA_WRITE,7,0ns,20,,0.0,565.86382,0.0,0.0,392.1556
21,1,7,32212255,URMA_WRITE,7,0ns,21,,0.0,668.25798,0.0,0.0,385.6266
22,1,4,29527900,URMA_WRITE,7,0ns,22,,0.0,612.55126,0.0,0.0,385.6383
23,1,5,30422685,URMA_WRITE,7,0ns,23,,0.0,630.76068,0.0,0.0,385.8539
24,1,6,31317470,URMA_WRITE,7,0ns,24,,0.0,649.65956,0.0,0.0,385.6478
25,5,6,27738330,URMA_WRITE,7,0ns,25,,0.0,565.86382,0.0,0.0,392.1556
26,5,11,32212255,URMA_WRITE,7,0ns,26,,0.0,668.25798,0.0,0.0,385.6266
27,5,8,29527900,URMA_WRITE,7,0ns,27,,0.0,612.55126,0.0,0.0,385.6383
28,5,9,30422685,URMA_WRITE,7,0ns,28,,0.0,630.76068,0.0,0.0,385.8539
29,5,10,31317470,URMA_WRITE,7,0ns,29,,0.0,649.65956,0.0,0.0,385.6478
30,9,10,27738330,URMA_WRITE,7,0ns,30,,0.0,565.86382,0.0,0.0,392.1556
31,9,15,32212255,URMA_WRITE,7,0ns,31,,0.0,668.25798,0.0,0.0,385.6266
32,9,12,29527900,URMA_WRITE,7,0ns,32,,0.0,612.55126,0.0,0.0,385.6383
33,9,13,30422685,URMA_WRITE,7,0ns,33,,0.0,630.76068,0.0,0.0,385.8539
34,9,14,31317470,URMA_WRITE,7,0ns,34,,0.0,649.65956,0.0,0.0,385.6478
35,13,14,27738330,URMA_WRITE,7,0ns,35,,0.0,565.86382,0.0,0.0,392.1556
36,13,3,32212255,URMA_WRITE,7,0ns,36,,0.0,668.25798,0.0,0.0,385.6266
37,13,0,29527900,URMA_WRITE,7,0ns,37,,0.0,612.55126,0.0,0.0,385.6383
38,13,1,30422685,URMA_WRITE,7,0ns,38,,0.0,630.76068,0.0,0.0,385.8539
39,13,2,31317470,URMA_WRITE,7,0ns,39,,0.0,649.65956,0.0,0.0,385.6478
40,2,3,27738330,URMA_WRITE,7,0ns,40,,0.0,565.86382,0.0,0.0,392.1556
41,2,6,30422685,URMA_WRITE,7,0ns,41,,0.0,630.76068,0.0,0.0,385.8539
42,2,7,31317470,URMA_WRITE,7,0ns,42,,0.0,649.65956,0.0,0.0,385.6478
43,2,4,28633115,URMA_WRITE,7,0ns,43,,0.0,593.95738,0.0,0.0,385.6588
44,2,5,29527900,URMA_WRITE,7,0ns,44,,0.0,612.55126,0.0,0.0,385.6383
45,6,7,27738330,URMA_WRITE,7,0ns,45,,0.0,565.86382,0.0,0.0,392.1556
46,6,10,30422685,URMA_WRITE,7,0ns,46,,0.0,630.76068,0.0,0.0,385.8539
47,6,11,31317470,URMA_WRITE,7,0ns,47,,0.0,649.65956,0.0,0.0,385.6478
48,6,8,28633115,URMA_WRITE,7,0ns,48,,0.0,593.95738,0.0,0.0,385.6588
49,6,9,29527900,URMA_WRITE,7,0ns,49,,0.0,612.55126,0.0,0.0,385.6383
50,10,11,27738330,URMA_WRITE,7,0ns,50,,0.0,565.86382,0.0,0.0,392.1556
51,10,14,30422685,URMA_WRITE,7,0ns,51,,0.0,630.76068,0.0,0.0,385.8539
52,10,15,31317470,URMA_WRITE,7,0ns,52,,0.0,649.65956,0.0,0.0,385.6478
53,10,12,28633115,URMA_WRITE,7,0ns,53,,0.0,593.95738,0.0,0.0,385.6588
54,10,13,29527900,URMA_WRITE,7,0ns,54,,0.0,612.55126,0.0,0.0,385.6383
55,14,15,27738330,URMA_WRITE,7,0ns,55,,0.0,565.86382,0.0,0.0,392.1556
56,14,2,30422685,URMA_WRITE,7,0ns,56,,0.0,630.76068,0.0,0.0,385.8539
57,14,3,31317470,URMA_WRITE,7,0ns,57,,0.0,649.65956,0.0,0.0,385.6478
58,14,0,28633115,URMA_WRITE,7,0ns,58,,0.0,593.95738,0.0,0.0,385.6588
59,14,1,29527900,URMA_WRITE,7,0ns,59,,0.0,612.55126,0.0,0.0,385.6383
60,3,0,38475749,URMA_WRITE,7,0ns,60,,0.0,784.90308,0.0,0.0,392.158
61,3,5,28633115,URMA_WRITE,7,0ns,61,,0.0,593.95738,0.0,0.0,385.6588
62,3,6,29527900,URMA_WRITE,7,0ns,62,,0.0,612.55126,0.0,0.0,385.6383
63,3,7,30422685,URMA_WRITE,7,0ns,63,,0.0,630.76068,0.0,0.0,385.8539
64,3,4,27738330,URMA_WRITE,7,0ns,64,,0.0,575.53,0.0,0.0,385.5692
65,7,4,38475749,URMA_WRITE,7,0ns,65,,0.0,784.90308,0.0,0.0,392.158
66,7,9,28633115,URMA_WRITE,7,0ns,66,,0.0,593.95738,0.0,0.0,385.6588
67,7,10,29527900,URMA_WRITE,7,0ns,67,,0.0,612.55126,0.0,0.0,385.6383
68,7,11,30422685,URMA_WRITE,7,0ns,68,,0.0,630.76068,0.0,0.0,385.8539
69,7,8,27738330,URMA_WRITE,7,0ns,69,,0.0,575.53,0.0,0.0,385.5692
70,11,8,38475749,URMA_WRITE,7,0ns,70,,0.0,784.90308,0.0,0.0,392.158
71,11,13,28633115,URMA_WRITE,7,0ns,71,,0.0,593.95738,0.0,0.0,385.6588
72,11,14,29527900,URMA_WRITE,7,0ns,72,,0.0,612.55126,0.0,0.0,385.6383
73,11,15,30422685,URMA_WRITE,7,0ns,73,,0.0,630.76068,0.0,0.0,385.8539
74,11,12,27738330,URMA_WRITE,7,0ns,74,,0.0,575.53,0.0,0.0,385.5692
75,15,12,38475749,URMA_WRITE,7,0ns,75,,0.0,784.90308,0.0,0.0,392.158
76,15,1,28633115,URMA_WRITE,7,0ns,76,,0.0,593.95738,0.0,0.0,385.6588
77,15,2,29527900,URMA_WRITE,7,0ns,77,,0.0,612.55126,0.0,0.0,385.6383
78,15,3,30422685,URMA_WRITE,7,0ns,78,,0.0,630.76068,0.0,0.0,385.8539
79,15,0,27738330,URMA_WRITE,7,0ns,79,,0.0,575.53,0.0,0.0,385.5692
80,0,2,28633115,URMA_WRITE,7,0ns,80,0.0,565.86382,1163.57588,0.0,0.0,383.2362
81,0,8,34001824,URMA_WRITE,7,0ns,81,1.0,630.76068,1335.73806,0.0,0.0,385.8487
82,0,9,34896609,URMA_WRITE,7,0ns,82,2.0,649.65956,1373.5024,0.0,0.0,385.6816
83,0,10,35791394,URMA_WRITE,7,0ns,83,3.0,668.25798,1410.69796,0.0,0.0,385.6624
84,0,11,36686179,URMA_WRITE,7,0ns,84,4.0,686.853,1447.80464,0.0,0.0,385.6874
85,4,6,28633115,URMA_WRITE,7,0ns,85,5.0,565.86382,1163.57588,0.0,0.0,383.2362
86,4,12,34001824,URMA_WRITE,7,0ns,86,6.0,630.76068,1335.73806,0.0,0.0,385.8487
87,4,13,34896609,URMA_WRITE,7,0ns,87,7.0,649.65956,1373.5024,0.0,0.0,385.6816
88,4,14,35791394,URMA_WRITE,7,0ns,88,8.0,668.25798,1410.69796,0.0,0.0,385.6624
89,4,15,36686179,URMA_WRITE,7,0ns,89,9.0,686.853,1447.80464,0.0,0.0,385.6874
90,8,10,28633115,URMA_WRITE,7,0ns,90,10.0,565.86382,1163.57588,0.0,0.0,383.2362
91,8,0,34001824,URMA_WRITE,7,0ns,91,11.0,630.76068,1335.7389,0.0,0.0,385.8482
92,8,1,34896609,URMA_WRITE,7,0ns,92,12.0,649.65956,1373.5024,0.0,0.0,385.6816
93,8,2,35791394,URMA_WRITE,7,0ns,93,13.0,668.25798,1410.69796,0.0,0.0,385.6624
94,8,3,36686179,URMA_WRITE,7,0ns,94,14.0,686.853,1447.80464,0.0,0.0,385.6874
95,12,14,28633115,URMA_WRITE,7,0ns,95,15.0,565.86382,1163.57588,0.0,0.0,383.2362
96,12,4,34001824,URMA_WRITE,7,0ns,96,16.0,630.76068,1335.7389,0.0,0.0,385.8482
97,12,5,34896609,URMA_WRITE,7,0ns,97,17.0,649.65956,1373.5024,0.0,0.0,385.6816
98,12,6,35791394,URMA_WRITE,7,0ns,98,18.0,668.25798,1410.69796,0.0,0.0,385.6624
99,12,7,36686179,URMA_WRITE,7,0ns,99,19.0,686.853,1447.80464,0.0,0.0,385.6874
100,1,3,28633115,URMA_WRITE,7,0ns,100,20.0,565.86382,1159.82948,0.0,0.0,385.6535
101,1,11,35791394,URMA_WRITE,7,0ns,101,21.0,668.25798,1410.69796,0.0,0.0,385.6624
102,1,8,33107040,URMA_WRITE,7,0ns,102,22.0,612.55126,1303.19132,0.0,0.0,383.494
103,1,9,34001824,URMA_WRITE,7,0ns,103,23.0,630.76068,1335.73806,0.0,0.0,385.8487
104,1,10,34896609,URMA_WRITE,7,0ns,104,24.0,649.65956,1373.5024,0.0,0.0,385.6816
105,5,7,28633115,URMA_WRITE,7,0ns,105,25.0,565.86382,1159.82948,0.0,0.0,385.6535
106,5,15,35791394,URMA_WRITE,7,0ns,106,26.0,668.25798,1410.69796,0.0,0.0,385.6624
107,5,12,33107040,URMA_WRITE,7,0ns,107,27.0,612.55126,1303.19132,0.0,0.0,383.494
108,5,13,34001824,URMA_WRITE,7,0ns,108,28.0,630.76068,1335.73806,0.0,0.0,385.8487
109,5,14,34896609,URMA_WRITE,7,0ns,109,29.0,649.65956,1373.5024,0.0,0.0,385.6816
110,9,11,28633115,URMA_WRITE,7,0ns,110,30.0,565.86382,1159.82948,0.0,0.0,385.6535
111,9,3,35791394,URMA_WRITE,7,0ns,111,31.0,668.25798,1410.69796,0.0,0.0,385.6624
112,9,0,33107040,URMA_WRITE,7,0ns,112,32.0,612.55126,1303.19132,0.0,0.0,383.494
113,9,1,34001824,URMA_WRITE,7,0ns,113,33.0,630.76068,1335.7389,0.0,0.0,385.8482
114,9,2,34896609,URMA_WRITE,7,0ns,114,34.0,649.65956,1373.5024,0.0,0.0,385.6816
115,13,15,28633115,URMA_WRITE,7,0ns,115,35.0,565.86382,1159.82948,0.0,0.0,385.6535
116,13,7,35791394,URMA_WRITE,7,0ns,116,36.0,668.25798,1410.69796,0.0,0.0,385.6624
117,13,4,33107040,URMA_WRITE,7,0ns,117,37.0,612.55126,1303.19132,0.0,0.0,383.494
118,13,5,34001824,URMA_WRITE,7,0ns,118,38.0,630.76068,1335.7389,0.0,0.0,385.8482
