taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,50331648,URMA_WRITE,7,0ns,0,
1,0,1,19014178,URMA_WRITE,7,0ns,1,
2,0,14,48094686,URMA_WRITE,7,0ns,2,
3,0,2,21251140,URMA_WRITE,7,0ns,3,
4,0,13,45857724,URMA_WRITE,7,0ns,4,
5,0,3,23488102,URMA_WRITE,7,0ns,5,
6,0,12,43620762,URMA_WRITE,7,0ns,6,
7,0,4,25725065,URMA_WRITE,7,0ns,7,
8,0,11,41383799,URMA_WRITE,7,0ns,8,
9,0,5,27962027,URMA_WRITE,7,0ns,9,
10,0,10,39146837,URMA_WRITE,7,0ns,10,
11,0,6,30198989,URMA_WRITE,7,0ns,11,
12,0,9,36909875,URMA_WRITE,7,0ns,12,
13,0,7,32435951,URMA_WRITE,7,0ns,13,
14,0,8,34672913,URMA_WRITE,7,0ns,14,
15,1,0,50331648,URMA_WRITE,7,0ns,15,
16,1,2,19014178,URMA_WRITE,7,0ns,16,
17,1,15,48094686,URMA_WRITE,7,0ns,17,
18,1,3,21251140,URMA_WRITE,7,0ns,18,
19,1,14,45857724,URMA_WRITE,7,0ns,19,
20,1,4,23488102,URMA_WRITE,7,0ns,20,
21,1,13,43620762,URMA_WRITE,7,0ns,21,
22,1,5,25725065,URMA_WRITE,7,0ns,22,
23,1,12,41383799,URMA_WRITE,7,0ns,23,
24,1,6,27962027,URMA_WRITE,7,0ns,24,
25,1,11,39146837,URMA_WRITE,7,0ns,25,
26,1,7,30198989,URMA_WRITE,7,0ns,26,
27,1,10,36909875,URMA_WRITE,7,0ns,27,
28,1,8,32435951,URMA_WRITE,7,0ns,28,
29,1,9,34672913,URMA_WRITE,7,0ns,29,
30,2,1,50331648,URMA_WRITE,7,0ns,30,
31,2,3,19014178,URMA_WRITE,7,0ns,31,
32,2,0,48094686,URMA_WRITE,7,0ns,32,
33,2,4,21251140,URMA_WRITE,7,0ns,33,
34,2,15,45857724,URMA_WRITE,7,0ns,34,
35,2,5,23488102,URMA_WRITE,7,0ns,35,
36,2,14,43620762,URMA_WRITE,7,0ns,36,
37,2,6,25725065,URMA_WRITE,7,0ns,37,
38,2,13,41383799,URMA_WRITE,7,0ns,38,
39,2,7,27962027,URMA_WRITE,7,0ns,39,
40,2,12,39146837,URMA_WRITE,7,0ns,40,
41,2,8,30198989,URMA_WRITE,7,0ns,41,
42,2,11,36909875,URMA_WRITE,7,0ns,42,
43,2,9,32435951,URMA_WRITE,7,0ns,43,
44,2,10,34672913,URMA_WRITE,7,0ns,44,
45,3,2,50331648,URMA_WRITE,7,0ns,45,
46,3,4,19014178,URMA_WRITE,7,0ns,46,
47,3,1,48094686,URMA_WRITE,7,0ns,47,
48,3,5,21251140,URMA_WRITE,7,0ns,48,
49,3,0,45857724,URMA_WRITE,7,0ns,49,
50,3,6,23488102,URMA_WRITE,7,0ns,50,
51,3,15,43620762,URMA_WRITE,7,0ns,51,
52,3,7,25725065,URMA_WRITE,7,0ns,52,
53,3,14,41383799,URMA_WRITE,7,0ns,53,
54,3,8,27962027,URMA_WRITE,7,0ns,54,
55,3,13,39146837,URMA_WRITE,7,0ns,55,
56,3,9,30198989,URMA_WRITE,7,0ns,56,
57,3,12,36909875,URMA_WRITE,7,0ns,57,
58,3,10,32435951,URMA_WRITE,7,0ns,58,
59,3,11,34672913,URMA_WRITE,7,0ns,59,
60,4,3,50331648,URMA_WRITE,7,0ns,60,
61,4,5,19014178,URMA_WRITE,7,0ns,61,
62,4,2,48094686,URMA_WRITE,7,0ns,62,
63,4,6,21251140,URMA_WRITE,7,0ns,63,
64,4,1,45857724,URMA_WRITE,7,0ns,64,
65,4,7,23488102,URMA_WRITE,7,0ns,65,
66,4,0,43620762,URMA_WRITE,7,0ns,66,
67,4,8,25725065,URMA_WRITE,7,0ns,67,
68,4,15,41383799,URMA_WRITE,7,0ns,68,
69,4,9,27962027,URMA_WRITE,7,0ns,69,
70,4,14,39146837,URMA_WRITE,7,0ns,70,
71,4,10,30198989,URMA_WRITE,7,0ns,71,
72,4,13,36909875,URMA_WRITE,7,0ns,72,
73,4,11,32435951,URMA_WRITE,7,0ns,73,
74,4,12,34672913,URMA_WRITE,7,0ns,74,
75,5,4,50331648,URMA_WRITE,7,0ns,75,
76,5,6,19014178,URMA_WRITE,7,0ns,76,
77,5,3,48094686,URMA_WRITE,7,0ns,77,
78,5,7,21251140,URMA_WRITE,7,0ns,78,
79,5,2,45857724,URMA_WRITE,7,0ns,79,
80,5,8,23488102,URMA_WRITE,7,0ns,80,
81,5,1,43620762,URMA_WRITE,7,0ns,81,
82,5,9,25725065,URMA_WRITE,7,0ns,82,
83,5,0,41383799,URMA_WRITE,7,0ns,83,
84,5,10,27962027,URMA_WRITE,7,0ns,84,
85,5,15,39146837,URMA_WRITE,7,0ns,85,
86,5,11,30198989,URMA_WRITE,7,0ns,86,
87,5,14,36909875,URMA_WRITE,7,0ns,87,
88,5,12,32435951,URMA_WRITE,7,0ns,88,
89,5,13,34672913,URMA_WRITE,7,0ns,89,
90,6,5,50331648,URMA_WRITE,7,0ns,90,
91,6,7,19014178,URMA_WRITE,7,0ns,91,
92,6,4,48094686,URMA_WRITE,7,0ns,92,
93,6,8,21251140,URMA_WRITE,7,0ns,93,
94,6,3,45857724,URMA_WRITE,7,0ns,94,
95,6,9,23488102,URMA_WRITE,7,0ns,95,
96,6,2,43620762,URMA_WRITE,7,0ns,96,
97,6,10,25725065,URMA_WRITE,7,0ns,97,
98,6,1,41383799,URMA_WRITE,7,0ns,98,
99,6,11,27962027,URMA_WRITE,7,0ns,99,
100,6,0,39146837,URMA_WRITE,7,0ns,100,
101,6,12,30198989,URMA_WRITE,7,0ns,101,
102,6,15,36909875,URMA_WRITE,7,0ns,102,
103,6,13,32435951,URMA_WRITE,7,0ns,103,
104,6,14,34672913,URMA_WRITE,7,0ns,104,
105,7,6,50331648,URMA_WRITE,7,0ns,105,
106,7,8,19014178,URMA_WRITE,7,0ns,106,
107,7,5,48094686,URMA_WRITE,7,0ns,107,
108,7,9,21251140,URMA_WRITE,7,0ns,108,
109,7,4,45857724,URMA_WRITE,7,0ns,109,
110,7,10,23488102,URMA_WRITE,7,0ns,110,
111,7,3,43620762,URMA_WRITE,7,0ns,111,
112,7,11,25725065,URMA_WRITE,7,0ns,112,
113,7,2,41383799,URMA_WRITE,7,0ns,113,
114,7,12,27962027,URMA_WRITE,7,0ns,114,
115,7,1,39146837,URMA_WRITE,7,0ns,115,
116,7,13,30198989,URMA_WRITE,7,0ns,116,
117,7,0,36909875,URMA_WRITE,7,0ns,117,
118,7,14,32435951,URMA_WRITE,7,0ns,118,
119,7,15,34672913,URMA_WRITE,7,0ns,119,
120,8,7,50331648,URMA_WRITE,7,0ns,120,
121,8,9,19014178,URMA_WRITE,7,0ns,121,
122,8,6,48094686,URMA_WRITE,7,0ns,122,
123,8,10,21251140,URMA_WRITE,7,0ns,123,
124,8,5,45857724,URMA_WRITE,7,0ns,124,
125,8,11,23488102,URMA_WRITE,7,0ns,125,
126,8,4,43620762,URMA_WRITE,7,0ns,126,
127,8,12,25725065,URMA_WRITE,7,0ns,127,
128,8,3,41383799,URMA_WRITE,7,0ns,128,
129,8,13,27962027,URMA_WRITE,7,0ns,129,
130,8,2,39146837,URMA_WRITE,7,0ns,130,
131,8,14,30198989,URMA_WRITE,7,0ns,131,
132,8,1,36909875,URMA_WRITE,7,0ns,132,
133,8,15,32435951,URMA_WRITE,7,0ns,133,
134,8,0,34672913,URMA_WRITE,7,0ns,134,
135,9,8,50331648,URMA_WRITE,7,0ns,135,
136,9,10,19014178,URMA_WRITE,7,0ns,136,
137,9,7,48094686,URMA_WRITE,7,0ns,137,
138,9,11,21251140,URMA_WRITE,7,0ns,138,
139,9,6,45857724,URMA_WRITE,7,0ns,139,
140,9,12,23488102,URMA_WRITE,7,0ns,140,
141,9,5,43620762,URMA_WRITE,7,0ns,141,
142,9,13,25725065,URMA_WRITE,7,0ns,142,
143,9,4,41383799,URMA_WRITE,7,0ns,143,
144,9,14,27962027,URMA_WRITE,7,0ns,144,
145,9,3,39146837,URMA_WRITE,7,0ns,145,
146,9,15,30198989,URMA_WRITE,7,0ns,146,
147,9,2,36909875,URMA_WRITE,7,0ns,147,
148,9,0,32435951,URMA_WRITE,7,0ns,148,
149,9,1,34672913,URMA_WRITE,7,0ns,149,
150,10,9,50331648,URMA_WRITE,7,0ns,150,
151,10,11,19014178,URMA_WRITE,7,0ns,151,
152,10,8,48094686,URMA_WRITE,7,0ns,152,
153,10,12,21251140,URMA_WRITE,7,0ns,153,
154,10,7,45857724,URMA_WRITE,7,0ns,154,
155,10,13,23488102,URMA_WRITE,7,0ns,155,
156,10,6,43620762,URMA_WRITE,7,0ns,156,
157,10,14,25725065,URMA_WRITE,7,0ns,157,
158,10,5,41383799,URMA_WRITE,7,0ns,158,
159,10,15,27962027,URMA_WRITE,7,0ns,159,
160,10,4,39146837,URMA_WRITE,7,0ns,160,
161,10,0,30198989,URMA_WRITE,7,0ns,161,
162,10,3,36909875,URMA_WRITE,7,0ns,162,
163,10,1,32435951,URMA_WRITE,7,0ns,163,
164,10,2,34672913,URMA_WRITE,7,0ns,164,
165,11,10,50331648,URMA_WRITE,7,0ns,165,
166,11,12,19014178,URMA_WRITE,7,0ns,166,
167,11,9,48094686,URMA_WRITE,7,0ns,167,
168,11,13,21251140,URMA_WRITE,7,0ns,168,
169,11,8,45857724,URMA_WRITE,7,0ns,169,
170,11,14,23488102,URMA_WRITE,7,0ns,170,
171,11,7,43620762,URMA_WRITE,7,0ns,171,
