taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,19014178,URMA_WRITE,7,0ns,0,
1,1,2,19014178,URMA_WRITE,7,0ns,1,
2,2,3,19014178,URMA_WRITE,7,0ns,2,
3,3,0,45857724,URMA_WRITE,7,0ns,3,
4,4,5,19014178,URMA_WRITE,7,0ns,4,
5,5,6,19014178,URMA_WRITE,7,0ns,5,
6,6,7,19014178,URMA_WRITE,7,0ns,6,
7,7,4,45857724,URMA_WRITE,7,0ns,7,
8,8,9,19014178,URMA_WRITE,7,0ns,8,
9,9,10,19014178,URMA_WRITE,7,0ns,9,
10,10,11,19014178,URMA_WRITE,7,0ns,10,
11,11,8,45857724,URMA_WRITE,7,0ns,11,
12,12,13,19014178,URMA_WRITE,7,0ns,12,
13,13,14,19014178,URMA_WRITE,7,0ns,13,
14,14,15,19014178,URMA_WRITE,7,0ns,14,
15,15,12,45857724,URMA_WRITE,7,0ns,15,
16,0,2,21251140,URMA_WRITE,7,0ns,16,
17,1,3,21251140,URMA_WRITE,7,0ns,17,
18,2,0,48094686,URMA_WRITE,7,0ns,18,
19,3,1,48094686,URMA_WRITE,7,0ns,19,
20,4,6,21251140,URMA_WRITE,7,0ns,20,
21,5,7,21251140,URMA_WRITE,7,0ns,21,
22,6,4,48094686,URMA_WRITE,7,0ns,22,
23,7,5,48094686,URMA_WRITE,7,0ns,23,
24,8,10,21251140,URMA_WRITE,7,0ns,24,
25,9,11,21251140,URMA_WRITE,7,0ns,25,
26,10,8,48094686,URMA_WRITE,7,0ns,26,
27,11,9,48094686,URMA_WRITE,7,0ns,27,
28,12,14,21251140,URMA_WRITE,7,0ns,28,
29,13,15,21251140,URMA_WRITE,7,0ns,29,
30,14,12,48094686,URMA_WRITE,7,0ns,30,
31,15,13,48094686,URMA_WRITE,7,0ns,31,
32,0,3,23488102,URMA_WRITE,7,0ns,32,
33,1,0,50331648,URMA_WRITE,7,0ns,33,
34,2,1,50331648,URMA_WRITE,7,0ns,34,
35,3,2,50331648,URMA_WRITE,7,0ns,35,
36,4,7,23488102,URMA_WRITE,7,0ns,36,
37,5,4,50331648,URMA_WRITE,7,0ns,37,
38,6,5,50331648,URMA_WRITE,7,0ns,38,
39,7,6,50331648,URMA_WRITE,7,0ns,39,
40,8,11,23488102,URMA_WRITE,7,0ns,40,
41,9,8,50331648,URMA_WRITE,7,0ns,41,
42,10,9,50331648,URMA_WRITE,7,0ns,42,
43,11,10,50331648,URMA_WRITE,7,0ns,43,
44,12,15,23488102,URMA_WRITE,7,0ns,44,
45,13,12,50331648,URMA_WRITE,7,0ns,45,
46,14,13,50331648,URMA_WRITE,7,0ns,46,
47,15,14,50331648,URMA_WRITE,7,0ns,47,
48,0,12,43620762,URMA_WRITE,7,0ns,48,
49,1,13,43620762,URMA_WRITE,7,0ns,49,
50,2,14,43620762,URMA_WRITE,7,0ns,50,
51,3,15,43620762,URMA_WRITE,7,0ns,51,
52,4,8,25725065,URMA_WRITE,7,0ns,52,
53,5,9,25725065,URMA_WRITE,7,0ns,53,
54,6,10,25725065,URMA_WRITE,7,0ns,54,
55,7,11,25725065,URMA_WRITE,7,0ns,55,
56,8,4,43620762,URMA_WRITE,7,0ns,56,
57,9,5,43620762,URMA_WRITE,7,0ns,57,
58,10,6,43620762,URMA_WRITE,7,0ns,58,
59,11,7,43620762,URMA_WRITE,7,0ns,59,
60,12,0,25725065,URMA_WRITE,7,0ns,60,
61,13,1,25725065,URMA_WRITE,7,0ns,61,
62,14,2,25725065,URMA_WRITE,7,0ns,62,
63,15,3,25725065,URMA_WRITE,7,0ns,63,
64,0,8,34672913,URMA_WRITE,7,0ns,64,
65,1,9,34672913,URMA_WRITE,7,0ns,65,
66,2,10,34672913,URMA_WRITE,7,0ns,66,
67,3,11,34672913,URMA_WRITE,7,0ns,67,
68,4,12,34672913,URMA_WRITE,7,0ns,68,
69,5,13,34672913,URMA_WRITE,7,0ns,69,
70,6,14,34672913,URMA_WRITE,7,0ns,70,
71,7,15,34672913,URMA_WRITE,7,0ns,71,
72,8,0,34672913,URMA_WRITE,7,0ns,72,
73,9,1,34672913,URMA_WRITE,7,0ns,73,
74,10,2,34672913,URMA_WRITE,7,0ns,74,
75,11,3,34672913,URMA_WRITE,7,0ns,75,
76,12,4,34672913,URMA_WRITE,7,0ns,76,
77,13,5,34672913,URMA_WRITE,7,0ns,77,
78,14,6,34672913,URMA_WRITE,7,0ns,78,
79,15,7,34672913,URMA_WRITE,7,0ns,79,
80,0,4,25725065,URMA_WRITE,7,0ns,80,
81,1,5,25725065,URMA_WRITE,7,0ns,81,
82,2,6,25725065,URMA_WRITE,7,0ns,82,
83,3,7,25725065,URMA_WRITE,7,0ns,83,
84,4,0,43620762,URMA_WRITE,7,0ns,84,
85,5,1,43620762,URMA_WRITE,7,0ns,85,
86,6,2,43620762,URMA_WRITE,7,0ns,86,
87,7,3,43620762,URMA_WRITE,7,0ns,87,
88,8,12,25725065,URMA_WRITE,7,0ns,88,
89,9,13,25725065,URMA_WRITE,7,0ns,89,
90,10,14,25725065,URMA_WRITE,7,0ns,90,
91,11,15,25725065,URMA_WRITE,7,0ns,91,
92,12,8,43620762,URMA_WRITE,7,0ns,92,
93,13,9,43620762,URMA_WRITE,7,0ns,93,
94,14,10,43620762,URMA_WRITE,7,0ns,94,
95,15,11,43620762,URMA_WRITE,7,0ns,95,
96,0,13,45857724,URMA_WRITE,7,0ns,96,
97,1,14,45857724,URMA_WRITE,7,0ns,97,
98,2,15,45857724,URMA_WRITE,7,0ns,98,
99,3,12,36909875,URMA_WRITE,7,0ns,99,
100,4,9,27962027,URMA_WRITE,7,0ns,100,
101,5,10,27962027,URMA_WRITE,7,0ns,101,
102,6,11,27962027,URMA_WRITE,7,0ns,102,
103,7,8,19014178,URMA_WRITE,7,0ns,103,
104,8,7,50331648,URMA_WRITE,7,0ns,104,
105,9,4,41383799,URMA_WRITE,7,0ns,105,
106,10,5,41383799,URMA_WRITE,7,0ns,106,
107,11,6,41383799,URMA_WRITE,7,0ns,107,
108,12,3,32435951,URMA_WRITE,7,0ns,108,
109,13,0,23488102,URMA_WRITE,7,0ns,109,
110,14,1,23488102,URMA_WRITE,7,0ns,110,
111,15,2,23488102,URMA_WRITE,7,0ns,111,
112,0,9,36909875,URMA_WRITE,7,0ns,112,48
113,1,10,36909875,URMA_WRITE,7,0ns,113,49
114,2,11,36909875,URMA_WRITE,7,0ns,114,50
115,3,8,27962027,URMA_WRITE,7,0ns,115,51
116,4,15,41383799,URMA_WRITE,7,0ns,116,52
117,5,12,32435951,URMA_WRITE,7,0ns,117,53
118,6,13,32435951,URMA_WRITE,7,0ns,118,54
119,7,14,32435951,URMA_WRITE,7,0ns,119,55
120,8,3,41383799,URMA_WRITE,7,0ns,120,56
121,9,0,32435951,URMA_WRITE,7,0ns,121,57
122,10,1,32435951,URMA_WRITE,7,0ns,122,58
123,11,2,32435951,URMA_WRITE,7,0ns,123,59
124,12,5,36909875,URMA_WRITE,7,0ns,124,60
125,13,6,36909875,URMA_WRITE,7,0ns,125,61
126,14,7,36909875,URMA_WRITE,7,0ns,126,62
127,15,4,27962027,URMA_WRITE,7,0ns,127,63
128,0,5,27962027,URMA_WRITE,7,0ns,128,64
129,1,6,27962027,URMA_WRITE,7,0ns,129,65
130,2,7,27962027,URMA_WRITE,7,0ns,130,66
131,3,4,19014178,URMA_WRITE,7,0ns,131,67
132,4,3,50331648,URMA_WRITE,7,0ns,132,68
133,5,0,41383799,URMA_WRITE,7,0ns,133,69
134,6,1,41383799,URMA_WRITE,7,0ns,134,70
135,7,2,41383799,URMA_WRITE,7,0ns,135,71
136,8,13,27962027,URMA_WRITE,7,0ns,136,72
137,9,14,27962027,URMA_WRITE,7,0ns,137,73
138,10,15,27962027,URMA_WRITE,7,0ns,138,74
139,11,12,19014178,URMA_WRITE,7,0ns,139,75
140,12,11,50331648,URMA_WRITE,7,0ns,140,76
141,13,8,41383799,URMA_WRITE,7,0ns,141,77
142,14,9,41383799,URMA_WRITE,7,0ns,142,78
143,15,10,41383799,URMA_WRITE,7,0ns,143,79
