nodeId,dstNodeId,dstPortId,outPorts,metrics
0,1,0,0,1
0,2,0,1,1
0,3,0,2,1
0,4,3,3,2
0,4,4,4,2
0,4,5,5,2
0,4,6,6,2
0,5,3,3,2
0,5,4,4,2
0,5,5,5,2
0,5,6,6,2
0,6,3,3,2
0,6,4,4,2
0,6,5,5,2
0,6,6,6,2
0,7,3,3,2
0,7,4,4,2
0,7,5,5,2
0,7,6,6,2
0,8,3,3,2
0,8,4,4,2
0,8,5,5,2
0,8,6,6,2
0,9,3,3,2
0,9,4,4,2
0,9,5,5,2
0,9,6,6,2
0,10,3,3,2
0,10,4,4,2
0,10,5,5,2
0,10,6,6,2
0,11,3,3,2
0,11,4,4,2
0,11,5,5,2
0,11,6,6,2
0,12,3,3,2
0,12,4,4,2
0,12,5,5,2
0,12,6,6,2
0,13,3,3,2
0,13,4,4,2
0,13,5,5,2
0,13,6,6,2
0,14,3,3,2
0,14,4,4,2
0,14,5,5,2
0,14,6,6,2
0,15,3,3,2
0,15,4,4,2
0,15,5,5,2
0,15,6,6,2
1,0,0,0,1
1,2,1,1,1
1,3,1,2,1
1,4,3,3,2
1,4,4,4,2
1,4,5,5,2
1,4,6,6,2
1,5,3,3,2
1,5,4,4,2
1,5,5,5,2
1,5,6,6,2
1,6,3,3,2
1,6,4,4,2
1,6,5,5,2
1,6,6,6,2
1,7,3,3,2
1,7,4,4,2
1,7,5,5,2
1,7,6,6,2
1,8,3,3,2
1,8,4,4,2
1,8,5,5,2
1,8,6,6,2
1,9,3,3,2
1,9,4,4,2
1,9,5,5,2
1,9,6,6,2
1,10,3,3,2
1,10,4,4,2
1,10,5,5,2
1,10,6,6,2
1,11,3,3,2
1,11,4,4,2
1,11,5,5,2
1,11,6,6,2
1,12,3,3,2
1,12,4,4,2
1,12,5,5,2
1,12,6,6,2
1,13,3,3,2
1,13,4,4,2
1,13,5,5,2
1,13,6,6,2
1,14,3,3,2
1,14,4,4,2
1,14,5,5,2
1,14,6,6,2
1,15,3,3,2
1,15,4,4,2
1,15,5,5,2
1,15,6,6,2
2,0,1,0,1
2,1,1,1,1
2,3,2,2,1
2,4,3,3,2
2,4,4,4,2
2,4,5,5,2
2,4,6,6,2
2,5,3,3,2
2,5,4,4,2
2,5,5,5,2
2,5,6,6,2
2,6,3,3,2
2,6,4,4,2
2,6,5,5,2
2,6,6,6,2
2,7,3,3,2
2,7,4,4,2
2,7,5,5,2
2,7,6,6,2
2,8,3,3,2
2,8,4,4,2
2,8,5,5,2
2,8,6,6,2
2,9,3,3,2
2,9,4,4,2
2,9,5,5,2
2,9,6,6,2
2,10,3,3,2
2,10,4,4,2
2,10,5,5,2
2,10,6,6,2
2,11,3,3,2
2,11,4,4,2
2,11,5,5,2
2,11,6,6,2
2,12,3,3,2
2,12,4,4,2
2,12,5,5,2
2,12,6,6,2
2,13,3,3,2
2,13,4,4,2
2,13,5,5,2
2,13,6,6,2
2,14,3,3,2
2,14,4,4,2
2,14,5,5,2
2,14,6,6,2
2,15,3,3,2
2,15,4,4,2
