taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,382917,URMA_WRITE,7,0ns,0,,0.0,7.818,0.001,7.82124,391.8312
1,0,4,3306416,URMA_WRITE,7,0ns,1,,0.0,120.51974,0.001,144.13774,219.4771
2,0,5,555856,URMA_WRITE,7,0ns,2,,0.0,12.05302,0.001,12.05886,368.9406
3,0,6,2071089,URMA_WRITE,7,0ns,3,,0.0,46.48676,0.001,46.56736,356.4179
4,0,7,476100,URMA_WRITE,7,0ns,4,,0.0,15.11054,0.001,15.21806,252.0625
5,4,5,2064922,URMA_WRITE,7,0ns,5,,0.0,42.1315,0.001,42.13474,392.0909
6,4,8,530308,URMA_WRITE,7,0ns,6,,0.0,12.05466,0.001,12.0608,351.9356
7,4,9,700215,URMA_WRITE,7,0ns,7,,0.0,17.711,0.001,17.85672,316.2848
8,4,10,1925602,URMA_WRITE,7,0ns,8,,0.0,72.97388,0.001,72.98002,211.1004
9,4,11,3297442,URMA_WRITE,7,0ns,9,,0.0,96.66958,0.001,96.79748,272.8835
10,8,9,1206680,URMA_WRITE,7,0ns,10,,0.0,24.62294,0.001,24.62618,392.0507
11,8,12,1075310,URMA_WRITE,7,0ns,11,,0.0,30.2934,0.001,30.4515,283.9721
12,8,13,1702101,URMA_WRITE,7,0ns,12,,0.0,42.49422,0.001,42.58424,320.4391
13,8,14,429811,URMA_WRITE,7,0ns,13,,0.0,9.41954,0.001,9.50816,365.0378
14,8,15,1145544,URMA_WRITE,7,0ns,14,,0.0,42.14478,0.001,42.15086,217.4493
15,12,13,581872,URMA_WRITE,7,0ns,15,,0.0,11.87726,0.001,11.8805,391.9234
16,12,0,603933,URMA_WRITE,7,0ns,16,,0.0,13.65636,0.001,13.6625,353.7886
17,12,1,3266662,URMA_WRITE,7,0ns,17,,0.0,102.57586,0.001,102.8236,254.7704
18,12,2,3197907,URMA_WRITE,7,0ns,18,,0.0,80.14428,0.001,80.15042,319.215
19,12,3,217657,URMA_WRITE,7,0ns,19,,0.0,5.17602,0.001,5.18216,336.4083
20,1,2,1340071,URMA_WRITE,7,0ns,20,,0.0,32.12934,0.001,32.13224,333.6691
21,1,7,473737,URMA_WRITE,7,0ns,21,,0.0,10.4388,0.001,10.44494,363.0586
22,1,4,1190844,URMA_WRITE,7,0ns,22,,0.0,33.27142,0.001,33.42904,286.3344
23,1,5,309517,URMA_WRITE,7,0ns,23,,0.0,7.12794,0.001,7.13408,347.3845
24,1,6,603209,URMA_WRITE,7,0ns,24,,0.0,13.23896,0.001,13.32958,364.5054
25,5,6,3694495,URMA_WRITE,7,0ns,25,,0.0,75.67152,0.001,75.67476,390.5823
26,5,11,690637,URMA_WRITE,7,0ns,26,,0.0,18.41706,0.001,18.56948,299.9988
27,5,8,323808,URMA_WRITE,7,0ns,27,,0.0,7.4695,0.001,7.47564,346.8055
28,5,9,1398959,URMA_WRITE,7,0ns,28,,0.0,48.84834,0.001,48.95698,229.1106
29,5,10,718518,URMA_WRITE,7,0ns,29,,0.0,17.22492,0.001,17.32332,333.7109
30,9,10,884478,URMA_WRITE,7,0ns,30,,0.0,18.04946,0.001,18.0527,392.0241
31,9,15,398036,URMA_WRITE,7,0ns,31,,0.0,8.7436,0.001,8.83356,364.185
32,9,12,1607758,URMA_WRITE,7,0ns,32,,0.0,59.33962,0.001,60.1438,216.7534
33,9,13,735985,URMA_WRITE,7,0ns,33,,0.0,24.38832,0.001,24.39446,241.4221
34,9,14,303047,URMA_WRITE,7,0ns,34,,0.0,6.95816,0.001,6.9643,348.422
35,13,14,1403042,URMA_WRITE,7,0ns,35,,0.0,28.62878,0.001,28.63202,392.0648
36,13,3,1302763,URMA_WRITE,7,0ns,36,,0.0,47.02026,0.001,47.9466,221.6513
37,13,0,655430,URMA_WRITE,7,0ns,37,,0.0,14.26066,0.001,14.2668,367.6856
38,13,1,871469,URMA_WRITE,7,0ns,38,,0.0,18.75456,0.001,18.84452,371.7364
39,13,2,823911,URMA_WRITE,7,0ns,39,,0.0,27.69604,0.001,27.85786,237.9867
40,2,3,421206,URMA_WRITE,7,0ns,40,,0.0,8.59906,0.001,8.6023,391.8624
41,2,6,1693395,URMA_WRITE,7,0ns,41,,0.0,52.44274,0.001,52.76206,258.3229
42,2,7,917113,URMA_WRITE,7,0ns,42,,0.0,29.36656,0.001,29.65766,249.8387
43,2,4,2022050,URMA_WRITE,7,0ns,43,,0.0,75.02344,0.001,76.9708,215.6179
44,2,5,1124455,URMA_WRITE,7,0ns,44,,0.0,34.55898,0.001,34.56856,260.2982
45,6,7,1083112,URMA_WRITE,7,0ns,45,,0.0,22.1023,0.001,22.10554,392.0359
46,6,10,1255312,URMA_WRITE,7,0ns,46,,0.0,35.08944,0.001,35.09534,286.1971
47,6,11,2075524,URMA_WRITE,7,0ns,47,,0.0,69.0799,0.001,69.08578,240.3621
48,6,8,2776189,URMA_WRITE,7,0ns,48,,0.0,68.34336,0.001,68.43298,324.9696
49,6,9,1342905,URMA_WRITE,7,0ns,49,,0.0,27.9542,0.001,27.96034,384.3158
50,10,11,709083,URMA_WRITE,7,0ns,50,,0.0,14.47232,0.001,14.47556,391.9665
51,10,14,2093242,URMA_WRITE,7,0ns,51,,0.0,49.40426,0.001,49.58456,338.9573
52,10,15,704838,URMA_WRITE,7,0ns,52,,0.0,14.93942,0.001,14.94556,377.4379
53,10,12,500565,URMA_WRITE,7,0ns,53,,0.0,11.02584,0.001,11.11552,363.1941
54,10,13,1405946,URMA_WRITE,7,0ns,54,,0.0,29.82468,0.001,30.07376,377.1228
55,14,15,1707426,URMA_WRITE,7,0ns,55,,0.0,39.37786,0.001,39.38076,346.8804
56,14,2,818886,URMA_WRITE,7,0ns,56,,0.0,18.08376,0.001,18.0899,362.2636
57,14,3,528025,URMA_WRITE,7,0ns,57,,0.0,11.4588,0.001,11.54876,368.6424
58,14,0,439192,URMA_WRITE,7,0ns,58,,0.0,9.5918,0.001,9.68176,366.3062
59,14,1,1485693,URMA_WRITE,7,0ns,59,,0.0,31.55308,0.001,31.7967,376.6841
60,3,0,1135592,URMA_WRITE,7,0ns,60,,0.0,23.17342,0.001,23.17666,392.0326
61,3,5,1349728,URMA_WRITE,7,0ns,61,,0.0,55.49458,0.001,55.5842,194.5744
62,3,6,1997203,URMA_WRITE,7,0ns,62,,0.0,66.44326,0.001,67.3811,240.4702
63,3,7,850755,URMA_WRITE,7,0ns,63,,0.0,18.84944,0.001,18.85558,361.0739
64,3,4,279696,URMA_WRITE,7,0ns,64,,0.0,6.28128,0.001,6.37124,356.228
65,7,4,845416,URMA_WRITE,7,0ns,65,,0.0,17.25294,0.001,17.25618,392.0102
66,7,9,353413,URMA_WRITE,7,0ns,66,,0.0,8.14794,0.001,8.15408,346.9962
67,7,10,742244,URMA_WRITE,7,0ns,67,,0.0,20.80592,0.001,20.81206,285.3972
68,7,11,1520270,URMA_WRITE,7,0ns,68,,0.0,44.65588,0.001,44.97244,272.3529
69,7,8,1142013,URMA_WRITE,7,0ns,69,,0.0,41.20806,0.001,41.88802,221.7067
70,11,8,573770,URMA_WRITE,7,0ns,70,,0.0,11.7121,0.001,11.71534,391.9161
71,11,13,682747,URMA_WRITE,7,0ns,71,,0.0,20.76296,0.001,20.92066,263.0635
72,11,14,448979,URMA_WRITE,7,0ns,72,,0.0,10.18664,0.001,10.19278,352.6022
73,11,15,4197180,URMA_WRITE,7,0ns,73,,0.0,130.26732,0.001,130.35728,257.758
74,11,12,904920,URMA_WRITE,7,0ns,74,,0.0,23.52752,0.001,23.53366,307.6975
75,15,12,664348,URMA_WRITE,7,0ns,75,,0.0,13.56046,0.001,13.5637,391.9324
76,15,1,1643018,URMA_WRITE,7,0ns,76,,0.0,56.44702,0.001,78.77178,232.8581
77,15,2,621856,URMA_WRITE,7,0ns,77,,0.0,16.30226,0.001,16.48578,305.1631
78,15,3,1031843,URMA_WRITE,7,0ns,78,,0.0,21.90352,0.001,21.90966,376.8684
79,15,0,1265190,URMA_WRITE,7,0ns,79,,0.0,28.5339,0.001,28.69652,354.7191
80,0,2,943593,URMA_WRITE,7,0ns,80,0.0,7.818,27.21766,7.819,27.2209,389.1173
81,0,8,594737,URMA_WRITE,7,0ns,81,1.0,120.51974,132.8692,120.52016,132.95916,385.2716
82,0,9,1473131,URMA_WRITE,7,0ns,82,2.0,12.05302,44.87404,12.05414,44.964,359.0701
83,0,10,1052045,URMA_WRITE,7,0ns,83,3.0,46.48676,69.50778,46.48818,69.59774,365.5946
84,0,11,529775,URMA_WRITE,7,0ns,84,4.0,15.11054,49.85992,15.11196,79.44048,121.9648
85,4,6,1438747,URMA_WRITE,7,0ns,85,5.0,42.1315,71.62954,42.1325,71.63278,390.1946
