taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,698310,URMA_WRITE,7,0ns,0,
1,0,1,1212267,URMA_WRITE,7,0ns,1,
2,0,14,2160481,URMA_WRITE,7,0ns,2,
3,0,2,103200,URMA_WRITE,7,0ns,3,
4,0,13,2059625,URMA_WRITE,7,0ns,4,
5,0,3,1108304,URMA_WRITE,7,0ns,5,
6,0,12,1504920,URMA_WRITE,7,0ns,6,
7,0,4,2369437,URMA_WRITE,7,0ns,7,
8,0,11,414968,URMA_WRITE,7,0ns,8,
9,0,5,281622,URMA_WRITE,7,0ns,9,
10,0,10,366739,URMA_WRITE,7,0ns,10,
11,0,6,1589167,URMA_WRITE,7,0ns,11,
12,0,9,1293814,URMA_WRITE,7,0ns,12,
13,0,7,726142,URMA_WRITE,7,0ns,13,
14,0,8,888220,URMA_WRITE,7,0ns,14,
15,1,0,1612703,URMA_WRITE,7,0ns,15,
16,1,2,468579,URMA_WRITE,7,0ns,16,
17,1,15,4272728,URMA_WRITE,7,0ns,17,
18,1,3,456524,URMA_WRITE,7,0ns,18,
19,1,14,412745,URMA_WRITE,7,0ns,19,
20,1,4,275302,URMA_WRITE,7,0ns,20,
21,1,13,582244,URMA_WRITE,7,0ns,21,
22,1,5,1191158,URMA_WRITE,7,0ns,22,
23,1,12,410216,URMA_WRITE,7,0ns,23,
24,1,6,733860,URMA_WRITE,7,0ns,24,
25,1,11,589753,URMA_WRITE,7,0ns,25,
26,1,7,1929411,URMA_WRITE,7,0ns,26,
27,1,10,1679197,URMA_WRITE,7,0ns,27,
28,1,8,1400325,URMA_WRITE,7,0ns,28,
29,1,9,762471,URMA_WRITE,7,0ns,29,
30,2,1,1657416,URMA_WRITE,7,0ns,30,
31,2,3,120343,URMA_WRITE,7,0ns,31,
32,2,0,1120974,URMA_WRITE,7,0ns,32,
33,2,4,497879,URMA_WRITE,7,0ns,33,
34,2,15,231621,URMA_WRITE,7,0ns,34,
35,2,5,1644687,URMA_WRITE,7,0ns,35,
36,2,14,1341895,URMA_WRITE,7,0ns,36,
37,2,6,1415814,URMA_WRITE,7,0ns,37,
38,2,13,5129512,URMA_WRITE,7,0ns,38,
39,2,7,155362,URMA_WRITE,7,0ns,39,
40,2,12,1429970,URMA_WRITE,7,0ns,40,
41,2,8,431234,URMA_WRITE,7,0ns,41,
42,2,11,548611,URMA_WRITE,7,0ns,42,
43,2,9,660723,URMA_WRITE,7,0ns,43,
44,2,10,391175,URMA_WRITE,7,0ns,44,
45,3,2,1550537,URMA_WRITE,7,0ns,45,
46,3,4,692649,URMA_WRITE,7,0ns,46,
47,3,1,1248064,URMA_WRITE,7,0ns,47,
48,3,5,941651,URMA_WRITE,7,0ns,48,
49,3,0,513479,URMA_WRITE,7,0ns,49,
50,3,6,2335716,URMA_WRITE,7,0ns,50,
51,3,15,309648,URMA_WRITE,7,0ns,51,
52,3,7,1327865,URMA_WRITE,7,0ns,52,
53,3,14,1088293,URMA_WRITE,7,0ns,53,
54,3,8,3451022,URMA_WRITE,7,0ns,54,
55,3,13,395568,URMA_WRITE,7,0ns,55,
56,3,9,237296,URMA_WRITE,7,0ns,56,
57,3,12,1486952,URMA_WRITE,7,0ns,57,
58,3,10,519924,URMA_WRITE,7,0ns,58,
59,3,11,678552,URMA_WRITE,7,0ns,59,
60,4,3,1331823,URMA_WRITE,7,0ns,60,
61,4,5,1148249,URMA_WRITE,7,0ns,61,
62,4,2,6686964,URMA_WRITE,7,0ns,62,
63,4,6,542563,URMA_WRITE,7,0ns,63,
64,4,1,312181,URMA_WRITE,7,0ns,64,
65,4,7,453676,URMA_WRITE,7,0ns,65,
66,4,0,732599,URMA_WRITE,7,0ns,66,
67,4,8,803124,URMA_WRITE,7,0ns,67,
68,4,15,563312,URMA_WRITE,7,0ns,68,
69,4,9,567806,URMA_WRITE,7,0ns,69,
70,4,14,1945051,URMA_WRITE,7,0ns,70,
71,4,10,282530,URMA_WRITE,7,0ns,71,
72,4,13,557014,URMA_WRITE,7,0ns,72,
73,4,11,294693,URMA_WRITE,7,0ns,73,
74,4,12,555631,URMA_WRITE,7,0ns,74,
75,5,4,1493054,URMA_WRITE,7,0ns,75,
76,5,6,899661,URMA_WRITE,7,0ns,76,
77,5,3,2891914,URMA_WRITE,7,0ns,77,
78,5,7,1518808,URMA_WRITE,7,0ns,78,
79,5,2,255404,URMA_WRITE,7,0ns,79,
80,5,8,471626,URMA_WRITE,7,0ns,80,
81,5,1,898182,URMA_WRITE,7,0ns,81,
82,5,9,1074991,URMA_WRITE,7,0ns,82,
83,5,0,788619,URMA_WRITE,7,0ns,83,
84,5,10,445364,URMA_WRITE,7,0ns,84,
85,5,15,1984274,URMA_WRITE,7,0ns,85,
86,5,11,1092007,URMA_WRITE,7,0ns,86,
87,5,14,574949,URMA_WRITE,7,0ns,87,
88,5,12,957765,URMA_WRITE,7,0ns,88,
89,5,13,1430598,URMA_WRITE,7,0ns,89,
90,6,5,489872,URMA_WRITE,7,0ns,90,
91,6,7,959897,URMA_WRITE,7,0ns,91,
92,6,4,845609,URMA_WRITE,7,0ns,92,
93,6,8,730537,URMA_WRITE,7,0ns,93,
94,6,3,2206558,URMA_WRITE,7,0ns,94,
95,6,9,1235084,URMA_WRITE,7,0ns,95,
96,6,2,555818,URMA_WRITE,7,0ns,96,
97,6,10,2750706,URMA_WRITE,7,0ns,97,
98,6,1,955324,URMA_WRITE,7,0ns,98,
99,6,11,316222,URMA_WRITE,7,0ns,99,
100,6,0,422510,URMA_WRITE,7,0ns,100,
101,6,12,1105557,URMA_WRITE,7,0ns,101,
102,6,15,831666,URMA_WRITE,7,0ns,102,
103,6,13,1548771,URMA_WRITE,7,0ns,103,
104,6,14,1823085,URMA_WRITE,7,0ns,104,
105,7,6,1055701,URMA_WRITE,7,0ns,105,
106,7,8,2172032,URMA_WRITE,7,0ns,106,
107,7,5,400591,URMA_WRITE,7,0ns,107,
108,7,9,889552,URMA_WRITE,7,0ns,108,
109,7,4,1097993,URMA_WRITE,7,0ns,109,
110,7,10,1251914,URMA_WRITE,7,0ns,110,
111,7,3,758156,URMA_WRITE,7,0ns,111,
112,7,11,1098699,URMA_WRITE,7,0ns,112,
113,7,2,798937,URMA_WRITE,7,0ns,113,
114,7,12,2502861,URMA_WRITE,7,0ns,114,
115,7,1,1510204,URMA_WRITE,7,0ns,115,
116,7,13,363432,URMA_WRITE,7,0ns,116,
117,7,0,654978,URMA_WRITE,7,0ns,117,
118,7,14,1673540,URMA_WRITE,7,0ns,118,
119,7,15,548626,URMA_WRITE,7,0ns,119,
120,8,7,181773,URMA_WRITE,7,0ns,120,
121,8,9,2542290,URMA_WRITE,7,0ns,121,
122,8,6,576163,URMA_WRITE,7,0ns,122,
123,8,10,3251101,URMA_WRITE,7,0ns,123,
124,8,5,1666721,URMA_WRITE,7,0ns,124,
125,8,11,1343224,URMA_WRITE,7,0ns,125,
126,8,4,1070862,URMA_WRITE,7,0ns,126,
127,8,12,743566,URMA_WRITE,7,0ns,127,
128,8,3,712512,URMA_WRITE,7,0ns,128,
129,8,13,478495,URMA_WRITE,7,0ns,129,
130,8,2,207880,URMA_WRITE,7,0ns,130,
131,8,14,1421215,URMA_WRITE,7,0ns,131,
132,8,1,973902,URMA_WRITE,7,0ns,132,
133,8,15,1011481,URMA_WRITE,7,0ns,133,
134,8,0,596031,URMA_WRITE,7,0ns,134,
135,9,8,676790,URMA_WRITE,7,0ns,135,
136,9,10,728680,URMA_WRITE,7,0ns,136,
137,9,7,1064552,URMA_WRITE,7,0ns,137,
138,9,11,1344163,URMA_WRITE,7,0ns,138,
139,9,6,650321,URMA_WRITE,7,0ns,139,
140,9,12,3827383,URMA_WRITE,7,0ns,140,
141,9,5,617081,URMA_WRITE,7,0ns,141,
142,9,13,1032528,URMA_WRITE,7,0ns,142,
143,9,4,700449,URMA_WRITE,7,0ns,143,
144,9,14,533163,URMA_WRITE,7,0ns,144,
145,9,3,1915709,URMA_WRITE,7,0ns,145,
146,9,15,719211,URMA_WRITE,7,0ns,146,
147,9,2,1100624,URMA_WRITE,7,0ns,147,
148,9,0,1515186,URMA_WRITE,7,0ns,148,
149,9,1,351376,URMA_WRITE,7,0ns,149,
150,10,9,296815,URMA_WRITE,7,0ns,150,
151,10,11,1412783,URMA_WRITE,7,0ns,151,
152,10,8,1318656,URMA_WRITE,7,0ns,152,
153,10,12,739473,URMA_WRITE,7,0ns,153,
154,10,7,1588534,URMA_WRITE,7,0ns,154,
155,10,13,932299,URMA_WRITE,7,0ns,155,
156,10,6,1149721,URMA_WRITE,7,0ns,156,
157,10,14,1471191,URMA_WRITE,7,0ns,157,
