taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1212267,URMA_WRITE,7,0ns,0,,0.0,29.81406,0.001,29.81696,325.2873
1,1,2,468579,URMA_WRITE,7,0ns,1,,0.0,14.86372,0.001,14.86662,252.2001
2,2,3,120343,URMA_WRITE,7,0ns,2,,0.0,6.72572,0.001,6.72862,143.1436
3,3,0,513479,URMA_WRITE,7,0ns,3,,0.0,14.87736,0.001,14.88026,276.113
4,4,5,1148249,URMA_WRITE,7,0ns,4,,0.0,28.45696,0.001,28.45986,322.803
5,5,6,899661,URMA_WRITE,7,0ns,5,,0.0,18.5224,0.001,18.52564,388.5721
6,6,7,959897,URMA_WRITE,7,0ns,6,,0.0,21.85664,0.001,21.85954,351.3429
7,7,4,1097993,URMA_WRITE,7,0ns,7,,0.0,22.55646,0.001,22.5597,389.4203
8,8,9,2542290,URMA_WRITE,7,0ns,8,,0.0,52.09412,0.001,52.09736,390.4149
9,9,10,728680,URMA_WRITE,7,0ns,9,,0.0,14.96972,0.001,14.97296,389.4154
10,10,11,1412783,URMA_WRITE,7,0ns,10,,0.0,30.2822,0.001,30.286,373.2313
11,11,8,1022503,URMA_WRITE,7,0ns,11,,0.0,25.74072,0.001,25.74362,317.7854
12,12,13,2428321,URMA_WRITE,7,0ns,12,,0.0,49.70228,0.001,49.70552,390.8587
13,13,14,1131472,URMA_WRITE,7,0ns,13,,0.0,28.452,0.001,28.4549,318.142
14,14,15,505187,URMA_WRITE,7,0ns,14,,0.0,14.87488,0.001,14.87778,271.6994
15,15,12,725086,URMA_WRITE,7,0ns,15,,0.0,15.0319,0.001,15.03432,385.8919
16,0,2,103200,URMA_WRITE,7,0ns,16,,0.0,6.72076,0.001,6.72366,122.8432
17,1,3,456524,URMA_WRITE,7,0ns,17,,0.0,13.5215,0.001,13.5244,270.1026
18,2,0,1120974,URMA_WRITE,7,0ns,18,,0.0,22.90898,0.001,22.91222,391.4531
19,3,1,1248064,URMA_WRITE,7,0ns,19,,0.0,25.61776,0.001,25.621,389.7496
20,4,6,542563,URMA_WRITE,7,0ns,20,,0.0,16.22454,0.001,16.22744,267.5271
21,5,7,1518808,URMA_WRITE,7,0ns,21,,0.0,31.12364,0.001,31.12688,390.3934
22,6,4,845609,URMA_WRITE,7,0ns,22,,0.0,17.43754,0.001,17.44078,387.9488
23,7,5,400591,URMA_WRITE,7,0ns,23,,0.0,13.50334,0.001,13.50624,237.3285
24,8,10,3251101,URMA_WRITE,7,0ns,24,,0.0,66.7655,0.001,66.76874,389.5546
25,9,11,1344163,URMA_WRITE,7,0ns,25,,0.0,27.60762,0.001,27.61086,389.5049
26,10,8,1318656,URMA_WRITE,7,0ns,26,,0.0,32.5241,0.001,32.527,324.3517
27,11,9,540624,URMA_WRITE,7,0ns,27,,0.0,16.2233,0.001,16.2262,266.5914
28,12,14,1896224,URMA_WRITE,7,0ns,28,,0.0,38.95056,0.001,38.9538,389.4627
29,13,15,459482,URMA_WRITE,7,0ns,29,,0.0,14.86124,0.001,14.86414,247.3452
30,14,12,788972,URMA_WRITE,7,0ns,30,,0.0,21.65374,0.001,21.65664,291.4866
31,15,13,875553,URMA_WRITE,7,0ns,31,,0.0,18.0222,0.001,18.02544,388.6553
32,0,3,1108304,URMA_WRITE,7,0ns,32,,0.0,22.78598,0.001,22.78922,389.1179
33,1,0,1612703,URMA_WRITE,7,0ns,33,,0.0,33.30634,0.001,33.30958,387.3624
34,2,1,1657416,URMA_WRITE,7,0ns,34,,0.0,33.97478,0.001,33.97802,390.2697
35,3,2,1550537,URMA_WRITE,7,0ns,35,,0.0,31.67768,0.001,31.68092,391.5784
36,4,7,453676,URMA_WRITE,7,0ns,36,,0.0,13.52026,0.001,13.52316,268.4422
37,5,4,1493054,URMA_WRITE,7,0ns,37,,0.0,30.84546,0.001,30.8487,387.2347
38,6,5,489872,URMA_WRITE,7,0ns,38,,0.0,14.86992,0.001,14.87282,263.5506
39,7,6,1055701,URMA_WRITE,7,0ns,39,,0.0,21.85706,0.001,21.85972,386.4018
40,8,11,1343224,URMA_WRITE,7,0ns,40,,0.0,27.74626,0.001,27.7495,387.2879
41,9,8,676790,URMA_WRITE,7,0ns,41,,0.0,18.94326,0.001,18.94616,285.8178
42,10,9,296815,URMA_WRITE,7,0ns,42,,0.0,10.79534,0.001,10.79824,219.9579
43,11,10,1461432,URMA_WRITE,7,0ns,43,,0.0,30.28352,0.001,30.28594,386.0666
44,12,15,711855,URMA_WRITE,7,0ns,44,,0.0,15.03058,0.001,15.03438,378.8836
45,13,12,476767,URMA_WRITE,7,0ns,45,,0.0,14.8662,0.001,14.8691,256.5643
46,14,13,5107310,URMA_WRITE,7,0ns,46,,0.0,104.56974,0.001,104.57298,390.7295
47,15,14,769467,URMA_WRITE,7,0ns,47,,0.0,15.87108,0.001,15.87432,387.8587
48,0,12,1504920,URMA_WRITE,7,0ns,48,,0.0,33.59054,0.001,33.73838,358.4152
49,1,13,582244,URMA_WRITE,7,0ns,49,,0.0,16.32262,0.001,16.41224,285.3679
50,2,14,1341895,URMA_WRITE,7,0ns,50,,0.0,35.2858,0.001,35.54554,304.2346
51,3,15,309648,URMA_WRITE,7,0ns,51,,0.0,10.88454,0.001,10.97416,227.5874
52,4,8,803124,URMA_WRITE,7,0ns,52,,0.0,33.84414,0.001,34.7883,189.8406
53,5,9,1074991,URMA_WRITE,7,0ns,53,,0.0,27.0694,0.001,27.07554,317.6992
54,6,10,2750706,URMA_WRITE,7,0ns,54,,0.0,115.3371,0.001,115.63736,190.7942
55,7,11,1098699,URMA_WRITE,7,0ns,55,,0.0,23.2777,0.001,23.36766,377.5971
56,8,4,1070862,URMA_WRITE,7,0ns,56,,0.0,34.61638,0.001,34.77358,247.481
57,9,5,617081,URMA_WRITE,7,0ns,57,,0.0,20.45664,0.001,24.9479,241.3225
58,10,6,1149721,URMA_WRITE,7,0ns,58,,0.0,48.49848,0.001,48.6397,189.6506
59,11,7,495847,URMA_WRITE,7,0ns,59,,0.0,14.95808,0.001,15.0477,265.1929
60,12,0,283864,URMA_WRITE,7,0ns,60,,0.0,10.8773,0.001,10.96692,208.7753
61,13,1,1804491,URMA_WRITE,7,0ns,61,,0.0,38.14294,0.001,38.14908,378.4692
62,14,2,937144,URMA_WRITE,7,0ns,62,,0.0,34.11274,0.001,35.28828,219.7757
63,15,3,712749,URMA_WRITE,7,0ns,63,,0.0,15.13286,0.001,15.22224,376.7954
64,0,8,888220,URMA_WRITE,7,0ns,64,,0.0,25.37638,0.001,25.58816,280.0147
65,1,9,762471,URMA_WRITE,7,0ns,65,,0.0,16.22756,0.001,16.31752,375.8894
66,2,10,391175,URMA_WRITE,7,0ns,66,,0.0,12.24784,0.001,12.33746,255.5063
67,3,11,678552,URMA_WRITE,7,0ns,67,,0.0,21.78378,0.001,22.05302,249.1953
