nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,55.4177,763013,110.32
0,0,Tx,0.001,55.4187,2770544,399.95
0,1,Rx,0.08548,28.29212,1000764,283.84
0,1,Tx,0.001,28.29312,1414265,399.9
0,2,Rx,0.08548,25.26944,1258857,399.89
0,2,Tx,0.001,25.26362,998171,316.09
0,3,Rx,0.17096,124.54488,2676436,172.15
0,3,Tx,0.001,124.53258,3312304,212.78
0,4,Rx,0.17096,102.83472,4667155,363.68
0,4,Tx,0.001,102.83572,3558836,276.86
0,5,Rx,0.17096,136.87976,5360016,313.66
0,5,Tx,0.001,136.88076,3492929,204.15
0,6,Rx,0.17096,110.70672,3560539,257.69
0,6,Tx,0.001,110.61094,1875758,135.67
1,0,Rx,0.08548,55.42094,2766432,399.95
1,0,Tx,0.001,55.41512,767108,110.75
1,1,Rx,0.08548,20.31764,922492,364.76
1,1,Tx,0.001,20.31534,1015592,399.95
1,2,Rx,0.08548,23.5146,1171115,399.88
1,2,Tx,0.001,23.50878,731620,248.98
1,3,Rx,0.17096,123.00336,4042014,263.25
1,3,Tx,0.001,122.90758,2102492,136.85
1,4,Rx,0.17096,98.4255,2774185,225.88
1,4,Tx,0.001,98.09546,2556919,208.53
1,5,Rx,0.17096,133.22448,3702854,222.64
1,5,Tx,0.001,133.21218,4210712,252.87
1,6,Rx,0.17096,146.36322,2862849,156.66
1,6,Tx,0.001,146.36422,6021220,329.11
2,0,Rx,0.08548,28.29536,1410153,399.9
2,0,Tx,0.001,28.28954,1004859,284.17
2,1,Rx,0.08548,20.31758,1011480,399.95
2,1,Tx,0.001,20.3154,926604,364.91
2,2,Rx,0.08548,26.82472,1336837,399.96
2,2,Tx,0.001,26.82254,1285107,383.31
2,3,Rx,0.17096,113.76888,3275243,230.66
2,3,Tx,0.001,113.46186,2862245,201.81
2,4,Rx,0.17096,124.73266,3082701,197.99
2,4,Tx,0.001,124.73366,5508837,353.32
2,5,Rx,0.17096,138.3956,3083011,178.43
2,5,Tx,0.001,138.3833,2468970,142.73
2,6,Rx,0.17096,103.75882,4253109,328.46
2,6,Tx,0.001,103.75982,3336254,257.23
3,0,Rx,0.08548,25.2662,994076,315.82
3,0,Tx,0.001,25.2672,1262969,399.89
3,1,Rx,0.08548,23.51136,727525,248.45
3,1,Tx,0.001,23.51236,1175227,399.88
3,2,Rx,0.08548,26.82478,1280995,383.25
3,2,Tx,0.001,26.82248,1340949,399.96
3,3,Rx,0.17096,117.36112,3977768,271.54
3,3,Tx,0.001,117.13772,3869084,264.24
3,4,Rx,0.17096,122.18342,3780437,247.87
3,4,Tx,0.001,122.18442,4347003,284.62
3,5,Rx,0.17096,68.2887,1649401,193.71
3,5,Tx,0.001,68.2897,2761820,323.55
3,6,Rx,0.17096,67.24524,3140726,374.6
3,6,Tx,0.001,67.245,2604910,309.91
4,0,Rx,0.08548,42.55614,2123192,399.94
4,0,Tx,0.001,42.55032,407642,76.64
4,1,Rx,0.08548,73.9717,997521,108.01
4,1,Tx,0.001,73.9727,3698306,399.97
4,2,Rx,0.08548,16.83208,836989,399.84
4,2,Tx,0.001,16.82626,482245,229.3
4,3,Rx,0.17096,72.49058,2972951,328.87
4,3,Tx,0.001,72.49158,2587231,285.52
4,4,Rx,0.17096,140.78354,3419985,194.58
4,4,Tx,0.001,140.77124,3179947,180.72
4,5,Rx,0.17096,149.84398,1880857,100.53
4,5,Tx,0.001,149.84498,4647669,248.13
4,6,Rx,0.17096,146.3697,3319536,181.65
4,6,Tx,0.001,146.3574,2359141,128.95
5,0,Rx,0.08548,42.5529,403547,76.02
5,0,Tx,0.001,42.5539,2127304,399.94
5,1,Rx,0.08548,9.37128,411040,354.12
5,1,Tx,0.001,9.36824,468291,399.94
5,2,Rx,0.08548,7.78002,284716,296.02
5,2,Tx,0.001,7.77772,388711,399.87
5,3,Rx,0.17096,113.48088,2010553,141.95
5,3,Tx,0.001,113.31144,3170148,223.82
5,4,Rx,0.17096,100.52924,3563863,284.09
5,4,Tx,0.001,100.53024,3832979,305.02
5,5,Rx,0.17096,135.45294,2268598,134.16
5,5,Tx,0.001,135.44064,4460000,263.44
5,6,Rx,0.17096,110.27878,2943091,213.83
5,6,Tx,0.001,110.183,2854980,207.29
6,0,Rx,0.08548,73.97494,3694194,399.97
6,0,Tx,0.001,73.96912,1001616,108.33
