taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,283229,URMA_WRITE,7,0ns,0,,0.0,34.7207,2.0328,36.23696,65.2588
1,0,1,1266631,URMA_WRITE,7,0ns,1,,0.0,31.16992,0.001,31.17282,325.0906
2,0,14,414433,URMA_WRITE,7,0ns,2,,0.0,54.90254,1.01492,55.23758,60.3882
3,0,2,379325,URMA_WRITE,7,0ns,3,,0.0,12.15864,0.001,12.16154,249.5838
4,0,13,1557721,URMA_WRITE,7,0ns,4,,0.0,61.1541,0.848,61.43128,203.7765
5,0,3,618582,URMA_WRITE,7,0ns,5,,0.0,12.80246,0.001,12.80508,386.5395
6,0,12,485073,URMA_WRITE,7,0ns,6,,0.0,51.54308,0.847,51.78546,75.2882
7,0,4,520418,URMA_WRITE,7,0ns,7,,0.0,51.62938,0.001,51.75778,80.639
8,0,11,1402213,URMA_WRITE,7,0ns,8,,0.0,74.99652,0.50288,77.54816,149.5763
9,0,5,374294,URMA_WRITE,7,0ns,9,,0.0,48.0741,0.002,48.23596,62.2862
10,0,10,2072678,URMA_WRITE,7,0ns,10,,0.0,66.40096,0.4194,66.47838,249.7166
11,0,6,1007008,URMA_WRITE,7,0ns,11,,0.0,63.96652,0.003,64.8231,125.9419
12,0,9,3420815,URMA_WRITE,7,0ns,12,,0.0,86.16454,0.33592,86.30958,317.6077
13,0,7,1911779,URMA_WRITE,7,0ns,13,,0.0,75.76512,0.16896,75.77126,201.8638
14,0,8,1063017,URMA_WRITE,7,0ns,14,,0.0,61.79114,0.25244,63.82778,137.6271
15,1,0,1643386,URMA_WRITE,7,0ns,15,,0.0,33.95142,0.001,33.95466,387.2323
16,1,2,1892029,URMA_WRITE,7,0ns,16,,0.0,38.87254,0.001,38.87578,389.3811
17,1,15,1320829,URMA_WRITE,7,0ns,17,,0.0,61.19896,1.01496,61.48478,172.6603
18,1,3,634152,URMA_WRITE,7,0ns,18,,0.0,13.03832,0.001,13.04156,389.1004
19,1,14,2748053,URMA_WRITE,7,0ns,19,,0.0,74.7115,1.01396,74.7176,294.2576
20,1,4,695690,URMA_WRITE,7,0ns,20,,0.0,53.42798,0.001,53.8231,104.1686
21,1,13,559170,URMA_WRITE,7,0ns,21,,0.0,50.82868,0.93144,51.08916,88.0086
22,1,5,514044,URMA_WRITE,7,0ns,22,,0.0,36.28254,0.002,37.17704,113.3425
23,1,12,666809,URMA_WRITE,7,0ns,23,,0.0,50.5718,0.58636,51.27218,105.4831
24,1,6,1631006,URMA_WRITE,7,0ns,24,,0.0,70.2886,0.003,70.29498,185.6353
25,1,11,1279307,URMA_WRITE,7,0ns,25,,0.0,65.86188,0.50288,66.1017,155.3927
26,1,7,773386,URMA_WRITE,7,0ns,26,,0.0,49.6356,0.16896,50.5777,124.6502
27,1,10,574061,URMA_WRITE,7,0ns,27,,0.0,42.77512,0.4194,43.24446,107.3635
28,1,8,474032,URMA_WRITE,7,0ns,28,,0.0,49.97854,0.25244,50.44136,75.8777
29,1,9,1371262,URMA_WRITE,7,0ns,29,,0.0,52.71158,0.33592,53.0882,208.1155
30,2,1,812024,URMA_WRITE,7,0ns,30,,0.0,21.66118,0.001,21.66408,299.9002
31,2,3,573930,URMA_WRITE,7,0ns,31,,0.0,16.23446,0.001,16.23736,282.8206
32,2,0,2418023,URMA_WRITE,7,0ns,32,,0.0,49.45948,0.001,49.46272,391.1118
33,2,4,1882467,URMA_WRITE,7,0ns,33,,0.0,76.28278,0.001,76.28854,197.4199
34,2,15,1241107,URMA_WRITE,7,0ns,34,,0.0,59.48678,1.0152,59.7338,166.9086
35,2,5,885431,URMA_WRITE,7,0ns,35,,0.0,47.30052,0.001,48.3429,149.7541
36,2,14,972250,URMA_WRITE,7,0ns,36,,0.0,69.65486,1.0142,69.66052,111.6649
37,2,6,1370402,URMA_WRITE,7,0ns,37,,0.0,69.99442,0.002,70.11234,156.6299
