nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,24.12106,1201438,399.89
0,0,Tx,0.001,24.11524,761754,252.72
0,1,Rx,0.08548,13.48654,669729,399.81
0,1,Tx,0.001,13.48072,464634,275.75
0,2,Rx,0.08548,28.39042,1414968,399.92
0,2,Tx,0.001,28.3846,478723,134.93
0,3,Rx,0.17096,79.11132,3642382,369.13
0,3,Tx,0.001,78.59656,3914232,398.42
0,4,Rx,0.17096,84.2592,3939256,374.77
0,4,Tx,0.001,83.315,3940007,378.33
0,5,Rx,0.17096,78.64792,3823580,389.78
0,5,Tx,0.001,78.25492,3903827,399.09
0,6,Rx,0.17096,84.01766,3791575,361.76
0,6,Tx,0.001,83.76326,3946171,376.89
1,0,Rx,0.08548,24.11782,757659,252.21
1,0,Tx,0.001,24.11882,1205550,399.89
1,1,Rx,0.08548,17.73152,514457,233.23
1,1,Tx,0.001,17.73252,886235,399.85
1,2,Rx,0.08548,42.42922,2116846,399.94
1,2,Tx,0.001,42.4234,374965,70.71
1,3,Rx,0.17096,83.55616,3768246,361.53
1,3,Tx,0.001,83.55592,3797168,363.56
1,4,Rx,0.17096,81.7978,3368184,330.11
1,4,Tx,0.001,81.7988,3735084,365.3
1,5,Rx,0.1738,81.03116,3556885,351.92
1,5,Tx,0.001,81.02968,3702419,365.54
1,6,Rx,0.25444,78.12192,3301676,339.21
1,6,Tx,0.001,78.12044,3690333,377.92
2,0,Rx,0.08548,13.4833,460539,274.99
2,0,Tx,0.001,13.4843,673841,399.81
2,1,Rx,0.08548,17.73476,882123,399.85
2,1,Tx,0.001,17.72894,518552,234.0
2,2,Rx,0.08548,22.86904,1138933,399.91
2,2,Tx,0.001,22.8648,980715,343.15
2,3,Rx,0.17096,83.18048,3589217,345.91
2,3,Tx,0.001,83.18148,3764733,362.08
2,4,Rx,0.17096,84.518,3608027,342.21
2,4,Tx,0.001,84.519,3801895,359.87
2,5,Rx,0.17096,84.11366,3723468,354.86
2,5,Tx,0.001,84.11466,3826007,363.89
2,6,Rx,0.25444,87.24806,3865735,355.5
2,6,Tx,0.001,87.24906,3824138,350.65
3,0,Rx,0.08548,28.38718,474628,134.16
3,0,Tx,0.001,28.38818,1419080,399.92
3,1,Rx,0.08548,42.42598,370870,70.07
3,1,Tx,0.001,42.42698,2120958,399.94
3,2,Rx,0.08548,22.86704,976603,342.95
3,2,Tx,0.001,22.8668,1143045,399.91
3,3,Rx,0.17096,98.12522,4880820,398.62
3,3,Tx,0.001,98.10852,3195394,260.56
3,4,Rx,0.17096,98.93524,4921541,398.65
3,4,Tx,0.001,98.9102,3154177,255.12
3,5,Rx,0.17096,103.91812,5166509,398.39
3,5,Tx,0.001,103.90142,3183424,245.11
3,6,Rx,0.17096,101.38414,5048059,399.0
3,6,Tx,0.001,101.35662,3248026,256.37
4,0,Rx,0.08548,30.95356,1543063,399.91
4,0,Tx,0.001,30.94774,643400,166.32
4,1,Rx,0.08548,27.43254,881333,257.82
4,1,Tx,0.001,27.43354,1371276,399.9
4,2,Rx,0.08548,30.7192,1468034,383.38
4,2,Tx,0.001,30.7169,1535670,399.97
4,3,Rx,0.17096,98.11434,4098913,334.8
4,3,Tx,0.001,98.11534,3453795,281.61
4,4,Rx,0.17096,98.91568,4195967,339.94
4,4,Tx,0.001,98.91172,3490309,282.3
4,5,Rx,0.17096,103.90724,4140355,319.3
4,5,Tx,0.001,103.90824,3458066,266.24
4,6,Rx,0.17096,101.3621,4292909,339.39
4,6,Tx,0.001,101.35408,3491742,275.61
5,0,Rx,0.08548,30.95032,639305,165.7
