taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,148714,URMA_WRITE,7,0ns,0,
1,0,4,633235,URMA_WRITE,7,0ns,1,
2,0,5,134127,URMA_WRITE,7,0ns,2,
3,0,6,1397200,URMA_WRITE,7,0ns,3,
4,0,7,4769273,URMA_WRITE,7,0ns,4,
5,4,5,1950797,URMA_WRITE,7,0ns,5,
6,4,8,912769,URMA_WRITE,7,0ns,6,
7,4,9,1298521,URMA_WRITE,7,0ns,7,
8,4,10,248607,URMA_WRITE,7,0ns,8,
9,4,11,1369775,URMA_WRITE,7,0ns,9,
10,8,9,1158135,URMA_WRITE,7,0ns,10,
11,8,12,1024004,URMA_WRITE,7,0ns,11,
12,8,13,1579762,URMA_WRITE,7,0ns,12,
13,8,14,881976,URMA_WRITE,7,0ns,13,
14,8,15,610780,URMA_WRITE,7,0ns,14,
15,12,13,844176,URMA_WRITE,7,0ns,15,
16,12,0,317473,URMA_WRITE,7,0ns,16,
17,12,1,691689,URMA_WRITE,7,0ns,17,
18,12,2,278798,URMA_WRITE,7,0ns,18,
19,12,3,6837474,URMA_WRITE,7,0ns,19,
20,1,2,2622232,URMA_WRITE,7,0ns,20,
21,1,7,998344,URMA_WRITE,7,0ns,21,
22,1,4,393355,URMA_WRITE,7,0ns,22,
23,1,5,1706456,URMA_WRITE,7,0ns,23,
24,1,6,2779430,URMA_WRITE,7,0ns,24,
25,5,6,155224,URMA_WRITE,7,0ns,25,
26,5,11,405259,URMA_WRITE,7,0ns,26,
27,5,8,4297862,URMA_WRITE,7,0ns,27,
28,5,9,780867,URMA_WRITE,7,0ns,28,
29,5,10,2016767,URMA_WRITE,7,0ns,29,
30,9,10,1971962,URMA_WRITE,7,0ns,30,
31,9,15,600172,URMA_WRITE,7,0ns,31,
32,9,12,546136,URMA_WRITE,7,0ns,32,
33,9,13,524145,URMA_WRITE,7,0ns,33,
34,9,14,1439376,URMA_WRITE,7,0ns,34,
35,13,14,778067,URMA_WRITE,7,0ns,35,
36,13,3,1015402,URMA_WRITE,7,0ns,36,
37,13,0,2766246,URMA_WRITE,7,0ns,37,
38,13,1,2937253,URMA_WRITE,7,0ns,38,
39,13,2,1097332,URMA_WRITE,7,0ns,39,
40,2,3,408543,URMA_WRITE,7,0ns,40,
41,2,6,1336604,URMA_WRITE,7,0ns,41,
42,2,7,613184,URMA_WRITE,7,0ns,42,
43,2,4,3473579,URMA_WRITE,7,0ns,43,
44,2,5,1512909,URMA_WRITE,7,0ns,44,
45,6,7,3332880,URMA_WRITE,7,0ns,45,
46,6,10,1181978,URMA_WRITE,7,0ns,46,
47,6,11,616900,URMA_WRITE,7,0ns,47,
48,6,8,1614558,URMA_WRITE,7,0ns,48,
49,6,9,228466,URMA_WRITE,7,0ns,49,
50,10,11,229856,URMA_WRITE,7,0ns,50,
51,10,14,2322112,URMA_WRITE,7,0ns,51,
52,10,15,634452,URMA_WRITE,7,0ns,52,
53,10,12,278521,URMA_WRITE,7,0ns,53,
54,10,13,1425709,URMA_WRITE,7,0ns,54,
55,14,15,436863,URMA_WRITE,7,0ns,55,
56,14,2,1126614,URMA_WRITE,7,0ns,56,
57,14,3,1311673,URMA_WRITE,7,0ns,57,
58,14,0,1665281,URMA_WRITE,7,0ns,58,
59,14,1,1220055,URMA_WRITE,7,0ns,59,
60,3,0,566755,URMA_WRITE,7,0ns,60,
61,3,5,711004,URMA_WRITE,7,0ns,61,
62,3,6,3478107,URMA_WRITE,7,0ns,62,
63,3,7,660857,URMA_WRITE,7,0ns,63,
64,3,4,668974,URMA_WRITE,7,0ns,64,
65,7,4,837330,URMA_WRITE,7,0ns,65,
66,7,9,1084708,URMA_WRITE,7,0ns,66,
67,7,10,849011,URMA_WRITE,7,0ns,67,
68,7,11,1139360,URMA_WRITE,7,0ns,68,
69,7,8,743848,URMA_WRITE,7,0ns,69,
70,11,8,1075788,URMA_WRITE,7,0ns,70,
71,11,13,270466,URMA_WRITE,7,0ns,71,
72,11,14,1666524,URMA_WRITE,7,0ns,72,
73,11,15,196653,URMA_WRITE,7,0ns,73,
74,11,12,493301,URMA_WRITE,7,0ns,74,
75,15,12,344342,URMA_WRITE,7,0ns,75,
76,15,1,1809823,URMA_WRITE,7,0ns,76,
77,15,2,475218,URMA_WRITE,7,0ns,77,
78,15,3,923492,URMA_WRITE,7,0ns,78,
