taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,1788811,URMA_WRITE,7,0ns,0,
1,1,2,1030030,URMA_WRITE,7,0ns,1,
2,2,3,3310360,URMA_WRITE,7,0ns,2,
3,3,0,2354011,URMA_WRITE,7,0ns,3,
4,4,5,509228,URMA_WRITE,7,0ns,4,
5,5,6,552574,URMA_WRITE,7,0ns,5,
6,6,7,341611,URMA_WRITE,7,0ns,6,
7,7,4,2107041,URMA_WRITE,7,0ns,7,
8,8,9,893909,URMA_WRITE,7,0ns,8,
9,9,10,180482,URMA_WRITE,7,0ns,9,
10,10,11,863037,URMA_WRITE,7,0ns,10,
11,11,8,322479,URMA_WRITE,7,0ns,11,
12,12,13,1371813,URMA_WRITE,7,0ns,12,
13,13,14,1767910,URMA_WRITE,7,0ns,13,
14,14,15,1339584,URMA_WRITE,7,0ns,14,
15,15,12,849801,URMA_WRITE,7,0ns,15,
16,0,2,1602375,URMA_WRITE,7,0ns,16,
17,1,3,555162,URMA_WRITE,7,0ns,17,
18,2,0,1518295,URMA_WRITE,7,0ns,18,
19,3,1,1628821,URMA_WRITE,7,0ns,19,
20,4,6,979210,URMA_WRITE,7,0ns,20,
21,5,7,341765,URMA_WRITE,7,0ns,21,
22,6,4,637626,URMA_WRITE,7,0ns,22,
23,7,5,292167,URMA_WRITE,7,0ns,23,
24,8,10,549904,URMA_WRITE,7,0ns,24,
25,9,11,938045,URMA_WRITE,7,0ns,25,
26,10,8,499432,URMA_WRITE,7,0ns,26,
27,11,9,1456648,URMA_WRITE,7,0ns,27,
28,12,14,179655,URMA_WRITE,7,0ns,28,
29,13,15,1130297,URMA_WRITE,7,0ns,29,
30,14,12,646276,URMA_WRITE,7,0ns,30,
31,15,13,815187,URMA_WRITE,7,0ns,31,
32,0,3,1704189,URMA_WRITE,7,0ns,32,
33,1,0,1057255,URMA_WRITE,7,0ns,33,
34,2,1,836075,URMA_WRITE,7,0ns,34,
35,3,2,1283846,URMA_WRITE,7,0ns,35,
36,4,7,1584315,URMA_WRITE,7,0ns,36,
37,5,4,464603,URMA_WRITE,7,0ns,37,
38,6,5,788718,URMA_WRITE,7,0ns,38,
39,7,6,564336,URMA_WRITE,7,0ns,39,
40,8,11,721601,URMA_WRITE,7,0ns,40,
41,9,8,1081710,URMA_WRITE,7,0ns,41,
42,10,9,555451,URMA_WRITE,7,0ns,42,
43,11,10,572564,URMA_WRITE,7,0ns,43,
44,12,15,712871,URMA_WRITE,7,0ns,44,
45,13,12,297269,URMA_WRITE,7,0ns,45,
46,14,13,444406,URMA_WRITE,7,0ns,46,
47,15,14,2839020,URMA_WRITE,7,0ns,47,
48,0,12,623595,URMA_WRITE,7,0ns,48,
49,1,13,746975,URMA_WRITE,7,0ns,49,
50,2,14,1300424,URMA_WRITE,7,0ns,50,
51,3,15,936267,URMA_WRITE,7,0ns,51,
52,4,8,1183529,URMA_WRITE,7,0ns,52,
53,5,9,492274,URMA_WRITE,7,0ns,53,
54,6,10,1009749,URMA_WRITE,7,0ns,54,
55,7,11,535058,URMA_WRITE,7,0ns,55,
56,8,4,399472,URMA_WRITE,7,0ns,56,
57,9,5,1007849,URMA_WRITE,7,0ns,57,
58,10,6,895970,URMA_WRITE,7,0ns,58,
59,11,7,703189,URMA_WRITE,7,0ns,59,
60,12,0,586211,URMA_WRITE,7,0ns,60,
61,13,1,2023384,URMA_WRITE,7,0ns,61,
62,14,2,876447,URMA_WRITE,7,0ns,62,
63,15,3,711305,URMA_WRITE,7,0ns,63,
64,0,8,1975154,URMA_WRITE,7,0ns,64,
65,1,9,174873,URMA_WRITE,7,0ns,65,
66,2,10,459733,URMA_WRITE,7,0ns,66,
67,3,11,1109563,URMA_WRITE,7,0ns,67,
68,4,12,238031,URMA_WRITE,7,0ns,68,
69,5,13,795644,URMA_WRITE,7,0ns,69,
70,6,14,743745,URMA_WRITE,7,0ns,70,
71,7,15,1292983,URMA_WRITE,7,0ns,71,
72,8,0,4216325,URMA_WRITE,7,0ns,72,
73,9,1,617146,URMA_WRITE,7,0ns,73,
74,10,2,855924,URMA_WRITE,7,0ns,74,
75,11,3,1317279,URMA_WRITE,7,0ns,75,
76,12,4,3863193,URMA_WRITE,7,0ns,76,
77,13,5,349931,URMA_WRITE,7,0ns,77,
78,14,6,202022,URMA_WRITE,7,0ns,78,
79,15,7,810574,URMA_WRITE,7,0ns,79,
80,0,4,4661629,URMA_WRITE,7,0ns,80,
81,1,5,3594694,URMA_WRITE,7,0ns,81,
82,2,6,1511544,URMA_WRITE,7,0ns,82,
83,3,7,391166,URMA_WRITE,7,0ns,83,
84,4,0,323820,URMA_WRITE,7,0ns,84,
85,5,1,1862918,URMA_WRITE,7,0ns,85,
86,6,2,4165104,URMA_WRITE,7,0ns,86,
87,7,3,1559154,URMA_WRITE,7,0ns,87,
88,8,12,268587,URMA_WRITE,7,0ns,88,
89,9,13,2164926,URMA_WRITE,7,0ns,89,
90,10,14,1220622,URMA_WRITE,7,0ns,90,
91,11,15,716980,URMA_WRITE,7,0ns,91,
92,12,8,294799,URMA_WRITE,7,0ns,92,
93,13,9,933618,URMA_WRITE,7,0ns,93,
94,14,10,1367192,URMA_WRITE,7,0ns,94,
95,15,11,511506,URMA_WRITE,7,0ns,95,
96,0,13,618941,URMA_WRITE,7,0ns,96,
97,1,14,1456315,URMA_WRITE,7,0ns,97,
98,2,15,668222,URMA_WRITE,7,0ns,98,
99,3,12,733784,URMA_WRITE,7,0ns,99,
100,4,9,838260,URMA_WRITE,7,0ns,100,
101,5,10,1424764,URMA_WRITE,7,0ns,101,
102,6,11,472460,URMA_WRITE,7,0ns,102,
103,7,8,2041205,URMA_WRITE,7,0ns,103,
104,8,7,1587289,URMA_WRITE,7,0ns,104,
105,9,4,1025272,URMA_WRITE,7,0ns,105,
106,10,5,621138,URMA_WRITE,7,0ns,106,
107,11,6,766989,URMA_WRITE,7,0ns,107,
108,12,3,2454664,URMA_WRITE,7,0ns,108,
109,13,0,847189,URMA_WRITE,7,0ns,109,
110,14,1,530974,URMA_WRITE,7,0ns,110,
111,15,2,333859,URMA_WRITE,7,0ns,111,
112,0,9,92695,URMA_WRITE,7,0ns,112,48
113,1,10,1591200,URMA_WRITE,7,0ns,113,49
114,2,11,430172,URMA_WRITE,7,0ns,114,50
115,3,8,2172173,URMA_WRITE,7,0ns,115,51
116,4,15,1208014,URMA_WRITE,7,0ns,116,52
117,5,12,1001843,URMA_WRITE,7,0ns,117,53
118,6,13,827158,URMA_WRITE,7,0ns,118,54
119,7,14,925677,URMA_WRITE,7,0ns,119,55
120,8,3,904037,URMA_WRITE,7,0ns,120,56
121,9,0,1050324,URMA_WRITE,7,0ns,121,57
122,10,1,3445046,URMA_WRITE,7,0ns,122,58
123,11,2,3785775,URMA_WRITE,7,0ns,123,59
124,12,5,952065,URMA_WRITE,7,0ns,124,60
125,13,6,891677,URMA_WRITE,7,0ns,125,61
126,14,7,2481619,URMA_WRITE,7,0ns,126,62
127,15,4,629144,URMA_WRITE,7,0ns,127,63
128,0,5,734912,URMA_WRITE,7,0ns,128,64
129,1,6,626250,URMA_WRITE,7,0ns,129,65
130,2,7,2005976,URMA_WRITE,7,0ns,130,66
131,3,4,850683,URMA_WRITE,7,0ns,131,67
132,4,3,1848626,URMA_WRITE,7,0ns,132,68
133,5,0,2146964,URMA_WRITE,7,0ns,133,69
134,6,1,533225,URMA_WRITE,7,0ns,134,70
135,7,2,554677,URMA_WRITE,7,0ns,135,71
136,8,13,1198847,URMA_WRITE,7,0ns,136,72
137,9,14,1750530,URMA_WRITE,7,0ns,137,73
138,10,15,1260499,URMA_WRITE,7,0ns,138,74
139,11,12,1052072,URMA_WRITE,7,0ns,139,75
140,12,11,943721,URMA_WRITE,7,0ns,140,76
141,13,8,1257585,URMA_WRITE,7,0ns,141,77
142,14,9,1389828,URMA_WRITE,7,0ns,142,78
143,15,10,442132,URMA_WRITE,7,0ns,143,79
144,0,14,196402,URMA_WRITE,7,0ns,144,80
145,1,15,1637978,URMA_WRITE,7,0ns,145,81
146,2,12,288056,URMA_WRITE,7,0ns,146,82
147,3,13,1365301,URMA_WRITE,7,0ns,147,83
148,4,10,2654748,URMA_WRITE,7,0ns,148,84
149,5,11,1653504,URMA_WRITE,7,0ns,149,85
150,6,8,2021809,URMA_WRITE,7,0ns,150,86
151,7,9,680898,URMA_WRITE,7,0ns,151,87
152,8,6,1016943,URMA_WRITE,7,0ns,152,88
153,9,7,1063042,URMA_WRITE,7,0ns,153,89
154,10,4,788442,URMA_WRITE,7,0ns,154,90
155,11,5,1036533,URMA_WRITE,7,0ns,155,91
156,12,2,995588,URMA_WRITE,7,0ns,156,92
157,13,3,1628969,URMA_WRITE,7,0ns,157,93
158,14,0,865197,URMA_WRITE,7,0ns,158,94
159,15,1,414236,URMA_WRITE,7,0ns,159,95
160,0,10,1299282,URMA_WRITE,7,0ns,160,96
161,1,11,500054,URMA_WRITE,7,0ns,161,97
162,2,8,707834,URMA_WRITE,7,0ns,162,98
163,3,9,1030888,URMA_WRITE,7,0ns,163,99
164,4,14,1564298,URMA_WRITE,7,0ns,164,100
165,5,15,1202070,URMA_WRITE,7,0ns,165,101
166,6,12,977495,URMA_WRITE,7,0ns,166,102
167,7,13,1400843,URMA_WRITE,7,0ns,167,103
168,8,2,724438,URMA_WRITE,7,0ns,168,104
169,9,3,1187007,URMA_WRITE,7,0ns,169,105
170,10,0,1080255,URMA_WRITE,7,0ns,170,106
171,11,1,689576,URMA_WRITE,7,0ns,171,107
172,12,6,599869,URMA_WRITE,7,0ns,172,108
173,13,7,696379,URMA_WRITE,7,0ns,173,109
174,14,4,732082,URMA_WRITE,7,0ns,174,110
175,15,5,2034844,URMA_WRITE,7,0ns,175,111
176,0,6,404813,URMA_WRITE,7,0ns,176,112
177,1,7,489790,URMA_WRITE,7,0ns,177,113
178,2,4,1303626,URMA_WRITE,7,0ns,178,114
179,3,5,248409,URMA_WRITE,7,0ns,179,115
180,4,2,271037,URMA_WRITE,7,0ns,180,116
181,5,3,547726,URMA_WRITE,7,0ns,181,117
182,6,0,723776,URMA_WRITE,7,0ns,182,118
183,7,1,724300,URMA_WRITE,7,0ns,183,119
184,8,14,1220708,URMA_WRITE,7,0ns,184,120
185,9,15,1002960,URMA_WRITE,7,0ns,185,121
186,10,12,654400,URMA_WRITE,7,0ns,186,122
187,11,13,820504,URMA_WRITE,7,0ns,187,123
188,12,10,556722,URMA_WRITE,7,0ns,188,124
189,13,11,709804,URMA_WRITE,7,0ns,189,125
190,14,8,800921,URMA_WRITE,7,0ns,190,126
191,15,9,1419900,URMA_WRITE,7,0ns,191,127
192,0,15,448996,URMA_WRITE,7,0ns,192,128
193,1,12,1846725,URMA_WRITE,7,0ns,193,129
194,2,13,510981,URMA_WRITE,7,0ns,194,130
195,3,14,1035434,URMA_WRITE,7,0ns,195,131
196,4,11,1933918,URMA_WRITE,7,0ns,196,132
197,5,8,2183412,URMA_WRITE,7,0ns,197,133
198,6,9,980580,URMA_WRITE,7,0ns,198,134
199,7,10,363267,URMA_WRITE,7,0ns,199,135
200,8,5,528026,URMA_WRITE,7,0ns,200,136
201,9,6,1090956,URMA_WRITE,7,0ns,201,137
202,10,7,671840,URMA_WRITE,7,0ns,202,138
203,11,4,164620,URMA_WRITE,7,0ns,203,139
204,12,1,1602874,URMA_WRITE,7,0ns,204,140
205,13,2,2748821,URMA_WRITE,7,0ns,205,141
206,14,3,3239215,URMA_WRITE,7,0ns,206,142
207,15,0,3734230,URMA_WRITE,7,0ns,207,143
208,0,11,402807,URMA_WRITE,7,0ns,208,144
209,1,8,1001640,URMA_WRITE,7,0ns,209,145
210,2,9,1219719,URMA_WRITE,7,0ns,210,146
211,3,10,484369,URMA_WRITE,7,0ns,211,147
212,4,13,360155,URMA_WRITE,7,0ns,212,148
213,5,14,1439664,URMA_WRITE,7,0ns,213,149
214,6,15,775178,URMA_WRITE,7,0ns,214,150
215,7,12,2466695,URMA_WRITE,7,0ns,215,151
216,8,1,614077,URMA_WRITE,7,0ns,216,152
217,9,2,389383,URMA_WRITE,7,0ns,217,153
218,10,3,2159366,URMA_WRITE,7,0ns,218,154
219,11,0,695747,URMA_WRITE,7,0ns,219,155
220,12,7,1017080,URMA_WRITE,7,0ns,220,156
221,13,4,910914,URMA_WRITE,7,0ns,221,157
222,14,5,1194999,URMA_WRITE,7,0ns,222,158
