nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08872,53.99964,1108115,164.44
0,0,Tx,0.001,53.99382,1842155,272.95
0,1,Rx,40.5316,98.61452,1575258,216.97
0,1,Tx,40.44388,98.6087,1659640,228.27
0,2,Rx,0.08548,111.7626,2425266,173.73
0,2,Tx,0.08648,111.7636,1777301,127.32
0,3,Rx,0.17096,241.50034,5345269,177.19
0,3,Tx,0.001,241.50134,7490721,248.14
0,4,Rx,0.17096,167.91118,4145537,197.71
0,4,Tx,0.001,167.89888,1542782,73.51
0,5,Rx,0.17096,95.4843,2750174,230.83
0,5,Tx,0.001,95.4853,1982968,166.14
0,6,Rx,0.17096,157.11826,5826700,297.0
0,6,Tx,0.001,157.10596,1190503,60.62
1,0,Rx,0.08548,53.9964,1838060,272.76
1,0,Tx,0.08648,53.9974,1108115,164.44
1,1,Rx,0.08872,115.67752,869897,60.21
1,1,Tx,0.001,115.6717,1064496,73.62
1,2,Rx,21.10786,81.26456,1670616,222.17
1,2,Tx,21.02014,81.25874,593220,78.78
1,3,Rx,0.17096,83.23884,1904327,183.4
1,3,Tx,0.001,83.22654,2710945,260.59
1,4,Rx,0.17096,119.94182,3617973,241.66
1,4,Tx,0.001,119.94282,3441157,229.52
1,5,Rx,0.17096,114.24982,4664272,327.09
1,5,Tx,0.001,114.25082,4681502,327.81
1,6,Rx,0.17096,120.67236,4656445,309.14
1,6,Tx,0.001,120.57658,3822201,253.6
2,0,Rx,40.52836,98.61128,1655545,228.03
2,0,Tx,40.52936,98.61228,1575258,216.97
2,1,Rx,0.08548,115.67428,1060401,73.39
2,1,Tx,0.08648,115.67528,869897,60.21
2,2,Rx,0.08872,107.4617,1364423,101.66
2,2,Tx,0.001,107.45588,3397833,252.97
2,3,Rx,0.17096,130.27334,6065655,372.98
2,3,Tx,0.001,130.26104,3435032,210.96
2,4,Rx,0.17096,164.08666,4815448,235.02
2,4,Tx,0.001,163.99088,3244162,158.26
2,5,Rx,0.17096,131.60778,2065189,125.7
2,5,Tx,0.001,131.59548,2378806,144.61
2,6,Rx,0.17096,89.817,3918151,349.66
2,6,Tx,0.001,89.8047,2548767,227.05
3,0,Rx,0.08872,111.76584,1777301,127.32
3,0,Tx,0.001,111.76002,2429361,173.9
3,1,Rx,21.10462,81.26132,589125,78.35
3,1,Tx,21.10562,81.26232,1670616,222.17
3,2,Rx,0.08548,107.45846,3393738,252.86
3,2,Tx,0.08648,107.45946,1364423,101.66
3,3,Rx,0.17096,102.81828,3470763,270.5
3,3,Tx,0.001,102.80598,2753318,214.26
3,4,Rx,0.17096,147.45694,7361429,399.84
3,4,Tx,0.001,147.43686,2844855,154.36
3,5,Rx,0.17096,77.42432,3695836,382.72
3,5,Tx,0.001,77.41202,2545239,263.04
3,6,Rx,0.17096,132.1523,5369788,325.49
3,6,Tx,0.001,132.1533,3918243,237.2
4,0,Rx,0.08872,27.74658,482391,139.53
4,0,Tx,0.001,27.74076,527175,152.03
4,1,Rx,7.06176,30.53732,662465,225.75
4,1,Tx,7.06276,30.53832,1009380,343.98
4,2,Rx,0.08548,63.0703,2171372,275.8
4,2,Tx,0.08648,63.0713,1650966,209.7
4,3,Rx,0.17096,182.8082,9127822,399.82
4,3,Tx,0.001,182.71242,1928425,84.44
4,4,Rx,0.17096,89.49468,2489718,222.98
4,4,Tx,0.001,89.48238,2568009,229.59
4,5,Rx,0.17096,131.6013,2951150,179.63
4,5,Tx,0.001,131.6023,4626882,281.27
4,6,Rx,0.17096,120.29754,1756121,116.95
4,6,Tx,0.001,120.29854,5117732,340.34
5,0,Rx,0.08548,27.74334,523080,151.3
5,0,Tx,0.08648,27.74434,482391,139.53
5,1,Rx,0.08872,40.02364,813717,163.01
5,1,Tx,0.001,40.01782,576736,115.3
5,2,Rx,11.36854,54.0951,303753,56.87
5,2,Tx,11.28082,54.08928,353509,66.06
5,3,Rx,0.17096,102.8118,3438662,268.02
5,3,Tx,0.001,102.8128,3526534,274.41
5,4,Rx,0.17096,167.9047,2343822,111.79
5,4,Tx,0.001,167.9057,5475863,260.9
5,5,Rx,0.17096,104.48296,5099804,391.12
5,5,Tx,0.001,104.47066,3296120,252.41
5,6,Rx,0.17096,133.3567,2627299,157.81
5,6,Tx,0.001,133.3444,3644458,218.65
6,0,Rx,7.065,30.54056,1009380,343.98
6,0,Tx,6.97728,30.53474,666560,226.36
6,1,Rx,0.08548,40.0204,572641,114.71
6,1,Tx,0.08648,40.0214,813717,163.01
6,2,Rx,0.08872,65.61384,581318,70.97
6,2,Tx,0.001,65.60802,357843,43.63
6,3,Rx,0.17096,130.26686,2755928,169.47
6,3,Tx,0.001,130.26786,6080444,373.41
6,4,Rx,0.17096,179.74666,2133465,95.04
6,4,Tx,0.001,179.73436,3121305,138.93
6,5,Rx,0.17096,82.86676,2119829,205.07
6,5,Tx,0.001,82.85446,3831194,369.92
6,6,Rx,0.17096,100.79572,2695944,214.34
6,6,Tx,0.001,100.69994,2431147,193.14
7,0,Rx,0.08872,63.07354,1650966,209.7
7,0,Tx,0.001,63.06772,2175467,275.96
7,1,Rx,11.3653,54.09186,349414,65.42
7,1,Tx,11.3663,54.09286,303753,56.87
7,2,Rx,0.08548,65.6106,353748,43.19
7,2,Tx,0.08648,65.6116,581318,70.97
7,3,Rx,0.17096,83.23236,2336916,225.08
7,3,Tx,0.001,83.23336,2899761,278.71
7,4,Rx,0.17096,200.3273,5289231,211.4
7,4,Tx,0.001,200.23152,1966122,78.55
7,5,Rx,0.17096,77.41784,1995166,206.63
7,5,Tx,0.001,77.41884,3486585,360.29
7,6,Rx,0.17096,157.11178,2975390,151.67
