seed,sigma,algorithm,case,tasks,total_bytes,src_cv,dst_cv,cross_fraction,max_pair_bytes,max_src_bytes,max_dst_bytes,makespan_us,global_GBps,rank0_makespan_us,rank0_GBps,chain_count,chain_bytes_cv,chain_bytes_max_mib,chain_bytes_mean_mib,chain_bytes_max_over_mean,chain_duration_max_us,slow_chain_src,slow_chain_tasks
20260615,0.7,baseline,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260615_baseline_16mb,240,268435456,0.0,0.25222106390427335,0.8032380789518356,4781621,16777216,24548350,99.30314,2703.1920239380147,98.11716,170.99165935907644,240,0.7041036333156049,4.5601091384887695,1.0666666666666667,4.275102317333221,99.30314,6,6->8:2.65MiB
20260615,0.7,matrix,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260615_matrix_16mb,240,268435456,0.0,0.25222106390427335,0.8032380789518356,4781621,16777216,24548350,207.09594,1296.1888871409067,207.09594,81.01180544630667,80,0.36062418968636584,7.1729631423950195,3.2,2.2415509819984436,207.09594,0,0->4:3.15MiB 0->8:0.57MiB 0->12:3.45MiB
20260615,0.7,closv3,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260615_closv3_16mb,240,268435456,0.0,0.25222106390427335,0.8032380789518356,4781621,16777216,24548350,217.31324,1235.2466697381162,195.3934,85.8637804552252,112,0.6559824401652405,6.8325653076171875,2.2857142857142856,2.9892473220825195,217.31324,15,15->11:0.94MiB 15->1:1.57MiB 15->6:1.63MiB
20260616,0.7,baseline,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260616_baseline_16mb,240,268435456,0.0,0.16316328461450327,0.7992335967719555,6686964,16777216,23353602,104.56974,2567.0471782754744,83.2367,201.56032134863588,240,0.7977864063879949,6.377185821533203,1.0666666666666667,5.978611707687378,104.56974,14,14->13:4.87MiB
20260616,0.7,matrix,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260616_matrix_16mb,240,268435456,0.0,0.16316328461450327,0.7992335967719555,6686964,16777216,23353602,225.902,1188.2827774875832,136.06496,123.30298704383551,80,0.45797690243491673,8.501572608947754,3.2,2.656741440296173,225.902,4,4->10:0.27MiB 4->14:1.85MiB 4->2:6.38MiB
20260616,0.7,closv3,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260616_closv3_16mb,240,268435456,0.0,0.16316328461450327,0.7992335967719555,6686964,16777216,23353602,182.61586,1469.946016736991,124.56284,134.6887723497634,112,0.6855240908712367,7.680320739746094,2.2857142857142856,3.360140323638916,182.61586,4,4->8:0.77MiB 4->15:0.54MiB 4->2:6.38MiB
20260617,0.7,baseline,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260617_baseline_16mb,240,268435456,0.0,0.14523659899133629,0.7841229140758514,3660284,16777216,20516420,88.83368,3021.7757048903077,83.79474,200.21800891082185,240,0.6264370726636168,3.4907188415527344,1.0666666666666667,3.2725489139556885,88.83368,1,1->14:3.49MiB
20260617,0.7,matrix,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260617_matrix_16mb,240,268435456,0.0,0.14523659899133629,0.7841229140758514,3660284,16777216,20516420,155.95432,1721.2441181494685,128.0527,131.01805740917607,80,0.31025518599478985,5.686394691467285,3.2,1.7769983410835266,155.95432,1,1->6:1.04MiB 1->10:1.16MiB 1->14:3.49MiB
20260617,0.7,closv3,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260617_closv3_16mb,240,268435456,0.0,0.14523659899133629,0.7841229140758514,3660284,16777216,20516420,161.70372,1660.0450255566168,136.87976,122.56900508884586,112,0.6065429738320357,6.002274513244629,2.2857142857142856,2.625995099544525,161.70372,8,8->4:1.39MiB 8->3:2.55MiB 8->14:2.06MiB
20260618,0.7,baseline,experiments/ubx16/alltoallv/mild-random-sweep/cases/generated_topology_ubx16_a2av_mild_sweep_seed20260618_baseline_16mb,240,268435456,0.0,0.11622137537035858,0.7868465296924114,4139062,16777216,20683640,86.3009,3110.4595201208795,86.16454,194.7113743078069,240,0.6146900926428549,3.947317123413086,1.0666666666666667,3.700609803199768,86.3009,9,9->0:3.95MiB
