nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,5.9001,290731,400.0
0,0,Tx,0.001,5.89786,294843,400.0
0,1,Rx,0.08548,5.9001,290731,400.0
0,1,Tx,0.001,5.89786,294843,400.0
0,2,Rx,0.08548,69.73756,3482325,399.97
0,2,Tx,0.001,69.73174,413142,47.4
0,3,Rx,0.17096,188.2689,3429468,145.86
0,3,Tx,0.001,187.93742,1263472,53.78
0,4,Rx,0.17096,187.46118,3218799,137.49
0,4,Tx,0.001,187.12474,921249,39.39
0,5,Rx,0.17096,188.05206,3222067,137.2
0,5,Tx,0.001,187.39432,854324,36.47
0,6,Rx,0.17096,187.53386,3226728,137.77
0,6,Tx,0.001,187.40288,854527,36.48
1,0,Rx,0.08548,5.9001,290731,400.0
1,0,Tx,0.001,5.89786,294843,400.0
1,1,Rx,0.08548,5.9001,290731,400.0
1,1,Tx,0.001,5.89786,294843,400.0
1,2,Rx,0.08548,69.73756,3482325,399.97
1,2,Tx,0.001,69.73174,413142,47.4
1,3,Rx,0.17096,188.27014,3429468,145.86
1,3,Tx,0.001,188.0209,1263472,53.76
1,4,Rx,0.17096,187.46242,3218799,137.49
1,4,Tx,0.001,187.20822,921249,39.37
1,5,Rx,0.25444,188.0533,3222067,137.26
1,5,Tx,0.001,187.40282,854324,36.47
1,6,Rx,0.25444,187.5351,3226728,137.83
1,6,Tx,0.001,187.41138,854527,36.48
2,0,Rx,0.08548,5.9001,290731,400.0
2,0,Tx,0.001,5.89786,294843,400.0
2,1,Rx,0.08548,5.9001,290731,400.0
2,1,Tx,0.001,5.89786,294843,400.0
2,2,Rx,0.08548,69.73756,3482325,399.97
2,2,Tx,0.001,69.73174,413142,47.4
2,3,Rx,0.17096,188.27138,3429468,145.86
2,3,Tx,0.001,188.10438,1263472,53.74
2,4,Rx,0.17096,187.46366,3218759,137.49
2,4,Tx,0.001,187.2917,921249,39.35
2,5,Rx,0.17096,188.05454,3222067,137.19
2,5,Tx,0.001,187.41132,854324,36.47
2,6,Rx,0.33792,187.53634,3226728,137.9
