nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,5.9001,290731,400.0
0,0,Tx,0.001,5.89786,294843,400.0
0,1,Rx,0.08548,5.9001,290731,400.0
0,1,Tx,0.001,5.89786,294843,400.0
0,2,Rx,0.08548,69.73756,3482325,399.97
0,2,Tx,0.001,69.73174,413142,47.4
0,3,Rx,0.17096,17.9513,880580,396.2
0,3,Tx,0.001,17.94634,884653,394.38
0,4,Rx,0.17096,240.70834,4072175,135.44
0,4,Tx,0.001,240.69604,1002952,33.34
0,5,Rx,0.17096,240.70734,4072174,135.44
0,5,Tx,0.001,240.69504,1002952,33.34
0,6,Rx,0.17096,215.3308,4072173,151.41
0,6,Tx,0.001,215.3185,1002952,37.26
1,0,Rx,0.08548,5.9001,290731,400.0
1,0,Tx,0.001,5.89786,294843,400.0
1,1,Rx,0.08548,5.9001,290731,400.0
1,1,Tx,0.001,5.89786,294843,400.0
1,2,Rx,0.08548,69.73756,3482325,399.97
1,2,Tx,0.001,69.73174,413142,47.4
1,3,Rx,0.17096,240.70754,4072173,135.44
1,3,Tx,0.001,240.69524,1002952,33.34
1,4,Rx,0.17096,24.23842,880580,292.7
1,4,Tx,0.001,24.22612,884636,292.14
1,5,Rx,0.17096,171.08366,4072175,190.61
1,5,Tx,0.001,170.98788,1002952,46.93
1,6,Rx,0.17096,145.70846,4072174,223.84
1,6,Tx,0.001,145.61268,1002952,55.1
2,0,Rx,0.08548,5.9001,290731,400.0
2,0,Tx,0.001,5.89786,294843,400.0
2,1,Rx,0.08548,5.9001,290731,400.0
2,1,Tx,0.001,5.89786,294843,400.0
2,2,Rx,0.08548,69.73756,3482325,399.97
2,2,Tx,0.001,69.73174,413142,47.4
2,3,Rx,0.17096,171.08366,4072174,190.61
2,3,Tx,0.001,170.98788,1002952,46.93
2,4,Rx,0.17096,171.08426,4072173,190.61
2,4,Tx,0.001,170.98848,1002952,46.93
2,5,Rx,0.17096,27.71818,880580,255.73
2,5,Tx,0.001,27.70588,884636,255.45
2,6,Rx,0.17096,81.77678,4072135,399.2
