nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08872,18.7573,294843,126.35
0,0,Tx,0.001,18.75148,294826,125.79
0,1,Rx,5.8969,13.0219,294843,331.05
0,1,Tx,5.80918,13.01972,294843,327.12
0,2,Rx,0.08548,69.73776,3482325,399.97
0,2,Tx,0.08648,69.73194,413142,47.46
0,3,Rx,0.17096,17.9542,880580,396.14
0,3,Tx,0.001,17.95396,884693,394.23
0,4,Rx,0.17096,17.95426,880580,396.14
0,4,Tx,0.001,17.94878,884693,394.34
0,5,Rx,0.17096,17.95426,880579,396.14
0,5,Tx,0.001,17.94878,884693,394.34
0,6,Rx,0.17096,209.47948,10455363,399.62
0,6,Tx,0.001,209.46718,1239584,47.34
1,0,Rx,0.08548,18.75406,290731,124.59
1,0,Tx,0.08648,18.75506,294843,126.35
1,1,Rx,0.08872,18.8309,294843,125.85
1,1,Tx,0.001,18.82508,294826,125.3
1,2,Rx,5.8969,139.35516,3486437,208.99
1,2,Tx,5.80918,139.34934,413142,24.75
1,3,Rx,0.17096,209.47948,10455363,399.62
1,3,Tx,0.001,209.46718,1239584,47.34
1,4,Rx,0.17096,17.95378,880580,396.15
1,4,Tx,0.001,17.9513,884693,394.29
1,5,Rx,0.17096,17.9527,880580,396.17
1,5,Tx,0.001,17.94898,884653,394.32
1,6,Rx,0.17096,17.9541,880579,396.14
1,6,Tx,0.001,17.94878,884653,394.32
2,0,Rx,5.89366,13.02196,290731,326.28
2,0,Tx,5.89466,13.01966,294843,331.05
2,1,Rx,0.08548,18.82766,290731,124.1
2,1,Tx,0.08648,18.82866,294843,125.85
2,2,Rx,0.08872,208.97256,3486437,133.53
2,2,Tx,0.001,208.96674,413142,15.82
2,3,Rx,0.17096,17.9527,880579,396.17
2,3,Tx,0.001,17.94898,884653,394.32
2,4,Rx,0.17096,209.47948,10455363,399.62
2,4,Tx,0.001,209.46718,1239584,47.34
2,5,Rx,0.17096,17.95378,880580,396.15
2,5,Tx,0.001,17.9513,884693,394.29
2,6,Rx,0.17096,17.95406,880580,396.14
2,6,Tx,0.001,17.9486,884653,394.33
3,0,Rx,0.08872,69.73452,413159,47.46
3,0,Tx,0.001,69.73552,3486437,399.97
3,1,Rx,5.89366,139.35192,409047,24.52
3,1,Tx,5.89466,139.35292,3486437,208.99
3,2,Rx,0.08548,208.96932,409047,15.67
3,2,Tx,0.08648,208.97032,3486437,133.53
3,3,Rx,0.17096,209.473,1235486,47.22
3,3,Tx,0.001,209.474,10459475,399.46
3,4,Rx,0.17096,209.473,1235486,47.22
3,4,Tx,0.001,209.474,10459475,399.46
3,5,Rx,0.17096,261.10744,13038250,399.74
3,5,Tx,0.001,261.10416,13042362,399.61
3,6,Rx,0.17096,209.473,1235487,47.22
3,6,Tx,0.001,209.474,10459475,399.46
4,0,Rx,0.08872,18.75728,294843,126.35
4,0,Tx,0.001,18.75146,294826,125.79
4,1,Rx,5.8969,13.02188,294843,331.05
4,1,Tx,5.80918,13.0197,294843,327.13
4,2,Rx,0.08548,69.73776,3482325,399.97
4,2,Tx,0.08648,69.73194,413142,47.46
4,3,Rx,0.17096,17.95592,880580,396.1
4,3,Tx,0.001,17.94908,884653,394.32
4,4,Rx,0.17096,17.95426,880580,396.14
4,4,Tx,0.001,17.9488,884653,394.32
4,5,Rx,0.17096,17.95426,880579,396.14
4,5,Tx,0.001,17.94878,884653,394.32
4,6,Rx,0.17096,209.47948,10455363,399.62
4,6,Tx,0.001,209.46718,1239584,47.34
5,0,Rx,0.08548,18.75404,290731,124.59
5,0,Tx,0.08648,18.75504,294843,126.35
5,1,Rx,0.08872,18.83088,294843,125.85
5,1,Tx,0.001,18.82506,294826,125.3
5,2,Rx,5.8969,139.35516,3486437,208.99
5,2,Tx,5.80918,139.34934,413141,24.75
5,3,Rx,0.17096,209.47948,10455363,399.62
5,3,Tx,0.001,209.46718,1239581,47.34
5,4,Rx,0.17096,17.95676,880580,396.08
5,4,Tx,0.001,17.94902,884653,394.32
5,5,Rx,0.17096,17.95588,880580,396.1
5,5,Tx,0.001,17.94754,884693,394.37
5,6,Rx,0.17096,17.95406,880579,396.14
5,6,Tx,0.001,17.94858,884653,394.33
6,0,Rx,5.89366,13.02194,290731,326.28
6,0,Tx,5.89466,13.01964,294843,331.05
6,1,Rx,0.08548,18.82764,290731,124.1
6,1,Tx,0.08648,18.82864,294843,125.85
6,2,Rx,0.08872,208.97256,3486437,133.53
6,2,Tx,0.001,208.96674,413141,15.82
6,3,Rx,0.17096,17.95588,880579,396.1
6,3,Tx,0.001,17.94752,884693,394.37
6,4,Rx,0.17096,209.47948,10455363,399.62
6,4,Tx,0.001,209.46718,1239581,47.34
6,5,Rx,0.17096,17.95676,880580,396.08
6,5,Tx,0.001,17.94902,884653,394.32
6,6,Rx,0.17096,17.95408,880580,396.14
6,6,Tx,0.001,17.94862,884653,394.33
7,0,Rx,0.08872,69.73452,413159,47.46
7,0,Tx,0.001,69.73552,3486437,399.97
7,1,Rx,5.89366,139.35192,409046,24.52
7,1,Tx,5.89466,139.35292,3486437,208.99
7,2,Rx,0.08548,208.96932,409046,15.67
7,2,Tx,0.08648,208.97032,3486437,133.53
7,3,Rx,0.17096,209.473,1235487,47.22
7,3,Tx,0.001,209.474,10459475,399.46
7,4,Rx,0.17096,209.473,1235487,47.22
7,4,Tx,0.001,209.474,10459475,399.46
7,5,Rx,0.17096,261.10644,13038250,399.74
7,5,Tx,0.001,261.10104,13042362,399.61
7,6,Rx,0.17096,209.473,1235487,47.22
7,6,Tx,0.001,209.474,10459475,399.46
8,0,Rx,0.08872,18.75726,294843,126.35
8,0,Tx,0.001,18.75144,294826,125.79
8,1,Rx,5.8969,13.02186,294842,331.05
8,1,Tx,5.80918,13.01968,294843,327.13
8,2,Rx,0.08548,69.73776,3482325,399.97
8,2,Tx,0.08648,69.73194,413141,47.46
8,3,Rx,0.17096,17.95592,880580,396.1
8,3,Tx,0.001,17.95044,884693,394.3
8,4,Rx,0.17096,17.9549,880580,396.12
8,4,Tx,0.001,17.95128,884693,394.29
8,5,Rx,0.17096,17.95488,880580,396.12
8,5,Tx,0.001,17.95128,884693,394.29
8,6,Rx,0.17096,209.47948,10455363,399.62
8,6,Tx,0.001,209.46718,1239581,47.34
9,0,Rx,0.08548,18.75402,290731,124.59
9,0,Tx,0.08648,18.75502,294843,126.35
9,1,Rx,0.08872,18.83084,294842,125.85
9,1,Tx,0.001,18.82502,294825,125.3
9,2,Rx,5.89688,139.35516,3486437,208.99
9,2,Tx,5.80916,139.34934,413141,24.75
9,3,Rx,0.17096,209.47948,10455363,399.62
9,3,Tx,0.001,209.46718,1239581,47.34
9,4,Rx,0.17096,17.95426,880580,396.14
9,4,Tx,0.001,17.94878,884692,394.34
9,5,Rx,0.17096,17.95696,880580,396.08
9,5,Tx,0.001,17.9504,884692,394.3
9,6,Rx,0.17096,17.95408,880580,396.14
9,6,Tx,0.001,17.9486,884652,394.33
10,0,Rx,5.89366,13.02192,290731,326.29
10,0,Tx,5.89466,13.01962,294842,331.05
10,1,Rx,0.08548,18.8276,290730,124.1
10,1,Tx,0.08648,18.8286,294842,125.85
10,2,Rx,0.08872,208.97256,3486437,133.53
10,2,Tx,0.001,208.96674,413141,15.82
10,3,Rx,0.17096,17.95696,880580,396.08
10,3,Tx,0.001,17.9504,884690,394.3
10,4,Rx,0.17096,209.47948,10455363,399.62
10,4,Tx,0.001,209.46718,1239581,47.34
10,5,Rx,0.17096,17.95426,880580,396.14
10,5,Tx,0.001,17.94878,884690,394.34
10,6,Rx,0.17096,17.9541,880580,396.14
10,6,Tx,0.001,17.94878,884650,394.32
11,0,Rx,0.08872,69.73452,413158,47.46
11,0,Tx,0.001,69.73552,3486437,399.97
11,1,Rx,5.89364,139.35192,409046,24.52
11,1,Tx,5.89464,139.35292,3486437,208.99
11,2,Rx,0.08548,208.96932,409046,15.67
11,2,Tx,0.08648,208.97032,3486437,133.53
11,3,Rx,0.17096,209.473,1235487,47.22
11,3,Tx,0.001,209.474,10459475,399.46
11,4,Rx,0.17096,209.473,1235487,47.22
11,4,Tx,0.001,209.474,10459475,399.46
11,5,Rx,0.17096,261.11088,13038250,399.73
11,5,Tx,0.001,261.09854,13042362,399.62
11,6,Rx,0.17096,209.473,1235488,47.22
11,6,Tx,0.001,209.474,10459475,399.46
12,0,Rx,0.08872,18.75724,294842,126.35
12,0,Tx,0.001,18.75142,294825,125.79
12,1,Rx,5.89688,13.02186,294842,331.05
12,1,Tx,5.80916,13.01968,294842,327.12
12,2,Rx,0.08548,69.73776,3482325,399.97
12,2,Tx,0.08648,69.73194,413141,47.46
12,3,Rx,0.17096,17.95944,880581,396.02
12,3,Tx,0.001,17.95046,884690,394.3
12,4,Rx,0.17096,17.95678,880580,396.08
12,4,Tx,0.001,17.94882,884650,394.32
12,5,Rx,0.17096,17.95678,880580,396.08
12,5,Tx,0.001,17.94882,884650,394.32
12,6,Rx,0.17096,209.47948,10455363,399.62
12,6,Tx,0.001,209.46718,1239581,47.34
13,0,Rx,0.08548,18.754,290730,124.59
13,0,Tx,0.08648,18.755,294842,126.35
13,1,Rx,0.08872,18.83084,294842,125.85
13,1,Tx,0.001,18.82502,294825,125.3
13,2,Rx,5.89688,139.35516,3486437,208.99
13,2,Tx,5.80916,139.34934,413141,24.75
13,3,Rx,0.17096,209.47948,10455363,399.62
13,3,Tx,0.001,209.46718,1239581,47.34
13,4,Rx,0.17096,17.95426,880581,396.14
13,4,Tx,0.001,17.94942,884690,394.33
13,5,Rx,0.17096,17.95396,880580,396.14
13,5,Tx,0.001,17.95148,884690,394.28
13,6,Rx,0.17096,17.95408,880580,396.14
13,6,Tx,0.001,17.94862,884650,394.33
14,0,Rx,5.89364,13.02192,290730,326.28
14,0,Tx,5.89464,13.01962,294842,331.05
14,1,Rx,0.08548,18.8276,290730,124.1
14,1,Tx,0.08648,18.8286,294842,125.85
14,2,Rx,0.08872,208.97256,3486437,133.53
14,2,Tx,0.001,208.96674,413141,15.82
14,3,Rx,0.17096,17.95396,880580,396.14
14,3,Tx,0.001,17.95148,884690,394.28
14,4,Rx,0.17096,209.47948,10455363,399.62
14,4,Tx,0.001,209.46718,1239581,47.34
14,5,Rx,0.17096,17.95426,880581,396.14
14,5,Tx,0.001,17.9494,884690,394.33
14,6,Rx,0.17096,17.9541,880580,396.14
14,6,Tx,0.001,17.94862,884650,394.33
15,0,Rx,0.08872,69.73452,413158,47.46
15,0,Tx,0.001,69.73552,3486437,399.97
15,1,Rx,5.89364,139.35192,409046,24.52
15,1,Tx,5.89464,139.35292,3486437,208.99
15,2,Rx,0.08548,208.96932,409046,15.67
15,2,Tx,0.08648,208.97032,3486437,133.53
15,3,Rx,0.17096,209.473,1235487,47.22
15,3,Tx,0.001,209.474,10459475,399.46
15,4,Rx,0.17096,209.473,1235487,47.22
15,4,Tx,0.001,209.474,10459475,399.46
15,5,Rx,0.17096,261.10892,13038250,399.73
15,5,Tx,0.001,261.106,13042362,399.61
15,6,Rx,0.17096,209.473,1235488,47.22
15,6,Tx,0.001,209.474,10459475,399.46
16,0,Rx,0.08548,17.9562,880581,394.2
16,0,Tx,0.08648,17.95196,884692,396.16
16,1,Rx,0.08548,209.46976,1235489,47.2
16,1,Tx,0.08648,209.47724,10459475,399.62
16,2,Rx,0.08548,17.95122,880541,394.29
16,2,Tx,0.08648,17.95046,884691,396.19
16,3,Rx,0.08548,209.47624,10455363,399.46
16,3,Tx,0.08648,209.47042,1239581,47.36
16,4,Rx,0.08548,17.95132,880541,394.29
16,4,Tx,0.08648,17.95368,884692,396.12
16,5,Rx,0.08548,209.46976,1235486,47.2
16,5,Tx,0.08648,209.47724,10459475,399.62
16,6,Rx,0.08548,17.94976,880581,394.34
16,6,Tx,0.08648,17.95364,884691,396.12
16,7,Rx,0.08548,209.47624,10455363,399.46
16,7,Tx,0.08648,209.47042,1239582,47.36
16,8,Rx,0.08548,17.95268,880581,394.28
16,8,Tx,0.08648,17.95368,884692,396.12
16,9,Rx,0.08548,209.46976,1235486,47.2
16,9,Tx,0.08648,209.47724,10459475,399.62
16,10,Rx,0.08548,17.95264,880578,394.28
16,10,Tx,0.08648,17.95472,884692,396.1
16,11,Rx,0.08548,209.47624,10455363,399.46
16,11,Tx,0.08648,209.47042,1239582,47.36
16,12,Rx,0.08548,17.9527,880578,394.28
16,12,Tx,0.08648,17.9572,884693,396.04
16,13,Rx,0.08548,209.46976,1235486,47.2
16,13,Tx,0.08648,209.47724,10459475,399.62
16,14,Rx,0.08548,17.95372,880578,394.25
16,14,Tx,0.08648,17.95172,884692,396.16
16,15,Rx,0.08548,209.47624,10455363,399.46
16,15,Tx,0.08648,209.47042,1239582,47.36
17,0,Rx,0.08548,17.95102,880581,394.31
17,0,Tx,0.08648,17.95202,884692,396.16
17,1,Rx,0.08548,17.95354,880581,394.26
17,1,Tx,0.08648,17.95154,884692,396.17
17,2,Rx,0.08548,209.46976,1235489,47.2
17,2,Tx,0.08648,209.47724,10459475,399.62
17,3,Rx,0.08548,209.47624,10455363,399.46
17,3,Tx,0.08648,209.47042,1239581,47.36
17,4,Rx,0.08548,17.95104,880541,394.3
17,4,Tx,0.08648,17.95202,884692,396.16
17,5,Rx,0.08548,17.95126,880541,394.29
17,5,Tx,0.08648,17.95452,884692,396.1
17,6,Rx,0.08548,209.46976,1235486,47.2
17,6,Tx,0.08648,209.47724,10459475,399.62
17,7,Rx,0.08548,209.47624,10455363,399.46
17,7,Tx,0.08648,209.47042,1239582,47.36
17,8,Rx,0.08548,17.95352,880581,394.26
17,8,Tx,0.08648,17.95266,884692,396.14
17,9,Rx,0.08548,17.95102,880580,394.31
17,9,Tx,0.08648,17.95202,884692,396.16
17,10,Rx,0.08548,209.46976,1235486,47.2
17,10,Tx,0.08648,209.47724,10459475,399.62
17,11,Rx,0.08548,209.47624,10455363,399.46
17,11,Tx,0.08648,209.47042,1239582,47.36
17,12,Rx,0.08548,17.95106,880538,394.29
17,12,Tx,0.08648,17.95454,884692,396.1
17,13,Rx,0.08548,17.95166,880578,394.3
17,13,Tx,0.08648,17.95202,884693,396.16
17,14,Rx,0.08548,209.46976,1235486,47.2
17,14,Tx,0.08648,209.47724,10459475,399.62
17,15,Rx,0.08548,209.47624,10455363,399.46
17,15,Tx,0.08648,209.47042,1239582,47.36
18,0,Rx,0.08548,17.95102,880581,394.31
18,0,Tx,0.08648,17.95202,884691,396.16
18,1,Rx,0.08548,17.95122,880541,394.29
18,1,Tx,0.08648,17.95046,884692,396.19
18,2,Rx,0.08548,17.95354,880581,394.26
18,2,Tx,0.08648,17.95154,884692,396.17
18,3,Rx,0.08548,261.1064,13038250,399.61
18,3,Tx,0.08648,261.1052,13042362,399.74
18,4,Rx,0.08548,17.95102,880541,394.3
18,4,Tx,0.08648,17.95202,884691,396.16
18,5,Rx,0.08548,17.94978,880581,394.34
18,5,Tx,0.08648,17.95364,884692,396.12
18,6,Rx,0.08548,17.95126,880541,394.29
18,6,Tx,0.08648,17.95452,884692,396.1
18,7,Rx,0.08548,261.10328,13038250,399.61
18,7,Tx,0.08648,261.1042,13042362,399.74
18,8,Rx,0.08548,17.95352,880581,394.26
18,8,Tx,0.08648,17.95264,884692,396.14
18,9,Rx,0.08548,17.95264,880580,394.28
18,9,Tx,0.08648,17.95472,884692,396.1
18,10,Rx,0.08548,17.95102,880578,394.31
18,10,Tx,0.08648,17.95202,884692,396.16
18,11,Rx,0.08548,261.10078,13038250,399.62
18,11,Tx,0.08648,261.10864,13042362,399.73
18,12,Rx,0.08548,17.95106,880538,394.29
18,12,Tx,0.08648,17.95454,884692,396.1
18,13,Rx,0.08548,17.95372,880578,394.25
18,13,Tx,0.08648,17.95172,884692,396.16
18,14,Rx,0.08548,17.95164,880578,394.3
18,14,Tx,0.08648,17.95202,884693,396.16
18,15,Rx,0.08548,261.10824,13038250,399.6
18,15,Tx,0.08648,261.10668,13042362,399.73
19,0,Rx,0.08548,209.46976,1235489,47.2
19,0,Tx,0.08648,209.47724,10459475,399.62
19,1,Rx,0.08548,17.95102,880541,394.3
19,1,Tx,0.08648,17.95186,884691,396.16
19,2,Rx,0.08548,17.95084,880541,394.3
19,2,Tx,0.08648,17.95182,884692,396.16
19,3,Rx,0.08548,209.47624,10455363,399.46
19,3,Tx,0.08648,209.47042,1239582,47.36
19,4,Rx,0.08548,209.46976,1235489,47.2
19,4,Tx,0.08648,209.47724,10459475,399.62
19,5,Rx,0.08548,17.95082,880541,394.3
19,5,Tx,0.08648,17.95182,884691,396.16
19,6,Rx,0.08548,17.95086,880541,394.3
19,6,Tx,0.08648,17.95184,884692,396.16
19,7,Rx,0.08548,209.47624,10455363,399.46
19,7,Tx,0.08648,209.47042,1239582,47.36
19,8,Rx,0.08548,209.46976,1235486,47.2
19,8,Tx,0.08648,209.47724,10459475,399.62
19,9,Rx,0.08548,17.95084,880540,394.3
19,9,Tx,0.08648,17.95184,884692,396.16
19,10,Rx,0.08548,17.95102,880538,394.3
19,10,Tx,0.08648,17.95186,884692,396.16
19,11,Rx,0.08548,209.47624,10455363,399.46
19,11,Tx,0.08648,209.47042,1239583,47.36
19,12,Rx,0.08548,209.46976,1235486,47.2
19,12,Tx,0.08648,209.47724,10459475,399.62
19,13,Rx,0.08548,17.95086,880538,394.3
19,13,Tx,0.08648,17.95184,884692,396.16
19,14,Rx,0.08548,17.95086,880538,394.3
19,14,Tx,0.08648,17.95186,884692,396.16
19,15,Rx,0.08548,209.47624,10455363,399.46
19,15,Tx,0.08648,209.47042,1239583,47.36
