nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,3.5174,171596,400.0
0,0,Tx,0.001,3.51516,175708,400.0
0,1,Rx,0.08548,3.5174,171596,400.0
0,1,Tx,0.001,3.51516,175708,400.0
0,2,Rx,0.08548,3.5174,171596,400.0
0,2,Tx,0.001,3.51516,175708,400.0
0,3,Rx,0.17096,86.98762,4139624,381.46
0,3,Tx,0.001,86.23958,4147707,384.77
0,4,Rx,0.17096,86.90516,4303564,396.94
0,4,Tx,0.001,86.89778,4217328,388.26
0,5,Rx,0.17096,87.63386,4212455,385.3
0,5,Tx,0.001,87.44908,4261738,389.88
0,6,Rx,0.17096,84.89016,4191093,395.76
0,6,Tx,0.001,84.79278,4236406,399.7
1,0,Rx,0.08548,3.5174,171596,400.0
1,0,Tx,0.001,3.51516,175708,400.0
1,1,Rx,0.08548,3.5174,171596,400.0
1,1,Tx,0.001,3.51516,175708,400.0
1,2,Rx,0.08548,3.5174,171596,400.0
1,2,Tx,0.001,3.51516,175708,400.0
1,3,Rx,0.17096,86.79864,4254418,392.89
1,3,Tx,0.001,86.24116,4266471,395.78
1,4,Rx,0.17096,86.16906,4258390,396.14
1,4,Tx,0.001,86.17006,4262500,395.73
1,5,Rx,0.25444,86.73064,4097661,379.08
1,5,Tx,0.001,86.61446,4142975,382.66
1,6,Rx,0.25444,86.05538,4236267,394.99
1,6,Tx,0.001,85.54844,4191233,391.94
2,0,Rx,0.08548,3.5174,171596,400.0
2,0,Tx,0.001,3.51516,175708,400.0
2,1,Rx,0.08548,3.5174,171596,400.0
2,1,Tx,0.001,3.51516,175708,400.0
2,2,Rx,0.08548,3.5174,171596,400.0
2,2,Tx,0.001,3.51516,175708,400.0
2,3,Rx,0.17096,86.79988,4206160,388.43
2,3,Tx,0.001,85.72862,4127908,385.21
2,4,Rx,0.17096,86.17064,4279752,398.12
2,4,Tx,0.001,86.17164,4287832,398.08
2,5,Rx,0.17096,87.6351,4124557,377.26
2,5,Tx,0.001,87.09684,4256206,390.94
2,6,Rx,0.33792,85.86596,4236267,396.25
2,6,Tx,0.001,85.55678,4191233,391.91
3,0,Rx,0.08548,3.5174,171596,400.0
3,0,Tx,0.001,3.51516,175708,400.0
3,1,Rx,0.08548,3.5174,171596,400.0
3,1,Tx,0.001,3.51516,175708,400.0
3,2,Rx,0.08548,3.5174,171596,400.0
3,2,Tx,0.001,3.51516,175708,400.0
3,3,Rx,0.17096,87.26572,4253166,390.67
3,3,Tx,0.001,86.51426,4195512,387.96
3,4,Rx,0.17096,86.2341,4098462,380.97
3,4,Tx,0.001,86.2218,4188893,388.67
3,5,Rx,0.17096,87.63686,4304015,393.66
3,5,Tx,0.001,87.5323,4242350,387.73
3,6,Rx,0.17096,84.80838,4191093,396.15
3,6,Tx,0.001,84.80938,4236407,399.62
4,0,Rx,0.08548,3.5174,171596,400.0
4,0,Tx,0.001,3.51516,175708,400.0
4,1,Rx,0.08548,3.5174,171596,400.0
4,1,Tx,0.001,3.51516,175708,400.0
4,2,Rx,0.08548,3.5174,171596,400.0
4,2,Tx,0.001,3.51516,175708,400.0
4,3,Rx,0.17096,86.51484,4253967,394.14
4,3,Tx,0.001,86.51584,4241446,392.21
4,4,Rx,0.17096,86.90326,4098462,378.03
4,4,Tx,0.001,86.53482,4188910,387.26
4,5,Rx,0.17096,87.3553,4284175,393.11
4,5,Tx,0.001,86.44402,4308887,398.77
4,6,Rx,0.17096,86.06524,4210132,392.12
4,6,Tx,0.001,84.8537,4123936,388.81
5,0,Rx,0.08548,3.5174,171596,400.0
5,0,Tx,0.001,3.51516,175708,400.0
5,1,Rx,0.08548,3.5174,171596,400.0
5,1,Tx,0.001,3.51516,175708,400.0
5,2,Rx,0.08548,3.5174,171596,400.0
5,2,Tx,0.001,3.51516,175708,400.0
5,3,Rx,0.17096,86.24954,4278540,397.64
5,3,Tx,0.001,86.23906,4216875,391.18
5,4,Rx,0.17096,85.97686,4165449,388.36
5,4,Tx,0.001,85.88502,4194092,390.67
5,5,Rx,0.17096,87.65184,4212004,385.18
5,5,Tx,0.001,87.61618,4236716,386.85
5,6,Rx,0.17096,85.5582,4190783,392.64
5,6,Tx,0.001,85.19004,4215496,395.87
6,0,Rx,0.08548,3.5174,171596,400.0
6,0,Tx,0.001,3.51516,175708,400.0
6,1,Rx,0.08548,3.5174,171596,400.0
6,1,Tx,0.001,3.51516,175708,400.0
6,2,Rx,0.08548,3.5174,171596,400.0
6,2,Tx,0.001,3.51516,175708,400.0
6,3,Rx,0.17096,86.4153,4231494,392.51
6,3,Tx,0.001,86.40482,4149268,384.17
6,4,Rx,0.17096,86.8945,4238240,390.97
6,4,Tx,0.001,86.8745,4308125,396.73
6,5,Rx,0.17096,87.35806,4185869,384.08
6,5,Tx,0.001,84.60926,4169419,394.23
6,6,Rx,0.17096,85.55368,4191093,392.69
6,6,Tx,0.001,85.54348,4236367,396.19
7,0,Rx,0.08548,3.5174,171596,400.0
7,0,Tx,0.001,3.51516,175708,400.0
7,1,Rx,0.08548,3.5174,171596,400.0
7,1,Tx,0.001,3.51516,175708,400.0
7,2,Rx,0.08548,3.5174,171596,400.0
7,2,Tx,0.001,3.51516,175708,400.0
7,3,Rx,0.17096,87.26978,4325686,397.31
7,3,Tx,0.001,87.26024,4288594,393.18
7,4,Rx,0.17096,86.88422,4212452,388.63
7,4,Tx,0.001,86.70196,4261741,393.24
7,5,Rx,0.17096,85.48054,4119372,386.3
7,5,Tx,0.001,85.23684,4189219,393.19
7,6,Rx,0.17096,84.79464,4189218,396.03
7,6,Tx,0.001,84.79564,4123625,389.05
8,0,Rx,0.08548,3.5174,171596,400.0
8,0,Tx,0.001,3.51516,175708,400.0
8,1,Rx,0.08548,3.5174,171596,400.0
8,1,Tx,0.001,3.51516,175708,400.0
8,2,Rx,0.08548,3.5174,171596,400.0
8,2,Tx,0.001,3.51516,175708,400.0
8,3,Rx,0.17096,86.41546,4279610,396.97
8,3,Tx,0.001,86.09702,4283722,398.04
8,4,Rx,0.17096,86.88622,4210893,388.48
8,4,Tx,0.001,86.16374,4169869,387.16
8,5,Rx,0.17096,86.5495,4144848,383.88
8,5,Tx,0.001,86.16066,4214694,391.34
8,6,Rx,0.17096,85.54188,4211381,394.64
8,6,Tx,0.001,85.27146,4194894,393.56
9,0,Rx,0.08548,3.5174,171596,400.0
9,0,Tx,0.001,3.51516,175708,400.0
9,1,Rx,0.08548,3.5174,171596,400.0
9,1,Tx,0.001,3.51516,175708,400.0
9,2,Rx,0.08548,3.5174,171596,400.0
9,2,Tx,0.001,3.51516,175708,400.0
9,3,Rx,0.17096,86.89814,4145468,382.39
9,3,Tx,0.001,86.24406,4256516,394.84
9,4,Rx,0.17096,86.89826,4258389,392.81
9,4,Tx,0.001,86.7852,4262500,392.93
9,5,Rx,0.17096,86.55926,4164957,385.7
9,5,Tx,0.001,86.46164,4169069,385.75
9,6,Rx,0.17096,86.06248,4277918,398.45
9,6,Tx,0.001,86.05976,4175054,388.11
10,0,Rx,0.08548,3.5174,171596,400.0
10,0,Tx,0.001,3.51516,175708,400.0
10,1,Rx,0.08548,3.5174,171596,400.0
10,1,Tx,0.001,3.51516,175708,400.0
10,2,Rx,0.08548,3.5174,171596,400.0
10,2,Tx,0.001,3.51516,175708,400.0
10,3,Rx,0.17096,86.51574,4263263,395.0
10,3,Tx,0.001,86.40982,4308575,398.9
10,4,Rx,0.17096,86.87746,4189529,386.55
10,4,Tx,0.001,85.23046,4144537,389.02
10,5,Rx,0.17096,86.73842,4208342,388.91
10,5,Tx,0.001,86.5443,4261598,393.94
10,6,Rx,0.17096,85.45466,4185558,392.62
10,6,Tx,0.001,84.72408,4148509,391.72
11,0,Rx,0.08548,3.5174,171596,400.0
11,0,Tx,0.001,3.51516,175708,400.0
11,1,Rx,0.08548,3.5174,171596,400.0
11,1,Tx,0.001,3.51516,175708,400.0
11,2,Rx,0.08548,3.5174,171596,400.0
11,2,Tx,0.001,3.51516,175708,400.0
11,3,Rx,0.17096,87.2633,4166067,382.68
11,3,Tx,0.001,87.2643,4235914,388.33
11,4,Rx,0.17096,86.78544,4164646,384.66
11,4,Tx,0.001,85.73194,4148158,387.09
11,5,Rx,0.17096,87.65934,4349803,397.75
11,5,Tx,0.001,87.6529,4238999,386.89
11,6,Rx,0.17096,84.87862,4166208,393.47
11,6,Tx,0.001,84.87314,4240028,399.66
12,0,Rx,0.08548,3.5174,171596,400.0
12,0,Tx,0.001,3.51516,175708,400.0
12,1,Rx,0.08548,3.5174,171596,400.0
12,1,Tx,0.001,3.51516,175708,400.0
12,2,Rx,0.08548,3.5174,171596,400.0
12,2,Tx,0.001,3.51516,175708,400.0
12,3,Rx,0.25444,85.90766,4237333,395.77
12,3,Tx,0.001,85.90866,4258078,396.53
12,4,Rx,0.17096,86.87922,4231983,390.46
12,4,Tx,0.001,86.1423,4174293,387.67
12,5,Rx,0.17096,87.65838,4232603,387.04
12,5,Tx,0.001,85.15082,4216115,396.11
12,6,Rx,0.17096,86.05994,4144845,386.07
12,6,Tx,0.001,85.69858,4214693,393.45
13,0,Rx,0.08548,3.5174,171596,400.0
13,0,Tx,0.001,3.51516,175708,400.0
13,1,Rx,0.08548,3.5174,171596,400.0
13,1,Tx,0.001,3.51516,175708,400.0
13,2,Rx,0.08548,3.5174,171596,400.0
13,2,Tx,0.001,3.51516,175708,400.0
13,3,Rx,0.33792,87.07762,4263116,393.19
13,3,Tx,0.001,86.53702,4304464,397.94
13,4,Rx,0.25444,86.01374,4211691,392.88
13,4,Tx,0.001,85.79878,4215804,393.09
13,5,Rx,0.17096,87.63086,4232293,387.13
13,5,Tx,0.001,86.9293,4195204,386.08
13,6,Rx,0.17096,84.7864,4139624,391.38
13,6,Tx,0.001,84.78444,4147707,391.37
14,0,Rx,0.08548,3.5174,171596,400.0
14,0,Tx,0.001,3.51516,175708,400.0
14,1,Rx,0.08548,3.5174,171596,400.0
14,1,Tx,0.001,3.51516,175708,400.0
14,2,Rx,0.08548,3.5174,171596,400.0
14,2,Tx,0.001,3.51516,175708,400.0
14,3,Rx,0.4214,87.17246,4190638,386.45
14,3,Tx,0.001,86.79816,4211383,388.16
14,4,Rx,0.33792,86.1659,4237474,394.97
14,4,Tx,0.001,86.1669,4262190,395.72
14,5,Rx,0.25444,87.6453,4278227,391.64
14,5,Tx,0.001,86.73294,4195966,387.03
14,6,Rx,0.17096,86.05238,4140425,385.69
14,6,Tx,0.001,85.9554,4193640,390.31
15,0,Rx,0.08548,3.5174,171596,400.0
