taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,169467,URMA_WRITE,7,0ns,0,,0.0,3.51368,0.001,3.5174,385.845
1,1,2,169467,URMA_WRITE,7,0ns,1,,0.0,3.51368,0.001,3.5174,385.845
2,2,3,169467,URMA_WRITE,7,0ns,2,,0.0,3.51368,0.001,3.5174,385.845
3,3,0,169467,URMA_WRITE,7,0ns,3,,0.0,3.51368,0.001,3.5174,385.845
4,4,5,169467,URMA_WRITE,7,0ns,4,,0.0,3.51368,0.001,3.5174,385.845
5,5,6,169467,URMA_WRITE,7,0ns,5,,0.0,3.51368,0.001,3.5174,385.845
6,6,7,169467,URMA_WRITE,7,0ns,6,,0.0,3.51368,0.001,3.5174,385.845
7,7,4,169467,URMA_WRITE,7,0ns,7,,0.0,3.51368,0.001,3.5174,385.845
8,8,9,169467,URMA_WRITE,7,0ns,8,,0.0,3.51368,0.001,3.5174,385.845
9,9,10,169467,URMA_WRITE,7,0ns,9,,0.0,3.51368,0.001,3.5174,385.845
10,10,11,169467,URMA_WRITE,7,0ns,10,,0.0,3.51368,0.001,3.5174,385.845
11,11,8,169467,URMA_WRITE,7,0ns,11,,0.0,3.51368,0.001,3.5174,385.845
12,12,13,169467,URMA_WRITE,7,0ns,12,,0.0,3.51368,0.001,3.5174,385.845
13,13,14,169467,URMA_WRITE,7,0ns,13,,0.0,3.51368,0.001,3.5174,385.845
14,14,15,169467,URMA_WRITE,7,0ns,14,,0.0,3.51368,0.001,3.5174,385.845
15,15,12,169467,URMA_WRITE,7,0ns,15,,0.0,3.51368,0.001,3.5174,385.845
16,0,2,169467,URMA_WRITE,7,0ns,16,,0.0,3.51368,0.001,3.5174,385.845
17,1,3,169467,URMA_WRITE,7,0ns,17,,0.0,3.51368,0.001,3.5174,385.845
18,2,0,169467,URMA_WRITE,7,0ns,18,,0.0,3.51368,0.001,3.5174,385.845
19,3,1,169467,URMA_WRITE,7,0ns,19,,0.0,3.51368,0.001,3.5174,385.845
20,4,6,169467,URMA_WRITE,7,0ns,20,,0.0,3.51368,0.001,3.5174,385.845
21,5,7,169467,URMA_WRITE,7,0ns,21,,0.0,3.51368,0.001,3.5174,385.845
22,6,4,169467,URMA_WRITE,7,0ns,22,,0.0,3.51368,0.001,3.5174,385.845
23,7,5,169467,URMA_WRITE,7,0ns,23,,0.0,3.51368,0.001,3.5174,385.845
24,8,10,169467,URMA_WRITE,7,0ns,24,,0.0,3.51368,0.001,3.5174,385.845
25,9,11,169467,URMA_WRITE,7,0ns,25,,0.0,3.51368,0.001,3.5174,385.845
26,10,8,169467,URMA_WRITE,7,0ns,26,,0.0,3.51368,0.001,3.5174,385.845
27,11,9,169467,URMA_WRITE,7,0ns,27,,0.0,3.51368,0.001,3.5174,385.845
28,12,14,169467,URMA_WRITE,7,0ns,28,,0.0,3.51368,0.001,3.5174,385.845
29,13,15,169467,URMA_WRITE,7,0ns,29,,0.0,3.51368,0.001,3.5174,385.845
30,14,12,169467,URMA_WRITE,7,0ns,30,,0.0,3.51368,0.001,3.5174,385.845
31,15,13,169467,URMA_WRITE,7,0ns,31,,0.0,3.51368,0.001,3.5174,385.845
32,0,3,169467,URMA_WRITE,7,0ns,32,,0.0,3.51368,0.001,3.5174,385.845
33,1,0,169467,URMA_WRITE,7,0ns,33,,0.0,3.51368,0.001,3.5174,385.845
34,2,1,169467,URMA_WRITE,7,0ns,34,,0.0,3.51368,0.001,3.5174,385.845
35,3,2,169467,URMA_WRITE,7,0ns,35,,0.0,3.51368,0.001,3.5174,385.845
36,4,7,169467,URMA_WRITE,7,0ns,36,,0.0,3.51368,0.001,3.5174,385.845
37,5,4,169467,URMA_WRITE,7,0ns,37,,0.0,3.51368,0.001,3.5174,385.845
38,6,5,169467,URMA_WRITE,7,0ns,38,,0.0,3.51368,0.001,3.5174,385.845
39,7,6,169467,URMA_WRITE,7,0ns,39,,0.0,3.51368,0.001,3.5174,385.845
40,8,11,169467,URMA_WRITE,7,0ns,40,,0.0,3.51368,0.001,3.5174,385.845
41,9,8,169467,URMA_WRITE,7,0ns,41,,0.0,3.51368,0.001,3.5174,385.845
42,10,9,169467,URMA_WRITE,7,0ns,42,,0.0,3.51368,0.001,3.5174,385.845
43,11,10,169467,URMA_WRITE,7,0ns,43,,0.0,3.51368,0.001,3.5174,385.845
44,12,15,169467,URMA_WRITE,7,0ns,44,,0.0,3.51368,0.001,3.5174,385.845
45,13,12,169467,URMA_WRITE,7,0ns,45,,0.0,3.51368,0.001,3.5174,385.845
46,14,13,169467,URMA_WRITE,7,0ns,46,,0.0,3.51368,0.001,3.5174,385.845
47,15,14,169467,URMA_WRITE,7,0ns,47,,0.0,3.51368,0.001,3.5174,385.845
48,0,12,1355734,URMA_WRITE,7,0ns,48,,0.0,28.18864,0.001,28.36078,384.7604
49,1,13,1355734,URMA_WRITE,7,0ns,49,,0.0,28.18864,0.001,28.36078,384.7604
50,2,14,1355734,URMA_WRITE,7,0ns,50,,0.0,28.18864,0.001,28.36078,384.7604
51,3,15,1355734,URMA_WRITE,7,0ns,51,,0.0,28.18864,0.001,28.36078,384.7604
52,4,8,1355735,URMA_WRITE,7,0ns,52,,0.0,28.18864,0.001,28.3608,384.7607
53,5,9,1355735,URMA_WRITE,7,0ns,53,,0.0,28.18864,0.001,28.3608,384.7607
54,6,10,1355735,URMA_WRITE,7,0ns,54,,0.0,28.18864,0.001,28.3608,384.7607
55,7,11,1355734,URMA_WRITE,7,0ns,55,,0.0,28.18862,0.001,28.36078,384.7607
56,8,4,1355735,URMA_WRITE,7,0ns,56,,0.0,28.18864,0.001,28.36078,384.7607
57,9,5,1355735,URMA_WRITE,7,0ns,57,,0.0,28.18864,0.001,28.36078,384.7607
58,10,6,1355735,URMA_WRITE,7,0ns,58,,0.0,28.18864,0.001,28.36078,384.7607
59,11,7,1355734,URMA_WRITE,7,0ns,59,,0.0,28.18862,0.001,28.36078,384.7607
60,12,0,1355735,URMA_WRITE,7,0ns,60,,0.0,28.18862,0.001,28.3608,384.7609
61,13,1,1355735,URMA_WRITE,7,0ns,61,,0.0,28.18862,0.001,28.3608,384.7609
62,14,2,1355735,URMA_WRITE,7,0ns,62,,0.0,28.18862,0.001,28.36078,384.7609
63,15,3,1355735,URMA_WRITE,7,0ns,63,,0.0,28.18862,0.001,28.3608,384.7609
64,0,8,1355735,URMA_WRITE,7,0ns,64,,0.0,28.18864,0.001,28.36078,384.7607
65,1,9,1355735,URMA_WRITE,7,0ns,65,,0.0,28.18864,0.001,28.36078,384.7607
66,2,10,1355735,URMA_WRITE,7,0ns,66,,0.0,28.18864,0.001,28.36078,384.7607
67,3,11,1355734,URMA_WRITE,7,0ns,67,,0.0,28.18864,0.001,28.36078,384.7604
68,4,12,1355734,URMA_WRITE,7,0ns,68,,0.0,28.18864,0.001,28.36078,384.7604
69,5,13,1355734,URMA_WRITE,7,0ns,69,,0.0,28.18864,0.001,28.36078,384.7604
70,6,14,1355734,URMA_WRITE,7,0ns,70,,0.0,28.18864,0.001,28.36078,384.7604
71,7,15,1355734,URMA_WRITE,7,0ns,71,,0.0,28.18862,0.001,28.36078,384.7607
72,8,0,1355735,URMA_WRITE,7,0ns,72,,0.0,28.18864,0.001,28.3608,384.7607
73,9,1,1355735,URMA_WRITE,7,0ns,73,,0.0,28.18864,0.001,28.3608,384.7607
74,10,2,1355735,URMA_WRITE,7,0ns,74,,0.0,28.18864,0.001,28.36078,384.7607
75,11,3,1355735,URMA_WRITE,7,0ns,75,,0.0,28.18862,0.001,28.3608,384.7609
76,12,4,1355735,URMA_WRITE,7,0ns,76,,0.0,28.18862,0.001,28.3608,384.7609
77,13,5,1355735,URMA_WRITE,7,0ns,77,,0.0,28.18862,0.001,28.3608,384.7609
78,14,6,1355735,URMA_WRITE,7,0ns,78,,0.0,28.18862,0.001,28.3608,384.7609
79,15,7,1355734,URMA_WRITE,7,0ns,79,,0.0,28.18862,0.001,28.36078,384.7607
80,0,4,1355735,URMA_WRITE,7,0ns,80,,0.0,28.18864,0.001,28.36078,384.7607
81,1,5,1355735,URMA_WRITE,7,0ns,81,,0.0,28.18864,0.001,28.36078,384.7607
82,2,6,1355735,URMA_WRITE,7,0ns,82,,0.0,28.18864,0.001,28.36078,384.7607
83,3,7,1355735,URMA_WRITE,7,0ns,83,,0.0,28.18864,0.001,28.36078,384.7607
84,4,0,1355735,URMA_WRITE,7,0ns,84,,0.0,28.18864,0.001,28.36078,384.7607
85,5,1,1355735,URMA_WRITE,7,0ns,85,,0.0,28.18864,0.001,28.36078,384.7607
86,6,2,1355735,URMA_WRITE,7,0ns,86,,0.0,28.18864,0.001,28.36078,384.7607
87,7,3,1355735,URMA_WRITE,7,0ns,87,,0.0,28.18864,0.001,28.36078,384.7607
88,8,12,1355734,URMA_WRITE,7,0ns,88,,0.0,28.18862,0.001,28.36078,384.7607
89,9,13,1355734,URMA_WRITE,7,0ns,89,,0.0,28.18862,0.001,28.36078,384.7607
90,10,14,1355734,URMA_WRITE,7,0ns,90,,0.0,28.18862,0.001,28.36078,384.7607
91,11,15,1355734,URMA_WRITE,7,0ns,91,,0.0,28.18862,0.001,28.36078,384.7607
92,12,8,1355734,URMA_WRITE,7,0ns,92,,0.0,28.18862,0.001,28.36078,384.7607
93,13,9,1355734,URMA_WRITE,7,0ns,93,,0.0,28.18862,0.001,28.36078,384.7607
94,14,10,1355734,URMA_WRITE,7,0ns,94,,0.0,28.18862,0.001,28.36078,384.7607
95,15,11,1355734,URMA_WRITE,7,0ns,95,,0.0,28.18862,0.001,28.36078,384.7607
96,0,13,1355734,URMA_WRITE,7,0ns,96,,0.0,28.18864,0.001,28.36078,384.7604
97,1,14,1355734,URMA_WRITE,7,0ns,97,,0.0,28.18864,0.001,28.36078,384.7604
98,2,15,1355734,URMA_WRITE,7,0ns,98,,0.0,28.18864,0.001,28.36078,384.7604
99,3,12,1355734,URMA_WRITE,7,0ns,99,,0.0,28.18864,0.001,28.36078,384.7604
100,4,9,1355735,URMA_WRITE,7,0ns,100,,0.0,28.18864,0.001,28.3608,384.7607
101,5,10,1355735,URMA_WRITE,7,0ns,101,,0.0,28.18864,0.001,28.3608,384.7607
102,6,11,1355734,URMA_WRITE,7,0ns,102,,0.0,28.18864,0.001,28.36078,384.7604
103,7,8,1355735,URMA_WRITE,7,0ns,103,,0.0,28.18862,0.001,28.3608,384.7609
104,8,7,1355734,URMA_WRITE,7,0ns,104,,0.0,28.18864,0.001,28.36078,384.7604
105,9,4,1355735,URMA_WRITE,7,0ns,105,,0.0,28.18864,0.001,28.36078,384.7607
106,10,5,1355735,URMA_WRITE,7,0ns,106,,0.0,28.18864,0.001,28.36078,384.7607
107,11,6,1355735,URMA_WRITE,7,0ns,107,,0.0,28.18862,0.001,28.36078,384.7609
108,12,3,1355735,URMA_WRITE,7,0ns,108,,0.0,28.18862,0.001,28.3608,384.7609
109,13,0,1355735,URMA_WRITE,7,0ns,109,,0.0,28.18862,0.001,28.3608,384.7609
110,14,1,1355735,URMA_WRITE,7,0ns,110,,0.0,28.18862,0.001,28.36078,384.7609
111,15,2,1355735,URMA_WRITE,7,0ns,111,,0.0,28.18862,0.001,28.3608,384.7609
112,0,9,1355735,URMA_WRITE,7,0ns,112,48.0,28.18864,56.37868,28.1896,56.55084,384.7416
113,1,10,1355735,URMA_WRITE,7,0ns,113,49.0,28.18864,56.37868,28.1896,56.55084,384.7416
114,2,11,1355734,URMA_WRITE,7,0ns,114,50.0,28.18864,56.3799,28.1896,56.55116,384.7246
115,3,8,1355735,URMA_WRITE,7,0ns,115,51.0,28.18864,56.37868,28.1896,56.5508,384.7416
116,4,15,1355734,URMA_WRITE,7,0ns,116,52.0,28.18864,56.3799,28.1896,56.55084,384.7246
117,5,12,1355734,URMA_WRITE,7,0ns,117,53.0,28.18864,56.3799,28.1896,56.55084,384.7246
118,6,13,1355734,URMA_WRITE,7,0ns,118,54.0,28.18864,56.3799,28.1896,56.55116,384.7246
119,7,14,1355734,URMA_WRITE,7,0ns,119,55.0,28.18862,56.37864,28.18958,56.5508,384.7416
120,8,3,1355735,URMA_WRITE,7,0ns,120,56.0,28.18864,56.37868,28.1896,56.55208,384.7416
121,9,0,1355735,URMA_WRITE,7,0ns,121,57.0,28.18864,56.37868,28.1896,56.55208,384.7416
