nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08872,81.35412,294843,29.03
0,0,Tx,0.001,81.3483,294826,28.99
0,1,Rx,5.8969,75.54594,294843,33.87
0,1,Tx,5.80918,75.54012,294826,33.82
0,2,Rx,0.08548,81.23376,409047,40.33
0,2,Tx,0.08648,81.23476,3486437,343.71
0,3,Rx,0.17096,17.95594,880581,396.1
0,3,Tx,0.001,17.94908,884652,394.32
0,4,Rx,0.17096,17.95696,880581,396.08
0,4,Tx,0.001,17.94776,884652,394.35
0,5,Rx,0.17096,17.95678,880581,396.08
0,5,Tx,0.001,17.94756,884691,394.37
0,6,Rx,0.17096,209.4732,1235489,47.22
0,6,Tx,0.001,209.4742,10459475,399.46
1,0,Rx,0.08548,81.35088,290731,28.62
1,0,Tx,0.08648,81.35188,294843,29.03
1,1,Rx,0.08872,81.35412,294843,29.03
1,1,Tx,0.001,81.3483,294826,28.99
1,2,Rx,5.8969,75.5427,413159,47.46
1,2,Tx,5.80918,75.5437,3486437,399.97
1,3,Rx,0.17096,209.4732,1235489,47.22
1,3,Tx,0.001,209.4742,10459475,399.46
1,4,Rx,0.17096,17.9541,880581,396.14
1,4,Tx,0.001,17.94882,884692,394.34
1,5,Rx,0.17096,17.95594,880581,396.1
1,5,Tx,0.001,17.94908,884652,394.32
1,6,Rx,0.17096,17.95678,880581,396.08
1,6,Tx,0.001,17.94756,884691,394.37
2,0,Rx,5.89366,75.5427,290731,33.39
2,0,Tx,5.89466,75.5437,294843,33.87
2,1,Rx,0.08548,81.35088,290731,28.62
2,1,Tx,0.08648,81.35188,294843,29.03
2,2,Rx,0.08872,69.73452,413159,47.46
2,2,Tx,0.001,69.73552,3486437,399.97
2,3,Rx,0.17096,17.9541,880581,396.14
2,3,Tx,0.001,17.94862,884691,394.34
2,4,Rx,0.17096,209.4732,1235489,47.22
2,4,Tx,0.001,209.4742,10459475,399.46
2,5,Rx,0.17096,17.9541,880581,396.14
2,5,Tx,0.001,17.94882,884692,394.34
2,6,Rx,0.17096,17.9541,880581,396.14
2,6,Tx,0.001,17.94882,884692,394.34
3,0,Rx,0.08872,81.237,3486437,343.71
3,0,Tx,0.001,81.23118,413142,40.69
3,1,Rx,5.89366,75.54594,3482325,399.97
3,1,Tx,5.89466,75.54012,413142,47.46
3,2,Rx,0.08548,69.73776,3482325,399.97
3,2,Tx,0.08648,69.73194,413142,47.46
3,3,Rx,0.17096,209.47968,10455363,399.61
3,3,Tx,0.001,209.46738,1239581,47.34
3,4,Rx,0.17096,209.47968,10455363,399.61
3,4,Tx,0.001,209.46738,1239581,47.34
3,5,Rx,0.17096,261.10744,13038250,399.74
3,5,Tx,0.001,261.10416,13042362,399.61
3,6,Rx,0.17096,209.47968,10455363,399.61
3,6,Tx,0.001,209.46738,1239582,47.34
4,0,Rx,0.08872,81.35412,294843,29.03
4,0,Tx,0.001,81.3483,294826,28.99
4,1,Rx,5.8969,75.54594,294843,33.87
4,1,Tx,5.80918,75.54012,294826,33.82
4,2,Rx,0.08548,81.23376,409047,40.33
4,2,Tx,0.08648,81.23476,3486437,343.71
4,3,Rx,0.17096,17.95592,880581,396.1
4,3,Tx,0.001,17.95046,884692,394.3
4,4,Rx,0.17096,17.9541,880581,396.14
4,4,Tx,0.001,17.94862,884692,394.34
4,5,Rx,0.17096,17.9541,880581,396.14
4,5,Tx,0.001,17.94862,884691,394.34
4,6,Rx,0.17096,209.4732,1235489,47.22
4,6,Tx,0.001,209.4742,10459475,399.46
5,0,Rx,0.08548,81.35088,290731,28.62
5,0,Tx,0.08648,81.35188,294843,29.03
5,1,Rx,0.08872,81.35412,294843,29.03
5,1,Tx,0.001,81.3483,294826,28.99
5,2,Rx,5.8969,75.5427,413158,47.46
5,2,Tx,5.80918,75.5437,3486437,399.97
5,3,Rx,0.17096,209.4732,1235486,47.22
5,3,Tx,0.001,209.4742,10459475,399.46
5,4,Rx,0.17096,17.95396,880581,396.15
5,4,Tx,0.001,17.95148,884692,394.28
5,5,Rx,0.17096,17.9559,880581,396.1
5,5,Tx,0.001,17.95046,884692,394.3
5,6,Rx,0.17096,17.9541,880581,396.14
5,6,Tx,0.001,17.94862,884691,394.34
6,0,Rx,5.89366,75.5427,290731,33.39
6,0,Tx,5.89466,75.5437,294843,33.87
6,1,Rx,0.08548,81.35088,290731,28.62
6,1,Tx,0.08648,81.35188,294843,29.03
6,2,Rx,0.08872,69.73452,413158,47.46
6,2,Tx,0.001,69.73552,3486437,399.97
6,3,Rx,0.17096,17.95674,880581,396.08
6,3,Tx,0.001,17.9488,884651,394.32
6,4,Rx,0.17096,209.4732,1235486,47.22
6,4,Tx,0.001,209.4742,10459475,399.46
6,5,Rx,0.17096,17.95278,880581,396.17
6,5,Tx,0.001,17.9513,884692,394.29
6,6,Rx,0.17096,17.95278,880581,396.17
6,6,Tx,0.001,17.9513,884692,394.29
7,0,Rx,0.08872,81.237,3486437,343.71
7,0,Tx,0.001,81.23118,413142,40.69
7,1,Rx,5.89366,75.54594,3482325,399.97
7,1,Tx,5.89466,75.54012,413141,47.46
7,2,Rx,0.08548,69.73776,3482325,399.97
7,2,Tx,0.08648,69.73194,413141,47.46
7,3,Rx,0.17096,209.47968,10455363,399.61
7,3,Tx,0.001,209.46738,1239582,47.34
7,4,Rx,0.17096,209.47968,10455363,399.61
7,4,Tx,0.001,209.46738,1239582,47.34
7,5,Rx,0.17096,261.10644,13038250,399.74
7,5,Tx,0.001,261.10104,13042362,399.61
7,6,Rx,0.17096,209.47968,10455363,399.61
7,6,Tx,0.001,209.46738,1239582,47.34
8,0,Rx,0.08872,81.3541,294843,29.03
8,0,Tx,0.001,81.34828,294826,28.99
8,1,Rx,5.8969,75.54594,294843,33.87
8,1,Tx,5.80918,75.54012,294825,33.82
8,2,Rx,0.08548,81.23374,409046,40.33
8,2,Tx,0.08648,81.23474,3486437,343.71
