taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,651817,URMA_WRITE,7,0ns,0,,0.0,57.37828,1.0984,58.2192,90.88
1,0,1,382917,URMA_WRITE,7,0ns,1,,0.0,12.15988,0.001,12.16278,251.9216
2,0,14,419112,URMA_WRITE,7,0ns,2,,0.0,35.41238,1.01492,35.86742,94.6815
3,0,2,943593,URMA_WRITE,7,0ns,3,,0.0,19.39926,0.001,19.4025,389.1254
4,0,13,251479,URMA_WRITE,7,0ns,4,,0.0,33.77464,0.848,34.65926,59.5663
5,0,3,448905,URMA_WRITE,7,0ns,5,,0.0,13.51902,0.001,13.52192,265.6435
6,0,12,3620244,URMA_WRITE,7,0ns,6,,0.0,92.33282,0.847,92.67142,313.6691
7,0,4,3306416,URMA_WRITE,7,0ns,7,,0.0,98.11716,0.001,98.12364,269.5892
8,0,11,529775,URMA_WRITE,7,0ns,8,,0.0,53.79564,0.50288,54.3246,78.7833
9,0,5,555856,URMA_WRITE,7,0ns,9,,0.0,33.50638,0.002,35.06508,132.7165
10,0,10,1052045,URMA_WRITE,7,0ns,10,,0.0,73.5414,0.4194,73.76898,114.4438
11,0,6,2071089,URMA_WRITE,7,0ns,11,,0.0,86.7703,0.003,87.53284,190.9491
12,0,9,1473131,URMA_WRITE,7,0ns,12,,0.0,71.61304,0.33592,71.76776,164.5657
13,0,7,476100,URMA_WRITE,7,0ns,13,,0.0,41.74586,0.16896,42.1657,91.2378
14,0,8,594737,URMA_WRITE,7,0ns,14,,0.0,62.90864,0.25244,63.3307,75.6318
15,1,0,664086,URMA_WRITE,7,0ns,15,,0.0,13.68206,0.001,13.6853,388.2959
16,1,2,1340071,URMA_WRITE,7,0ns,16,,0.0,31.33584,0.001,31.33908,342.1184
17,1,15,4781621,URMA_WRITE,7,0ns,17,,0.0,91.24094,1.0132,91.24742,419.2522
18,1,3,767877,URMA_WRITE,7,0ns,18,,0.0,15.72066,0.001,15.7239,390.7607
19,1,14,167084,URMA_WRITE,7,0ns,19,,0.0,46.07632,1.01492,46.30534,29.01
20,1,4,1190844,URMA_WRITE,7,0ns,20,,0.0,66.75782,0.001,67.52268,142.7062
21,1,13,1550650,URMA_WRITE,7,0ns,21,,0.0,78.4402,0.93144,78.44634,158.1485
22,1,5,309517,URMA_WRITE,7,0ns,22,,0.0,62.31772,0.002,62.57618,39.7341
23,1,12,725504,URMA_WRITE,7,0ns,23,,0.0,76.47844,0.50288,76.86052,75.8911
24,1,6,603209,URMA_WRITE,7,0ns,24,,0.0,67.26348,0.003,70.19966,71.7428
25,1,11,421287,URMA_WRITE,7,0ns,25,,0.0,53.3783,0.4194,53.7604,63.1398
26,1,7,473737,URMA_WRITE,7,0ns,26,,0.0,55.93362,0.16896,56.11416,67.757
27,1,10,170577,URMA_WRITE,7,0ns,27,,0.0,36.0437,0.4194,36.7581,37.86
28,1,8,238022,URMA_WRITE,7,0ns,28,,0.0,36.6635,0.25244,36.74148,51.9366
