taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,382917,URMA_WRITE,7,0ns,0,
1,0,4,3306416,URMA_WRITE,7,0ns,1,
2,0,5,555856,URMA_WRITE,7,0ns,2,
3,0,6,2071089,URMA_WRITE,7,0ns,3,
4,0,7,476100,URMA_WRITE,7,0ns,4,
5,4,5,2064922,URMA_WRITE,7,0ns,5,
6,4,8,530308,URMA_WRITE,7,0ns,6,
7,4,9,700215,URMA_WRITE,7,0ns,7,
8,4,10,1925602,URMA_WRITE,7,0ns,8,
9,4,11,3297442,URMA_WRITE,7,0ns,9,
10,8,9,1206680,URMA_WRITE,7,0ns,10,
11,8,12,1075310,URMA_WRITE,7,0ns,11,
12,8,13,1702101,URMA_WRITE,7,0ns,12,
13,8,14,429811,URMA_WRITE,7,0ns,13,
14,8,15,1145544,URMA_WRITE,7,0ns,14,
15,12,13,581872,URMA_WRITE,7,0ns,15,
16,12,0,603933,URMA_WRITE,7,0ns,16,
17,12,1,3266662,URMA_WRITE,7,0ns,17,
18,12,2,3197907,URMA_WRITE,7,0ns,18,
19,12,3,217657,URMA_WRITE,7,0ns,19,
20,1,2,1340071,URMA_WRITE,7,0ns,20,
21,1,7,473737,URMA_WRITE,7,0ns,21,
22,1,4,1190844,URMA_WRITE,7,0ns,22,
23,1,5,309517,URMA_WRITE,7,0ns,23,
24,1,6,603209,URMA_WRITE,7,0ns,24,
25,5,6,3694495,URMA_WRITE,7,0ns,25,
26,5,11,690637,URMA_WRITE,7,0ns,26,
27,5,8,323808,URMA_WRITE,7,0ns,27,
28,5,9,1398959,URMA_WRITE,7,0ns,28,
29,5,10,718518,URMA_WRITE,7,0ns,29,
30,9,10,884478,URMA_WRITE,7,0ns,30,
31,9,15,398036,URMA_WRITE,7,0ns,31,
32,9,12,1607758,URMA_WRITE,7,0ns,32,
33,9,13,735985,URMA_WRITE,7,0ns,33,
34,9,14,303047,URMA_WRITE,7,0ns,34,
35,13,14,1403042,URMA_WRITE,7,0ns,35,
36,13,3,1302763,URMA_WRITE,7,0ns,36,
37,13,0,655430,URMA_WRITE,7,0ns,37,
38,13,1,871469,URMA_WRITE,7,0ns,38,
39,13,2,823911,URMA_WRITE,7,0ns,39,
40,2,3,421206,URMA_WRITE,7,0ns,40,
41,2,6,1693395,URMA_WRITE,7,0ns,41,
42,2,7,917113,URMA_WRITE,7,0ns,42,
43,2,4,2022050,URMA_WRITE,7,0ns,43,
44,2,5,1124455,URMA_WRITE,7,0ns,44,
45,6,7,1083112,URMA_WRITE,7,0ns,45,
46,6,10,1255312,URMA_WRITE,7,0ns,46,
47,6,11,2075524,URMA_WRITE,7,0ns,47,
48,6,8,2776189,URMA_WRITE,7,0ns,48,
49,6,9,1342905,URMA_WRITE,7,0ns,49,
50,10,11,709083,URMA_WRITE,7,0ns,50,
51,10,14,2093242,URMA_WRITE,7,0ns,51,
52,10,15,704838,URMA_WRITE,7,0ns,52,
53,10,12,500565,URMA_WRITE,7,0ns,53,
54,10,13,1405946,URMA_WRITE,7,0ns,54,
55,14,15,1707426,URMA_WRITE,7,0ns,55,
56,14,2,818886,URMA_WRITE,7,0ns,56,
57,14,3,528025,URMA_WRITE,7,0ns,57,
58,14,0,439192,URMA_WRITE,7,0ns,58,
59,14,1,1485693,URMA_WRITE,7,0ns,59,
60,3,0,1135592,URMA_WRITE,7,0ns,60,
61,3,5,1349728,URMA_WRITE,7,0ns,61,
62,3,6,1997203,URMA_WRITE,7,0ns,62,
63,3,7,850755,URMA_WRITE,7,0ns,63,
64,3,4,279696,URMA_WRITE,7,0ns,64,
65,7,4,845416,URMA_WRITE,7,0ns,65,
66,7,9,353413,URMA_WRITE,7,0ns,66,
67,7,10,742244,URMA_WRITE,7,0ns,67,
68,7,11,1520270,URMA_WRITE,7,0ns,68,
69,7,8,1142013,URMA_WRITE,7,0ns,69,
70,11,8,573770,URMA_WRITE,7,0ns,70,
71,11,13,682747,URMA_WRITE,7,0ns,71,
72,11,14,448979,URMA_WRITE,7,0ns,72,
73,11,15,4197180,URMA_WRITE,7,0ns,73,
74,11,12,904920,URMA_WRITE,7,0ns,74,
75,15,12,664348,URMA_WRITE,7,0ns,75,
76,15,1,1643018,URMA_WRITE,7,0ns,76,
77,15,2,621856,URMA_WRITE,7,0ns,77,
78,15,3,1031843,URMA_WRITE,7,0ns,78,
79,15,0,1265190,URMA_WRITE,7,0ns,79,
80,0,2,943593,URMA_WRITE,7,0ns,80,0
81,0,8,594737,URMA_WRITE,7,0ns,81,1
82,0,9,1473131,URMA_WRITE,7,0ns,82,2
83,0,10,1052045,URMA_WRITE,7,0ns,83,3
84,0,11,529775,URMA_WRITE,7,0ns,84,4
85,4,6,1438747,URMA_WRITE,7,0ns,85,5
86,4,12,920591,URMA_WRITE,7,0ns,86,6
87,4,13,356726,URMA_WRITE,7,0ns,87,7
88,4,14,597494,URMA_WRITE,7,0ns,88,8
89,4,15,1026242,URMA_WRITE,7,0ns,89,9
90,8,10,501396,URMA_WRITE,7,0ns,90,10
91,8,0,2412362,URMA_WRITE,7,0ns,91,11
92,8,1,1112142,URMA_WRITE,7,0ns,92,12
93,8,2,671609,URMA_WRITE,7,0ns,93,13
94,8,3,516979,URMA_WRITE,7,0ns,94,14
95,12,14,1330247,URMA_WRITE,7,0ns,95,15
96,12,4,2256986,URMA_WRITE,7,0ns,96,16
97,12,5,364007,URMA_WRITE,7,0ns,97,17
98,12,6,1079113,URMA_WRITE,7,0ns,98,18
99,12,7,647851,URMA_WRITE,7,0ns,99,19
100,1,3,767877,URMA_WRITE,7,0ns,100,20
101,1,11,421287,URMA_WRITE,7,0ns,101,21
102,1,8,238022,URMA_WRITE,7,0ns,102,22
103,1,9,3373130,URMA_WRITE,7,0ns,103,23
104,1,10,170577,URMA_WRITE,7,0ns,104,24
105,5,7,956965,URMA_WRITE,7,0ns,105,25
106,5,15,227105,URMA_WRITE,7,0ns,106,26
107,5,12,2095098,URMA_WRITE,7,0ns,107,27
108,5,13,815799,URMA_WRITE,7,0ns,108,28
109,5,14,324863,URMA_WRITE,7,0ns,109,29
110,9,11,455611,URMA_WRITE,7,0ns,110,30
111,9,3,998305,URMA_WRITE,7,0ns,111,31
112,9,0,1770113,URMA_WRITE,7,0ns,112,32
113,9,1,190263,URMA_WRITE,7,0ns,113,33
114,9,2,910155,URMA_WRITE,7,0ns,114,34
115,13,15,384771,URMA_WRITE,7,0ns,115,35
116,13,7,403747,URMA_WRITE,7,0ns,116,36
117,13,4,1198525,URMA_WRITE,7,0ns,117,37
118,13,5,2847347,URMA_WRITE,7,0ns,118,38
119,13,6,1277264,URMA_WRITE,7,0ns,119,39
120,2,0,426398,URMA_WRITE,7,0ns,120,40
121,2,10,596708,URMA_WRITE,7,0ns,121,41
122,2,11,509815,URMA_WRITE,7,0ns,122,42
123,2,8,484509,URMA_WRITE,7,0ns,123,43
124,2,9,405990,URMA_WRITE,7,0ns,124,44
125,6,4,1394143,URMA_WRITE,7,0ns,125,45
126,6,14,712870,URMA_WRITE,7,0ns,126,46
127,6,15,876278,URMA_WRITE,7,0ns,127,47
128,6,12,728479,URMA_WRITE,7,0ns,128,48
129,6,13,997812,URMA_WRITE,7,0ns,129,49
130,10,8,691613,URMA_WRITE,7,0ns,130,50
131,10,2,1665248,URMA_WRITE,7,0ns,131,51
132,10,3,371988,URMA_WRITE,7,0ns,132,52
133,10,0,1857587,URMA_WRITE,7,0ns,133,53
134,10,1,2043112,URMA_WRITE,7,0ns,134,54
135,14,12,2541087,URMA_WRITE,7,0ns,135,55
136,14,6,1698004,URMA_WRITE,7,0ns,136,56
137,14,7,485651,URMA_WRITE,7,0ns,137,57
138,14,4,1715040,URMA_WRITE,7,0ns,138,58
139,14,5,1604577,URMA_WRITE,7,0ns,139,59
140,3,1,144049,URMA_WRITE,7,0ns,140,60
141,3,9,1242959,URMA_WRITE,7,0ns,141,61
142,3,10,657383,URMA_WRITE,7,0ns,142,62
143,3,11,1179789,URMA_WRITE,7,0ns,143,63
144,3,8,909127,URMA_WRITE,7,0ns,144,64
145,7,5,1572849,URMA_WRITE,7,0ns,145,65
146,7,13,744065,URMA_WRITE,7,0ns,146,66
147,7,14,1374847,URMA_WRITE,7,0ns,147,67
148,7,15,832538,URMA_WRITE,7,0ns,148,68
149,7,12,1891206,URMA_WRITE,7,0ns,149,69
150,11,9,889740,URMA_WRITE,7,0ns,150,70
151,11,1,974693,URMA_WRITE,7,0ns,151,71
152,11,2,1222571,URMA_WRITE,7,0ns,152,72
153,11,3,282687,URMA_WRITE,7,0ns,153,73
154,11,0,1152468,URMA_WRITE,7,0ns,154,74
155,15,13,845731,URMA_WRITE,7,0ns,155,75
156,15,5,1735121,URMA_WRITE,7,0ns,156,76
157,15,6,1710944,URMA_WRITE,7,0ns,157,77
158,15,7,632585,URMA_WRITE,7,0ns,158,78
159,15,4,1913314,URMA_WRITE,7,0ns,159,79
160,0,3,448905,URMA_WRITE,7,0ns,160,80
161,0,12,3620244,URMA_WRITE,7,0ns,161,81
162,0,13,251479,URMA_WRITE,7,0ns,162,82
163,0,14,419112,URMA_WRITE,7,0ns,163,83
164,0,15,651817,URMA_WRITE,7,0ns,164,84
165,4,7,665910,URMA_WRITE,7,0ns,165,85
166,4,0,848431,URMA_WRITE,7,0ns,166,86
167,4,1,611911,URMA_WRITE,7,0ns,167,87
168,4,2,660942,URMA_WRITE,7,0ns,168,88
169,4,3,1131733,URMA_WRITE,7,0ns,169,89
