taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1118482,URMA_WRITE,7,0ns,0,,0.0,22.82374,0.001,22.82698,392.0416
1,0,4,1118481,URMA_WRITE,7,0ns,1,,0.0,23.27536,0.001,23.44754,384.4344
2,0,5,1118481,URMA_WRITE,7,0ns,2,,0.0,23.27576,0.001,23.44774,384.4277
3,0,6,1118481,URMA_WRITE,7,0ns,3,,0.0,23.27576,0.001,23.44774,384.4277
4,0,7,1118481,URMA_WRITE,7,0ns,4,,0.0,23.27576,0.001,23.44774,384.4277
5,4,5,1118481,URMA_WRITE,7,0ns,5,,0.0,22.82372,0.001,22.82696,392.0416
6,4,8,1118481,URMA_WRITE,7,0ns,6,,0.0,23.27534,0.001,23.44754,384.4347
7,4,9,1118481,URMA_WRITE,7,0ns,7,,0.0,23.27574,0.001,23.44794,384.4281
8,4,10,1118481,URMA_WRITE,7,0ns,8,,0.0,23.27574,0.001,23.44794,384.4281
9,4,11,1118481,URMA_WRITE,7,0ns,9,,0.0,23.27574,0.001,23.44794,384.4281
10,8,9,1118481,URMA_WRITE,7,0ns,10,,0.0,22.82372,0.001,22.82696,392.0416
11,8,12,1118481,URMA_WRITE,7,0ns,11,,0.0,23.27534,0.001,23.44754,384.4347
12,8,13,1118481,URMA_WRITE,7,0ns,12,,0.0,23.27574,0.001,23.44794,384.4281
13,8,14,1118481,URMA_WRITE,7,0ns,13,,0.0,23.27574,0.001,23.44794,384.4281
14,8,15,1118481,URMA_WRITE,7,0ns,14,,0.0,23.27574,0.001,23.44794,384.4281
15,12,13,1118481,URMA_WRITE,7,0ns,15,,0.0,22.82372,0.001,22.82696,392.0416
16,12,0,1118482,URMA_WRITE,7,0ns,16,,0.0,23.27534,0.001,23.44754,384.435
17,12,1,1118481,URMA_WRITE,7,0ns,17,,0.0,23.27554,0.001,23.44794,384.4314
18,12,2,1118481,URMA_WRITE,7,0ns,18,,0.0,23.27554,0.001,23.44794,384.4314
19,12,3,1118481,URMA_WRITE,7,0ns,19,,0.0,23.27554,0.001,23.44794,384.4314
20,1,2,1118481,URMA_WRITE,7,0ns,20,,0.0,22.82372,0.001,22.82696,392.0416
21,1,7,1118481,URMA_WRITE,7,0ns,21,,0.0,23.27574,0.001,23.44774,384.4281
22,1,4,1118481,URMA_WRITE,7,0ns,22,,0.0,23.27574,0.001,23.44794,384.4281
23,1,5,1118481,URMA_WRITE,7,0ns,23,,0.0,23.27534,0.001,23.44754,384.4347
24,1,6,1118481,URMA_WRITE,7,0ns,24,,0.0,23.27574,0.001,23.44774,384.4281
25,5,6,1118481,URMA_WRITE,7,0ns,25,,0.0,22.82372,0.001,22.82696,392.0416
26,5,11,1118481,URMA_WRITE,7,0ns,26,,0.0,23.27574,0.001,23.44794,384.4281
27,5,8,1118481,URMA_WRITE,7,0ns,27,,0.0,23.27594,0.001,23.44794,384.4248
28,5,9,1118481,URMA_WRITE,7,0ns,28,,0.0,23.27534,0.001,23.44754,384.4347
29,5,10,1118481,URMA_WRITE,7,0ns,29,,0.0,23.27574,0.001,23.44794,384.4281
30,9,10,1118481,URMA_WRITE,7,0ns,30,,0.0,22.82372,0.001,22.82696,392.0416
31,9,15,1118481,URMA_WRITE,7,0ns,31,,0.0,23.27574,0.001,23.44794,384.4281
32,9,12,1118481,URMA_WRITE,7,0ns,32,,0.0,23.27574,0.001,23.44774,384.4281
33,9,13,1118481,URMA_WRITE,7,0ns,33,,0.0,23.27534,0.001,23.44754,384.4347
34,9,14,1118481,URMA_WRITE,7,0ns,34,,0.0,23.27574,0.001,23.44794,384.4281
35,13,14,1118481,URMA_WRITE,7,0ns,35,,0.0,22.82372,0.001,22.82696,392.0416
36,13,3,1118481,URMA_WRITE,7,0ns,36,,0.0,23.27554,0.001,23.44794,384.4314
37,13,0,1118482,URMA_WRITE,7,0ns,37,,0.0,23.27574,0.001,23.44794,384.4284
38,13,1,1118481,URMA_WRITE,7,0ns,38,,0.0,23.27534,0.001,23.44754,384.4347
39,13,2,1118481,URMA_WRITE,7,0ns,39,,0.0,23.27554,0.001,23.44794,384.4314
40,2,3,1118481,URMA_WRITE,7,0ns,40,,0.0,22.82372,0.001,22.82696,392.0416
41,2,6,1118481,URMA_WRITE,7,0ns,41,,0.0,23.27534,0.001,23.44754,384.4347
42,2,7,1118481,URMA_WRITE,7,0ns,42,,0.0,23.27574,0.001,23.44774,384.4281
