taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1064002,URMA_WRITE,7,0ns,0,,0.0,73.56694,0.0,0.0,115.7044
1,0,1,1110454,URMA_WRITE,7,0ns,1,,0.0,23.01444,0.0,0.0,386.0025
2,0,14,1249158,URMA_WRITE,7,0ns,2,,0.0,73.7463,0.0,0.0,135.5087
3,0,2,1128083,URMA_WRITE,7,0ns,3,,0.0,23.37856,0.0,0.0,386.0231
4,0,13,1124434,URMA_WRITE,7,0ns,4,,0.0,73.58228,0.0,0.0,122.2505
5,0,3,1075620,URMA_WRITE,7,0ns,5,,0.0,24.28226,0.0,0.0,354.3723
6,0,12,1192598,URMA_WRITE,7,0ns,6,,0.0,74.88626,0.0,0.0,127.4037
7,0,4,1048576,URMA_WRITE,7,0ns,7,,0.0,72.4749,0.0,0.0,115.745
8,0,11,1153850,URMA_WRITE,7,0ns,8,,0.0,73.54776,0.0,0.0,125.5076
9,0,5,1152400,URMA_WRITE,7,0ns,9,,0.0,73.56852,0.0,0.0,125.3145
10,0,10,1053770,URMA_WRITE,7,0ns,10,,0.0,71.58364,0.0,0.0,117.7666
11,0,6,1174111,URMA_WRITE,7,0ns,11,,0.0,73.5701,0.0,0.0,127.6726
12,0,9,1066012,URMA_WRITE,7,0ns,12,,0.0,71.6018,0.0,0.0,119.1045
13,0,7,1089201,URMA_WRITE,7,0ns,13,,0.0,73.55848,0.0,0.0,118.4582
14,0,8,1258291,URMA_WRITE,7,0ns,14,,0.0,73.56006,0.0,0.0,136.845
15,1,0,1106753,URMA_WRITE,7,0ns,15,,0.0,23.02338,0.0,0.0,384.5666
16,1,2,1184979,URMA_WRITE,7,0ns,16,,0.0,24.54982,0.0,0.0,386.1467
17,1,15,1099283,URMA_WRITE,7,0ns,17,,0.0,74.4237,0.0,0.0,118.1648
18,1,3,1189263,URMA_WRITE,7,0ns,18,,0.0,24.63706,0.0,0.0,386.1704
19,1,14,1119813,URMA_WRITE,7,0ns,19,,0.0,74.24456,0.0,0.0,120.6621
20,1,4,1143012,URMA_WRITE,7,0ns,20,,0.0,72.46832,0.0,0.0,126.1806
21,1,13,1116800,URMA_WRITE,7,0ns,21,,0.0,74.45934,0.0,0.0,119.9903
22,1,5,1121106,URMA_WRITE,7,0ns,22,,0.0,74.4528,0.0,0.0,120.4635
23,1,12,1216528,URMA_WRITE,7,0ns,23,,0.0,74.53722,0.0,0.0,130.5686
24,1,6,1252981,URMA_WRITE,7,0ns,24,,0.0,74.44062,0.0,0.0,134.6556
25,1,11,1055297,URMA_WRITE,7,0ns,25,,0.0,73.91838,0.0,0.0,114.2121
26,1,7,1093838,URMA_WRITE,7,0ns,26,,0.0,74.4422,0.0,0.0,117.5503
27,1,10,1104779,URMA_WRITE,7,0ns,27,,0.0,73.23216,0.0,0.0,120.6879
28,1,8,1076411,URMA_WRITE,7,0ns,28,,0.0,74.44378,0.0,0.0,115.6751
29,1,9,1117184,URMA_WRITE,7,0ns,29,,0.0,74.23926,0.0,0.0,120.3874
30,2,1,1129801,URMA_WRITE,7,0ns,30,,0.0,24.55098,0.0,0.0,368.1486
31,2,3,1124503,URMA_WRITE,7,0ns,31,,0.0,23.2992,0.0,0.0,386.1087
32,2,0,1091782,URMA_WRITE,7,0ns,32,,0.0,23.37724,0.0,0.0,373.6222
33,2,4,1212933,URMA_WRITE,7,0ns,33,,0.0,74.63798,0.0,0.0,130.0071
34,2,15,1113410,URMA_WRITE,7,0ns,34,,0.0,73.77318,0.0,0.0,120.7387
35,2,5,1240437,URMA_WRITE,7,0ns,35,,0.0,74.54762,0.0,0.0,133.1162
36,2,14,1095182,URMA_WRITE,7,0ns,36,,0.0,73.7716,0.0,0.0,118.7646
37,2,6,1146196,URMA_WRITE,7,0ns,37,,0.0,73.04396,0.0,0.0,125.5349
38,2,13,1113816,URMA_WRITE,7,0ns,38,,0.0,73.77002,0.0,0.0,120.7879
39,2,7,1071308,URMA_WRITE,7,0ns,39,,0.0,73.1403,0.0,0.0,117.1784
40,2,12,1181208,URMA_WRITE,7,0ns,40,,0.0,75.26012,0.0,0.0,125.56
41,2,8,1207396,URMA_WRITE,7,0ns,41,,0.0,75.15916,0.0,0.0,128.5162
42,2,11,1150270,URMA_WRITE,7,0ns,42,,0.0,73.1447,0.0,0.0,125.8076
43,2,9,1137024,URMA_WRITE,7,0ns,43,,0.0,73.50774,0.0,0.0,123.7447
44,2,10,1224658,URMA_WRITE,7,0ns,44,,0.0,75.25234,0.0,0.0,130.1922
45,3,2,1071997,URMA_WRITE,7,0ns,45,,0.0,23.29788,0.0,0.0,368.1011
46,3,4,1192136,URMA_WRITE,7,0ns,46,,0.0,74.15326,0.0,0.0,128.6132
47,3,1,1121975,URMA_WRITE,7,0ns,47,,0.0,24.63574,0.0,0.0,364.3406
48,3,5,1127283,URMA_WRITE,7,0ns,48,,0.0,74.12416,0.0,0.0,121.6643
49,3,0,1172724,URMA_WRITE,7,0ns,49,,0.0,24.28358,0.0,0.0,386.343
50,3,6,1050466,URMA_WRITE,7,0ns,50,,0.0,73.72278,0.0,0.0,113.9909
51,3,15,1159654,URMA_WRITE,7,0ns,51,,0.0,74.15168,0.0,0.0,125.1116
52,3,7,1125106,URMA_WRITE,7,0ns,52,,0.0,74.12574,0.0,0.0,121.4268
53,3,14,1157089,URMA_WRITE,7,0ns,53,,0.0,73.85996,0.0,0.0,125.3279
