taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1628821,URMA_WRITE,7,0ns,0,,0.0,104.24982,0.0,0.0,124.9937
1,0,1,1543604,URMA_WRITE,7,0ns,1,,0.0,31.96098,0.0,0.0,386.3721
2,0,14,1804064,URMA_WRITE,7,0ns,2,,0.0,104.27124,0.0,0.0,138.4132
3,0,2,1684639,URMA_WRITE,7,0ns,3,,0.0,34.89108,0.0,0.0,386.2624
4,0,13,1513993,URMA_WRITE,7,0ns,4,,0.0,99.92652,0.0,0.0,121.2085
5,0,3,1264930,URMA_WRITE,7,0ns,5,,0.0,31.16868,0.0,0.0,324.6669
6,0,12,1171987,URMA_WRITE,7,0ns,6,,0.0,77.55992,0.0,0.0,120.8858
7,0,4,1048576,URMA_WRITE,7,0ns,7,,0.0,92.82254,0.0,0.0,90.3725
8,0,11,1655440,URMA_WRITE,7,0ns,8,,0.0,100.29966,0.0,0.0,132.0395
9,0,5,2052856,URMA_WRITE,7,0ns,9,,0.0,103.29128,0.0,0.0,158.9955
10,0,10,1890773,URMA_WRITE,7,0ns,10,,0.0,103.20498,0.0,0.0,146.5645
11,0,6,1373576,URMA_WRITE,7,0ns,11,,0.0,92.56332,0.0,0.0,118.7145
12,0,9,1090135,URMA_WRITE,7,0ns,12,,0.0,97.11668,0.0,0.0,89.8
13,0,7,1237529,URMA_WRITE,7,0ns,13,,0.0,98.39922,0.0,0.0,100.6129
14,0,8,2097152,URMA_WRITE,7,0ns,14,,0.0,103.47166,0.0,0.0,162.1431
15,1,0,1410679,URMA_WRITE,7,0ns,15,,0.0,31.95808,0.0,0.0,353.1324
16,1,2,1271258,URMA_WRITE,7,0ns,16,,0.0,29.42074,0.0,0.0,345.6767
17,1,15,1862128,URMA_WRITE,7,0ns,17,,0.0,101.98996,0.0,0.0,146.0636
18,1,3,1597441,URMA_WRITE,7,0ns,18,,0.0,33.05336,0.0,0.0,386.6332
19,1,14,1756160,URMA_WRITE,7,0ns,19,,0.0,99.33342,0.0,0.0,141.4356
20,1,4,1498206,URMA_WRITE,7,0ns,20,,0.0,94.4308,0.0,0.0,126.9252
21,1,13,1230437,URMA_WRITE,7,0ns,21,,0.0,84.24984,0.0,0.0,116.837
22,1,5,1102346,URMA_WRITE,7,0ns,22,,0.0,90.80596,0.0,0.0,97.1166
23,1,12,1829540,URMA_WRITE,7,0ns,23,,0.0,101.42002,0.0,0.0,144.3139
24,1,6,1594368,URMA_WRITE,7,0ns,24,,0.0,94.82832,0.0,0.0,134.5056
25,1,11,1655996,URMA_WRITE,7,0ns,25,,0.0,99.28706,0.0,0.0,133.431
26,1,7,1618472,URMA_WRITE,7,0ns,26,,0.0,97.65196,0.0,0.0,132.5911
27,1,10,1698378,URMA_WRITE,7,0ns,27,,0.0,100.78532,0.0,0.0,134.8115
28,1,8,1454239,URMA_WRITE,7,0ns,28,,0.0,89.26592,0.0,0.0,130.3287
29,1,9,1394224,URMA_WRITE,7,0ns,29,,0.0,84.1623,0.0,0.0,132.5272
30,2,1,1421429,URMA_WRITE,7,0ns,30,,0.0,29.4215,0.0,0.0,386.5008
31,2,3,1567248,URMA_WRITE,7,0ns,31,,0.0,32.48246,0.0,0.0,385.9924
32,2,0,1570501,URMA_WRITE,7,0ns,32,,0.0,34.88818,0.0,0.0,360.1222
33,2,4,2041761,URMA_WRITE,7,0ns,33,,0.0,107.33802,0.0,0.0,152.1743
34,2,15,1952538,URMA_WRITE,7,0ns,34,,0.0,107.2475,0.0,0.0,145.6473
35,2,5,1635773,URMA_WRITE,7,0ns,35,,0.0,100.07152,0.0,0.0,130.7683
36,2,14,1652982,URMA_WRITE,7,0ns,36,,0.0,99.92556,0.0,0.0,132.3371
37,2,6,1235948,URMA_WRITE,7,0ns,37,,0.0,83.26118,0.0,0.0,118.7538
38,2,13,1937204,URMA_WRITE,7,0ns,38,,0.0,106.39944,0.0,0.0,145.6552
39,2,7,1678236,URMA_WRITE,7,0ns,39,,0.0,104.20396,0.0,0.0,128.8424
40,2,12,1916683,URMA_WRITE,7,0ns,40,,0.0,103.5123,0.0,0.0,148.1318
41,2,8,1063699,URMA_WRITE,7,0ns,41,,0.0,93.71736,0.0,0.0,90.8006
42,2,11,1457783,URMA_WRITE,7,0ns,42,,0.0,103.2689,0.0,0.0,112.931
43,2,9,1660822,URMA_WRITE,7,0ns,43,,0.0,99.89802,0.0,0.0,133.0014
44,2,10,1702388,URMA_WRITE,7,0ns,44,,0.0,105.43178,0.0,0.0,129.1746
45,3,2,1537684,URMA_WRITE,7,0ns,45,,0.0,32.48272,0.0,0.0,378.7082
46,3,4,1688441,URMA_WRITE,7,0ns,46,,0.0,103.24796,0.0,0.0,130.8261
47,3,1,1386889,URMA_WRITE,7,0ns,47,,0.0,33.05046,0.0,0.0,335.7022
48,3,5,1593112,URMA_WRITE,7,0ns,48,,0.0,100.15316,0.0,0.0,127.2541
49,3,0,1995172,URMA_WRITE,7,0ns,49,,0.0,41.1275,0.0,0.0,388.095
50,3,6,1139253,URMA_WRITE,7,0ns,50,,0.0,92.90624,0.0,0.0,98.0992
51,3,15,1187907,URMA_WRITE,7,0ns,51,,0.0,99.22034,0.0,0.0,95.7793
52,3,7,1218603,URMA_WRITE,7,0ns,52,,0.0,96.08308,0.0,0.0,101.4624
53,3,14,1458723,URMA_WRITE,7,0ns,53,,0.0,86.14794,0.0,0.0,135.4621
54,3,8,1145720,URMA_WRITE,7,0ns,54,,0.0,92.56602,0.0,0.0,99.0186
55,3,13,1352794,URMA_WRITE,7,0ns,55,,0.0,99.00166,0.0,0.0,109.3149
56,3,9,2018864,URMA_WRITE,7,0ns,56,,0.0,106.98104,0.0,0.0,150.9699
57,3,12,1767570,URMA_WRITE,7,0ns,57,,0.0,103.3318,0.0,0.0,136.8462
58,3,10,1636687,URMA_WRITE,7,0ns,58,,0.0,100.69438,0.0,0.0,130.032
59,3,11,2036838,URMA_WRITE,7,0ns,59,,0.0,104.88806,0.0,0.0,155.3533
60,4,3,1628029,URMA_WRITE,7,0ns,60,,0.0,100.7504,0.0,0.0,129.2723
61,4,5,1433830,URMA_WRITE,7,0ns,61,,0.0,33.89856,0.0,0.0,338.3813
62,4,2,1973738,URMA_WRITE,7,0ns,62,,0.0,107.33322,0.0,0.0,147.1111
63,4,6,1794807,URMA_WRITE,7,0ns,63,,0.0,37.10262,0.0,0.0,386.993
64,4,1,1473607,URMA_WRITE,7,0ns,64,,0.0,97.28248,0.0,0.0,121.1817
65,4,7,1962775,URMA_WRITE,7,0ns,65,,0.0,40.59596,0.0,0.0,386.7922
66,4,0,1914269,URMA_WRITE,7,0ns,66,,0.0,98.9021,0.0,0.0,154.8415
67,4,8,1721067,URMA_WRITE,7,0ns,67,,0.0,99.91976,0.0,0.0,137.7959
68,4,15,1546475,URMA_WRITE,7,0ns,68,,0.0,93.06448,0.0,0.0,132.9379
69,4,9,1465305,URMA_WRITE,7,0ns,69,,0.0,99.92134,0.0,0.0,117.3167
70,4,14,1630491,URMA_WRITE,7,0ns,70,,0.0,100.35024,0.0,0.0,129.984
71,4,10,1727076,URMA_WRITE,7,0ns,71,,0.0,98.91272,0.0,0.0,139.6848
72,4,13,1528550,URMA_WRITE,7,0ns,72,,0.0,95.6094,0.0,0.0,127.8996
73,4,11,1260345,URMA_WRITE,7,0ns,73,,0.0,98.89928,0.0,0.0,101.9498
74,4,12,1177782,URMA_WRITE,7,0ns,74,,0.0,77.66888,0.0,0.0,121.3131
75,5,4,2011208,URMA_WRITE,7,0ns,75,,0.0,41.5095,0.0,0.0,387.614
76,5,6,1102422,URMA_WRITE,7,0ns,76,,0.0,27.10482,0.0,0.0,325.3804
77,5,3,1658688,URMA_WRITE,7,0ns,77,,0.0,99.87638,0.0,0.0,132.8593
78,5,7,1138357,URMA_WRITE,7,0ns,78,,0.0,25.92436,0.0,0.0,351.2857
79,5,2,1420903,URMA_WRITE,7,0ns,79,,0.0,98.44168,0.0,0.0,115.4717
80,5,8,1797435,URMA_WRITE,7,0ns,80,,0.0,97.00028,0.0,0.0,148.2416
81,5,1,1742873,URMA_WRITE,7,0ns,81,,0.0,91.8971,0.0,0.0,151.7239
82,5,9,1221822,URMA_WRITE,7,0ns,82,,0.0,88.55594,0.0,0.0,110.3774
83,5,0,1304733,URMA_WRITE,7,0ns,83,,0.0,102.0996,0.0,0.0,102.2322
84,5,10,1647703,URMA_WRITE,7,0ns,84,,0.0,101.02276,0.0,0.0,130.4817
85,5,15,1723179,URMA_WRITE,7,0ns,85,,0.0,95.51816,0.0,0.0,144.3226
86,5,11,1734600,URMA_WRITE,7,0ns,86,,0.0,102.79972,0.0,0.0,134.9887
87,5,14,1654645,URMA_WRITE,7,0ns,87,,0.0,92.0239,0.0,0.0,143.8448
88,5,12,1086718,URMA_WRITE,7,0ns,88,,0.0,83.13766,0.0,0.0,104.5705
89,5,13,1725558,URMA_WRITE,7,0ns,89,,0.0,92.54536,0.0,0.0,149.1643
90,6,5,1980009,URMA_WRITE,7,0ns,90,,0.0,40.7649,0.0,0.0,388.5713
91,6,7,1660934,URMA_WRITE,7,0ns,91,,0.0,39.32156,0.0,0.0,337.9182
92,6,4,1450002,URMA_WRITE,7,0ns,92,,0.0,35.24202,0.0,0.0,329.153
93,6,8,1334706,URMA_WRITE,7,0ns,93,,0.0,84.74266,0.0,0.0,126.0009
94,6,3,1663901,URMA_WRITE,7,0ns,94,,0.0,92.6761,0.0,0.0,143.6315
95,6,9,1572963,URMA_WRITE,7,0ns,95,,0.0,101.99812,0.0,0.0,123.3719
96,6,2,1211642,URMA_WRITE,7,0ns,96,,0.0,84.2271,0.0,0.0,115.0833
97,6,10,1848921,URMA_WRITE,7,0ns,97,,0.0,99.08384,0.0,0.0,149.2813
98,6,1,1909305,URMA_WRITE,7,0ns,98,,0.0,99.4632,0.0,0.0,153.5688
99,6,11,1381823,URMA_WRITE,7,0ns,99,,0.0,103.16378,0.0,0.0,107.1557
100,6,0,1369250,URMA_WRITE,7,0ns,100,,0.0,91.08452,0.0,0.0,120.2619
