taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,1628821,URMA_WRITE,7,0ns,0,
1,0,1,1543604,URMA_WRITE,7,0ns,1,
2,0,14,1804064,URMA_WRITE,7,0ns,2,
3,0,2,1684639,URMA_WRITE,7,0ns,3,
4,0,13,1513993,URMA_WRITE,7,0ns,4,
5,0,3,1264930,URMA_WRITE,7,0ns,5,
6,0,12,1171987,URMA_WRITE,7,0ns,6,
7,0,4,1048576,URMA_WRITE,7,0ns,7,
8,0,11,1655440,URMA_WRITE,7,0ns,8,
9,0,5,2052856,URMA_WRITE,7,0ns,9,
10,0,10,1890773,URMA_WRITE,7,0ns,10,
11,0,6,1373576,URMA_WRITE,7,0ns,11,
12,0,9,1090135,URMA_WRITE,7,0ns,12,
13,0,7,1237529,URMA_WRITE,7,0ns,13,
14,0,8,2097152,URMA_WRITE,7,0ns,14,
15,1,0,1410679,URMA_WRITE,7,0ns,15,
16,1,2,1271258,URMA_WRITE,7,0ns,16,
17,1,15,1862128,URMA_WRITE,7,0ns,17,
18,1,3,1597441,URMA_WRITE,7,0ns,18,
19,1,14,1756160,URMA_WRITE,7,0ns,19,
20,1,4,1498206,URMA_WRITE,7,0ns,20,
21,1,13,1230437,URMA_WRITE,7,0ns,21,
22,1,5,1102346,URMA_WRITE,7,0ns,22,
23,1,12,1829540,URMA_WRITE,7,0ns,23,
24,1,6,1594368,URMA_WRITE,7,0ns,24,
25,1,11,1655996,URMA_WRITE,7,0ns,25,
26,1,7,1618472,URMA_WRITE,7,0ns,26,
27,1,10,1698378,URMA_WRITE,7,0ns,27,
28,1,8,1454239,URMA_WRITE,7,0ns,28,
29,1,9,1394224,URMA_WRITE,7,0ns,29,
30,2,1,1421429,URMA_WRITE,7,0ns,30,
31,2,3,1567248,URMA_WRITE,7,0ns,31,
32,2,0,1570501,URMA_WRITE,7,0ns,32,
33,2,4,2041761,URMA_WRITE,7,0ns,33,
34,2,15,1952538,URMA_WRITE,7,0ns,34,
35,2,5,1635773,URMA_WRITE,7,0ns,35,
36,2,14,1652982,URMA_WRITE,7,0ns,36,
37,2,6,1235948,URMA_WRITE,7,0ns,37,
38,2,13,1937204,URMA_WRITE,7,0ns,38,
39,2,7,1678236,URMA_WRITE,7,0ns,39,
40,2,12,1916683,URMA_WRITE,7,0ns,40,
41,2,8,1063699,URMA_WRITE,7,0ns,41,
42,2,11,1457783,URMA_WRITE,7,0ns,42,
43,2,9,1660822,URMA_WRITE,7,0ns,43,
44,2,10,1702388,URMA_WRITE,7,0ns,44,
45,3,2,1537684,URMA_WRITE,7,0ns,45,
46,3,4,1688441,URMA_WRITE,7,0ns,46,
47,3,1,1386889,URMA_WRITE,7,0ns,47,
48,3,5,1593112,URMA_WRITE,7,0ns,48,
49,3,0,1995172,URMA_WRITE,7,0ns,49,
50,3,6,1139253,URMA_WRITE,7,0ns,50,
51,3,15,1187907,URMA_WRITE,7,0ns,51,
52,3,7,1218603,URMA_WRITE,7,0ns,52,
53,3,14,1458723,URMA_WRITE,7,0ns,53,
54,3,8,1145720,URMA_WRITE,7,0ns,54,
55,3,13,1352794,URMA_WRITE,7,0ns,55,
56,3,9,2018864,URMA_WRITE,7,0ns,56,
57,3,12,1767570,URMA_WRITE,7,0ns,57,
58,3,10,1636687,URMA_WRITE,7,0ns,58,
59,3,11,2036838,URMA_WRITE,7,0ns,59,
60,4,3,1628029,URMA_WRITE,7,0ns,60,
61,4,5,1433830,URMA_WRITE,7,0ns,61,
62,4,2,1973738,URMA_WRITE,7,0ns,62,
63,4,6,1794807,URMA_WRITE,7,0ns,63,
64,4,1,1473607,URMA_WRITE,7,0ns,64,
65,4,7,1962775,URMA_WRITE,7,0ns,65,
66,4,0,1914269,URMA_WRITE,7,0ns,66,
67,4,8,1721067,URMA_WRITE,7,0ns,67,
68,4,15,1546475,URMA_WRITE,7,0ns,68,
69,4,9,1465305,URMA_WRITE,7,0ns,69,
70,4,14,1630491,URMA_WRITE,7,0ns,70,
71,4,10,1727076,URMA_WRITE,7,0ns,71,
72,4,13,1528550,URMA_WRITE,7,0ns,72,
73,4,11,1260345,URMA_WRITE,7,0ns,73,
74,4,12,1177782,URMA_WRITE,7,0ns,74,
75,5,4,2011208,URMA_WRITE,7,0ns,75,
76,5,6,1102422,URMA_WRITE,7,0ns,76,
77,5,3,1658688,URMA_WRITE,7,0ns,77,
78,5,7,1138357,URMA_WRITE,7,0ns,78,
79,5,2,1420903,URMA_WRITE,7,0ns,79,
80,5,8,1797435,URMA_WRITE,7,0ns,80,
81,5,1,1742873,URMA_WRITE,7,0ns,81,
82,5,9,1221822,URMA_WRITE,7,0ns,82,
83,5,0,1304733,URMA_WRITE,7,0ns,83,
84,5,10,1647703,URMA_WRITE,7,0ns,84,
85,5,15,1723179,URMA_WRITE,7,0ns,85,
86,5,11,1734600,URMA_WRITE,7,0ns,86,
87,5,14,1654645,URMA_WRITE,7,0ns,87,
88,5,12,1086718,URMA_WRITE,7,0ns,88,
89,5,13,1725558,URMA_WRITE,7,0ns,89,
90,6,5,1980009,URMA_WRITE,7,0ns,90,
91,6,7,1660934,URMA_WRITE,7,0ns,91,
92,6,4,1450002,URMA_WRITE,7,0ns,92,
93,6,8,1334706,URMA_WRITE,7,0ns,93,
94,6,3,1663901,URMA_WRITE,7,0ns,94,
95,6,9,1572963,URMA_WRITE,7,0ns,95,
96,6,2,1211642,URMA_WRITE,7,0ns,96,
97,6,10,1848921,URMA_WRITE,7,0ns,97,
98,6,1,1909305,URMA_WRITE,7,0ns,98,
99,6,11,1381823,URMA_WRITE,7,0ns,99,
100,6,0,1369250,URMA_WRITE,7,0ns,100,
101,6,12,1743377,URMA_WRITE,7,0ns,101,
102,6,15,1142522,URMA_WRITE,7,0ns,102,
103,6,13,1068281,URMA_WRITE,7,0ns,103,
104,6,14,1810523,URMA_WRITE,7,0ns,104,
