taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,2038633,URMA_WRITE,7,0ns,0,,0.0,42.18112,0.0,0.0,386.6437
1,0,2,2320702,URMA_WRITE,7,0ns,1,,0.0,48.04018,0.0,0.0,386.4602
2,0,3,1481285,URMA_WRITE,7,0ns,2,,0.0,35.2507,0.0,0.0,336.1715
3,0,4,1048576,URMA_WRITE,6,0ns,3,10.0,143.17018,165.33594,0.0,0.0,378.4489
4,0,5,3057137,URMA_WRITE,4,0ns,4,,0.0,64.17548,0.0,0.0,381.0972
5,0,6,1698576,URMA_WRITE,3,0ns,5,7.0,248.65928,336.00468,0.0,0.0,155.5733
6,0,7,1426483,URMA_WRITE,3,0ns,6,5.0,336.00468,365.2016,0.0,0.0,390.8585
7,0,8,3145728,URMA_WRITE,3,0ns,7,,0.0,248.65928,0.0,0.0,101.2061
8,0,9,1131695,URMA_WRITE,5,0ns,8,14.0,155.66534,202.40582,0.0,0.0,193.6985
9,0,10,2732970,URMA_WRITE,5,0ns,9,,0.0,105.58364,0.0,0.0,207.0753
10,0,11,2262305,URMA_WRITE,6,0ns,10,13.0,53.07778,143.17018,0.0,0.0,200.8875
11,0,12,1295398,URMA_WRITE,4,0ns,11,12.0,140.90112,167.55794,0.0,0.0,388.763
12,0,13,1979410,URMA_WRITE,4,0ns,12,4.0,64.17548,140.90112,0.0,0.0,206.3884
13,0,14,2559552,URMA_WRITE,6,0ns,13,,0.0,53.07778,0.0,0.0,385.7813
14,0,15,2209067,URMA_WRITE,5,0ns,14,9.0,105.58364,155.66534,0.0,0.0,352.8741
15,1,0,1772783,URMA_WRITE,7,0ns,15,,0.0,42.03284,0.0,0.0,337.4091
16,1,2,1493941,URMA_WRITE,7,0ns,16,,0.0,35.25522,0.0,0.0,339.0002
17,1,3,2146307,URMA_WRITE,7,0ns,17,,0.0,44.3636,0.0,0.0,387.0393
18,1,4,1947836,URMA_WRITE,3,0ns,18,29.0,56.11874,102.78702,0.0,0.0,333.9032
19,1,5,1156116,URMA_WRITE,6,0ns,19,25.0,140.32236,178.54574,0.0,0.0,241.9704
20,1,6,2140161,URMA_WRITE,4,0ns,20,26.0,54.51322,106.00302,0.0,0.0,332.5181
21,1,7,2188368,URMA_WRITE,5,0ns,21,28.0,101.41642,158.60442,0.0,0.0,306.1297
22,1,8,1859903,URMA_WRITE,3,0ns,22,18.0,102.78702,158.64094,0.0,0.0,266.3953
23,1,9,1739873,URMA_WRITE,4,0ns,23,20.0,106.00302,243.0991,0.0,0.0,101.5272
24,1,10,2348180,URMA_WRITE,6,0ns,24,,0.0,49.98792,0.0,0.0,375.7996
25,1,11,2263417,URMA_WRITE,6,0ns,25,24.0,49.98792,140.32236,0.0,0.0,200.4478
26,1,12,2610505,URMA_WRITE,4,0ns,26,,0.0,54.51322,0.0,0.0,383.1005
27,1,13,1412298,URMA_WRITE,5,0ns,27,21.0,158.60442,188.6568,0.0,0.0,375.9564
28,1,14,2463744,URMA_WRITE,5,0ns,28,,0.0,101.41642,0.0,0.0,194.3468
29,1,15,2675680,URMA_WRITE,3,0ns,29,,0.0,56.11874,0.0,0.0,381.4312
30,2,0,2092427,URMA_WRITE,7,0ns,30,,0.0,47.48436,0.0,0.0,352.5248
31,2,1,1794282,URMA_WRITE,7,0ns,31,,0.0,37.10532,0.0,0.0,386.8517
32,2,3,2085920,URMA_WRITE,7,0ns,32,,0.0,43.22574,0.0,0.0,386.0515
33,2,4,3034947,URMA_WRITE,3,0ns,33,,0.0,255.51896,0.0,0.0,95.0206
34,2,5,2222971,URMA_WRITE,3,0ns,34,43.0,302.405,348.6632,0.0,0.0,384.4457
35,2,6,1423321,URMA_WRITE,5,0ns,35,36.0,243.01456,272.14668,0.0,0.0,390.8596
36,2,7,2307897,URMA_WRITE,5,0ns,36,42.0,165.98884,243.01456,0.0,0.0,239.7014
37,2,8,1078822,URMA_WRITE,6,0ns,37,39.0,156.5232,178.90436,0.0,0.0,385.6179
38,2,9,2273068,URMA_WRITE,4,0ns,38,44.0,102.70502,263.07296,0.0,0.0,113.3926
39,2,10,2356201,URMA_WRITE,6,0ns,39,41.0,107.70884,156.5232,0.0,0.0,386.1488
40,2,11,1866990,URMA_WRITE,4,0ns,40,38.0,263.07296,301.25562,0.0,0.0,391.1702
41,2,12,2784791,URMA_WRITE,6,0ns,41,,0.0,107.70884,0.0,0.0,206.8384
42,2,13,2825832,URMA_WRITE,5,0ns,42,,0.0,165.98884,0.0,0.0,136.1938
43,2,14,2257389,URMA_WRITE,3,0ns,43,33.0,255.51896,302.405,0.0,0.0,385.1703
44,2,15,2856501,URMA_WRITE,4,0ns,44,,0.0,102.70502,0.0,0.0,222.5014
45,3,0,2941769,URMA_WRITE,7,0ns,45,,0.0,60.50842,0.0,0.0,388.9401
46,3,1,1725203,URMA_WRITE,7,0ns,46,,0.0,40.6807,0.0,0.0,339.2671
47,3,2,2026793,URMA_WRITE,7,0ns,47,,0.0,43.22442,0.0,0.0,375.12
48,3,4,2328306,URMA_WRITE,6,0ns,48,,0.0,197.63488,0.0,0.0,94.2468
49,3,5,2137648,URMA_WRITE,5,0ns,49,56.0,53.0216,160.1277,0.0,0.0,159.6658
50,3,6,1229931,URMA_WRITE,6,0ns,50,54.0,270.11954,295.57294,0.0,0.0,386.5671
51,3,7,1388631,URMA_WRITE,3,0ns,51,57.0,97.0515,160.22152,0.0,0.0,175.8595
