taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,1543604,URMA_WRITE,7,0ns,0,
1,0,2,1684639,URMA_WRITE,7,0ns,1,
2,0,3,1264930,URMA_WRITE,7,0ns,2,
3,0,4,1048576,URMA_WRITE,6,0ns,3,10
4,0,5,2052856,URMA_WRITE,4,0ns,4,
5,0,6,1373576,URMA_WRITE,3,0ns,5,7
6,0,7,1237529,URMA_WRITE,3,0ns,6,5
7,0,8,2097152,URMA_WRITE,3,0ns,7,
8,0,9,1090135,URMA_WRITE,5,0ns,8,14
9,0,10,1890773,URMA_WRITE,5,0ns,9,
10,0,11,1655440,URMA_WRITE,6,0ns,10,13
11,0,12,1171987,URMA_WRITE,4,0ns,11,12
12,0,13,1513993,URMA_WRITE,4,0ns,12,4
13,0,14,1804064,URMA_WRITE,6,0ns,13,
14,0,15,1628821,URMA_WRITE,5,0ns,14,9
15,1,0,1410679,URMA_WRITE,7,0ns,15,
16,1,2,1271258,URMA_WRITE,7,0ns,16,
17,1,3,1597441,URMA_WRITE,7,0ns,17,
18,1,4,1498206,URMA_WRITE,4,0ns,18,29
19,1,5,1102346,URMA_WRITE,3,0ns,19,25
20,1,6,1594368,URMA_WRITE,5,0ns,20,26
21,1,7,1618472,URMA_WRITE,6,0ns,21,28
22,1,8,1454239,URMA_WRITE,4,0ns,22,18
23,1,9,1394224,URMA_WRITE,5,0ns,23,20
24,1,10,1698378,URMA_WRITE,3,0ns,24,
25,1,11,1655996,URMA_WRITE,3,0ns,25,24
26,1,12,1829540,URMA_WRITE,5,0ns,26,
27,1,13,1230437,URMA_WRITE,6,0ns,27,21
28,1,14,1756160,URMA_WRITE,6,0ns,28,
29,1,15,1862128,URMA_WRITE,4,0ns,29,
30,2,0,1570501,URMA_WRITE,7,0ns,30,
31,2,1,1421429,URMA_WRITE,7,0ns,31,
32,2,3,1567248,URMA_WRITE,7,0ns,32,
33,2,4,2041761,URMA_WRITE,5,0ns,33,
34,2,5,1635773,URMA_WRITE,5,0ns,34,43
35,2,6,1235948,URMA_WRITE,3,0ns,35,36
36,2,7,1678236,URMA_WRITE,3,0ns,36,42
37,2,8,1063699,URMA_WRITE,4,0ns,37,39
38,2,9,1660822,URMA_WRITE,6,0ns,38,44
39,2,10,1702388,URMA_WRITE,4,0ns,39,41
40,2,11,1457783,URMA_WRITE,6,0ns,40,38
41,2,12,1916683,URMA_WRITE,4,0ns,41,
42,2,13,1937204,URMA_WRITE,3,0ns,42,
43,2,14,1652982,URMA_WRITE,5,0ns,43,33
44,2,15,1952538,URMA_WRITE,6,0ns,44,
45,3,0,1995172,URMA_WRITE,7,0ns,45,
46,3,1,1386889,URMA_WRITE,7,0ns,46,
47,3,2,1537684,URMA_WRITE,7,0ns,47,
48,3,4,1688441,URMA_WRITE,5,0ns,48,
49,3,5,1593112,URMA_WRITE,4,0ns,49,56
50,3,6,1139253,URMA_WRITE,5,0ns,50,54
51,3,7,1218603,URMA_WRITE,6,0ns,51,57
52,3,8,1145720,URMA_WRITE,4,0ns,52,49
53,3,9,2018864,URMA_WRITE,3,0ns,53,
54,3,10,1636687,URMA_WRITE,5,0ns,54,48
55,3,11,2036838,URMA_WRITE,6,0ns,55,
56,3,12,1767570,URMA_WRITE,4,0ns,56,
