taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,2038633,URMA_WRITE,7,0ns,0,,0.0,42.18112,0.0,0.0,386.6437
1,0,2,2320702,URMA_WRITE,7,0ns,1,,0.0,48.04018,0.0,0.0,386.4602
2,0,3,1481285,URMA_WRITE,7,0ns,2,,0.0,35.2507,0.0,0.0,336.1715
3,0,4,1048576,URMA_WRITE,6,0ns,3,10 154,299.52546,321.01048,0.0,0.0,390.4399
4,0,5,3057137,URMA_WRITE,4,0ns,4,,0.0,63.85094,0.0,0.0,383.0342
5,0,6,1698576,URMA_WRITE,3,0ns,5,7,65.54834,100.29504,0.0,0.0,391.0762
6,0,7,1426483,URMA_WRITE,3,0ns,6,5 36,278.83844,308.03536,0.0,0.0,390.8585
7,0,8,3145728,URMA_WRITE,3,0ns,7,,0.0,65.54834,0.0,0.0,383.9277
8,0,9,1131695,URMA_WRITE,5,0ns,8,14 23,200.23096,223.76786,0.0,0.0,384.6539
9,0,10,2732970,URMA_WRITE,5,0ns,9,205,60.3744,117.4382,0.0,0.0,383.1459
10,0,11,2262305,URMA_WRITE,6,0ns,10,13 85,174.93536,226.5809,0.0,0.0,350.4357
11,0,12,1295398,URMA_WRITE,4,0ns,11,12 116,232.23426,258.75584,0.0,0.0,390.7453
12,0,13,1979410,URMA_WRITE,4,0ns,12,4 132,103.08688,144.78126,0.0,0.0,379.7941
13,0,14,2559552,URMA_WRITE,6,0ns,13,,0.0,53.49128,0.0,0.0,382.7991
14,0,15,2209067,URMA_WRITE,5,0ns,14,9 134,117.4382,162.95266,0.0,0.0,388.284
15,1,0,1772783,URMA_WRITE,7,0ns,15,,0.0,42.03284,0.0,0.0,337.4091
16,1,2,1493941,URMA_WRITE,7,0ns,16,,0.0,35.25522,0.0,0.0,339.0002
17,1,3,2146307,URMA_WRITE,7,0ns,17,,0.0,44.3636,0.0,0.0,387.0393
18,1,4,1947836,URMA_WRITE,4,0ns,18,29,55.954,96.60542,0.0,0.0,383.3246
19,1,5,1156116,URMA_WRITE,3,0ns,19,25 185,154.62664,179.16722,0.0,0.0,376.883
20,1,6,2140161,URMA_WRITE,5,0ns,20,26,119.47552,163.71408,0.0,0.0,387.0218
21,1,7,2188368,URMA_WRITE,6,0ns,21,28 127,104.8861,150.47862,0.0,0.0,383.9872
22,1,8,1859903,URMA_WRITE,4,0ns,22,18 112,205.0578,243.09592,0.0,0.0,391.1661
23,1,9,1739873,URMA_WRITE,5,0ns,23,20 234,163.71408,200.23096,0.0,0.0,381.1658
24,1,10,2348180,URMA_WRITE,3,0ns,24,235,59.49626,107.49424,0.0,0.0,391.3798
25,1,11,2263417,URMA_WRITE,3,0ns,25,24,107.49424,154.62664,0.0,0.0,384.1802
26,1,12,2610505,URMA_WRITE,5,0ns,26,161,65.0434,119.47552,0.0,0.0,383.6713
27,1,13,1412298,URMA_WRITE,6,0ns,27,21 57,150.47862,180.11484,0.0,0.0,381.2357
28,1,14,2463744,URMA_WRITE,6,0ns,28,13,53.49128,104.8861,0.0,0.0,383.5007
29,1,15,2675680,URMA_WRITE,4,0ns,29,,0.0,55.954,0.0,0.0,382.5542
30,2,0,2092427,URMA_WRITE,7,0ns,30,,0.0,47.48436,0.0,0.0,352.5248
31,2,1,1794282,URMA_WRITE,7,0ns,31,,0.0,37.10532,0.0,0.0,386.8517
32,2,3,2085920,URMA_WRITE,7,0ns,32,,0.0,43.22574,0.0,0.0,386.0515
33,2,4,3034947,URMA_WRITE,5,0ns,33,,0.0,62.82236,0.0,0.0,386.4798
34,2,5,2222971,URMA_WRITE,5,0ns,34,43 140,200.77044,246.56146,0.0,0.0,388.368
35,2,6,1423321,URMA_WRITE,3,0ns,35,36 5,278.83844,307.97056,0.0,0.0,390.8596
36,2,7,2307897,URMA_WRITE,3,0ns,36,42 157,231.66048,278.83844,0.0,0.0,391.3517
37,2,8,1078822,URMA_WRITE,4,0ns,37,39 52,268.5453,290.64896,0.0,0.0,390.4591
38,2,9,2273068,URMA_WRITE,6,0ns,38,44 189,111.65952,159.06412,0.0,0.0,383.6029
39,2,10,2356201,URMA_WRITE,4,0ns,39,41,58.08172,107.24462,0.0,0.0,383.4112
40,2,11,1866990,URMA_WRITE,6,0ns,40,38 100,261.73924,300.37748,0.0,0.0,386.558
41,2,12,2784791,URMA_WRITE,4,0ns,41,,0.0,58.08172,0.0,0.0,383.5687
42,2,13,2825832,URMA_WRITE,3,0ns,42,,0.0,58.92648,0.0,0.0,383.6417
43,2,14,2257389,URMA_WRITE,5,0ns,43,33 88,154.62384,200.77044,0.0,0.0,391.3422
44,2,15,2856501,URMA_WRITE,6,0ns,44,,0.0,63.86832,0.0,0.0,357.7988
45,3,0,2941769,URMA_WRITE,7,0ns,45,,0.0,60.50842,0.0,0.0,388.9401
46,3,1,1725203,URMA_WRITE,7,0ns,46,,0.0,40.6807,0.0,0.0,339.2671
47,3,2,2026793,URMA_WRITE,7,0ns,47,,0.0,43.22442,0.0,0.0,375.12
48,3,4,2328306,URMA_WRITE,5,0ns,48,139,122.95328,174.94832,0.0,0.0,358.2351
49,3,5,2137648,URMA_WRITE,4,0ns,49,56 155,117.04868,161.95674,0.0,0.0,380.8043
50,3,6,1229931,URMA_WRITE,5,0ns,50,54 20,221.38992,247.28414,0.0,0.0,379.9863
51,3,7,1388631,URMA_WRITE,6,0ns,51,57 172,191.24004,220.28022,0.0,0.0,382.5406
