taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,2038633,URMA_WRITE,7,0ns,0,
1,0,2,2320702,URMA_WRITE,7,0ns,1,
2,0,3,1481285,URMA_WRITE,7,0ns,2,
3,0,4,1048576,URMA_WRITE,6,0ns,3,10 154
4,0,5,3057137,URMA_WRITE,4,0ns,4,
5,0,6,1698576,URMA_WRITE,3,0ns,5,7
6,0,7,1426483,URMA_WRITE,3,0ns,6,5 36
7,0,8,3145728,URMA_WRITE,3,0ns,7,
8,0,9,1131695,URMA_WRITE,5,0ns,8,14 23
9,0,10,2732970,URMA_WRITE,5,0ns,9,205
10,0,11,2262305,URMA_WRITE,6,0ns,10,13 85
11,0,12,1295398,URMA_WRITE,4,0ns,11,12 116
12,0,13,1979410,URMA_WRITE,4,0ns,12,4 132
13,0,14,2559552,URMA_WRITE,6,0ns,13,
14,0,15,2209067,URMA_WRITE,5,0ns,14,9 134
15,1,0,1772783,URMA_WRITE,7,0ns,15,
16,1,2,1493941,URMA_WRITE,7,0ns,16,
17,1,3,2146307,URMA_WRITE,7,0ns,17,
18,1,4,1947836,URMA_WRITE,4,0ns,18,29
19,1,5,1156116,URMA_WRITE,3,0ns,19,25 185
20,1,6,2140161,URMA_WRITE,5,0ns,20,26
21,1,7,2188368,URMA_WRITE,6,0ns,21,28 127
22,1,8,1859903,URMA_WRITE,4,0ns,22,18 112
23,1,9,1739873,URMA_WRITE,5,0ns,23,20 234
24,1,10,2348180,URMA_WRITE,3,0ns,24,235
25,1,11,2263417,URMA_WRITE,3,0ns,25,24
26,1,12,2610505,URMA_WRITE,5,0ns,26,161
27,1,13,1412298,URMA_WRITE,6,0ns,27,21 57
28,1,14,2463744,URMA_WRITE,6,0ns,28,13
29,1,15,2675680,URMA_WRITE,4,0ns,29,
30,2,0,2092427,URMA_WRITE,7,0ns,30,
31,2,1,1794282,URMA_WRITE,7,0ns,31,
32,2,3,2085920,URMA_WRITE,7,0ns,32,
33,2,4,3034947,URMA_WRITE,5,0ns,33,
34,2,5,2222971,URMA_WRITE,5,0ns,34,43 140
35,2,6,1423321,URMA_WRITE,3,0ns,35,36 5
36,2,7,2307897,URMA_WRITE,3,0ns,36,42 157
37,2,8,1078822,URMA_WRITE,4,0ns,37,39 52
38,2,9,2273068,URMA_WRITE,6,0ns,38,44 189
39,2,10,2356201,URMA_WRITE,4,0ns,39,41
40,2,11,1866990,URMA_WRITE,6,0ns,40,38 100
41,2,12,2784791,URMA_WRITE,4,0ns,41,
42,2,13,2825832,URMA_WRITE,3,0ns,42,
43,2,14,2257389,URMA_WRITE,5,0ns,43,33 88
44,2,15,2856501,URMA_WRITE,6,0ns,44,
45,3,0,2941769,URMA_WRITE,7,0ns,45,
46,3,1,1725203,URMA_WRITE,7,0ns,46,
47,3,2,2026793,URMA_WRITE,7,0ns,47,
48,3,4,2328306,URMA_WRITE,5,0ns,48,139
49,3,5,2137648,URMA_WRITE,4,0ns,49,56 155
50,3,6,1229931,URMA_WRITE,5,0ns,50,54 20
51,3,7,1388631,URMA_WRITE,6,0ns,51,57 172
52,3,8,1242864,URMA_WRITE,4,0ns,52,49 22
