taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,10860316,URMA_WRITE,7,0ns,0,,0.0,616.07368,0.0,0.0,141.0262
1,0,1,9663673,URMA_WRITE,7,0ns,1,,0.0,199.5757,0.0,0.0,387.3687
2,0,14,10102709,URMA_WRITE,7,0ns,2,,0.0,492.14608,0.0,0.0,164.2229
3,0,2,12117169,URMA_WRITE,7,0ns,3,,0.0,250.24406,0.0,0.0,387.3712
4,0,13,6237577,URMA_WRITE,7,0ns,4,,0.0,433.39688,0.0,0.0,115.1384
5,0,3,7025300,URMA_WRITE,7,0ns,5,,0.0,145.24424,0.0,0.0,386.951
6,0,12,16100603,URMA_WRITE,7,0ns,6,,0.0,616.05906,0.0,0.0,209.0787
7,0,4,4788617,URMA_WRITE,7,0ns,7,,0.0,324.15876,0.0,0.0,118.1795
8,0,11,8597712,URMA_WRITE,7,0ns,8,,0.0,516.04488,0.0,0.0,133.2863
9,0,5,5660194,URMA_WRITE,7,0ns,9,,0.0,391.55354,0.0,0.0,115.6459
10,0,10,6837194,URMA_WRITE,7,0ns,10,,0.0,398.66172,0.0,0.0,137.2029
11,0,6,10221973,URMA_WRITE,7,0ns,11,,0.0,472.7862,0.0,0.0,172.9657
12,0,9,10814334,URMA_WRITE,7,0ns,12,,0.0,637.59682,0.0,0.0,135.6887
13,0,7,9227863,URMA_WRITE,7,0ns,13,,0.0,493.83948,0.0,0.0,149.4877
14,0,8,6414882,URMA_WRITE,7,0ns,14,,0.0,426.10704,0.0,0.0,120.437
15,1,0,7349728,URMA_WRITE,7,0ns,15,,0.0,157.51502,0.0,0.0,373.2839
16,1,2,5978668,URMA_WRITE,7,0ns,16,,0.0,123.81212,0.0,0.0,386.3058
17,1,15,11607482,URMA_WRITE,7,0ns,17,,0.0,490.85844,0.0,0.0,189.1785
18,1,3,13054689,URMA_WRITE,7,0ns,18,,0.0,268.52036,0.0,0.0,388.937
19,1,14,5696713,URMA_WRITE,7,0ns,19,,0.0,454.9417,0.0,0.0,100.1748
20,1,4,12498596,URMA_WRITE,7,0ns,20,,0.0,527.27344,0.0,0.0,189.6336
21,1,13,5407836,URMA_WRITE,7,0ns,21,,0.0,407.44062,0.0,0.0,106.1816
22,1,5,12015283,URMA_WRITE,7,0ns,22,,0.0,609.38006,0.0,0.0,157.7378
23,1,12,6694532,URMA_WRITE,7,0ns,23,,0.0,493.55664,0.0,0.0,108.5109
24,1,6,9828732,URMA_WRITE,7,0ns,24,,0.0,529.75772,0.0,0.0,148.4261
25,1,11,7180317,URMA_WRITE,7,0ns,25,,0.0,458.91004,0.0,0.0,125.1717
26,1,7,8591605,URMA_WRITE,7,0ns,26,,0.0,493.53514,0.0,0.0,139.2664
27,1,10,5283302,URMA_WRITE,7,0ns,27,,0.0,389.01256,0.0,0.0,108.6505
28,1,8,11790365,URMA_WRITE,7,0ns,28,,0.0,621.54708,0.0,0.0,151.7551
29,1,9,7316526,URMA_WRITE,7,0ns,29,,0.0,520.7056,0.0,0.0,112.4094
30,2,1,5568346,URMA_WRITE,7,0ns,30,,0.0,119.49122,0.0,0.0,372.8037
31,2,3,8990914,URMA_WRITE,7,0ns,31,,0.0,185.7411,0.0,0.0,387.245
32,2,0,9223901,URMA_WRITE,7,0ns,32,,0.0,195.5669,0.0,0.0,377.3195
33,2,4,8486354,URMA_WRITE,7,0ns,33,,0.0,607.92394,0.0,0.0,111.6765
34,2,15,12550731,URMA_WRITE,7,0ns,34,,0.0,583.37464,0.0,0.0,172.1121
35,2,5,12452514,URMA_WRITE,7,0ns,35,,0.0,579.29208,0.0,0.0,171.9687
36,2,14,7951175,URMA_WRITE,7,0ns,36,,0.0,501.70972,0.0,0.0,126.7853
37,2,6,6937150,URMA_WRITE,7,0ns,37,,0.0,353.04756,0.0,0.0,157.1947
38,2,13,10464323,URMA_WRITE,7,0ns,38,,0.0,544.28944,0.0,0.0,153.8053
39,2,7,9663054,URMA_WRITE,7,0ns,39,,0.0,465.38718,0.0,0.0,166.1078
40,2,12,9398866,URMA_WRITE,7,0ns,40,,0.0,563.41172,0.0,0.0,133.4564
41,2,8,11865823,URMA_WRITE,7,0ns,41,,0.0,655.11412,0.0,0.0,144.9008
42,2,11,6040057,URMA_WRITE,7,0ns,42,,0.0,448.94678,0.0,0.0,107.6307
43,2,9,12951005,URMA_WRITE,7,0ns,43,,0.0,585.4899,0.0,0.0,176.9596
44,2,10,10400172,URMA_WRITE,7,0ns,44,,0.0,603.27498,0.0,0.0,137.9162
45,3,2,7014975,URMA_WRITE,7,0ns,45,,0.0,150.71924,0.0,0.0,372.3466
46,3,4,6417953,URMA_WRITE,7,0ns,46,,0.0,510.27448,0.0,0.0,100.6196
47,3,1,6650068,URMA_WRITE,7,0ns,47,,0.0,142.57708,0.0,0.0,373.1353
48,3,5,9235738,URMA_WRITE,7,0ns,48,,0.0,570.6363,0.0,0.0,129.4799
49,3,0,5810548,URMA_WRITE,7,0ns,49,,0.0,124.91918,0.0,0.0,372.1157
50,3,6,7444621,URMA_WRITE,7,0ns,50,,0.0,412.68686,0.0,0.0,144.3152
51,3,15,6674516,URMA_WRITE,7,0ns,51,,0.0,499.44728,0.0,0.0,106.9104
52,3,7,7495127,URMA_WRITE,7,0ns,52,,0.0,519.05242,0.0,0.0,115.5202
53,3,14,5193774,URMA_WRITE,7,0ns,53,,0.0,396.85904,0.0,0.0,104.6976
54,3,8,16001358,URMA_WRITE,7,0ns,54,,0.0,652.93124,0.0,0.0,196.0557
55,3,13,15216772,URMA_WRITE,7,0ns,55,,0.0,599.48846,0.0,0.0,203.0634
56,3,9,14964543,URMA_WRITE,7,0ns,56,,0.0,688.05164,0.0,0.0,173.9933
57,3,12,6397934,URMA_WRITE,7,0ns,57,,0.0,455.19584,0.0,0.0,112.4427
58,3,10,5818966,URMA_WRITE,7,0ns,58,,0.0,384.30982,0.0,0.0,121.1307
59,3,11,7973971,URMA_WRITE,7,0ns,59,,0.0,506.5376,0.0,0.0,125.9369
60,4,3,12617319,URMA_WRITE,7,0ns,60,,0.0,560.8018,0.0,0.0,179.9897
61,4,5,6606100,URMA_WRITE,7,0ns,61,,0.0,141.22494,0.0,0.0,374.2172
62,4,2,13476688,URMA_WRITE,7,0ns,62,,0.0,609.70812,0.0,0.0,176.8281
63,4,6,6528630,URMA_WRITE,7,0ns,63,,0.0,139.86208,0.0,0.0,373.4325
64,4,1,5128463,URMA_WRITE,7,0ns,64,,0.0,438.5323,0.0,0.0,93.5569
65,4,7,17328029,URMA_WRITE,7,0ns,65,,0.0,356.71898,0.0,0.0,388.6091
66,4,0,5538538,URMA_WRITE,7,0ns,66,,0.0,332.5001,0.0,0.0,133.258
67,4,8,12155488,URMA_WRITE,7,0ns,67,,0.0,655.36872,0.0,0.0,148.3804
68,4,15,6304532,URMA_WRITE,7,0ns,68,,0.0,518.83256,0.0,0.0,97.211
69,4,9,12981609,URMA_WRITE,7,0ns,69,,0.0,658.45154,0.0,0.0,157.7229
70,4,14,9657233,URMA_WRITE,7,0ns,70,,0.0,527.79418,0.0,0.0,146.3788
71,4,10,10944398,URMA_WRITE,7,0ns,71,,0.0,552.7302,0.0,0.0,158.4049
72,4,13,2697058,URMA_WRITE,7,0ns,72,,0.0,207.87414,0.0,0.0,103.7958
73,4,11,4953984,URMA_WRITE,7,0ns,73,,0.0,328.81174,0.0,0.0,120.5306
74,4,12,13115982,URMA_WRITE,7,0ns,74,,0.0,543.4257,0.0,0.0,193.0859
75,5,4,7582677,URMA_WRITE,7,0ns,75,,0.0,156.87658,0.0,0.0,386.6824
76,5,6,6423196,URMA_WRITE,7,0ns,76,,0.0,138.49258,0.0,0.0,371.0348
77,5,3,11999149,URMA_WRITE,7,0ns,77,,0.0,588.67252,0.0,0.0,163.0672
78,5,7,7300377,URMA_WRITE,7,0ns,78,,0.0,156.16164,0.0,0.0,373.9908
79,5,2,6867122,URMA_WRITE,7,0ns,79,,0.0,528.41846,0.0,0.0,103.9649
80,5,8,7961264,URMA_WRITE,7,0ns,80,,0.0,461.32922,0.0,0.0,138.0578
81,5,1,11906327,URMA_WRITE,7,0ns,81,,0.0,608.91494,0.0,0.0,156.4268
82,5,9,15792572,URMA_WRITE,7,0ns,82,,0.0,672.64666,0.0,0.0,187.8261
83,5,0,7672230,URMA_WRITE,7,0ns,83,,0.0,430.19604,0.0,0.0,142.6741
84,5,10,5245636,URMA_WRITE,7,0ns,84,,0.0,364.37886,0.0,0.0,115.1688
