taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,15,10860316,URMA_WRITE,7,0ns,0,
1,0,1,9663673,URMA_WRITE,7,0ns,1,
2,0,14,10102709,URMA_WRITE,7,0ns,2,
3,0,2,12117169,URMA_WRITE,7,0ns,3,
4,0,13,6237577,URMA_WRITE,7,0ns,4,
5,0,3,7025300,URMA_WRITE,7,0ns,5,
6,0,12,16100603,URMA_WRITE,7,0ns,6,
7,0,4,4788617,URMA_WRITE,7,0ns,7,
8,0,11,8597712,URMA_WRITE,7,0ns,8,
9,0,5,5660194,URMA_WRITE,7,0ns,9,
10,0,10,6837194,URMA_WRITE,7,0ns,10,
11,0,6,10221973,URMA_WRITE,7,0ns,11,
12,0,9,10814334,URMA_WRITE,7,0ns,12,
13,0,7,9227863,URMA_WRITE,7,0ns,13,
14,0,8,6414882,URMA_WRITE,7,0ns,14,
15,1,0,7349728,URMA_WRITE,7,0ns,15,
16,1,2,5978668,URMA_WRITE,7,0ns,16,
17,1,15,11607482,URMA_WRITE,7,0ns,17,
18,1,3,13054689,URMA_WRITE,7,0ns,18,
19,1,14,5696713,URMA_WRITE,7,0ns,19,
20,1,4,12498596,URMA_WRITE,7,0ns,20,
21,1,13,5407836,URMA_WRITE,7,0ns,21,
22,1,5,12015283,URMA_WRITE,7,0ns,22,
23,1,12,6694532,URMA_WRITE,7,0ns,23,
24,1,6,9828732,URMA_WRITE,7,0ns,24,
25,1,11,7180317,URMA_WRITE,7,0ns,25,
26,1,7,8591605,URMA_WRITE,7,0ns,26,
27,1,10,5283302,URMA_WRITE,7,0ns,27,
28,1,8,11790365,URMA_WRITE,7,0ns,28,
29,1,9,7316526,URMA_WRITE,7,0ns,29,
30,2,1,5568346,URMA_WRITE,7,0ns,30,
31,2,3,8990914,URMA_WRITE,7,0ns,31,
32,2,0,9223901,URMA_WRITE,7,0ns,32,
33,2,4,8486354,URMA_WRITE,7,0ns,33,
34,2,15,12550731,URMA_WRITE,7,0ns,34,
35,2,5,12452514,URMA_WRITE,7,0ns,35,
36,2,14,7951175,URMA_WRITE,7,0ns,36,
37,2,6,6937150,URMA_WRITE,7,0ns,37,
38,2,13,10464323,URMA_WRITE,7,0ns,38,
39,2,7,9663054,URMA_WRITE,7,0ns,39,
40,2,12,9398866,URMA_WRITE,7,0ns,40,
41,2,8,11865823,URMA_WRITE,7,0ns,41,
42,2,11,6040057,URMA_WRITE,7,0ns,42,
43,2,9,12951005,URMA_WRITE,7,0ns,43,
44,2,10,10400172,URMA_WRITE,7,0ns,44,
45,3,2,7014975,URMA_WRITE,7,0ns,45,
46,3,4,6417953,URMA_WRITE,7,0ns,46,
47,3,1,6650068,URMA_WRITE,7,0ns,47,
48,3,5,9235738,URMA_WRITE,7,0ns,48,
49,3,0,5810548,URMA_WRITE,7,0ns,49,
50,3,6,7444621,URMA_WRITE,7,0ns,50,
51,3,15,6674516,URMA_WRITE,7,0ns,51,
52,3,7,7495127,URMA_WRITE,7,0ns,52,
53,3,14,5193774,URMA_WRITE,7,0ns,53,
54,3,8,16001358,URMA_WRITE,7,0ns,54,
55,3,13,15216772,URMA_WRITE,7,0ns,55,
56,3,9,14964543,URMA_WRITE,7,0ns,56,
57,3,12,6397934,URMA_WRITE,7,0ns,57,
58,3,10,5818966,URMA_WRITE,7,0ns,58,
59,3,11,7973971,URMA_WRITE,7,0ns,59,
60,4,3,12617319,URMA_WRITE,7,0ns,60,
61,4,5,6606100,URMA_WRITE,7,0ns,61,
62,4,2,13476688,URMA_WRITE,7,0ns,62,
63,4,6,6528630,URMA_WRITE,7,0ns,63,
64,4,1,5128463,URMA_WRITE,7,0ns,64,
65,4,7,17328029,URMA_WRITE,7,0ns,65,
66,4,0,5538538,URMA_WRITE,7,0ns,66,
67,4,8,12155488,URMA_WRITE,7,0ns,67,
68,4,15,6304532,URMA_WRITE,7,0ns,68,
69,4,9,12981609,URMA_WRITE,7,0ns,69,
70,4,14,9657233,URMA_WRITE,7,0ns,70,
71,4,10,10944398,URMA_WRITE,7,0ns,71,
72,4,13,2697058,URMA_WRITE,7,0ns,72,
73,4,11,4953984,URMA_WRITE,7,0ns,73,
74,4,12,13115982,URMA_WRITE,7,0ns,74,
75,5,4,7582677,URMA_WRITE,7,0ns,75,
76,5,6,6423196,URMA_WRITE,7,0ns,76,
77,5,3,11999149,URMA_WRITE,7,0ns,77,
78,5,7,7300377,URMA_WRITE,7,0ns,78,
79,5,2,6867122,URMA_WRITE,7,0ns,79,
80,5,8,7961264,URMA_WRITE,7,0ns,80,
81,5,1,11906327,URMA_WRITE,7,0ns,81,
82,5,9,15792572,URMA_WRITE,7,0ns,82,
83,5,0,7672230,URMA_WRITE,7,0ns,83,
84,5,10,5245636,URMA_WRITE,7,0ns,84,
85,5,15,12698427,URMA_WRITE,7,0ns,85,
86,5,11,9381415,URMA_WRITE,7,0ns,86,
87,5,14,6442755,URMA_WRITE,7,0ns,87,
88,5,12,9497219,URMA_WRITE,7,0ns,88,
89,5,13,8958531,URMA_WRITE,7,0ns,89,
90,6,5,8024018,URMA_WRITE,7,0ns,90,
91,6,7,10728036,URMA_WRITE,7,0ns,91,
92,6,4,9583872,URMA_WRITE,7,0ns,92,
93,6,8,7882596,URMA_WRITE,7,0ns,93,
94,6,3,5579855,URMA_WRITE,7,0ns,94,
95,6,9,7041161,URMA_WRITE,7,0ns,95,
96,6,2,4015387,URMA_WRITE,7,0ns,96,
97,6,10,6466924,URMA_WRITE,7,0ns,97,
98,6,1,8023059,URMA_WRITE,7,0ns,98,
99,6,11,5488046,URMA_WRITE,7,0ns,99,
100,6,0,5534907,URMA_WRITE,7,0ns,100,
101,6,12,18116953,URMA_WRITE,7,0ns,101,
102,6,15,8711126,URMA_WRITE,7,0ns,102,
103,6,13,9841374,URMA_WRITE,7,0ns,103,
104,6,14,12908347,URMA_WRITE,7,0ns,104,
105,7,6,11142961,URMA_WRITE,7,0ns,105,
106,7,8,8402728,URMA_WRITE,7,0ns,106,
107,7,5,7683429,URMA_WRITE,7,0ns,107,
108,7,9,11642133,URMA_WRITE,7,0ns,108,
109,7,4,9752129,URMA_WRITE,7,0ns,109,
110,7,10,7126224,URMA_WRITE,7,0ns,110,
111,7,3,12291489,URMA_WRITE,7,0ns,111,
112,7,11,12796760,URMA_WRITE,7,0ns,112,
113,7,2,5289641,URMA_WRITE,7,0ns,113,
114,7,12,7952764,URMA_WRITE,7,0ns,114,
115,7,1,7835291,URMA_WRITE,7,0ns,115,
116,7,13,9377220,URMA_WRITE,7,0ns,116,
117,7,0,7311081,URMA_WRITE,7,0ns,117,
118,7,14,6486164,URMA_WRITE,7,0ns,118,
119,7,15,14224469,URMA_WRITE,7,0ns,119,
120,8,7,5846537,URMA_WRITE,7,0ns,120,
121,8,9,6573653,URMA_WRITE,7,0ns,121,
122,8,6,7898854,URMA_WRITE,7,0ns,122,
123,8,10,9630531,URMA_WRITE,7,0ns,123,
124,8,5,6589169,URMA_WRITE,7,0ns,124,
125,8,11,7733504,URMA_WRITE,7,0ns,125,
126,8,4,11941125,URMA_WRITE,7,0ns,126,
127,8,12,7042280,URMA_WRITE,7,0ns,127,
128,8,3,7414939,URMA_WRITE,7,0ns,128,
129,8,13,10561582,URMA_WRITE,7,0ns,129,
130,8,2,11616443,URMA_WRITE,7,0ns,130,
131,8,14,5422165,URMA_WRITE,7,0ns,131,
132,8,1,9413421,URMA_WRITE,7,0ns,132,
133,8,15,10834487,URMA_WRITE,7,0ns,133,
134,8,0,8908326,URMA_WRITE,7,0ns,134,
135,9,8,7993371,URMA_WRITE,7,0ns,135,
136,9,10,6940869,URMA_WRITE,7,0ns,136,
137,9,7,8462930,URMA_WRITE,7,0ns,137,
138,9,11,8421195,URMA_WRITE,7,0ns,138,
139,9,6,19762502,URMA_WRITE,7,0ns,139,
140,9,12,6196743,URMA_WRITE,7,0ns,140,
141,9,5,8441003,URMA_WRITE,7,0ns,141,
142,9,13,9755803,URMA_WRITE,7,0ns,142,
143,9,4,9214483,URMA_WRITE,7,0ns,143,
144,9,14,7000376,URMA_WRITE,7,0ns,144,
145,9,3,14146436,URMA_WRITE,7,0ns,145,
146,9,15,6674349,URMA_WRITE,7,0ns,146,
147,9,2,5727875,URMA_WRITE,7,0ns,147,
148,9,0,9878241,URMA_WRITE,7,0ns,148,
149,9,1,8831735,URMA_WRITE,7,0ns,149,
150,10,9,11022505,URMA_WRITE,7,0ns,150,
151,10,11,9845984,URMA_WRITE,7,0ns,151,
152,10,8,6992753,URMA_WRITE,7,0ns,152,
153,10,12,4876212,URMA_WRITE,7,0ns,153,
154,10,7,4367637,URMA_WRITE,7,0ns,154,
155,10,13,7563864,URMA_WRITE,7,0ns,155,
156,10,6,14537362,URMA_WRITE,7,0ns,156,
157,10,14,8726049,URMA_WRITE,7,0ns,157,
158,10,5,12941813,URMA_WRITE,7,0ns,158,
159,10,15,6838200,URMA_WRITE,7,0ns,159,
160,10,4,10036328,URMA_WRITE,7,0ns,160,
161,10,0,5904813,URMA_WRITE,7,0ns,161,
162,10,3,6237190,URMA_WRITE,7,0ns,162,
163,10,1,7676166,URMA_WRITE,7,0ns,163,
164,10,2,10678703,URMA_WRITE,7,0ns,164,
165,11,10,5721324,URMA_WRITE,7,0ns,165,
166,11,12,9373655,URMA_WRITE,7,0ns,166,
167,11,9,8338420,URMA_WRITE,7,0ns,167,
168,11,13,7918134,URMA_WRITE,7,0ns,168,
169,11,8,11547395,URMA_WRITE,7,0ns,169,
170,11,14,5297313,URMA_WRITE,7,0ns,170,
171,11,7,7301725,URMA_WRITE,7,0ns,171,
172,11,15,10627743,URMA_WRITE,7,0ns,172,
173,11,6,7553951,URMA_WRITE,7,0ns,173,
174,11,0,15456356,URMA_WRITE,7,0ns,174,
175,11,5,9035951,URMA_WRITE,7,0ns,175,
176,11,1,7627754,URMA_WRITE,7,0ns,176,
177,11,4,5365833,URMA_WRITE,7,0ns,177,
178,11,2,8417970,URMA_WRITE,7,0ns,178,
179,11,3,9189663,URMA_WRITE,7,0ns,179,
180,12,11,6738900,URMA_WRITE,7,0ns,180,
181,12,13,4690462,URMA_WRITE,7,0ns,181,
182,12,10,8974454,URMA_WRITE,7,0ns,182,
183,12,14,11800318,URMA_WRITE,7,0ns,183,
184,12,9,9283166,URMA_WRITE,7,0ns,184,
185,12,15,13147797,URMA_WRITE,7,0ns,185,
186,12,8,13847709,URMA_WRITE,7,0ns,186,
187,12,0,10864587,URMA_WRITE,7,0ns,187,
