taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1072195,URMA_WRITE,7,0ns,0,,0.0,22.22772,0.0,0.0,385.8947
1,0,2,1053770,URMA_WRITE,7,0ns,1,,0.0,22.22444,0.0,0.0,379.3193
2,0,3,1174111,URMA_WRITE,7,0ns,2,,0.0,24.31008,0.0,0.0,386.3783
3,0,4,1110454,URMA_WRITE,3,0ns,3,,0.0,23.52396,0.0,0.0,377.6419
4,0,5,1192598,URMA_WRITE,4,0ns,4,,0.0,26.91586,0.0,0.0,354.467
5,0,6,1258291,URMA_WRITE,5,0ns,5,,0.0,26.66256,0.0,0.0,377.5454
6,0,7,1152400,URMA_WRITE,6,0ns,6,,0.0,24.44386,0.0,0.0,377.1581
7,0,8,1075620,URMA_WRITE,3,0ns,7,3.0,23.52396,46.43,0.0,0.0,375.6634
8,0,9,1237638,URMA_WRITE,4,0ns,8,4.0,26.91586,53.25594,0.0,0.0,375.895
9,0,10,1066012,URMA_WRITE,5,0ns,9,5.0,26.66256,48.82972,0.0,0.0,384.7176
10,0,11,1089201,URMA_WRITE,6,0ns,10,6.0,24.44386,47.45548,0.0,0.0,378.6612
11,0,12,1128083,URMA_WRITE,3,0ns,11,7.0,46.43,71.2753,0.0,0.0,363.2343
12,0,13,1048576,URMA_WRITE,4,0ns,12,8.0,53.25594,75.07282,0.0,0.0,384.5008
13,0,14,1124434,URMA_WRITE,5,0ns,13,9.0,48.82972,73.41754,0.0,0.0,365.8507
14,0,15,1153850,URMA_WRITE,6,0ns,14,10.0,47.45548,73.53224,0.0,0.0,353.9857
15,1,0,1072195,URMA_WRITE,7,0ns,15,,0.0,22.22772,0.0,0.0,385.8947
16,1,2,1053770,URMA_WRITE,7,0ns,16,,0.0,21.84846,0.0,0.0,385.8469
17,1,3,1174111,URMA_WRITE,7,0ns,17,,0.0,24.30432,0.0,0.0,386.4699
