taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1110454,URMA_WRITE,7,0ns,0,,0.0,23.01444,0.0,0.0,386.0025
1,0,2,1128083,URMA_WRITE,7,0ns,1,,0.0,23.37856,0.0,0.0,386.0231
2,0,3,1075620,URMA_WRITE,7,0ns,2,,0.0,24.28226,0.0,0.0,354.3723
3,0,14,1249158,URMA_WRITE,7,0ns,3,,0.0,35.46816,0.0,0.0,281.7531
4,0,4,1237638,URMA_WRITE,7,0ns,4,,0.0,48.92836,0.0,0.0,202.3592
5,0,12,1192598,URMA_WRITE,7,0ns,5,,0.0,40.5207,0.0,0.0,235.4546
6,0,6,1174111,URMA_WRITE,7,0ns,6,,0.0,26.82132,0.0,0.0,350.2023
7,0,7,1089201,URMA_WRITE,7,0ns,7,3.0,35.46816,52.97312,0.0,0.0,497.7794
8,0,13,1124434,URMA_WRITE,7,0ns,8,4.0,48.92836,70.8297,0.0,0.0,410.727
9,0,5,1152400,URMA_WRITE,7,0ns,9,5.0,40.5207,74.11888,0.0,0.0,274.3958
10,0,11,1153850,URMA_WRITE,7,0ns,10,6.0,26.82132,44.08608,0.0,0.0,534.6614
11,0,8,1072195,URMA_WRITE,7,0ns,11,7.0,52.97312,77.18534,0.0,0.0,354.2657
12,0,9,1066012,URMA_WRITE,7,0ns,12,8.0,70.8297,82.59192,0.0,0.0,725.0414
13,0,15,1064002,URMA_WRITE,7,0ns,13,9.0,74.11888,87.6072,0.0,0.0,631.0657
14,0,10,1053770,URMA_WRITE,7,0ns,14,10.0,44.08608,72.7041,0.0,0.0,294.5752
15,1,0,1106753,URMA_WRITE,7,0ns,15,,0.0,23.02338,0.0,0.0,384.5666
16,1,2,1184979,URMA_WRITE,7,0ns,16,,0.0,24.54982,0.0,0.0,386.1467
17,1,3,1189263,URMA_WRITE,7,0ns,17,,0.0,24.63706,0.0,0.0,386.1704
18,1,6,1252981,URMA_WRITE,7,0ns,18,,0.0,35.71752,0.0,0.0,280.6423
19,1,12,1216528,URMA_WRITE,7,0ns,19,,0.0,35.54774,0.0,0.0,273.779
20,1,4,1143012,URMA_WRITE,7,0ns,20,,0.0,35.45418,0.0,0.0,257.9131
21,1,5,1121106,URMA_WRITE,7,0ns,21,,0.0,34.43776,0.0,0.0,260.4365
22,1,10,1104779,URMA_WRITE,7,0ns,22,18.0,35.71752,84.877,0.0,0.0,179.7869
