taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1110454,URMA_WRITE,7,0ns,0,,0.0,23.01444,0.0,0.0,386.0025
1,0,2,1128083,URMA_WRITE,7,0ns,1,,0.0,23.37856,0.0,0.0,386.0231
2,0,3,1075620,URMA_WRITE,7,0ns,2,,0.0,24.28226,0.0,0.0,354.3723
3,0,14,1249158,URMA_WRITE,3,0ns,3,,0.0,51.1303,0.0,0.0,195.447
4,0,4,1237638,URMA_WRITE,4,0ns,4,,0.0,79.25774,0.0,0.0,124.9229
5,0,12,1192598,URMA_WRITE,5,0ns,5,,0.0,144.0003,0.0,0.0,66.2553
6,0,6,1174111,URMA_WRITE,6,0ns,6,,0.0,24.15322,0.0,0.0,388.8876
7,0,7,1089201,URMA_WRITE,3,0ns,7,3.0,51.1303,73.51736,0.0,0.0,389.2252
8,0,13,1124434,URMA_WRITE,4,0ns,8,4.0,79.25774,118.7638,0.0,0.0,227.6985
9,0,5,1152400,URMA_WRITE,5,0ns,9,5.0,144.0003,167.77692,0.0,0.0,387.7422
10,0,11,1153850,URMA_WRITE,6,0ns,10,6.0,24.15322,47.93364,0.0,0.0,388.1681
11,0,8,1072195,URMA_WRITE,3,0ns,11,7.0,73.51736,108.61724,0.0,0.0,244.3758
12,0,9,1066012,URMA_WRITE,4,0ns,12,8.0,118.7638,146.35414,0.0,0.0,309.0972
13,0,15,1064002,URMA_WRITE,5,0ns,13,9.0,167.77692,201.09576,0.0,0.0,255.4716
14,0,10,1053770,URMA_WRITE,6,0ns,14,10.0,47.93364,110.43674,0.0,0.0,134.8759
15,1,0,1106753,URMA_WRITE,7,0ns,15,,0.0,23.02338,0.0,0.0,384.5666
16,1,2,1184979,URMA_WRITE,7,0ns,16,,0.0,24.54982,0.0,0.0,386.1467
17,1,3,1189263,URMA_WRITE,7,0ns,17,,0.0,24.63706,0.0,0.0,386.1704
18,1,6,1252981,URMA_WRITE,3,0ns,18,,0.0,132.48292,0.0,0.0,75.6614
19,1,12,1216528,URMA_WRITE,4,0ns,19,,0.0,66.4568,0.0,0.0,146.4444
20,1,4,1143012,URMA_WRITE,5,0ns,20,,0.0,46.8943,0.0,0.0,194.9938
21,1,5,1121106,URMA_WRITE,6,0ns,21,,0.0,24.02058,0.0,0.0,373.3818
22,1,10,1104779,URMA_WRITE,3,0ns,22,18.0,132.48292,155.74808,0.0,0.0,379.8913
