taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,15,1,3489058,URMA_WRITE,5,0ns,0,,0.0,71.27154,0.0,0.0,391.6355
1,0,4,4788617,URMA_WRITE,6,0ns,1,,0.0,99.851,0.0,0.0,383.661
2,4,1,5128463,URMA_WRITE,4,0ns,2,,0.0,106.89886,0.0,0.0,383.7993
3,7,2,5289641,URMA_WRITE,5,0ns,3,,0.0,110.13016,0.0,0.0,384.2465
4,6,0,5534907,URMA_WRITE,6,0ns,4,,0.0,118.89746,0.0,0.0,372.4155
5,4,0,5538538,URMA_WRITE,3,0ns,5,,0.0,115.22792,0.0,0.0,384.5275
6,6,3,5579855,URMA_WRITE,5,0ns,6,,0.0,114.99728,0.0,0.0,388.173
7,0,5,5660194,URMA_WRITE,5,0ns,7,,0.0,118.01802,0.0,0.0,383.6834
8,9,2,5727875,URMA_WRITE,3,0ns,8,,0.0,119.1335,0.0,0.0,384.6357
9,0,8,6414882,URMA_WRITE,3,0ns,9,,0.0,133.31388,0.0,0.0,384.9491
10,13,3,6916046,URMA_WRITE,3,0ns,10,,0.0,143.8413,0.0,0.0,384.6487
11,7,10,7126224,URMA_WRITE,3,0ns,11,,0.0,148.5017,0.0,0.0,383.8999
12,14,5,7207122,URMA_WRITE,6,0ns,12,,0.0,149.78626,0.0,0.0,384.9283
13,11,7,7301725,URMA_WRITE,3,0ns,13,,0.0,155.32258,0.0,0.0,376.0805
14,13,1,7334579,URMA_WRITE,6,0ns,14,,0.0,152.33694,0.0,0.0,385.1766
15,3,6,7444621,URMA_WRITE,3,0ns,15,,0.0,154.96252,0.0,0.0,384.3314
16,13,0,7481651,URMA_WRITE,4,0ns,16,,0.0,155.64508,0.0,0.0,384.5493
17,3,7,7495127,URMA_WRITE,4,0ns,17,,0.0,155.89482,0.0,0.0,384.6248
18,10,1,7676166,URMA_WRITE,3,0ns,18,,0.0,159.79068,0.0,0.0,384.3111
19,11,2,8417970,URMA_WRITE,4,0ns,19,,0.0,175.00508,0.0,0.0,384.8103
20,9,5,8441003,URMA_WRITE,4,0ns,20,,0.0,173.04638,0.0,0.0,390.2308
21,2,4,8486354,URMA_WRITE,5,0ns,21,,0.0,176.36276,0.0,0.0,384.9499
22,1,7,8591605,URMA_WRITE,6,0ns,22,,0.0,178.48966,0.0,0.0,385.0802
23,0,11,8597712,URMA_WRITE,4,0ns,23,,0.0,178.57586,0.0,0.0,385.1679
24,15,3,8864183,URMA_WRITE,4,0ns,24,,0.0,184.42286,0.0,0.0,384.5156
25,8,0,8908326,URMA_WRITE,5,0ns,25,,0.0,185.01962,0.0,0.0,385.1841
26,10,4,10036328,URMA_WRITE,4,0ns,26,,0.0,208.46158,0.0,0.0,385.1579
27,2,8,11865823,URMA_WRITE,4,0ns,27,,0.0,251.09828,0.0,0.0,378.0455
28,5,3,11999149,URMA_WRITE,6,0ns,28,,0.0,248.90256,0.0,0.0,385.6657
29,2,5,12452514,URMA_WRITE,3,0ns,29,,0.0,258.809,0.0,0.0,384.9175
30,4,9,12981609,URMA_WRITE,5,0ns,30,,0.0,267.72748,0.0,0.0,387.9052
31,15,6,9633693,URMA_WRITE,5,0ns,31,0,71.27154,271.48154,0.0,0.0,384.9435
32,3,4,6417953,URMA_WRITE,6,0ns,32,1,99.851,233.41692,0.0,0.0,384.4066
33,0,6,10221973,URMA_WRITE,6,0ns,33,1,99.851,312.24264,0.0,0.0,385.0236
34,6,1,8023059,URMA_WRITE,4,0ns,34,2,106.89886,272.4004,0.0,0.0,387.818
35,4,12,13115982,URMA_WRITE,4,0ns,35,2,106.89886,379.15384,0.0,0.0,385.4029
36,5,2,6867122,URMA_WRITE,5,0ns,36,3,110.13016,252.78332,0.0,0.0,385.1087
37,10,0,5904813,URMA_WRITE,6,0ns,37,4,118.89746,241.68158,0.0,0.0,384.7281
38,6,9,7041161,URMA_WRITE,6,0ns,38,4,118.89746,265.11914,0.0,0.0,385.2321
39,14,0,7014724,URMA_WRITE,3,0ns,39,5,115.22792,261.01324,0.0,0.0,384.9345
40,10,3,6237190,URMA_WRITE,5,0ns,40,6,114.99728,244.82788,0.0,0.0,384.3279
41,6,10,6466924,URMA_WRITE,5,0ns,41,6,114.99728,249.74674,0.0,0.0,383.9377
42,0,7,9227863,URMA_WRITE,5,0ns,42,7,118.01802,310.08458,0.0,0.0,384.361
43,3,5,9235738,URMA_WRITE,5,0ns,43,7,118.01802,310.12358,0.0,0.0,384.611
44,15,2,6437766,URMA_WRITE,3,0ns,44,8,119.1335,253.28704,0.0,0.0,383.9044
45,9,4,9214483,URMA_WRITE,3,0ns,45,8,119.1335,307.20354,0.0,0.0,391.9596
46,6,8,7882596,URMA_WRITE,3,0ns,46,9,133.31388,297.19868,0.0,0.0,384.7872
47,8,3,7414939,URMA_WRITE,3,0ns,47,10,143.8413,297.87988,0.0,0.0,385.0952
48,0,10,6837194,URMA_WRITE,3,0ns,48,9 11,148.5017,290.65042,0.0,0.0,384.791
49,7,11,12796760,URMA_WRITE,3,0ns,49,11,148.5017,414.10142,0.0,0.0,385.445
50,11,13,7918134,URMA_WRITE,3,0ns,50,13,155.32258,321.4545,0.0,0.0,381.2938
51,13,7,9752560,URMA_WRITE,3,0ns,51,10 13,155.32258,358.05144,0.0,0.0,384.8514
52,8,1,9413421,URMA_WRITE,6,0ns,52,14,152.33694,351.07202,0.0,0.0,378.9334
53,3,12,6397934,URMA_WRITE,3,0ns,53,15,154.96252,287.85274,0.0,0.0,385.156
54,1,6,9828732,URMA_WRITE,3,0ns,54,15,154.96252,359.4196,0.0,0.0,384.5788
55,5,0,7672230,URMA_WRITE,4,0ns,55,16,155.64508,315.28038,0.0,0.0,384.4879
56,3,9,14964543,URMA_WRITE,4,0ns,56,17,155.89482,466.76024,0.0,0.0,385.1067
57,5,1,11906327,URMA_WRITE,3,0ns,57,18,159.79068,407.14132,0.0,0.0,385.0834
58,8,2,11616443,URMA_WRITE,4,0ns,58,19,175.00508,417.0025,0.0,0.0,384.0187
59,9,6,19762502,URMA_WRITE,4,0ns,59,20,173.04638,583.0088,0.0,0.0,385.6451
60,13,5,21044417,URMA_WRITE,4,0ns,60,16 20,173.04638,609.75634,0.0,0.0,385.5083
61,2,7,9663054,URMA_WRITE,6,0ns,61,22,178.48966,378.22778,0.0,0.0,387.0289
62,1,8,11790365,URMA_WRITE,6,0ns,62,22,178.48966,423.4993,0.0,0.0,384.9764
63,0,13,6237577,URMA_WRITE,4,0ns,63,23,178.57586,310.1343,0.0,0.0,379.3038
64,15,7,6304241,URMA_WRITE,4,0ns,64,24 17,184.42286,315.82384,0.0,0.0,383.817
65,7,3,12291489,URMA_WRITE,4,0ns,65,24,184.42286,439.75638,0.0,0.0,385.1116
66,12,0,10864587,URMA_WRITE,5,0ns,66,25,185.01962,409.49428,0.0,0.0,387.2005
67,11,4,5365833,URMA_WRITE,4,0ns,67,19 26,208.46158,320.13698,0.0,0.0,384.3878
68,13,4,8558745,URMA_WRITE,6,0ns,68,14 32,233.41692,411.10934,0.0,0.0,385.3285
69,7,0,7311081,URMA_WRITE,6,0ns,69,37,241.68158,393.42886,0.0,0.0,385.4346
70,10,5,12941813,URMA_WRITE,6,0ns,70,37 12,241.68158,509.01088,0.0,0.0,387.292
71,14,3,7265654,URMA_WRITE,5,0ns,71,40,244.82788,394.17888,0.0,0.0,389.1854
72,2,11,6040057,URMA_WRITE,4,0ns,72,27 23,251.09828,376.84894,0.0,0.0,384.2561
73,5,11,9381415,URMA_WRITE,6,0ns,73,28,248.90256,444.02556,0.0,0.0,384.6359
74,4,3,12617319,URMA_WRITE,6,0ns,74,28,248.90256,510.7929,0.0,0.0,385.423
75,6,12,18116953,URMA_WRITE,5,0ns,75,41,249.74674,626.07932,0.0,0.0,385.1264
76,13,2,7366753,URMA_WRITE,5,0ns,76,36,252.78332,405.71808,0.0,0.0,385.354
77,5,13,8958531,URMA_WRITE,5,0ns,77,36,252.78332,439.10672,0.0,0.0,384.6444
78,10,2,10678703,URMA_WRITE,3,0ns,78,18 44,253.28704,474.21398,0.0,0.0,386.6872
