taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,15,1,3489058,URMA_WRITE,5,0ns,0,
1,0,4,4788617,URMA_WRITE,6,0ns,1,
2,4,1,5128463,URMA_WRITE,4,0ns,2,
3,7,2,5289641,URMA_WRITE,5,0ns,3,
4,6,0,5534907,URMA_WRITE,6,0ns,4,
5,4,0,5538538,URMA_WRITE,3,0ns,5,
6,6,3,5579855,URMA_WRITE,5,0ns,6,
7,0,5,5660194,URMA_WRITE,5,0ns,7,
8,9,2,5727875,URMA_WRITE,3,0ns,8,
9,0,8,6414882,URMA_WRITE,3,0ns,9,
10,13,3,6916046,URMA_WRITE,3,0ns,10,
11,7,10,7126224,URMA_WRITE,3,0ns,11,
12,14,5,7207122,URMA_WRITE,6,0ns,12,
13,11,7,7301725,URMA_WRITE,3,0ns,13,
14,13,1,7334579,URMA_WRITE,6,0ns,14,
15,3,6,7444621,URMA_WRITE,3,0ns,15,
16,13,0,7481651,URMA_WRITE,4,0ns,16,
17,3,7,7495127,URMA_WRITE,4,0ns,17,
18,10,1,7676166,URMA_WRITE,3,0ns,18,
19,11,2,8417970,URMA_WRITE,4,0ns,19,
20,9,5,8441003,URMA_WRITE,4,0ns,20,
21,2,4,8486354,URMA_WRITE,5,0ns,21,
22,1,7,8591605,URMA_WRITE,6,0ns,22,
23,0,11,8597712,URMA_WRITE,4,0ns,23,
24,15,3,8864183,URMA_WRITE,4,0ns,24,
25,8,0,8908326,URMA_WRITE,5,0ns,25,
26,10,4,10036328,URMA_WRITE,4,0ns,26,
27,2,8,11865823,URMA_WRITE,4,0ns,27,
28,5,3,11999149,URMA_WRITE,6,0ns,28,
29,2,5,12452514,URMA_WRITE,3,0ns,29,
30,4,9,12981609,URMA_WRITE,5,0ns,30,
31,15,6,9633693,URMA_WRITE,5,0ns,31,0
32,3,4,6417953,URMA_WRITE,6,0ns,32,1
33,0,6,10221973,URMA_WRITE,6,0ns,33,1
34,6,1,8023059,URMA_WRITE,4,0ns,34,2
35,4,12,13115982,URMA_WRITE,4,0ns,35,2
36,5,2,6867122,URMA_WRITE,5,0ns,36,3
37,10,0,5904813,URMA_WRITE,6,0ns,37,4
38,6,9,7041161,URMA_WRITE,6,0ns,38,4
39,14,0,7014724,URMA_WRITE,3,0ns,39,5
40,10,3,6237190,URMA_WRITE,5,0ns,40,6
41,6,10,6466924,URMA_WRITE,5,0ns,41,6
42,0,7,9227863,URMA_WRITE,5,0ns,42,7
43,3,5,9235738,URMA_WRITE,5,0ns,43,7
