taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,15,1064002,URMA_WRITE,7,0ns,0,,0.0,71.58042,2.0328,71.92218,118.9154
1,0,1,1110454,URMA_WRITE,7,0ns,1,,0.0,23.02338,0.001,23.02604,385.8526
2,0,14,1249158,URMA_WRITE,7,0ns,2,,0.0,77.83618,1.01492,79.1916,128.3884
3,0,2,1128083,URMA_WRITE,7,0ns,3,,0.0,23.38476,0.001,23.38718,385.9207
4,0,13,1124434,URMA_WRITE,7,0ns,4,,0.0,71.92748,0.848,71.94192,125.0631
5,0,3,1075620,URMA_WRITE,7,0ns,5,,0.0,23.01222,0.001,23.01568,373.93
6,0,12,1192598,URMA_WRITE,7,0ns,6,,0.0,74.22664,0.847,74.59044,128.5358
7,0,4,1237638,URMA_WRITE,7,0ns,7,,0.0,72.351,0.001,75.16624,136.8482
8,0,11,1153850,URMA_WRITE,7,0ns,8,,0.0,74.15074,0.50288,74.4467,124.487
9,0,5,1152400,URMA_WRITE,7,0ns,9,,0.0,70.81556,0.002,74.12884,130.1861
10,0,10,1053770,URMA_WRITE,7,0ns,10,,0.0,71.05372,0.4194,71.0602,118.6449
11,0,6,1174111,URMA_WRITE,7,0ns,11,,0.0,70.76744,0.003,71.95602,132.7289
12,0,9,1066012,URMA_WRITE,7,0ns,12,,0.0,70.6135,0.33592,70.6193,120.7715
13,0,7,1089201,URMA_WRITE,7,0ns,13,,0.0,70.72346,0.16896,70.7296,123.2068
14,0,8,1072195,URMA_WRITE,7,0ns,14,,0.0,72.32822,0.25244,72.33526,118.5922
15,1,0,1110454,URMA_WRITE,7,0ns,15,,0.0,23.02338,0.001,23.02604,385.8526
16,1,2,1128083,URMA_WRITE,7,0ns,16,,0.0,23.3875,0.001,23.39122,385.8755
17,1,15,1064002,URMA_WRITE,7,0ns,17,,0.0,71.78956,1.01496,72.0519,118.569
