taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1110454,URMA_WRITE,7,0ns,0,,0.0,23.02338,0.0,0.0,385.8526
1,0,2,1128083,URMA_WRITE,7,0ns,1,,0.0,23.38476,0.0,0.0,385.9207
2,0,3,1075620,URMA_WRITE,7,0ns,2,,0.0,23.01222,0.0,0.0,373.93
3,0,14,1249158,URMA_WRITE,3,0ns,3,,0.0,92.6511,0.0,0.0,107.8591
4,0,4,1237638,URMA_WRITE,4,0ns,4,,0.0,25.64894,0.0,0.0,386.0239
5,0,12,1192598,URMA_WRITE,5,0ns,5,,0.0,73.40084,0.0,0.0,129.9819
6,0,6,1174111,URMA_WRITE,6,0ns,6,,0.0,25.6131,0.0,0.0,366.722
7,0,7,1089201,URMA_WRITE,6,0ns,7,6.0,25.6131,48.0617,0.0,0.0,388.1582
8,0,13,1124434,URMA_WRITE,5,0ns,8,5.0,73.40084,140.99234,0.0,0.0,133.0858
9,0,5,1152400,URMA_WRITE,4,0ns,9,4.0,25.64894,95.11372,0.0,0.0,132.7176
10,0,11,1153850,URMA_WRITE,3,0ns,10,3.0,92.6511,128.00546,0.0,0.0,261.0937
11,0,8,1072195,URMA_WRITE,6,0ns,11,7.0,48.0617,124.22468,0.0,0.0,112.6211
12,0,9,1066012,URMA_WRITE,5,0ns,12,8.0,140.99234,186.05054,0.0,0.0,189.2685
13,0,15,1064002,URMA_WRITE,4,0ns,13,9.0,95.11372,128.10798,0.0,0.0,257.9848
14,0,10,1053770,URMA_WRITE,3,0ns,14,10.0,128.00546,167.2123,0.0,0.0,215.0176
15,1,0,1110454,URMA_WRITE,7,0ns,15,,0.0,23.02338,0.0,0.0,385.8526
16,1,2,1128083,URMA_WRITE,7,0ns,16,,0.0,23.3875,0.0,0.0,385.8755
17,1,3,1075620,URMA_WRITE,7,0ns,17,,0.0,23.37228,0.0,0.0,368.1695
18,1,14,1249158,URMA_WRITE,4,0ns,18,,0.0,77.1565,0.0,0.0,129.5194
19,1,4,1237638,URMA_WRITE,3,0ns,19,,0.0,25.88252,0.0,0.0,382.5402
20,1,12,1192598,URMA_WRITE,6,0ns,20,,0.0,73.56712,0.0,0.0,129.6882
21,1,6,1174111,URMA_WRITE,5,0ns,21,,0.0,25.61558,0.0,0.0,366.6865
22,1,7,1089201,URMA_WRITE,5,0ns,22,21.0,25.61558,48.0502,0.0,0.0,388.4001
23,1,13,1124434,URMA_WRITE,6,0ns,23,20.0,73.56712,141.23422,0.0,0.0,132.9372
