taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,0,1,1110454,URMA_WRITE,7,0ns,0,
1,0,2,1128083,URMA_WRITE,7,0ns,1,
2,0,3,1075620,URMA_WRITE,7,0ns,2,
3,0,14,1249158,URMA_WRITE,3,0ns,3,
4,0,4,1237638,URMA_WRITE,4,0ns,4,
5,0,12,1192598,URMA_WRITE,5,0ns,5,
6,0,6,1174111,URMA_WRITE,6,0ns,6,
7,0,7,1089201,URMA_WRITE,6,0ns,7,6
8,0,13,1124434,URMA_WRITE,5,0ns,8,5
9,0,5,1152400,URMA_WRITE,4,0ns,9,4
10,0,11,1153850,URMA_WRITE,3,0ns,10,3
11,0,8,1072195,URMA_WRITE,6,0ns,11,7
12,0,9,1066012,URMA_WRITE,5,0ns,12,8
13,0,15,1064002,URMA_WRITE,4,0ns,13,9
14,0,10,1053770,URMA_WRITE,3,0ns,14,10
15,1,0,1110454,URMA_WRITE,7,0ns,15,
16,1,2,1128083,URMA_WRITE,7,0ns,16,
17,1,3,1075620,URMA_WRITE,7,0ns,17,
18,1,14,1249158,URMA_WRITE,4,0ns,18,
19,1,4,1237638,URMA_WRITE,3,0ns,19,
20,1,12,1192598,URMA_WRITE,6,0ns,20,
21,1,6,1174111,URMA_WRITE,5,0ns,21,
22,1,7,1089201,URMA_WRITE,5,0ns,22,21
23,1,13,1124434,URMA_WRITE,6,0ns,23,20
24,1,5,1152400,URMA_WRITE,3,0ns,24,19
25,1,11,1153850,URMA_WRITE,4,0ns,25,18
26,1,8,1072195,URMA_WRITE,5,0ns,26,22
27,1,9,1066012,URMA_WRITE,6,0ns,27,23
28,1,15,1064002,URMA_WRITE,3,0ns,28,24
29,1,10,1053770,URMA_WRITE,4,0ns,29,25
30,2,0,1110454,URMA_WRITE,7,0ns,30,
31,2,1,1128083,URMA_WRITE,7,0ns,31,
32,2,3,1075620,URMA_WRITE,7,0ns,32,
33,2,14,1249158,URMA_WRITE,5,0ns,33,
