taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,15,1,3489058,URMA_WRITE,6,0ns,0,,0.0,72.68598,0.0,0.0,384.0144
1,0,4,4788617,URMA_WRITE,6,0ns,1,,0.0,97.78236,0.0,0.0,391.7776
2,4,1,5128463,URMA_WRITE,4,0ns,2,,0.0,104.7162,0.0,0.0,391.799
3,7,2,5289641,URMA_WRITE,6,0ns,3,,0.0,110.04672,0.0,0.0,384.5378
4,6,0,5534907,URMA_WRITE,4,0ns,4,,0.0,115.38774,0.0,0.0,383.7432
5,4,0,5538538,URMA_WRITE,3,0ns,5,,0.0,115.38838,0.0,0.0,383.9928
6,6,3,5579855,URMA_WRITE,3,0ns,6,,0.0,116.16178,0.0,0.0,384.2816
7,0,5,5660194,URMA_WRITE,5,0ns,7,,0.0,117.8523,0.0,0.0,384.2229
8,0,8,6414882,URMA_WRITE,3,0ns,8,,0.0,133.38846,0.0,0.0,384.7339
9,3,4,6417953,URMA_WRITE,3,0ns,9,,0.0,133.48594,0.0,0.0,384.6369
10,15,2,6437766,URMA_WRITE,4,0ns,10,,0.0,131.4247,0.0,0.0,391.8756
11,13,3,6916046,URMA_WRITE,6,0ns,11,,0.0,143.75906,0.0,0.0,384.8687
12,14,0,7014724,URMA_WRITE,5,0ns,12,,0.0,145.06764,0.0,0.0,386.8388
13,7,10,7126224,URMA_WRITE,4,0ns,13,,0.0,149.4441,0.0,0.0,381.479
14,14,5,7207122,URMA_WRITE,4,0ns,14,,0.0,147.7284,0.0,0.0,390.2904
15,11,7,7301725,URMA_WRITE,4,0ns,15,,0.0,151.57172,0.0,0.0,385.3872
16,13,1,7334579,URMA_WRITE,5,0ns,16,,0.0,149.71872,0.0,0.0,391.9125
17,3,6,7444621,URMA_WRITE,4,0ns,17,,0.0,155.04092,0.0,0.0,384.1371
18,3,7,7495127,URMA_WRITE,5,0ns,18,,0.0,155.89482,0.0,0.0,384.6248
19,6,8,7882596,URMA_WRITE,5,0ns,19,,0.0,161.54212,0.0,0.0,390.3673
20,11,2,8417970,URMA_WRITE,5,0ns,20,,0.0,173.1777,0.0,0.0,388.8709
21,9,5,8441003,URMA_WRITE,3,0ns,21,,0.0,172.28948,0.0,0.0,391.9451
22,0,11,8597712,URMA_WRITE,4,0ns,22,,0.0,178.90614,0.0,0.0,384.4569
23,15,3,8864183,URMA_WRITE,5,0ns,23,,0.0,183.40542,0.0,0.0,386.6487
24,3,5,9235738,URMA_WRITE,6,0ns,24,,0.0,191.73674,0.0,0.0,385.3508
25,1,6,9828732,URMA_WRITE,6,0ns,25,,0.0,207.22636,0.0,0.0,379.4394
26,2,8,11865823,URMA_WRITE,6,0ns,26,,0.0,246.19936,0.0,0.0,385.568
27,12,3,12577640,URMA_WRITE,4,0ns,27,,0.0,261.55804,0.0,0.0,384.699
28,4,9,12981609,URMA_WRITE,5,0ns,28,,0.0,267.25718,0.0,0.0,388.5878
29,6,1,8023059,URMA_WRITE,6,0ns,29,0,72.68598,239.57606,0.0,0.0,384.5913
30,10,4,10036328,URMA_WRITE,6,0ns,30,1,97.78236,304.45484,0.0,0.0,388.4921
31,4,12,13115982,URMA_WRITE,4,0ns,31,2,104.7162,377.5032,0.0,0.0,384.6512
32,9,2,5727875,URMA_WRITE,6,0ns,32,3,110.04672,229.4278,0.0,0.0,383.838
33,7,9,11642133,URMA_WRITE,6,0ns,33,3,110.04672,351.66924,0.0,0.0,385.4652
34,10,0,5904813,URMA_WRITE,4,0ns,34,4,115.38774,236.95498,0.0,0.0,388.5792
35,6,9,7041161,URMA_WRITE,4,0ns,35,4,115.38774,259.74884,0.0,0.0,390.1971
36,7,0,7311081,URMA_WRITE,3,0ns,36,5,115.38838,265.52472,0.0,0.0,389.5702
37,4,2,13476688,URMA_WRITE,3,0ns,37,5,115.38838,395.28194,0.0,0.0,385.1947
38,10,3,6237190,URMA_WRITE,3,0ns,38,6,116.16178,245.98966,0.0,0.0,384.3359
39,6,10,6466924,URMA_WRITE,3,0ns,39,6,116.16178,250.74846,0.0,0.0,384.402
40,2,5,12452514,URMA_WRITE,5,0ns,40,7,117.8523,376.6339,0.0,0.0,384.9583
41,12,8,13847709,URMA_WRITE,3,0ns,41,8,133.38846,419.04754,0.0,0.0,387.8108
42,2,4,8486354,URMA_WRITE,3,0ns,42,9,133.48594,313.7658,0.0,0.0,376.5858
43,5,2,6867122,URMA_WRITE,4,0ns,43,10,131.4247,274.8248,0.0,0.0,383.1028
44,15,4,12378242,URMA_WRITE,4,0ns,44,10,131.4247,388.22616,0.0,0.0,385.6128
45,11,3,9189663,URMA_WRITE,6,0ns,45,11,143.75906,338.49392,0.0,0.0,377.5251
46,13,7,9752560,URMA_WRITE,6,0ns,46,11,143.75906,346.57212,0.0,0.0,384.6916
47,14,4,8019426,URMA_WRITE,5,0ns,47,12,145.06764,311.91986,0.0,0.0,384.5044
48,8,0,8908326,URMA_WRITE,5,0ns,48,12,145.06764,327.15024,0.0,0.0,391.3971
49,1,5,12015283,URMA_WRITE,4,0ns,49,14,147.7284,394.94852,0.0,0.0,388.8125
50,11,13,7918134,URMA_WRITE,4,0ns,50,15,151.57172,317.57,0.0,0.0,381.6008
51,2,7,9663054,URMA_WRITE,4,0ns,51,15,151.57172,352.60712,0.0,0.0,384.5314
52,10,1,7676166,URMA_WRITE,5,0ns,52,16,149.71872,309.37856,0.0,0.0,384.626
53,1,7,8591605,URMA_WRITE,5,0ns,53,18,155.89482,333.70598,0.0,0.0,386.5496
54,6,11,5488046,URMA_WRITE,5,0ns,54,19,161.54212,273.7768,0.0,0.0,391.1836
55,9,6,19762502,URMA_WRITE,3,0ns,55,21,172.28948,582.51196,0.0,0.0,385.4007
56,7,11,12796760,URMA_WRITE,4,0ns,56,13 22,178.90614,445.07418,0.0,0.0,384.622
57,5,3,11999149,URMA_WRITE,5,0ns,57,23,183.40542,432.75698,0.0,0.0,384.9713
58,3,11,7973971,URMA_WRITE,6,0ns,58,24,191.73674,357.43058,0.0,0.0,384.9978
59,1,10,5283302,URMA_WRITE,6,0ns,59,25,207.22636,317.27034,0.0,0.0,384.0866
60,15,6,9633693,URMA_WRITE,6,0ns,60,0 25,207.22636,405.86474,0.0,0.0,387.9892
61,6,2,4015387,URMA_WRITE,6,0ns,61,29 32,239.57606,323.54414,0.0,0.0,382.5632
62,14,1,8881959,URMA_WRITE,6,0ns,62,29,239.57606,424.17658,0.0,0.0,384.9159
63,14,3,7265654,URMA_WRITE,3,0ns,63,38,245.98966,394.30212,0.0,0.0,391.9106
64,0,10,6837194,URMA_WRITE,3,0ns,64,8 39,250.74846,392.97936,0.0,0.0,384.5687
65,6,12,18116953,URMA_WRITE,3,0ns,65,39,250.74846,626.67266,0.0,0.0,385.5448
66,6,14,12908347,URMA_WRITE,4,0ns,66,35,259.74884,527.14208,0.0,0.0,386.1982
67,9,3,14146436,URMA_WRITE,4,0ns,67,27,261.55804,553.05394,0.0,0.0,388.2438
68,13,0,7481651,URMA_WRITE,3,0ns,68,36,265.52472,420.2766,0.0,0.0,386.7689
69,7,1,7835291,URMA_WRITE,3,0ns,69,36,265.52472,427.71858,0.0,0.0,386.4655
70,4,10,10944398,URMA_WRITE,5,0ns,70,28,267.25718,494.81334,0.0,0.0,384.763
71,3,9,14964543,URMA_WRITE,5,0ns,71,18 28,267.25718,578.3716,0.0,0.0,384.7984
72,13,2,7366753,URMA_WRITE,4,0ns,72,43,274.8248,428.8094,0.0,0.0,382.7267
73,6,13,9841374,URMA_WRITE,5,0ns,73,54,273.7768,478.69868,0.0,0.0,384.2
74,9,4,9214483,URMA_WRITE,6,0ns,74,32 30,304.45484,496.0124,0.0,0.0,384.8236
75,1,4,12498596,URMA_WRITE,3,0ns,75,42,313.7658,572.222,0.0,0.0,386.8693
76,2,9,12951005,URMA_WRITE,3,0ns,76,42,313.7658,582.33918,0.0,0.0,385.7718
77,10,2,10678703,URMA_WRITE,5,0ns,77,52 20,309.37856,534.43238,0.0,0.0,379.5964
78,11,4,5365833,URMA_WRITE,5,0ns,78,20 47,311.91986,423.99258,0.0,0.0,383.0251
79,14,11,8951116,URMA_WRITE,5,0ns,79,47 54,311.91986,497.8726,0.0,0.0,385.0921
80,1,15,11607482,URMA_WRITE,6,0ns,80,59,317.27034,558.34234,0.0,0.0,385.1955
81,0,13,6237577,URMA_WRITE,4,0ns,81,22 50,317.57,447.3237,0.0,0.0,384.5795
82,11,15,10627743,URMA_WRITE,4,0ns,82,50,317.57,538.44224,0.0,0.0,384.9372
83,9,0,9878241,URMA_WRITE,5,0ns,83,48,327.15024,532.107,0.0,0.0,385.5737
84,8,7,5846537,URMA_WRITE,5,0ns,84,48 53,333.70598,455.7985,0.0,0.0,383.089
