taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases
0,15,1,3489058,URMA_WRITE,6,0ns,0,
1,0,4,4788617,URMA_WRITE,6,0ns,1,
2,4,1,5128463,URMA_WRITE,4,0ns,2,
3,7,2,5289641,URMA_WRITE,6,0ns,3,
4,6,0,5534907,URMA_WRITE,4,0ns,4,
5,4,0,5538538,URMA_WRITE,3,0ns,5,
6,6,3,5579855,URMA_WRITE,3,0ns,6,
7,0,5,5660194,URMA_WRITE,5,0ns,7,
8,0,8,6414882,URMA_WRITE,3,0ns,8,
9,3,4,6417953,URMA_WRITE,3,0ns,9,
10,15,2,6437766,URMA_WRITE,4,0ns,10,
11,13,3,6916046,URMA_WRITE,6,0ns,11,
12,14,0,7014724,URMA_WRITE,5,0ns,12,
13,7,10,7126224,URMA_WRITE,4,0ns,13,
14,14,5,7207122,URMA_WRITE,4,0ns,14,
15,11,7,7301725,URMA_WRITE,4,0ns,15,
16,13,1,7334579,URMA_WRITE,5,0ns,16,
17,3,6,7444621,URMA_WRITE,4,0ns,17,
18,3,7,7495127,URMA_WRITE,5,0ns,18,
19,6,8,7882596,URMA_WRITE,5,0ns,19,
20,11,2,8417970,URMA_WRITE,5,0ns,20,
21,9,5,8441003,URMA_WRITE,3,0ns,21,
22,0,11,8597712,URMA_WRITE,4,0ns,22,
23,15,3,8864183,URMA_WRITE,5,0ns,23,
24,3,5,9235738,URMA_WRITE,6,0ns,24,
25,1,6,9828732,URMA_WRITE,6,0ns,25,
26,2,8,11865823,URMA_WRITE,6,0ns,26,
27,12,3,12577640,URMA_WRITE,4,0ns,27,
28,4,9,12981609,URMA_WRITE,5,0ns,28,
29,6,1,8023059,URMA_WRITE,6,0ns,29,0
30,10,4,10036328,URMA_WRITE,6,0ns,30,1
31,4,12,13115982,URMA_WRITE,4,0ns,31,2
32,9,2,5727875,URMA_WRITE,6,0ns,32,3
33,7,9,11642133,URMA_WRITE,6,0ns,33,3
34,10,0,5904813,URMA_WRITE,4,0ns,34,4
35,6,9,7041161,URMA_WRITE,4,0ns,35,4
36,7,0,7311081,URMA_WRITE,3,0ns,36,5
37,4,2,13476688,URMA_WRITE,3,0ns,37,5
38,10,3,6237190,URMA_WRITE,3,0ns,38,6
39,6,10,6466924,URMA_WRITE,3,0ns,39,6
40,2,5,12452514,URMA_WRITE,5,0ns,40,7
41,12,8,13847709,URMA_WRITE,3,0ns,41,8
42,2,4,8486354,URMA_WRITE,3,0ns,42,9
43,5,2,6867122,URMA_WRITE,4,0ns,43,10
44,15,4,12378242,URMA_WRITE,4,0ns,44,10
45,11,3,9189663,URMA_WRITE,6,0ns,45,11
46,13,7,9752560,URMA_WRITE,6,0ns,46,11
47,14,4,8019426,URMA_WRITE,5,0ns,47,12
48,8,0,8908326,URMA_WRITE,5,0ns,48,12
49,1,5,12015283,URMA_WRITE,4,0ns,49,14
50,11,13,7918134,URMA_WRITE,4,0ns,50,15
51,2,7,9663054,URMA_WRITE,4,0ns,51,15
52,10,1,7676166,URMA_WRITE,5,0ns,52,16
53,1,7,8591605,URMA_WRITE,5,0ns,53,18
54,6,11,5488046,URMA_WRITE,5,0ns,54,19
55,9,6,19762502,URMA_WRITE,3,0ns,55,21
56,7,11,12796760,URMA_WRITE,4,0ns,56,13 22
57,5,3,11999149,URMA_WRITE,5,0ns,57,23
58,3,11,7973971,URMA_WRITE,6,0ns,58,24
59,1,10,5283302,URMA_WRITE,6,0ns,59,25
60,15,6,9633693,URMA_WRITE,6,0ns,60,0 25
61,6,2,4015387,URMA_WRITE,6,0ns,61,29 32
62,14,1,8881959,URMA_WRITE,6,0ns,62,29
63,14,3,7265654,URMA_WRITE,3,0ns,63,38
64,0,10,6837194,URMA_WRITE,3,0ns,64,8 39
65,6,12,18116953,URMA_WRITE,3,0ns,65,39
66,6,14,12908347,URMA_WRITE,4,0ns,66,35
67,9,3,14146436,URMA_WRITE,4,0ns,67,27
68,13,0,7481651,URMA_WRITE,3,0ns,68,36
69,7,1,7835291,URMA_WRITE,3,0ns,69,36
