taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1188068,URMA_WRITE,7,0ns,0,,0.0,24.6345,0.001,24.63716,385.8225
1,0,2,1373576,URMA_WRITE,7,0ns,1,,0.0,28.42024,0.001,28.42348,386.6473
2,0,3,2052856,URMA_WRITE,7,0ns,2,,0.0,42.28036,0.001,42.2836,388.4273
3,0,4,1171987,URMA_WRITE,7,0ns,3,,0.0,27.92098,0.001,28.43246,335.8011
4,0,5,1090135,URMA_WRITE,7,0ns,4,,0.0,26.87434,0.002,26.91826,324.5133
5,0,6,1655440,URMA_WRITE,7,0ns,5,,0.0,38.01568,0.003,38.33764,348.3699
6,0,7,1048576,URMA_WRITE,7,0ns,6,,0.0,23.80592,0.16896,23.9935,352.3749
7,0,8,1684639,URMA_WRITE,7,0ns,7,3.0,27.92098,96.2183,27.93182,97.72722,197.33
8,0,9,1890773,URMA_WRITE,7,0ns,8,4.0,26.87434,88.39598,26.88184,88.6043,245.8677
9,0,10,2097152,URMA_WRITE,7,0ns,9,5.0,38.01568,92.23152,38.06844,93.16648,309.4523
10,0,11,1543604,URMA_WRITE,7,0ns,10,6.0,23.80592,64.19686,23.82188,64.87018,305.7327
11,0,12,1264930,URMA_WRITE,7,0ns,11,7.0,96.2183,114.92362,96.27196,115.08174,540.9926
12,0,13,1879170,URMA_WRITE,7,0ns,12,8.0,88.39598,124.28042,88.39698,124.62556,418.9381
13,0,14,1513993,URMA_WRITE,7,0ns,13,9.0,92.23152,115.95884,92.30126,116.11898,510.4641
14,0,15,1237529,URMA_WRITE,7,0ns,14,10.0,64.19686,90.62394,64.19786,90.87336,374.6245
15,1,0,1188068,URMA_WRITE,7,0ns,15,,0.0,24.6345,0.001,24.63716,385.8225
16,1,2,1373576,URMA_WRITE,7,0ns,16,,0.0,28.47462,0.001,28.47834,385.9089
17,1,3,2052856,URMA_WRITE,7,0ns,17,,0.0,42.34012,0.001,42.34336,387.8791
18,1,5,1090135,URMA_WRITE,7,0ns,18,,0.0,27.0422,0.002,27.34542,322.4989
19,1,6,1655440,URMA_WRITE,7,0ns,19,,0.0,35.46796,0.003,36.19328,373.3939
20,1,7,1048576,URMA_WRITE,7,0ns,20,,0.0,23.64526,0.16896,23.76128,354.7691
21,1,4,1171987,URMA_WRITE,7,0ns,21,,0.0,27.98898,0.001,28.4337,334.9853
22,1,9,1890773,URMA_WRITE,7,0ns,22,18.0,27.0422,76.20962,27.07778,87.74494,307.6465
23,1,10,2097152,URMA_WRITE,7,0ns,23,19.0,35.46796,94.13582,35.57702,102.55742,285.9695
24,1,11,1543604,URMA_WRITE,7,0ns,24,20.0,23.64526,76.03906,23.65152,76.14816,235.6926
25,1,8,1684639,URMA_WRITE,7,0ns,25,21.0,27.98898,91.96754,28.0141,97.72846,210.6504
26,1,13,1879170,URMA_WRITE,7,0ns,26,22.0,76.20962,120.88938,76.2115,121.54528,336.4691
27,1,14,1513993,URMA_WRITE,7,0ns,27,23.0,94.13582,119.23214,94.1425,119.23828,482.6183
28,1,15,1237529,URMA_WRITE,7,0ns,28,24.0,76.03906,96.63416,76.03924,96.85438,480.7081
29,1,12,1264930,URMA_WRITE,7,0ns,29,25.0,91.96754,106.9549,91.96854,107.12476,675.1983
30,2,0,1188068,URMA_WRITE,7,0ns,30,,0.0,28.41734,0.001,28.42148,334.4628
31,2,1,1373576,URMA_WRITE,7,0ns,31,,0.0,28.47462,0.001,28.47834,385.9089
32,2,3,2052856,URMA_WRITE,7,0ns,32,,0.0,42.55844,0.001,42.56216,385.8893
33,2,6,1655440,URMA_WRITE,7,0ns,33,,0.0,42.44318,0.002,42.52814,312.0294
34,2,7,1048576,URMA_WRITE,7,0ns,34,,0.0,23.56356,0.003,23.75756,355.9992
35,2,4,1171987,URMA_WRITE,7,0ns,35,,0.0,28.83278,0.001,29.2747,325.1818
36,2,5,1090135,URMA_WRITE,7,0ns,36,,0.0,26.02982,0.001,26.07526,335.0419
37,2,10,2097152,URMA_WRITE,7,0ns,37,33.0,42.44318,129.5531,42.53806,129.79162,192.5982
38,2,11,1543604,URMA_WRITE,7,0ns,38,34.0,23.56356,113.6919,23.5954,113.70614,137.0139
39,2,8,1684639,URMA_WRITE,7,0ns,39,35.0,28.83278,110.3005,28.8719,113.01314,165.4289
40,2,9,1890773,URMA_WRITE,7,0ns,40,36.0,26.02982,124.18034,26.05228,124.18648,154.1121
41,2,14,1513993,URMA_WRITE,7,0ns,41,37.0,129.5531,141.78952,129.61226,141.796,989.8274
42,2,15,1237529,URMA_WRITE,7,0ns,42,38.0,113.6919,131.6448,113.69388,131.83178,551.4559
43,2,12,1264930,URMA_WRITE,7,0ns,43,39.0,110.3005,131.5917,110.3015,131.65862,475.2874
44,2,13,1879170,URMA_WRITE,7,0ns,44,40.0,124.18034,139.3624,124.18134,139.45818,990.2055
45,3,0,1188068,URMA_WRITE,7,0ns,45,,0.0,29.80786,0.001,29.81076,318.8603
46,3,1,1373576,URMA_WRITE,7,0ns,46,,0.0,32.54146,0.001,32.54436,337.6802
47,3,2,2052856,URMA_WRITE,7,0ns,47,,0.0,42.55844,0.001,42.56216,385.8893
48,3,7,1048576,URMA_WRITE,7,0ns,48,,0.0,23.48084,0.002,23.58728,357.2533
49,3,4,1171987,URMA_WRITE,7,0ns,49,,0.0,27.92538,0.001,28.43494,335.7482
