nodeId,portId,type,startTimestamp (us),completesTimestamp (us),TotalBytes,throughput(Gbps)
0,0,Rx,0.08548,24.63716,1227513,399.98
0,0,Tx,0.001,24.63492,1231625,399.98
0,1,Rx,0.08548,28.42148,1230501,347.4
0,1,Tx,0.001,28.42124,1420767,399.93
0,2,Rx,0.08548,42.28036,1241822,235.45
0,2,Tx,0.001,42.28136,2113677,399.94
0,3,Rx,0.17096,124.28042,3622277,233.49
0,3,Tx,0.001,124.28142,4661478,300.06
0,4,Rx,0.17096,120.56956,3889582,258.45
0,4,Tx,0.001,120.57056,4665715,309.58
0,5,Rx,0.17096,122.60582,3549744,231.94
0,5,Tx,0.001,122.60682,4677258,305.19
0,6,Rx,0.17096,119.29352,3764527,252.82
0,6,Tx,0.001,119.29452,4672427,313.34
1,0,Rx,0.08548,24.63716,1227513,399.98
1,0,Tx,0.001,24.63492,1231625,399.98
1,1,Rx,0.08548,28.47834,1419643,400.0
1,1,Tx,0.001,28.4761,1423755,400.0
1,2,Rx,0.08548,42.34012,1430964,270.92
1,2,Tx,0.001,42.34112,2116665,399.94
1,3,Rx,0.25444,128.83012,4405286,274.1
1,3,Tx,0.001,124.68306,4700444,301.6
1,4,Rx,0.25444,128.7026,4080457,254.14
1,4,Tx,0.001,123.4367,4617312,299.25
1,5,Rx,0.25444,128.6624,4336065,270.14
1,5,Tx,0.001,126.73254,4714470,297.6
1,6,Rx,0.25444,129.06584,4274026,265.44
1,6,Tx,0.001,124.36296,4680400,301.08
2,0,Rx,0.08548,28.42348,1416655,399.93
2,0,Tx,0.001,28.41924,1234613,347.56
2,1,Rx,0.08548,28.47834,1419643,400.0
2,1,Tx,0.001,28.4761,1423755,400.0
2,2,Rx,0.08548,42.56216,2123834,400.0
2,2,Tx,0.001,42.55992,2127946,400.0
2,3,Rx,0.33792,141.67612,6239086,353.14
2,3,Tx,0.001,141.67712,4616125,260.66
2,4,Rx,0.33792,141.35574,6063128,343.96
2,4,Tx,0.001,141.35674,4679340,264.83
2,5,Rx,0.33792,141.78952,6575170,371.87
2,5,Tx,0.001,141.79052,4738370,267.35
2,6,Rx,0.33792,141.77554,6533170,369.53
2,6,Tx,0.001,141.77654,4814551,271.67
3,0,Rx,0.08548,42.2836,2109565,399.94
3,0,Tx,0.001,42.27778,1245917,235.76
3,1,Rx,0.08548,42.34336,2112553,399.94
3,1,Tx,0.001,42.33754,1435059,271.17
3,2,Rx,0.08548,42.56216,2123834,400.0
3,2,Tx,0.001,42.55992,2127946,400.0
3,3,Rx,0.4214,123.02784,3791051,247.36
3,3,Tx,0.001,123.02884,4682480,304.48
3,4,Rx,0.4214,120.22596,3835402,256.11
3,4,Tx,0.001,120.22696,4732774,314.93
3,5,Rx,0.4214,123.20392,3412031,222.31
3,5,Tx,0.001,123.20492,4588131,297.92
3,6,Rx,0.4214,118.8671,3590226,242.49
3,6,Tx,0.001,118.8681,4669529,314.27
4,0,Rx,0.08548,22.60484,1125938,399.99
4,0,Tx,0.001,22.6026,1130050,399.99
4,1,Rx,0.08548,34.14036,1135325,266.7
4,1,Tx,0.001,34.14136,1706677,399.92
4,2,Rx,0.08548,22.59072,1125137,399.96
4,2,Tx,0.001,22.58854,1087571,385.19
4,3,Rx,0.17096,118.3716,3627210,245.5
4,3,Tx,0.001,118.3726,4865024,328.8
4,4,Rx,0.17096,120.48936,3460317,230.08
4,4,Tx,0.001,120.49036,4887193,324.49
4,5,Rx,0.17096,126.98708,3476704,219.32
4,5,Tx,0.001,126.98808,4855124,305.87
4,6,Rx,0.17096,125.80066,3410416,217.17
4,6,Tx,0.001,125.80166,4891534,311.07
5,0,Rx,0.08548,22.60484,1125938,399.99
5,0,Tx,0.001,22.6026,1130050,399.99
5,1,Rx,0.08548,34.32432,1711912,399.99
5,1,Tx,0.001,34.32208,1716024,399.99
5,2,Rx,0.08548,34.12758,1701764,399.92
5,2,Tx,0.001,34.12176,1096941,257.19
5,3,Rx,0.25444,124.09032,4464798,288.43
5,3,Tx,0.001,124.09132,4904709,316.2
5,4,Rx,0.25444,122.51928,4636156,303.35
5,4,Tx,0.001,122.52028,4834098,315.65
5,5,Rx,0.17096,130.80894,4656286,285.14
5,5,Tx,0.001,130.80994,4958988,303.28
5,6,Rx,0.17096,129.62128,4496367,277.87
5,6,Tx,0.001,129.62228,4870900,300.62
6,0,Rx,0.08548,34.1436,1702565,399.92
6,0,Tx,0.001,34.13778,1139420,267.02
6,1,Rx,0.08548,34.32432,1711912,399.99
6,1,Tx,0.001,34.32208,1716024,399.99
6,2,Rx,0.08548,21.73924,1082658,399.99
