taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1188068,URMA_WRITE,7,0ns,0,,0.0,24.6345,0.0,0.0,385.8225
1,0,2,1373576,URMA_WRITE,7,0ns,1,,0.0,28.42024,0.0,0.0,386.6473
2,0,3,2052856,URMA_WRITE,7,0ns,2,,0.0,42.28036,0.0,0.0,388.4273
3,0,4,1171987,URMA_WRITE,3,0ns,3,,0.0,25.36578,0.0,0.0,369.6277
4,0,5,1090135,URMA_WRITE,4,0ns,4,,0.0,23.85976,0.0,0.0,365.5142
5,0,6,1655440,URMA_WRITE,5,0ns,5,,0.0,35.06456,0.0,0.0,377.6896
6,0,7,1048576,URMA_WRITE,6,0ns,6,,0.0,23.0085,0.0,0.0,364.5873
7,0,8,1684639,URMA_WRITE,3,0ns,7,3.0,25.36578,98.99898,0.0,0.0,183.0304
8,0,9,1890773,URMA_WRITE,4,0ns,8,4.0,23.85976,92.46514,0.0,0.0,220.481
9,0,10,2097152,URMA_WRITE,5,0ns,9,5.0,35.06456,102.66052,0.0,0.0,248.1985
10,0,11,1543604,URMA_WRITE,6,0ns,10,6.0,23.0085,66.46466,0.0,0.0,284.1676
11,0,12,1264930,URMA_WRITE,3,0ns,11,7.0,98.99898,125.052,0.0,0.0,388.4172
12,0,13,1879170,URMA_WRITE,4,0ns,12,8.0,92.46514,133.33924,0.0,0.0,367.7967
13,0,14,1513993,URMA_WRITE,5,0ns,13,9.0,102.66052,133.73214,0.0,0.0,389.8073
14,0,15,1237529,URMA_WRITE,6,0ns,14,10.0,66.46466,94.63562,0.0,0.0,351.434
15,1,0,1188068,URMA_WRITE,7,0ns,15,,0.0,24.6345,0.0,0.0,385.8225
16,1,2,1373576,URMA_WRITE,7,0ns,16,,0.0,28.47462,0.0,0.0,385.9089
17,1,3,2052856,URMA_WRITE,7,0ns,17,,0.0,42.34012,0.0,0.0,387.8791
18,1,5,1090135,URMA_WRITE,3,0ns,18,,0.0,23.85976,0.0,0.0,365.5142
19,1,6,1655440,URMA_WRITE,4,0ns,19,,0.0,34.36104,0.0,0.0,385.4226
20,1,7,1048576,URMA_WRITE,5,0ns,20,,0.0,23.0085,0.0,0.0,364.5873
21,1,4,1171987,URMA_WRITE,6,0ns,21,,0.0,25.202,0.0,0.0,372.0298
22,1,9,1890773,URMA_WRITE,3,0ns,22,18.0,23.85976,95.24006,0.0,0.0,211.9098
23,1,10,2097152,URMA_WRITE,4,0ns,23,19.0,34.36104,107.00114,0.0,0.0,230.9636
24,1,11,1543604,URMA_WRITE,5,0ns,24,20.0,23.0085,67.56144,0.0,0.0,277.1721
25,1,8,1684639,URMA_WRITE,6,0ns,25,21.0,25.202,91.33118,0.0,0.0,203.7998
26,1,13,1879170,URMA_WRITE,3,0ns,26,22.0,95.24006,134.1238,0.0,0.0,386.6233
27,1,14,1513993,URMA_WRITE,4,0ns,27,23.0,107.00114,138.2911,0.0,0.0,387.0872
28,1,15,1237529,URMA_WRITE,5,0ns,28,24.0,67.56144,94.66112,0.0,0.0,365.3265
29,1,12,1264930,URMA_WRITE,6,0ns,29,25.0,91.33118,117.83136,0.0,0.0,381.8631
30,2,0,1188068,URMA_WRITE,7,0ns,30,,0.0,28.41734,0.0,0.0,334.4628
31,2,1,1373576,URMA_WRITE,7,0ns,31,,0.0,28.47462,0.0,0.0,385.9089
32,2,3,2052856,URMA_WRITE,7,0ns,32,,0.0,42.55844,0.0,0.0,385.8893
33,2,6,1655440,URMA_WRITE,3,0ns,33,,0.0,36.39556,0.0,0.0,363.8774
34,2,7,1048576,URMA_WRITE,4,0ns,34,,0.0,23.0085,0.0,0.0,364.5873
35,2,4,1171987,URMA_WRITE,5,0ns,35,,0.0,25.64142,0.0,0.0,365.6543
36,2,5,1090135,URMA_WRITE,6,0ns,36,,0.0,23.85976,0.0,0.0,365.5142
37,2,10,2097152,URMA_WRITE,3,0ns,37,33.0,36.39556,105.9654,0.0,0.0,241.1565
38,2,11,1543604,URMA_WRITE,4,0ns,38,34.0,23.0085,66.67978,0.0,0.0,282.7678
39,2,8,1684639,URMA_WRITE,5,0ns,39,35.0,25.64142,102.58172,0.0,0.0,175.1632
40,2,9,1890773,URMA_WRITE,6,0ns,40,36.0,23.85976,92.73894,0.0,0.0,219.6046
41,2,14,1513993,URMA_WRITE,3,0ns,41,37.0,105.9654,137.28926,0.0,0.0,386.6683
42,2,15,1237529,URMA_WRITE,4,0ns,42,38.0,66.67978,93.74046,0.0,0.0,365.853
43,2,12,1264930,URMA_WRITE,5,0ns,43,39.0,102.58172,128.87634,0.0,0.0,384.8483
44,2,13,1879170,URMA_WRITE,6,0ns,44,40.0,92.73894,133.16874,0.0,0.0,371.8386
45,3,0,1188068,URMA_WRITE,7,0ns,45,,0.0,29.80786,0.0,0.0,318.8603
46,3,1,1373576,URMA_WRITE,7,0ns,46,,0.0,32.54146,0.0,0.0,337.6802
47,3,2,2052856,URMA_WRITE,7,0ns,47,,0.0,42.55844,0.0,0.0,385.8893
48,3,7,1048576,URMA_WRITE,3,0ns,48,,0.0,23.0085,0.0,0.0,364.5873
49,3,4,1171987,URMA_WRITE,4,0ns,49,,0.0,25.4505,0.0,0.0,368.3973
50,3,5,1090135,URMA_WRITE,5,0ns,50,,0.0,24.02514,0.0,0.0,362.9981
51,3,6,1655440,URMA_WRITE,6,0ns,51,,0.0,35.21796,0.0,0.0,376.0445
52,3,11,1543604,URMA_WRITE,3,0ns,52,48.0,23.0085,64.36332,0.0,0.0,298.6068
53,3,8,1684639,URMA_WRITE,4,0ns,53,49.0,25.4505,91.53174,0.0,0.0,203.9476
54,3,9,1890773,URMA_WRITE,5,0ns,54,50.0,24.02514,88.16166,0.0,0.0,235.8435
55,3,10,2097152,URMA_WRITE,6,0ns,55,51.0,35.21796,107.66852,0.0,0.0,231.5678
56,3,15,1237529,URMA_WRITE,3,0ns,56,52.0,64.36332,91.53038,0.0,0.0,364.4204
57,3,12,1264930,URMA_WRITE,4,0ns,57,53.0,91.53174,117.839,0.0,0.0,384.6634
58,3,13,1879170,URMA_WRITE,5,0ns,58,54.0,88.16166,126.66654,0.0,0.0,390.4274
59,3,14,1513993,URMA_WRITE,6,0ns,59,55.0,107.66852,138.86842,0.0,0.0,388.2046
60,4,5,1090135,URMA_WRITE,7,0ns,60,,0.0,22.60176,0.0,0.0,385.8584
61,4,6,1655440,URMA_WRITE,7,0ns,61,,0.0,34.14036,0.0,0.0,387.9139
62,4,7,1048576,URMA_WRITE,7,0ns,62,,0.0,22.58698,0.0,0.0,371.3913
63,4,8,1684639,URMA_WRITE,3,0ns,63,,0.0,41.83834,0.0,0.0,322.1235
