taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1110454,URMA_WRITE,7,0ns,0,,0.0,23.02338,0.0,0.0,385.8526
1,0,2,1128083,URMA_WRITE,7,0ns,1,,0.0,23.38476,0.0,0.0,385.9207
2,0,3,1075620,URMA_WRITE,7,0ns,2,,0.0,23.01222,0.0,0.0,373.93
3,0,14,1249158,URMA_WRITE,3,0ns,3,,0.0,77.34688,0.0,0.0,129.2006
4,0,4,1237638,URMA_WRITE,4,0ns,4,,0.0,25.64894,0.0,0.0,386.0239
5,0,12,1192598,URMA_WRITE,5,0ns,5,,0.0,73.40208,0.0,0.0,129.9797
6,0,6,1174111,URMA_WRITE,6,0ns,6,,0.0,25.6131,0.0,0.0,366.722
7,0,7,1089201,URMA_WRITE,3,0ns,7,3.0,77.34688,128.86154,0.0,0.0,169.1481
8,0,13,1124434,URMA_WRITE,4,0ns,8,4.0,25.64894,48.80458,0.0,0.0,388.4787
9,0,5,1152400,URMA_WRITE,5,0ns,9,5.0,73.40208,122.15108,0.0,0.0,189.1157
10,0,11,1153850,URMA_WRITE,6,0ns,10,6.0,25.6131,71.68348,0.0,0.0,200.363
11,0,8,1072195,URMA_WRITE,3,0ns,11,7.0,128.86154,166.32318,0.0,0.0,228.9692
12,0,9,1066012,URMA_WRITE,4,0ns,12,8.0,48.80458,70.76414,0.0,0.0,388.3546
13,0,15,1064002,URMA_WRITE,5,0ns,13,9.0,122.15108,160.06718,0.0,0.0,224.4961
14,0,10,1053770,URMA_WRITE,6,0ns,14,10.0,71.68348,129.88342,0.0,0.0,144.8483
15,1,0,1110454,URMA_WRITE,7,0ns,15,,0.0,23.02338,0.0,0.0,385.8526
16,1,2,1128083,URMA_WRITE,7,0ns,16,,0.0,23.3875,0.0,0.0,385.8755
17,1,3,1075620,URMA_WRITE,7,0ns,17,,0.0,23.37228,0.0,0.0,368.1695
18,1,6,1174111,URMA_WRITE,3,0ns,18,,0.0,24.70962,0.0,0.0,380.1308
19,1,14,1249158,URMA_WRITE,4,0ns,19,,0.0,77.62212,0.0,0.0,128.7425
20,1,4,1237638,URMA_WRITE,5,0ns,20,,0.0,25.64474,0.0,0.0,386.0871
21,1,12,1192598,URMA_WRITE,6,0ns,21,,0.0,74.0183,0.0,0.0,128.8976
22,1,11,1153850,URMA_WRITE,3,0ns,22,18.0,24.70962,72.15718,0.0,0.0,194.5474
23,1,7,1089201,URMA_WRITE,4,0ns,23,19.0,77.62212,117.87904,0.0,0.0,216.4499
