taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,63,917504,URMA_WRITE,7,0ns,0,,0.0,46.00996,0.0,0.0,159.5314
1,0,1,917504,URMA_WRITE,7,0ns,1,,0.0,44.10132,0.0,0.0,166.4357
2,0,62,917504,URMA_WRITE,7,0ns,2,,0.0,43.9946,0.0,0.0,166.8394
3,0,2,917504,URMA_WRITE,7,0ns,3,,0.0,43.99776,0.0,0.0,166.8274
4,0,61,917504,URMA_WRITE,7,0ns,4,,0.0,44.0985,0.0,0.0,166.4463
5,0,3,917504,URMA_WRITE,7,0ns,5,,0.0,44.10414,0.0,0.0,166.425
6,0,60,917504,URMA_WRITE,7,0ns,6,,0.0,44.09692,0.0,0.0,166.4523
7,0,4,917504,URMA_WRITE,7,0ns,7,,0.0,44.10572,0.0,0.0,166.419
8,0,59,917504,URMA_WRITE,7,0ns,8,,0.0,44.19834,0.0,0.0,166.0703
9,0,5,917504,URMA_WRITE,7,0ns,9,,0.0,44.1073,0.0,0.0,166.4131
10,0,58,917504,URMA_WRITE,7,0ns,10,,0.0,44.19676,0.0,0.0,166.0762
11,0,6,917504,URMA_WRITE,7,0ns,11,,0.0,44.10888,0.0,0.0,166.4071
12,0,57,917504,URMA_WRITE,7,0ns,12,,0.0,44.09218,0.0,0.0,166.4702
13,0,7,917504,URMA_WRITE,7,0ns,13,,0.0,44.11046,0.0,0.0,166.4012
14,0,56,917504,URMA_WRITE,7,0ns,14,,0.0,44.0906,0.0,0.0,166.4761
15,0,8,917504,URMA_WRITE,7,0ns,15,,0.0,44.21018,0.0,0.0,166.0258
16,1,0,917504,URMA_WRITE,7,0ns,16,,0.0,43.9021,0.0,0.0,167.1909
17,1,2,917504,URMA_WRITE,7,0ns,17,,0.0,44.0932,0.0,0.0,166.4663
18,1,63,917504,URMA_WRITE,7,0ns,18,,0.0,44.09038,0.0,0.0,166.477
19,1,3,917504,URMA_WRITE,7,0ns,19,,0.0,43.90492,0.0,0.0,167.1802
20,1,62,917504,URMA_WRITE,7,0ns,20,,0.0,44.0888,0.0,0.0,166.4829
21,1,4,917504,URMA_WRITE,7,0ns,21,,0.0,44.09602,0.0,0.0,166.4557
22,1,61,917504,URMA_WRITE,7,0ns,22,,0.0,44.19394,0.0,0.0,166.0868
23,1,5,917504,URMA_WRITE,7,0ns,23,,0.0,44.19924,0.0,0.0,166.0669
24,1,60,917504,URMA_WRITE,7,0ns,24,,0.0,44.19236,0.0,0.0,166.0928
25,1,6,917504,URMA_WRITE,7,0ns,25,,0.0,44.20082,0.0,0.0,166.061
26,1,59,917504,URMA_WRITE,7,0ns,26,,0.0,44.19078,0.0,0.0,166.0987
27,1,7,917504,URMA_WRITE,7,0ns,27,,0.0,44.2024,0.0,0.0,166.0551
28,1,58,917504,URMA_WRITE,7,0ns,28,,0.0,44.1892,0.0,0.0,166.1047
29,1,8,917504,URMA_WRITE,7,0ns,29,,0.0,44.10132,0.0,0.0,166.4357
30,1,57,917504,URMA_WRITE,7,0ns,30,,0.0,44.18762,0.0,0.0,166.1106
31,1,9,917504,URMA_WRITE,7,0ns,31,,0.0,44.29276,0.0,0.0,165.7163
32,2,1,917504,URMA_WRITE,7,0ns,32,,0.0,43.91766,0.0,0.0,167.1317
33,2,3,917504,URMA_WRITE,7,0ns,33,,0.0,44.10978,0.0,0.0,166.4037
34,2,0,917504,URMA_WRITE,7,0ns,34,,0.0,43.91608,0.0,0.0,167.1377
35,2,4,917504,URMA_WRITE,7,0ns,35,,0.0,43.92048,0.0,0.0,167.1209
36,2,63,917504,URMA_WRITE,7,0ns,36,,0.0,44.10572,0.0,0.0,166.419
37,2,5,917504,URMA_WRITE,7,0ns,37,,0.0,43.92206,0.0,0.0,167.1149
38,2,62,917504,URMA_WRITE,7,0ns,38,,0.0,44.10414,0.0,0.0,166.425
39,2,6,917504,URMA_WRITE,7,0ns,39,,0.0,44.11384,0.0,0.0,166.3884
40,2,61,917504,URMA_WRITE,7,0ns,40,,0.0,44.12298,0.0,0.0,166.3539
41,2,7,917504,URMA_WRITE,7,0ns,41,,0.0,43.92488,0.0,0.0,167.1042
42,2,60,917504,URMA_WRITE,7,0ns,42,,0.0,44.1214,0.0,0.0,166.3599
43,2,8,917504,URMA_WRITE,7,0ns,43,,0.0,44.11666,0.0,0.0,166.3778
44,2,59,917504,URMA_WRITE,7,0ns,44,,0.0,44.0994,0.0,0.0,166.4429
45,2,9,917504,URMA_WRITE,7,0ns,45,,0.0,44.12704,0.0,0.0,166.3386
46,2,58,917504,URMA_WRITE,7,0ns,46,,0.0,44.09782,0.0,0.0,166.4489
47,2,10,917504,URMA_WRITE,7,0ns,47,,0.0,44.11982,0.0,0.0,166.3659
48,3,2,917504,URMA_WRITE,7,0ns,48,,0.0,44.18382,0.0,0.0,166.1249
49,3,4,917504,URMA_WRITE,7,0ns,49,,0.0,43.91138,0.0,0.0,167.1556
50,3,1,917504,URMA_WRITE,7,0ns,50,,0.0,44.18224,0.0,0.0,166.1308
51,3,5,917504,URMA_WRITE,7,0ns,51,,0.0,44.18664,0.0,0.0,166.1143
52,3,0,917504,URMA_WRITE,7,0ns,52,,0.0,44.18066,0.0,0.0,166.1368
53,3,6,917504,URMA_WRITE,7,0ns,53,,0.0,44.18822,0.0,0.0,166.1083
54,3,63,917504,URMA_WRITE,7,0ns,54,,0.0,44.28434,0.0,0.0,165.7478
55,3,7,917504,URMA_WRITE,7,0ns,55,,0.0,44.1898,0.0,0.0,166.1024
56,3,62,917504,URMA_WRITE,7,0ns,56,,0.0,44.28276,0.0,0.0,165.7537
57,3,8,917504,URMA_WRITE,7,0ns,57,,0.0,44.19138,0.0,0.0,166.0965
58,3,61,917504,URMA_WRITE,7,0ns,58,,0.0,44.17592,0.0,0.0,166.1546
59,3,9,917504,URMA_WRITE,7,0ns,59,,0.0,44.19296,0.0,0.0,166.0905
60,3,60,917504,URMA_WRITE,7,0ns,60,,0.0,44.17434,0.0,0.0,166.1605
61,3,10,917504,URMA_WRITE,7,0ns,61,,0.0,44.19454,0.0,0.0,166.0846
62,3,59,917504,URMA_WRITE,7,0ns,62,,0.0,44.28118,0.0,0.0,165.7596
63,3,11,917504,URMA_WRITE,7,0ns,63,,0.0,44.29336,0.0,0.0,165.714
64,4,3,917504,URMA_WRITE,7,0ns,64,,0.0,43.76302,0.0,0.0,167.7222
