taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,63,917504,URMA_WRITE,7,0ns,0,,0.0,45.29848,0.0,0.0,162.037
1,0,1,917504,URMA_WRITE,7,0ns,1,,0.0,45.47998,0.0,0.0,161.3904
2,0,62,917504,URMA_WRITE,7,0ns,2,,0.0,45.3145,0.0,0.0,161.9798
3,0,2,917504,URMA_WRITE,7,0ns,3,,0.0,45.49758,0.0,0.0,161.328
4,0,61,917504,URMA_WRITE,7,0ns,4,,0.0,45.31292,0.0,0.0,161.9854
5,0,3,917504,URMA_WRITE,7,0ns,5,,0.0,45.99416,0.0,0.0,159.5862
6,0,60,917504,URMA_WRITE,7,0ns,6,,0.0,45.31134,0.0,0.0,161.9911
7,0,4,917504,URMA_WRITE,7,0ns,7,,0.0,46.50258,0.0,0.0,157.8414
8,0,59,917504,URMA_WRITE,7,0ns,8,,0.0,45.30976,0.0,0.0,161.9967
9,0,5,917504,URMA_WRITE,7,0ns,9,,0.0,46.26266,0.0,0.0,158.66
10,0,58,917504,URMA_WRITE,7,0ns,10,,0.0,45.30818,0.0,0.0,162.0024
11,0,6,917504,URMA_WRITE,7,0ns,11,,0.0,46.18726,0.0,0.0,158.919
12,0,57,917504,URMA_WRITE,7,0ns,12,,0.0,45.3066,0.0,0.0,162.008
13,0,7,917504,URMA_WRITE,7,0ns,13,,0.0,46.44438,0.0,0.0,158.0392
14,0,56,917504,URMA_WRITE,7,0ns,14,,0.0,45.31608,0.0,0.0,161.9741
15,0,8,917504,URMA_WRITE,7,0ns,15,,0.0,46.35876,0.0,0.0,158.3311
16,1,0,917504,URMA_WRITE,7,0ns,16,,0.0,45.38318,0.0,0.0,161.7346
17,1,2,917504,URMA_WRITE,7,0ns,17,,0.0,45.36344,0.0,0.0,161.805
18,1,63,917504,URMA_WRITE,7,0ns,18,,0.0,45.39672,0.0,0.0,161.6864
19,1,3,917504,URMA_WRITE,7,0ns,19,,0.0,45.56832,0.0,0.0,161.0775
20,1,62,917504,URMA_WRITE,7,0ns,20,,0.0,45.39514,0.0,0.0,161.692
21,1,4,917504,URMA_WRITE,7,0ns,21,,0.0,45.99226,0.0,0.0,159.5928
